Detailed Statistics Departures  
Origin Airport: Santa Fe, NM: Santa Fe Municipal (SAF)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","2986","N730EV","DFW","07:01","06:56","109","105","-5","07:15","19","0","0","0","0","0"
"OO","12/01/2021","2995","N614QX","PHX","18:46","18:45","90","89","-1","19:12","27","0","0","0","0","0"
"OO","12/01/2021","3133","N751EV","DFW","14:27","14:17","96","98","-10","14:28","11","0","0","0","0","0"
"OO","12/01/2021","3187","N631SK","DFW","16:50","16:40","101","115","-10","16:54","14","0","0","0","0","0"
"OO","12/01/2022","3062","N656CA","DFW","10:20","10:10","104","91","-10","10:19","9","0","0","0","0","0"
"OO","12/01/2022","3127","N732SK","DFW","06:27","06:18","110","96","-9","06:30","12","0","0","0","0","0"
"OO","12/01/2022","3237","N702SK","DFW","16:35","17:22","104","107","47","17:38","16","0","0","0","0","50"
"OO","12/01/2022","3242","N718EV","PHX","19:15","19:03","85","91","-12","19:28","25","0","0","0","0","0"
"OO","12/01/2022","4977","N708SK","PHX","11:21","11:14","84","85","-7","11:29","15","0","0","0","0","0"
"OO","12/01/2023","3179","N614SK","DFW","12:46","12:55","110","101","9","13:08","13","0","0","0","0","0"
"OO","12/01/2023","3187","N607SK","DFW","16:33","16:23","110","97","-10","16:35","12","0","0","0","0","0"
"OO","12/01/2023","3191","N613SK","PHX","18:49","18:39","86","81","-10","18:51","12","0","0","0","0","0"
"OO","12/01/2023","6348","N614SK","DFW","06:21","06:26","118","149","5","07:30","64","5","0","31","0","0"
"OO","12/02/2021","2986","N752EV","DFW","07:01","06:51","109","106","-10","07:08","17","0","0","0","0","0"
"OO","12/02/2021","2995","N745SK","PHX","15:10","15:10","85","79","0","15:27","17","0","0","0","0","0"
"OO","12/02/2021","3133","N718EV","DFW","14:08","14:01","96","100","-7","14:13","12","0","0","0","0","0"
"OO","12/02/2021","3187","N872DC","DFW","16:50","16:47","101","104","-3","16:59","12","0","0","0","0","0"
"OO","12/02/2022","3062","N732SK","DFW","10:20","10:10","104","90","-10","10:19","9","0","0","0","0","0"
"OO","12/02/2022","3127","N719SK","DFW","06:27","06:17","110","97","-10","06:32","15","0","0","0","0","0"
"OO","12/02/2022","3237","N705SK","DFW","16:35","16:24","104","87","-11","16:33","9","0","0","0","0","0"
"OO","12/02/2022","3242","N724EV","PHX","19:15","19:07","85","87","-8","19:19","12","0","0","0","0","0"
"OO","12/02/2022","4977","N715SK","PHX","11:21","11:18","84","85","-3","11:31","13","0","0","0","0","0"
"OO","12/02/2023","3179","N614SK","DFW","12:46","12:45","110","89","-1","12:55","10","0","0","0","0","0"
"OO","12/02/2023","3187","N609SK","DFW","16:33","16:53","110","94","20","17:07","14","0","0","0","0","0"
"OO","12/02/2023","3191","N764SK","PHX","18:49","18:41","86","93","-8","19:00","19","0","0","0","0","0"
"OO","12/02/2023","6348","N705SK","DFW","06:21","06:19","118","139","-2","07:04","45","0","0","19","0","0"
"OO","12/03/2021","2986","N730EV","DFW","07:01","06:54","109","105","-7","07:08","14","0","0","0","0","0"
"OO","12/03/2021","2995","N754EV","PHX","15:10","15:04","85","77","-6","15:20","16","0","0","0","0","0"
"OO","12/03/2021","3133","N751EV","DFW","14:08","14:06","96","97","-2","14:22","16","0","0","0","0","0"
"OO","12/03/2021","3187","N722EV","DFW","16:50","16:40","101","97","-10","16:53","13","0","0","0","0","0"
"OO","12/03/2022","3062","N702SK","DFW","10:20","10:12","104","102","-8","10:26","14","0","0","0","0","0"
"OO","12/03/2022","3127","N713EV","DFW","06:27","06:14","110","106","-13","06:27","13","0","0","0","0","0"
"OO","12/03/2022","3237","N740SK","DFW","16:35","16:23","104","93","-12","16:33","10","0","0","0","0","0"
"OO","12/03/2022","3242","N709EV","PHX","19:15","19:06","85","111","-9","19:39","33","17","0","0","0","0"
"OO","12/03/2022","4977","N613SK","PHX","11:19","11:14","85","89","-5","11:27","13","0","0","0","0","0"
"OO","12/03/2023","3179","N607SK","DFW","12:46","13:03","110","98","17","13:21","18","0","0","0","0","0"
"OO","12/03/2023","3187","N772SK","DFW","16:33","16:23","110","91","-10","16:35","12","0","0","0","0","0"
"OO","12/03/2023","3191","N756SK","PHX","18:49","18:39","86","79","-10","18:51","12","0","0","0","0","0"
"OO","12/03/2023","6348","N724EV","DFW","06:21","06:10","118","122","-11","06:47","37","0","0","0","0","0"
"OO","12/04/2021","2986","N656CA","DFW","07:01","06:53","109","96","-8","07:07","14","0","0","0","0","0"
"OO","12/04/2021","2995","N751EV","PHX","15:10","15:01","85","75","-9","15:12","11","0","0","0","0","0"
"OO","12/04/2021","3133","N728SK","DFW","14:08","13:52","96","93","-16","14:05","13","0","0","0","0","0"
"OO","12/04/2021","3187","N656CA","DFW","16:50","16:46","101","96","-4","16:56","10","0","0","0","0","0"
"OO","12/04/2022","3070","N703SK","DFW","10:20","12:36","104","89","136","12:48","12","0","0","0","0","121"
"OO","12/04/2022","3127","N614SK","DFW","06:27","06:18","110","88","-9","06:31","13","0","0","0","0","0"
"OO","12/04/2022","3237","N771SK","DFW","16:35","16:24","104","88","-11","16:35","11","0","0","0","0","0"
"OO","12/04/2022","3242","N708SK","PHX","19:15","00:00","85","0","0","00:00","0","0","0","0","0","0"
"OO","12/04/2022","4977","N770SK","PHX","11:21","11:13","84","89","-8","11:29","16","0","0","0","0","0"
"OO","12/04/2023","3179","N720EV","DFW","12:46","12:39","110","105","-7","12:54","15","0","0","0","0","0"
