Detailed Statistics Departures  
Origin Airport: Santa Rosa, CA: Charles M. Schulz - Sonoma County (STS)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2022","0271","N611AS","SEA","15:50","16:11","120","105","21","16:26","15","0","0","0","0","0"
"AS","12/01/2023","1107","N568AS","SEA","14:57","14:54","120","144","-3","15:23","29","0","0","21","0","0"
"AS","12/02/2022","0271","N613AS","SEA","15:50","15:43","120","110","-7","16:01","18","0","0","0","0","0"
"AS","12/02/2023","1107","N528AS","SEA","14:57","14:35","120","125","-22","14:50","15","0","0","0","0","0"
"AS","12/03/2022","0271","N614AS","SEA","15:50","17:50","120","100","120","18:05","15","0","0","0","0","100"
"AS","12/03/2023","1107","N525AS","SEA","14:57","14:49","120","114","-8","15:04","15","0","0","0","0","0"
"AS","12/04/2022","0271","N618AS","SEA","15:50","16:39","120","113","49","16:56","17","0","0","0","0","42"
"AS","12/04/2023","1107","N569AS","SEA","14:57","14:47","120","119","-10","14:59","12","0","0","0","0","0"
"AS","12/05/2022","0271","N613AS","SEA","15:50","15:48","120","110","-2","16:00","12","0","0","0","0","0"
"AS","12/05/2023","1107","N556AS","SEA","14:57","14:45","120","116","-12","15:08","23","0","0","0","0","0"
"AS","12/06/2022","0271","N607AS","SEA","15:50","15:43","120","115","-7","16:02","19","0","0","0","0","0"
"AS","12/06/2023","1107","N613AS","SEA","14:57","14:44","120","113","-13","15:07","23","0","0","0","0","0"
"AS","12/07/2022","0271","N614AS","SEA","15:50","15:48","120","113","-2","16:02","14","0","0","0","0","0"
"AS","12/07/2023","1107","N536AS","SEA","14:57","14:49","120","111","-8","14:59","10","0","0","0","0","0"
"AS","12/08/2022","0271","N622AS","SEA","15:50","15:42","120","119","-8","16:00","18","0","0","0","0","0"
"AS","12/08/2023","1107","N513AS","SEA","14:57","14:52","120","125","-5","15:05","13","0","0","0","0","0"
"AS","12/09/2022","0271","N612AS","SEA","15:50","15:45","120","105","-5","15:54","9","0","0","0","0","0"
"AS","12/09/2023","1107","N593AS","SEA","14:57","14:37","120","118","-20","14:51","14","0","0","0","0","0"
"AS","12/10/2022","0271","N618AS","SEA","15:50","15:37","120","104","-13","15:50","13","0","0","0","0","0"
"AS","12/10/2023","1107","N538AS","SEA","14:57","14:49","120","126","-8","15:12","23","0","0","0","0","0"
"AS","12/11/2022","0271","N619AS","SEA","15:50","16:00","120","147","10","16:44","44","0","0","27","0","10"
"AS","12/11/2023","1107","N548AS","SEA","14:57","15:05","120","121","8","15:21","16","0","0","0","0","0"
"AS","12/12/2022","0271","N618AS","SEA","15:50","15:52","120","122","2","16:07","15","0","0","0","0","0"
"AS","12/12/2023","1107","N513AS","SEA","14:57","00:00","120","0","0","00:00","0","0","0","0","0","0"
"AS","12/13/2022","0271","N472AS","SEA","15:50","17:24","120","112","94","17:38","14","0","0","0","0","86"
"AS","12/13/2023","1107","N563AS","SEA","14:57","15:10","120","107","13","15:21","11","0","0","0","0","0"
"AS","12/14/2022","0271","N644AS","SEA","15:50","15:51","120","114","1","16:07","16","0","0","0","0","0"
"AS","12/14/2023","1107","N594AS","SEA","14:54","14:44","120","127","-10","15:00","16","0","0","0","0","0"
"AS","12/15/2022","0433","N570AS","SEA","14:40","14:37","120","117","-3","14:48","11","0","0","0","0","0"
"AS","12/15/2023","1107","N530AS","SEA","14:54","15:10","120","108","16","15:25","15","0","0","0","0","0"
"AS","12/16/2022","0433","N526AS","SEA","14:40","14:45","120","113","5","15:04","19","0","0","0","0","0"
"AS","12/16/2023","1107","N563AS","SEA","14:54","14:47","120","112","-7","15:08","21","0","0","0","0","0"
"AS","12/17/2022","0433","N538AS","SEA","14:15","14:31","120","114","16","14:46","15","0","0","0","0","0"
"AS","12/17/2023","1107","N535AS","SEA","14:54","15:31","120","107","37","15:51","20","0","0","0","0","24"
"AS","12/18/2022","0433","N559AS","SEA","14:45","14:47","120","127","2","14:59","12","0","0","0","0","0"
"AS","12/18/2023","1107","N560AS","SEA","14:54","15:00","120","112","6","15:13","13","0","0","0","0","0"
"AS","12/19/2022","0433","N552AS","SEA","14:40","14:44","120","114","4","14:58","14","0","0","0","0","0"
"AS","12/19/2023","1107","N565AS","SEA","14:54","15:04","120","128","10","15:31","27","10","0","8","0","0"
"AS","12/20/2022","0433","N524AS","SEA","14:40","16:13","120","120","93","16:23","10","0","0","0","0","93"
"AS","12/20/2023","1107","N478AS","SEA","14:54","15:12","120","129","18","15:41","29","0","0","9","0","18"
"AS","12/21/2022","0433","N556AS","SEA","14:40","00:00","120","0","0","00:00","0","0","0","0","0","0"
"AS","12/21/2023","1107","N263AK","SEA","15:02","16:09","120","113","67","16:22","13","0","0","0","0","60"
"AS","12/22/2022","0433","N587AS","SEA","14:40","14:57","120","122","17","15:16","19","0","0","2","0","17"
"AS","12/22/2023","1107","N549AS","SEA","14:54","14:49","120","128","-5","15:11","22","0","0","0","0","0"
"AS","12/23/2022","0433","N514AS","SEA","14:40","00:00","120","0","0","00:00","0","0","0","0","0","0"
"AS","12/23/2023","1107","N581AS","SEA","14:54","14:49","120","122","-5","15:07","18","0","0","0","0","0"
"AS","12/24/2022","0433","N553AS","SEA","14:15","14:54","120","108","39","15:06","12","0","0","0","0","27"
"AS","12/24/2023","1107","N523AS","SEA","14:54","14:48","120","121","-6","14:57","9","0","0","0","0","0"
"AS","12/25/2022","0433","N588AS","SEA","14:45","15:14","120","107","29","15:29","15","0","0","0","0","16"
"AS","12/25/2023","1107","N525AS","SEA","14:54","14:47","120","120","-7","14:57","10","0","0","0","0","0"
"AS","12/26/2022","0433","N520AS","SEA","14:40","16:32","120","124","112","17:00","28","43","0","4","0","69"
"AS","12/26/2023","1107","N272AK","SEA","14:54","15:03","120","112","9","15:18","15","0","0","0","0","0"
"AS","12/27/2022","0433","N568AS","SEA","14:40","14:59","120","114","19","15:14","15","0","0","0","0","0"
"AS","12/27/2023","1107","N513AS","SEA","14:54","15:15","120","108","21","15:29","14","0","0","0","0","0"
"AS","12/28/2022","0433","N577AS","SEA","14:40","15:21","120","122","41","15:35","14","6","0","2","0","35"
"AS","12/28/2023","1107","N513AS","SEA","14:54","15:44","120","106","50","15:59","15","0","0","0","0","36"
"AS","12/29/2022","0433","N520AS","SEA","14:40","14:37","120","124","-3","14:53","16","0","0","0","0","0"
"AS","12/29/2023","1107","N525AS","SEA","14:54","17:36","120","114","162","17:55","19","0","0","2","0","154"
"AS","12/30/2022","0433","N556AS","SEA","14:40","14:49","120","113","9","15:05","16","0","0","0","0","0"
"AS","12/30/2023","1107","N514AS","SEA","14:54","14:48","120","115","-6","15:04","16","0","0","0","0","0"
"AS","12/31/2022","0433","N560AS","SEA","14:15","14:22","120","105","7","14:34","12","0","0","0","0","0"
"AS","12/31/2023","1107","N534AS","SEA","14:54","14:40","120","115","-14","15:00","20","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
