Detailed Statistics Departures  
Origin Airport: Santa Rosa, CA: Charles M. Schulz - Sonoma County (STS)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2023","3393","N224NN","DFW","13:35","13:25","213","214","-10","13:45","20","0","0","0","0","0"
"MQ","12/01/2023","3709","N269NN","PHX","12:50","12:41","123","114","-9","12:54","13","0","0","0","0","0"
"MQ","12/02/2023","3393","N269NN","DFW","13:35","13:56","213","200","21","14:14","18","0","0","0","0","0"
"MQ","12/02/2023","3709","N253NN","PHX","12:50","13:16","123","121","26","13:32","16","0","0","0","0","24"
"MQ","12/03/2023","3393","N302RN","DFW","13:35","13:25","213","200","-10","13:34","9","0","0","0","0","0"
"MQ","12/03/2023","3709","N204NN","PHX","12:50","12:40","123","117","-10","12:50","10","0","0","0","0","0"
"MQ","12/04/2023","3393","N229NN","DFW","13:35","13:32","213","219","-3","13:56","24","0","0","0","0","0"
"MQ","12/04/2023","3709","N204NN","PHX","12:50","12:48","123","118","-2","12:58","10","0","0","0","0","0"
"MQ","12/15/2022","3977","N279MQ","DFW","13:51","14:15","206","203","24","14:33","18","0","0","0","0","21"
"MQ","12/16/2022","3977","N213NN","DFW","13:51","13:44","206","215","-7","14:03","19","0","0","0","0","0"
"MQ","12/17/2022","3977","N270NN","DFW","13:51","13:44","206","199","-7","13:57","13","0","0","0","0","0"
"MQ","12/18/2022","3977","N258NN","DFW","13:51","13:48","206","217","-3","14:07","19","0","0","0","0","0"
"MQ","12/19/2022","3977","N243NN","DFW","13:51","13:42","206","205","-9","13:58","16","0","0","0","0","0"
"MQ","12/20/2022","3977","N240NN","DFW","13:51","13:50","206","199","-1","14:10","20","0","0","0","0","0"
"MQ","12/21/2022","3977","N278NN","DFW","13:51","13:57","206","204","6","14:10","13","0","0","0","0","0"
"MQ","12/22/2022","3977","N280NN","DFW","13:51","19:16","206","194","325","19:28","12","1","0","0","0","312"
"MQ","12/23/2022","3977","N282NN","DFW","13:51","14:29","206","222","38","14:45","16","2","0","16","0","36"
"MQ","12/24/2022","3977","N286NN","DFW","12:48","12:47","206","209","-1","12:59","12","0","0","0","0","0"
"MQ","12/25/2022","3977","N209NN","DFW","12:48","12:39","206","213","-9","12:51","12","0","0","0","0","0"
"MQ","12/26/2022","3977","N243NN","DFW","13:51","13:48","206","247","-3","14:36","48","0","0","38","0","0"
"MQ","12/27/2022","3977","N235NN","DFW","13:51","13:41","206","198","-10","13:53","12","0","0","0","0","0"
"MQ","12/28/2022","3977","N202NN","DFW","13:51","13:43","206","204","-8","13:56","13","0","0","0","0","0"
"MQ","12/29/2022","3977","N206NN","DFW","13:51","13:43","206","219","-8","14:09","26","0","0","0","0","0"
"MQ","12/30/2022","3977","N203NN","DFW","13:51","14:05","206","185","14","14:17","12","0","0","0","0","0"
"MQ","12/31/2022","3977","N289MW","DFW","12:48","12:59","206","190","11","13:10","11","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
