Detailed Statistics Departures  
Origin Airport: Santa Rosa, CA: Charles M. Schulz - Sonoma County (STS)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3210","N614QX","PHX","12:34","13:02","121","130","28","13:17","15","0","0","0","0","37"
"OO","12/01/2021","3311","N179SY","LAX","07:00","06:50","95","95","-10","07:05","15","0","0","0","0","0"
"OO","12/01/2021","3337","N400SY","LAX","17:35","17:32","95","105","-3","17:46","14","0","0","0","0","0"
"OO","12/01/2021","3407","N196SY","BUR","16:25","16:15","84","84","-10","16:30","15","0","0","0","0","0"
"OO","12/01/2021","3467","N189SY","PDX","10:20","10:12","93","85","-8","10:20","8","0","0","0","0","0"
"OO","12/01/2021","5743","N259PS","SFO","07:00","06:51","51","48","-9","07:06","15","0","0","0","0","0"
"OO","12/01/2022","3345","N170SY","SAN","07:35","07:50","89","107","15","08:06","16","33","0","0","0","0"
"OO","12/01/2022","3374","N430SY","SNA","08:35","09:16","88","90","41","09:26","10","43","0","0","0","0"
"OO","12/01/2022","3401","N414SY","BUR","12:40","12:30","77","75","-10","12:43","13","0","0","0","0","0"
"OO","12/01/2022","3419","N430SY","PDX","13:55","13:51","92","85","-4","14:01","10","0","0","0","0","0"
"OO","12/01/2022","3449","N197SY","LAX","11:10","11:36","98","103","26","12:01","25","0","0","0","0","31"
"OO","12/01/2023","3331","N404SY","LAX","17:35","17:40","98","104","5","18:07","27","0","0","0","0","0"
"OO","12/01/2023","3336","N404SY","SAN","12:05","11:55","99","116","-10","12:11","16","0","0","0","0","0"
"OO","12/01/2023","3345","N413SY","LAX","13:20","13:13","98","82","-7","13:27","14","0","0","0","0","0"
"OO","12/01/2023","3374","N410SY","SAN","08:15","08:42","99","84","27","08:56","14","0","0","0","0","0"
"OO","12/01/2023","3395","N185SY","SNA","14:01","13:59","99","92","-2","14:15","16","0","0","0","0","0"
"OO","12/01/2023","3461","N410SY","BUR","13:05","13:21","79","76","16","13:38","17","0","0","0","0","0"
"OO","12/01/2023","4854","N716SK","PHX","16:22","16:33","122","108","11","16:43","10","0","0","0","0","0"
"OO","12/02/2021","3210","N614QX","PHX","12:34","12:26","121","120","-8","12:37","11","0","0","0","0","0"
"OO","12/02/2021","3311","N400SY","LAX","07:00","06:53","95","105","-7","07:04","11","0","0","0","0","0"
"OO","12/02/2021","3337","N404SY","LAX","17:35","17:32","95","103","-3","17:44","12","0","0","0","0","0"
"OO","12/02/2021","3393","N196SY","PDX","10:20","10:17","93","87","-3","10:28","11","0","0","0","0","0"
"OO","12/02/2021","3407","N194SY","BUR","16:25","16:20","84","75","-5","16:29","9","0","0","0","0","0"
"OO","12/02/2021","5743","N947SW","SFO","07:00","00:00","51","0","0","00:00","0","0","0","0","0","0"
"OO","12/02/2022","3340","N430SY","LAX","18:40","18:39","98","93","-1","18:55","16","0","0","0","0","0"
"OO","12/02/2022","3345","N414SY","SAN","07:35","07:33","89","113","-2","08:06","33","22","0","0","0","0"
"OO","12/02/2022","3374","N430SY","SNA","08:35","08:29","88","109","-6","09:07","38","15","0","0","0","0"
"OO","12/02/2022","3401","N188SY","BUR","12:40","12:35","77","80","-5","12:51","16","0","0","0","0","0"
"OO","12/02/2022","3419","N430SY","PDX","13:55","13:48","92","88","-7","14:02","14","0","0","0","0","0"
"OO","12/02/2022","3449","N193SY","LAX","11:10","11:09","98","100","-1","11:33","24","0","0","0","0","0"
"OO","12/02/2023","3331","N195SY","LAX","17:35","17:26","98","92","-9","17:46","20","0","0","0","0","0"
"OO","12/02/2023","3336","N195SY","SAN","12:05","11:59","99","106","-6","12:27","28","0","0","0","0","0"
"OO","12/02/2023","3345","N405SY","LAX","13:20","13:14","98","83","-6","13:30","16","0","0","0","0","0"
"OO","12/02/2023","3395","N185SY","SNA","14:01","13:57","99","90","-4","14:14","17","0","0","0","0","0"
"OO","12/02/2023","4854","N744SK","PHX","16:22","16:58","122","118","36","17:17","19","32","0","0","0","0"
"OO","12/03/2021","3210","N765SK","PHX","12:34","12:26","121","128","-8","12:47","21","0","0","0","0","0"
