Detailed Statistics Departures  
Origin Airport: Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","2589","231NV","SYR","08:01","07:55","166","180","-6","08:07","12","0","0","0","0","0"
"G4","12/01/2022","0224","261NV","AVL","17:15","17:10","101","102","-5","17:24","14","0","0","0","0","0"
"G4","12/01/2022","0415","295NV","CVG","09:59","10:20","138","130","21","10:29","9","0","0","0","0","0"
"G4","12/01/2022","1140","326NV","PIT","10:29","10:19","142","150","-10","10:33","14","0","0","0","0","0"
"G4","12/01/2022","1356","280NV","RFD","14:34","14:18","168","171","-16","14:28","10","0","0","0","0","0"
"G4","12/01/2022","1358","297NV","CAK","08:31","08:21","153","167","-10","08:31","10","0","0","0","0","0"
"G4","12/01/2022","2982","297NV","IAD","15:17","15:06","139","141","-11","15:22","16","0","0","0","0","0"
"G4","12/01/2022","3000","292NV","MSP","12:44","12:34","217","212","-10","12:45","11","0","0","0","0","0"
"G4","12/01/2022","3008","280NV","LCK","08:01","07:52","138","137","-9","08:05","13","0","0","0","0","0"
"G4","12/01/2022","3011","296NV","PIA","09:01","08:49","162","162","-12","09:02","13","0","0","0","0","0"
"G4","12/01/2022","3045","204NV","TYS","20:57","20:49","106","101","-8","21:04","15","0","0","0","0","0"
"G4","12/01/2022","3177","249NV","FNT","11:35","11:22","169","174","-13","11:37","15","0","0","0","0","0"
"G4","12/01/2023","1952","254NV","BNA","12:43","13:41","121","121","58","13:54","13","0","0","0","0","58"
"G4","12/01/2023","2237","256NV","IND","11:44","11:40","147","148","-4","11:57","17","0","0","0","0","0"
"G4","12/01/2023","2986","202NV","FWA","10:30","10:23","153","150","-7","10:39","16","0","0","0","0","0"
"G4","12/01/2023","3002","204NV","ATW","08:30","08:26","183","178","-4","08:40","14","0","0","0","0","0"
"G4","12/01/2023","3014","278NV","BOS","06:31","06:19","192","175","-12","06:29","10","0","0","0","0","0"
"G4","12/01/2023","3015","240NV","SBN","11:00","11:01","158","151","1","11:14","13","0","0","0","0","0"
"G4","12/02/2021","0779","258NV","CVG","15:08","15:15","133","141","7","15:31","16","7","0","8","0","0"
"G4","12/02/2021","0864","257NV","DSM","19:35","19:18","180","170","-17","19:31","13","0","0","0","0","0"
"G4","12/02/2021","2528","219NV","FNT","17:13","17:02","166","173","-11","17:15","13","0","0","0","0","0"
"G4","12/02/2021","2552","287NV","LCK","11:47","11:43","136","137","-4","11:52","9","0","0","0","0","0"
"G4","12/02/2021","2553","287NV","PIA","17:51","17:48","151","156","-3","18:00","12","0","0","0","0","0"
"G4","12/02/2021","2559","231NV","AVL","14:28","14:31","98","113","3","14:47","16","3","0","15","0","0"
"G4","12/02/2021","2564","219NV","TYS","12:17","12:02","100","95","-15","12:13","11","0","0","0","0","0"
"G4","12/02/2021","2580","287NV","SDF","06:01","05:51","130","139","-10","06:02","11","0","0","0","0","0"
"G4","12/02/2021","2591","231NV","RFD","07:31","07:14","165","182","-17","07:22","8","0","0","0","0","0"
"G4","12/02/2022","1356","292NV","BOS","08:01","07:49","187","190","-12","08:02","13","0","0","0","0","0"
"G4","12/02/2022","1581","277NV","ATW","15:20","15:17","190","190","-3","15:30","13","0","0","0","0","0"
"G4","12/02/2022","2985","297NV","BWI","09:31","09:27","143","148","-4","09:43","16","0","0","0","0","0"
"G4","12/02/2022","3002","296NV","IND","08:31","08:20","144","149","-11","08:31","11","0","0","0","0","0"
"G4","12/02/2022","3010","280NV","FWA","07:30","07:24","151","172","-6","07:49","25","0","0","15","0","0"
"G4","12/02/2022","3013","280NV","SBN","14:20","15:47","155","167","87","16:03","16","43","0","12","0","44"
"G4","12/02/2023","0199","240NV","ABE","13:46","13:35","160","159","-11","13:55","20","0","0","0","0","0"
"G4","12/02/2023","0468","276NV","DSM","14:47","14:41","187","189","-6","14:59","18","0","0","0","0","0"
"G4","12/02/2023","0561","211NV","GRR","15:45","15:41","166","152","-4","15:55","14","0","0","0","0","0"
"G4","12/02/2023","1393","204NV","SYR","10:00","09:52","169","156","-8","10:05","13","0","0","0","0","0"
"G4","12/02/2023","3012","278NV","MDT","12:00","11:53","148","132","-7","12:08","15","0","0","0","0","0"
"G4","12/03/2021","0636","322NV","BNA","10:52","10:35","116","115","-17","10:47","12","0","0","0","0","0"
"G4","12/03/2021","1002","285NV","GRR","18:27","18:28","163","164","1","18:42","14","0","0","0","0","0"
"G4","12/03/2021","1107","223NV","IND","11:40","11:31","140","140","-9","11:45","14","0","0","0","0","0"
"G4","12/03/2021","2132","326NV","PIT","13:56","13:47","140","141","-9","14:01","14","0","0","0","0","0"
"G4","12/03/2021","2521","219NV","BLV","06:01","05:49","146","157","-12","06:14","25","0","0","0","0","0"
"G4","12/03/2021","2530","231NV","BWI","12:11","14:53","135","146","162","15:07","14","82","0","11","0","80"
"G4","12/03/2021","2560","287NV","SBN","14:45","15:29","158","149","44","15:43","14","0","0","35","0","0"
"G4","12/03/2021","2575","224NV","CID","13:26","15:57","177","174","151","16:20","23","148","0","0","0","0"
"G4","12/03/2021","2593","231NV","FWA","07:01","07:05","147","214","4","08:30","85","0","0","71","0","0"
"G4","12/03/2021","2600","287NV","BOS","06:31","06:30","184","179","-1","06:41","11","0","0","0","0","0"
"G4","12/03/2022","0204","232NV","ABE","11:30","11:20","157","167","-10","11:35","15","0","0","0","0","0"
"G4","12/03/2022","0474","205NV","DSM","13:59","15:10","182","191","71","15:20","10","54","0","9","0","17"
"G4","12/03/2022","1386","296NV","SYR","09:31","09:29","169","176","-2","09:44","15","0","0","0","0","0"
"G4","12/03/2022","2185","272NV","GRR","13:03","12:38","165","180","-25","12:57","19","0","0","0","0","0"
