Detailed Statistics Departures  
Origin Airport: Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","1443","N939NN","CLT","19:32","19:47","116","113","15","20:00","13","0","0","0","0","0"
"AA","12/01/2021","1477","N803AW","CLT","06:10","06:02","116","106","-8","06:19","17","0","0","0","0","0"
"AA","12/01/2021","1959","N837NN","CLT","13:43","13:45","116","116","2","14:00","15","0","0","0","0","0"
"AA","12/01/2022","0574","N701UW","DCA","11:44","11:37","135","142","-7","11:54","17","0","0","0","0","0"
"AA","12/01/2022","0656","N301PA","CLT","08:30","08:21","109","111","-9","08:35","14","0","0","0","0","0"
"AA","12/01/2022","1354","N921AN","CLT","13:38","13:26","109","110","-12","13:42","16","0","0","0","0","0"
"AA","12/01/2022","1959","N972AN","CLT","11:47","11:37","109","112","-10","12:00","23","0","0","0","0","0"
"AA","12/01/2022","1969","N680AW","ORD","15:45","17:46","181","171","121","18:00","14","0","0","0","0","111"
"AA","12/01/2022","1974","N667AW","CLT","16:39","16:27","109","104","-12","16:40","13","0","0","0","0","0"
"AA","12/01/2022","1975","N656AW","CLT","19:45","19:58","109","105","13","20:12","14","0","0","0","0","0"
"AA","12/01/2022","2679","N659AW","DFW","17:24","17:17","175","173","-7","17:31","14","0","0","0","0","0"
"AA","12/01/2023","1477","N757UW","CLT","08:26","08:16","111","109","-10","08:26","10","0","0","0","0","0"
"AA","12/01/2023","2264","N819AW","CLT","09:44","09:42","112","109","-2","09:56","14","0","0","0","0","0"
"AA","12/01/2023","2439","N665AW","CLT","17:45","17:37","111","113","-8","17:47","10","0","0","0","0","0"
"AA","12/01/2023","2472","N128UW","PHL","15:09","14:59","149","160","-10","15:15","16","0","0","0","0","0"
"AA","12/01/2023","2473","N703UW","DCA","12:12","12:34","141","151","22","12:55","21","0","0","10","0","22"
"AA","12/01/2023","2475","N104UW","CLT","11:28","11:20","111","111","-8","11:34","14","0","0","0","0","0"
"AA","12/01/2023","2559","N121UW","CLT","13:57","14:13","111","134","16","14:45","32","0","0","23","0","16"
"AA","12/01/2023","2679","N105UW","DFW","16:48","19:48","179","187","180","19:58","10","0","0","8","0","180"
"AA","12/02/2021","1443","N942NN","CLT","19:32","19:23","116","110","-9","19:38","15","0","0","0","0","0"
"AA","12/02/2021","1477","N519UW","CLT","06:10","06:16","116","111","6","06:29","13","0","0","0","0","0"
"AA","12/02/2021","1959","N800NN","CLT","13:43","13:32","116","109","-11","13:48","16","0","0","0","0","0"
"AA","12/02/2022","0574","N816AW","DCA","11:44","11:40","135","145","-4","11:53","13","0","0","0","0","0"
"AA","12/02/2022","0656","N922AN","CLT","08:30","08:23","109","123","-7","08:40","17","0","0","0","0","0"
"AA","12/02/2022","1354","N880NN","CLT","13:38","13:24","109","121","-14","13:42","18","0","0","0","0","0"
"AA","12/02/2022","1959","N957NN","CLT","11:47","11:32","109","123","-15","11:49","17","0","0","0","0","0"
"AA","12/02/2022","1969","N835AW","ORD","15:45","15:35","181","173","-10","15:48","13","0","0","0","0","0"
"AA","12/02/2022","1974","N656AW","CLT","16:39","16:29","109","110","-10","16:40","11","0","0","0","0","0"
"AA","12/02/2022","1975","N601AW","CLT","19:45","19:32","109","114","-13","19:44","12","0","0","0","0","0"
"AA","12/02/2022","2679","N109UW","DFW","17:24","17:18","175","177","-6","17:37","19","0","0","0","0","0"
"AA","12/02/2023","1477","N819AW","CLT","08:26","09:19","111","96","53","09:31","12","38","0","0","0","0"
"AA","12/02/2023","2264","N814AW","CLT","09:44","09:33","112","104","-11","09:47","14","0","0","0","0","0"
"AA","12/02/2023","2439","N665AW","CLT","17:49","17:42","111","128","-7","18:00","18","0","0","0","0","0"
"AA","12/02/2023","2472","N737US","PHL","15:00","14:48","149","149","-12","15:03","15","0","0","0","0","0"
"AA","12/02/2023","2473","N703UW","DCA","12:12","12:24","141","128","12","12:42","18","0","0","0","0","0"
"AA","12/02/2023","2475","N818AW","CLT","11:28","12:27","111","104","59","12:45","18","44","0","0","0","8"
"AA","12/02/2023","2559","N647AW","CLT","13:37","13:34","111","113","-3","13:49","15","0","0","0","0","0"
"AA","12/02/2023","2679","N103US","DFW","16:54","16:51","179","195","-3","17:22","31","0","0","0","0","0"
"AA","12/03/2021","1443","N937NN","CLT","19:32","19:22","116","117","-10","19:36","14","0","0","0","0","0"
"AA","12/03/2021","1477","N552UW","CLT","06:10","05:59","116","101","-11","06:12","13","0","0","0","0","0"
"AA","12/03/2021","1959","N905NN","CLT","13:43","13:37","116","112","-6","13:52","15","0","0","0","0","0"
"AA","12/03/2022","0574","N775XF","DCA","11:44","11:30","135","146","-14","11:49","19","0","0","0","0","0"
"AA","12/03/2022","0656","N986NN","CLT","08:15","08:12","109","112","-3","08:25","13","0","0","0","0","0"
"AA","12/03/2022","1354","N969AN","CLT","13:38","13:29","109","118","-9","13:42","13","0","0","0","0","0"
"AA","12/03/2022","1959","N664AW","CLT","11:47","11:48","109","114","1","12:01","13","0","0","0","0","0"
"AA","12/03/2022","1969","N806AW","ORD","15:45","15:33","181","178","-12","15:44","11","0","0","0","0","0"
"AA","12/03/2022","1974","N668AW","CLT","15:47","15:38","109","113","-9","15:53","15","0","0","0","0","0"
"AA","12/03/2022","1975","N669AW","CLT","19:45","20:49","109","123","64","21:03","14","0","0","14","0","64"
"AA","12/03/2022","2679","N673AW","DFW","17:24","18:43","175","157","79","18:53","10","17","0","0","0","44"
"AA","12/03/2023","1443","N102UW","CLT","19:40","20:07","111","97","27","20:19","12","0","0","0","0","0"
"AA","12/03/2023","1477","N725UW","CLT","08:26","08:23","111","113","-3","08:37","14","0","0","0","0","0"
"AA","12/03/2023","2264","N715UW","CLT","09:44","10:30","112","111","46","10:39","9","0","0","0","0","45"
"AA","12/03/2023","2439","N128UW","CLT","17:45","17:39","111","104","-6","17:50","11","0","0","0","0","0"
"AA","12/03/2023","2472","N104UW","PHL","15:09","15:45","149","140","36","15:58","13","0","0","0","0","27"
"AA","12/03/2023","2473","N750UW","DCA","12:10","12:20","141","124","10","12:35","15","0","0","0","0","0"
"AA","12/03/2023","2475","N647AW","CLT","11:28","11:45","111","108","17","12:00","15","0","0","0","0","0"
"AA","12/03/2023","2559","N102UW","CLT","14:04","14:34","111","108","30","14:56","22","3","0","0","0","24"
"AA","12/03/2023","2679","N604AW","DFW","16:48","16:44","179","186","-4","16:57","13","0","0","0","0","0"
"AA","12/04/2021","1477","N190UW","CLT","07:19","07:06","116","93","-13","07:17","11","0","0","0","0","0"
"AA","12/04/2021","1959","N708UW","CLT","13:29","13:29","115","92","0","13:38","9","0","0","0","0","0"
"AA","12/04/2021","2745","N825AW","DCA","12:05","11:55","136","128","-10","12:06","11","0","0","0","0","0"
"AA","12/04/2022","0574","N820AW","DCA","11:45","11:32","135","128","-13","11:43","11","0","0","0","0","0"
"AA","12/04/2022","0656","N980NN","CLT","08:30","08:24","109","101","-6","08:33","9","0","0","0","0","0"
"AA","12/04/2022","1354","N910NN","CLT","13:38","13:39","109","112","1","13:57","18","0","0","0","0","0"
"AA","12/04/2022","1959","N937AN","CLT","11:47","11:43","109","98","-4","11:54","11","0","0","0","0","0"
"AA","12/04/2022","1969","N818AW","ORD","15:45","15:35","181","179","-10","15:47","12","0","0","0","0","0"
"AA","12/04/2022","1974","N652AW","CLT","16:39","16:34","109","102","-5","16:47","13","0","0","0","0","0"
"AA","12/04/2022","1975","N749US","CLT","19:45","19:46","109","103","1","19:58","12","0","0","0","0","0"
"AA","12/04/2022","2679","N604AW","DFW","17:24","17:19","175","186","-5","17:39","20","0","0","0","0","0"
"AA","12/04/2023","1443","N104UW","CLT","19:40","19:26","111","94","-14","19:35","9","0","0","0","0","0"
"AA","12/04/2023","1477","N741UW","CLT","08:26","08:19","111","124","-7","08:47","28","0","0","0","0","0"
"AA","12/04/2023","1602","N824AW","PHL","15:09","14:59","149","156","-10","15:16","17","0","0","0","0","0"
"AA","12/04/2023","2264","N813AW","CLT","09:44","10:49","112","94","65","11:05","16","0","0","0","0","47"
"AA","12/04/2023","2439","N655AW","CLT","17:45","17:37","111","105","-8","17:52","15","0","0","0","0","0"
"AA","12/04/2023","2473","N774XF","DCA","12:13","16:19","140","132","246","16:36","17","35","0","0","0","203"
"AA","12/04/2023","2475","N679AW","CLT","11:28","11:21","111","93","-7","11:32","11","0","0","0","0","0"
"AA","12/04/2023","2559","N104UW","CLT","14:04","14:14","111","95","10","14:22","8","0","0","0","0","0"
"AA","12/04/2023","2679","N107US","DFW","16:48","17:40","179","167","52","17:50","10","0","0","0","0","40"
"AA","12/05/2021","1443","N860NN","CLT","19:32","19:22","116","155","-10","19:45","23","0","0","29","0","0"
"AA","12/05/2021","1477","N537UW","CLT","06:10","06:14","116","100","4","06:26","12","0","0","0","0","0"
"AA","12/05/2021","1959","N979AN","CLT","13:43","13:44","116","117","1","14:08","24","0","0","0","0","0"
"AA","12/05/2022","0574","N838AW","DCA","11:45","11:40","135","140","-5","11:55","15","0","0","0","0","0"
