Detailed Statistics Departures  
Origin Airport: Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3879","N278NN","ORD","16:55","16:51","195","209","-4","17:26","35","0","0","0","0","0"
"MQ","12/01/2021","4189","N247NN","DFW","16:23","16:52","184","168","29","17:10","18","0","0","0","0","0"
"MQ","12/01/2023","3994","N771JV","DFW","13:01","13:04","187","186","3","13:17","13","0","0","0","0","0"
"MQ","12/02/2021","3879","N226NN","ORD","16:55","16:48","195","181","-7","17:01","13","0","0","0","0","0"
"MQ","12/02/2021","4189","N263NN","DFW","16:23","16:33","184","152","10","16:44","11","0","0","0","0","0"
"MQ","12/02/2023","3994","N771JV","DFW","13:12","15:24","187","182","132","15:39","15","0","0","0","0","127"
"MQ","12/03/2021","3879","N211NN","ORD","16:55","16:49","195","189","-6","17:03","14","0","0","0","0","0"
"MQ","12/03/2021","4189","N280NN","DFW","16:23","16:45","184","170","22","17:00","15","0","0","0","0","0"
"MQ","12/03/2023","3994","N771JV","DFW","13:01","15:49","187","173","168","16:03","14","2","0","0","0","152"
"MQ","12/04/2021","3879","N281NN","ORD","14:36","14:28","190","171","-8","14:41","13","0","0","0","0","0"
"MQ","12/04/2021","4189","N239NN","DFW","16:23","16:16","184","164","-7","16:25","9","0","0","0","0","0"
"MQ","12/04/2023","3994","N826MD","DFW","13:01","13:23","187","175","22","13:35","12","0","0","0","0","0"
"MQ","12/05/2021","3879","N216NN","ORD","16:55","17:08","195","177","13","17:26","18","0","0","0","0","0"
"MQ","12/05/2021","4189","N292NN","DFW","16:23","16:38","184","179","15","16:52","14","0","0","0","0","0"
"MQ","12/06/2021","3879","N209NN","ORD","16:55","16:55","195","187","0","17:12","17","0","0","0","0","0"
"MQ","12/06/2021","4189","N263NN","DFW","16:23","16:34","184","176","11","16:54","20","0","0","0","0","0"
"MQ","12/07/2021","4189","N279MQ","DFW","16:23","16:29","184","191","6","16:52","23","0","0","0","0","0"
"MQ","12/08/2021","3879","N216NN","ORD","16:55","16:49","195","202","-6","17:06","17","0","0","0","0","0"
"MQ","12/08/2021","4189","N276NN","DFW","16:23","17:14","184","189","51","17:36","22","6","0","5","0","45"
"MQ","12/09/2021","3879","N248NN","ORD","16:55","16:48","195","182","-7","17:05","17","0","0","0","0","0"
"MQ","12/09/2021","4189","N287NN","DFW","16:23","16:23","184","176","0","16:53","30","0","0","0","0","0"
"MQ","12/10/2021","3879","N218NN","ORD","16:55","16:48","195","190","-7","17:05","17","0","0","0","0","0"
"MQ","12/10/2021","4189","N286NN","DFW","16:23","16:20","184","168","-3","16:43","23","0","0","0","0","0"
"MQ","12/11/2021","3879","N229NN","ORD","14:36","14:51","190","176","15","15:07","16","0","0","0","0","0"
"MQ","12/11/2021","4189","N263NN","DFW","16:23","16:57","184","170","34","17:08","11","1","0","0","0","19"
"MQ","12/12/2021","3879","N245NN","ORD","16:55","17:41","195","205","46","17:56","15","46","0","10","0","0"
"MQ","12/12/2021","4189","N244NN","DFW","16:23","17:01","184","155","38","17:09","8","0","0","0","0","0"
"MQ","12/13/2021","3879","N237NN","ORD","16:55","17:33","195","178","38","17:46","13","1","0","0","0","20"
"MQ","12/13/2021","4189","N267NN","DFW","16:23","16:18","184","166","-5","16:27","9","0","0","0","0","0"
"MQ","12/14/2021","4189","N210NN","DFW","16:23","16:24","184","159","1","16:32","8","0","0","0","0","0"
"MQ","12/15/2021","3879","N276NN","ORD","16:55","16:49","195","182","-6","17:15","26","0","0","0","0","0"
"MQ","12/15/2021","4189","N253NN","DFW","16:23","16:37","184","183","14","16:51","14","0","0","0","0","0"
"MQ","12/16/2021","3540","N213NN","DCA","17:48","17:43","137","130","-5","17:54","11","0","0","0","0","0"
"MQ","12/17/2021","3540","N203NN","DCA","17:48","17:40","137","141","-8","17:59","19","0","0","0","0","0"
"MQ","12/18/2021","3540","N268NN","DCA","17:42","18:28","137","142","46","18:39","11","0","0","5","0","46"
"MQ","12/18/2021","4331","N218NN","AUS","17:25","17:28","165","190","3","18:06","38","0","0","25","0","3"
"MQ","12/19/2021","3540","N268NN","DCA","17:48","19:11","137","125","83","19:23","12","0","0","0","0","71"
"MQ","12/20/2021","3540","N302RN","DCA","17:48","18:12","137","155","24","18:29","17","1","0","18","0","23"
"MQ","12/21/2021","3540","N231AN","DCA","17:48","18:35","137","118","47","18:45","10","0","0","0","0","28"
"MQ","12/22/2021","3540","N232NN","DCA","17:48","17:37","137","152","-11","17:56","19","0","0","0","0","0"
"MQ","12/23/2021","3540","N270NN","DCA","17:48","18:10","137","163","22","18:24","14","0","0","26","0","22"
"MQ","12/24/2021","3879","N213NN","ORD","14:50","15:09","192","179","19","15:19","10","0","0","0","0","0"
"MQ","12/25/2021","4331","N238NN","AUS","17:25","17:17","165","144","-8","17:26","9","0","0","0","0","0"
"MQ","12/25/2022","3482","N247NN","ORD","13:57","14:22","185","171","25","14:30","8","0","0","0","0","0"
"MQ","12/26/2021","3540","N208AN","DCA","17:48","18:17","137","145","29","18:40","23","29","0","8","0","0"
"MQ","12/27/2021","3540","N234JW","DCA","17:48","19:53","137","149","125","20:13","20","9","0","12","0","116"
"MQ","12/28/2021","3540","N245NN","DCA","17:48","17:48","137","153","0","17:59","11","0","0","16","0","0"
"MQ","12/29/2021","3540","N236NN","DCA","17:48","20:29","137","136","161","20:44","15","160","0","0","0","0"
"MQ","12/30/2021","3540","N283NN","DCA","17:48","17:55","137","175","7","18:24","29","0","0","38","0","7"
"MQ","12/31/2021","3879","N250NN","ORD","14:50","14:41","192","200","-9","15:08","27","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
