Detailed Statistics Departures  
Origin Airport: Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2022","2370","N721FR","PHL","17:04","17:08","163","159","4","17:21","13","0","0","0","0","0"
"F9","12/01/2023","1782","N324FR","PHL","11:02","11:36","164","148","34","11:51","15","0","0","0","0","18"
"F9","12/02/2023","1782","N603FR","PHL","11:07","12:10","164","175","63","12:39","29","63","0","11","0","0"
"F9","12/03/2021","2370","N343FR","PHL","13:06","12:49","162","148","-17","13:07","18","0","0","0","0","0"
"F9","12/03/2023","1782","N619FR","PHL","11:02","11:31","164","152","29","11:48","17","0","0","0","0","17"
"F9","12/04/2021","2370","N307FR","PHL","12:11","12:58","162","154","47","13:14","16","0","0","0","0","39"
"F9","12/04/2022","2370","N377FR","PHL","17:04","18:27","163","152","83","18:41","14","62","0","0","0","10"
"F9","12/04/2023","1782","N619FR","PHL","11:02","11:09","164","138","7","11:25","16","0","0","0","0","0"
"F9","12/05/2023","1782","N619FR","PHL","11:02","10:50","164","140","-12","11:02","12","0","0","0","0","0"
"F9","12/06/2021","2370","N338FR","PHL","13:26","13:11","162","163","-15","13:27","16","0","0","0","0","0"
"F9","12/07/2023","1782","N619FR","PHL","11:07","10:57","164","174","-10","11:10","13","0","0","0","0","0"
"F9","12/08/2022","2370","N366FR","PHL","18:51","19:14","161","153","23","19:34","20","15","0","0","0","0"
"F9","12/08/2023","1782","N619FR","PHL","11:02","11:52","164","147","50","12:05","13","9","0","0","0","24"
"F9","12/09/2023","1782","N603FR","PHL","11:07","10:57","164","148","-10","11:10","13","0","0","0","0","0"
"F9","12/10/2021","2370","N235FR","PHL","11:19","11:09","162","162","-10","11:29","20","0","0","0","0","0"
"F9","12/10/2023","1782","N620FR","PHL","11:02","10:55","164","145","-7","11:08","13","0","0","0","0","0"
"F9","12/11/2021","2370","N359FR","PHL","12:18","12:06","162","148","-12","12:18","12","0","0","0","0","0"
"F9","12/11/2022","2370","N370FR","PHL","18:51","18:46","161","152","-5","18:58","12","0","0","0","0","0"
"F9","12/11/2023","1782","N620FR","PHL","11:02","10:55","164","152","-7","11:13","18","0","0","0","0","0"
"F9","12/12/2023","1782","N620FR","PHL","11:02","10:50","164","152","-12","11:09","19","0","0","0","0","0"
"F9","12/13/2021","2370","N303FR","PHL","13:26","13:15","162","160","-11","13:28","13","0","0","0","0","0"
"F9","12/14/2023","1782","N607FR","PHL","11:07","12:22","164","155","75","12:38","16","66","0","0","0","0"
"F9","12/15/2022","2370","N307FR","PHL","18:51","00:04","161","138","313","00:17","13","290","0","0","0","0"
"F9","12/15/2023","1288","N235FR","CLE","11:02","10:47","162","166","-15","11:00","13","0","0","0","0","0"
"F9","12/15/2023","1782","N235FR","PHL","18:33","18:18","164","153","-15","18:35","17","0","0","0","0","0"
"F9","12/16/2023","1288","N308FR","CLE","11:07","11:11","162","145","4","11:25","14","0","0","0","0","0"
"F9","12/16/2023","1782","N308FR","PHL","18:33","18:25","164","147","-8","18:39","14","0","0","0","0","0"
"F9","12/17/2021","2370","N342FR","PHL","14:27","14:48","160","181","21","15:31","43","21","0","21","0","0"
"F9","12/17/2023","1288","N606FR","CLE","11:02","10:50","162","153","-12","11:03","13","0","0","0","0","0"
"F9","12/17/2023","1782","N606FR","PHL","18:33","18:23","164","152","-10","18:40","17","0","0","0","0","0"
"F9","12/18/2021","2370","N715FR","PHL","13:36","17:34","162","156","238","17:50","16","0","0","0","0","232"
"F9","12/18/2022","2370","N336FR","PHL","18:51","20:03","161","145","72","20:14","11","33","0","0","0","23"
"F9","12/18/2023","1288","N718FR","CLE","11:02","10:51","162","152","-11","11:03","12","0","0","0","0","0"
"F9","12/18/2023","1782","N718FR","PHL","18:28","18:19","164","149","-9","18:32","13","0","0","0","0","0"
"F9","12/19/2023","1288","N606FR","CLE","11:02","10:53","162","172","-9","11:11","18","0","0","0","0","0"
"F9","12/19/2023","1782","N606FR","PHL","18:28","18:12","164","159","-16","18:25","13","0","0","0","0","0"
"F9","12/20/2021","2370","N326FR","PHL","13:36","15:07","162","144","91","15:20","13","0","0","0","0","73"
