Detailed Statistics Departures  
Origin Airport: Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0940","N523JB","BOS","14:45","14:38","186","179","-7","14:53","15","0","0","0","0","0"
"B6","12/01/2021","2332","N375JB","LGA","19:21","19:10","158","168","-11","19:23","13","0","0","0","0","0"
"B6","12/01/2021","2864","N531JL","JFK","11:52","11:51","158","172","-1","12:05","14","0","0","0","0","0"
"B6","12/01/2022","0164","N203JB","JFK","12:10","12:10","169","165","0","12:25","15","0","0","0","0","0"
"B6","12/01/2022","1940","N3102J","BOS","11:00","10:56","194","182","-4","11:06","10","0","0","0","0","0"
"B6","12/01/2022","2332","N339JB","LGA","19:11","19:01","167","177","-10","19:18","17","0","0","0","0","0"
"B6","12/01/2023","0164","N273JB","JFK","12:05","11:50","167","164","-15","12:05","15","0","0","0","0","0"
"B6","12/01/2023","1940","N3065J","BOS","13:56","14:13","186","192","17","14:37","24","17","0","6","0","0"
"B6","12/01/2023","2332","N506JB","LGA","18:40","18:27","170","157","-13","18:37","10","0","0","0","0","0"
"B6","12/02/2021","0940","N519JB","BOS","14:45","14:52","186","193","7","15:03","11","0","0","0","0","0"
"B6","12/02/2021","2332","N294JB","LGA","19:21","19:07","158","158","-14","19:16","9","0","0","0","0","0"
"B6","12/02/2021","2864","N779JB","JFK","11:52","11:53","158","177","1","12:09","16","1","0","19","0","0"
"B6","12/02/2022","0164","N768JB","JFK","13:49","13:41","165","157","-8","13:51","10","0","0","0","0","0"
"B6","12/02/2022","1940","N599JB","BOS","11:00","11:26","194","206","26","11:38","12","26","0","12","0","0"
"B6","12/02/2022","2332","N281JB","LGA","19:11","19:07","167","182","-4","19:30","23","0","0","0","0","0"
"B6","12/02/2023","0164","N552JB","JFK","12:10","12:30","167","161","20","12:48","18","0","0","0","0","0"
"B6","12/02/2023","1940","N267JB","BOS","14:32","14:48","187","185","16","15:05","17","0","0","0","0","0"
"B6","12/02/2023","2332","N569JB","LGA","18:40","18:19","170","153","-21","18:34","15","0","0","0","0","0"
"B6","12/03/2021","0940","N612JB","BOS","14:45","14:47","186","176","2","15:02","15","0","0","0","0","0"
