Detailed Statistics Departures  
Origin Airport: Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6075","N85323","IAH","11:45","11:46","158","165","1","12:01","15","0","0","0","0","0"
"YV","12/01/2021","6079","N87364","IAD","13:55","14:02","150","137","7","14:17","15","0","0","0","0","0"
"YV","12/01/2022","6079","N88359","IAD","13:56","13:50","145","142","-6","14:04","14","0","0","0","0","0"
"YV","12/02/2021","6075","N86311","IAH","11:45","11:43","158","151","-2","11:54","11","0","0","0","0","0"
"YV","12/02/2021","6079","N85373","IAD","13:55","13:55","150","149","0","14:08","13","0","0","0","0","0"
"YV","12/02/2022","6079","N87339","IAD","13:56","13:47","145","172","-9","14:25","38","0","0","18","0","0"
"YV","12/03/2021","6075","N87345","IAH","11:45","11:38","158","147","-7","11:53","15","0","0","0","0","0"
"YV","12/03/2021","6079","N85379","IAD","13:55","13:51","150","137","-4","14:08","17","0","0","0","0","0"
"YV","12/03/2022","6079","N89304","IAD","13:56","13:52","145","139","-4","14:04","12","0","0","0","0","0"
"YV","12/04/2021","6023","N87318","IAD","13:55","14:55","150","143","60","15:08","13","0","0","0","0","53"
"YV","12/04/2021","6301","N86375","IAH","11:45","11:38","158","152","-7","11:57","19","0","0","0","0","0"
"YV","12/04/2022","6079","N78361","IAD","13:56","13:48","145","133","-8","14:01","13","0","0","0","0","0"
"YV","12/05/2021","6023","N86371","IAD","13:55","13:50","150","153","-5","14:12","22","0","0","0","0","0"
"YV","12/05/2021","6301","N86324","IAH","11:45","11:41","158","166","-4","12:03","22","0","0","0","0","0"
"YV","12/05/2022","6079","N85356","IAD","13:56","13:50","145","148","-6","14:06","16","0","0","0","0","0"
"YV","12/06/2021","6023","N85374","IAD","13:55","13:52","150","153","-3","14:08","16","0","0","0","0","0"
"YV","12/06/2021","6301","N83329","IAH","11:45","11:41","158","163","-4","11:57","16","0","0","0","0","0"
"YV","12/06/2022","6079","N85356","IAD","13:56","13:47","145","166","-9","14:07","20","0","0","0","0","0"
"YV","12/07/2021","6023","N85379","IAD","13:55","13:50","150","123","-5","13:59","9","0","0","0","0","0"
"YV","12/07/2021","6301","N86322","IAH","11:45","11:44","158","162","-1","11:56","12","0","0","0","0","0"
"YV","12/07/2022","6079","N87318","IAD","13:56","13:54","145","162","-2","14:18","24","0","0","15","0","0"
"YV","12/08/2021","6023","N85379","IAD","13:55","13:48","150","147","-7","14:01","13","0","0","0","0","0"
"YV","12/08/2021","6301","N87345","IAH","11:45","12:15","158","160","30","12:30","15","0","0","0","32","0"
"YV","12/08/2022","6079","N82338","IAD","13:56","13:51","145","149","-5","14:06","15","0","0","0","0","0"
"YV","12/09/2021","6023","N85377","IAD","13:55","13:46","150","151","-9","14:10","24","0","0","0","0","0"
"YV","12/09/2021","6301","N88301","IAH","11:45","11:44","158","173","-1","12:14","30","0","0","0","0","0"
"YV","12/09/2022","6079","N88330","IAD","13:56","13:48","145","125","-8","13:56","8","0","0","0","0","0"
"YV","12/10/2021","6023","N85376","IAD","13:55","13:46","150","155","-9","14:00","14","0","0","0","0","0"
"YV","12/10/2021","6301","N87337","IAH","11:45","11:42","158","153","-3","11:52","10","0","0","0","0","0"
"YV","12/10/2022","6079","N89342","IAD","13:56","13:54","145","143","-2","14:01","7","0","0","0","0","0"
"YV","12/11/2021","6023","N86334","IAD","13:55","13:58","150","145","3","14:15","17","0","0","0","0","0"
"YV","12/11/2021","6301","N87319","IAH","11:45","11:45","158","160","0","12:03","18","0","0","0","0","0"
"YV","12/11/2022","6079","N86334","IAD","13:56","13:47","145","150","-9","14:08","21","0","0","0","0","0"
"YV","12/12/2021","6023","N87364","IAD","13:55","13:45","150","128","-10","13:53","8","0","0","0","0","0"
"YV","12/12/2021","6301","N87368","IAH","11:45","11:41","158","170","-4","11:56","15","0","0","0","0","0"
"YV","12/12/2022","6079","N87306","IAD","13:56","13:44","145","143","-12","13:52","8","0","0","0","0","0"
"YV","12/13/2021","6023","N85379","IAD","13:55","13:51","150","136","-4","14:00","9","0","0","0","0","0"
"YV","12/13/2021","6301","N86312","IAH","11:45","11:38","158","169","-7","11:55","17","0","0","0","0","0"
"YV","12/13/2022","6079","N85340","IAD","13:56","13:40","145","147","-16","13:59","19","0","0","0","0","0"
"YV","12/14/2021","6023","N85373","IAD","13:55","14:41","150","160","46","14:55","14","56","0","0","0","0"
"YV","12/14/2021","6301","N89315","IAH","11:45","11:41","158","163","-4","11:51","10","0","0","0","0","0"
"YV","12/14/2022","6079","N82338","IAD","13:56","13:47","145","135","-9","13:59","12","0","0","0","0","0"
"YV","12/15/2021","6023","N86371","IAD","13:55","13:55","150","149","0","14:08","13","0","0","0","0","0"
"YV","12/15/2021","6301","N86322","IAH","11:45","11:34","158","160","-11","11:49","15","0","0","0","0","0"
"YV","12/15/2022","6058","N82333","IAH","13:47","17:05","173","158","198","17:20","15","0","0","0","0","183"
"YV","12/16/2021","6301","N89317","IAH","13:20","13:24","159","149","4","13:33","9","0","0","0","0","0"
"YV","12/16/2022","6058","N86350","IAH","13:47","13:50","173","172","3","14:07","17","0","0","0","0","0"
"YV","12/17/2021","6220","N87319","IAD","13:55","13:53","144","154","-2","14:28","35","0","0","0","0","0"
"YV","12/17/2021","6301","N93305","IAH","13:20","13:15","159","169","-5","13:45","30","0","0","0","0","0"
"YV","12/17/2022","6058","N87367","IAH","13:47","13:42","173","171","-5","14:00","18","0","0","0","0","0"
"YV","12/18/2021","6301","N86309","IAH","13:20","15:10","159","162","110","15:25","15","0","113","0","0","0"
"YV","12/18/2022","6058","N87302","IAH","13:47","13:48","173","167","1","14:04","16","0","0","0","0","0"
"YV","12/19/2021","6220","N86316","IAD","13:55","14:37","144","128","42","14:50","13","0","0","0","0","26"
"YV","12/19/2021","6301","N87368","IAH","13:20","13:28","159","163","8","13:39","11","0","0","0","0","0"
"YV","12/19/2022","6058","N86324","IAH","13:47","13:47","173","186","0","14:03","16","0","0","0","0","0"
"YV","12/20/2021","6301","N85354","IAH","13:20","14:24","159","165","64","14:33","9","0","0","0","0","70"
"YV","12/20/2022","6058","N85351","IAH","13:47","13:43","173","186","-4","14:25","42","0","0","0","0","0"
"YV","12/21/2021","6301","N84307","IAH","13:20","13:32","159","136","12","13:42","10","0","0","0","0","0"
"YV","12/21/2022","6058","N87319","IAH","13:47","13:55","173","160","8","14:09","14","0","0","0","0","0"
"YV","12/21/2023","6204","N85352","IAH","17:05","16:59","174","169","-6","17:18","19","0","0","0","0","0"
"YV","12/22/2021","6301","N93305","IAH","13:20","13:18","159","159","-2","13:38","20","0","0","0","0","0"
"YV","12/22/2022","6058","N87353","IAH","13:47","13:46","173","142","-1","13:58","12","0","0","0","0","0"
"YV","12/22/2023","6204","N86344","IAH","17:05","17:03","174","182","-2","17:26","23","0","0","0","0","0"
"YV","12/23/2021","6301","N85352","IAH","13:20","13:58","159","148","38","14:08","10","0","0","0","0","27"
"YV","12/23/2022","6058","N85355","IAH","13:47","14:45","173","145","58","14:55","10","0","0","0","0","30"
"YV","12/23/2023","6204","N87303","IAH","17:05","17:52","174","151","47","18:02","10","24","0","0","0","0"
"YV","12/24/2021","6301","N89315","IAH","13:20","14:11","159","152","51","14:27","16","44","0","0","0","0"
"YV","12/24/2023","6204","N86316","IAH","17:05","17:01","174","155","-4","17:14","13","0","0","0","0","0"
"YV","12/25/2021","6301","N83329","IAH","13:20","13:21","159","150","1","13:33","12","0","0","0","0","0"
"YV","12/25/2023","6204","N89357","IAH","17:05","16:49","174","165","-16","17:03","14","0","0","0","0","0"
"YV","12/26/2021","6220","N82338","IAD","13:55","19:38","144","128","343","19:48","10","0","0","0","0","327"
"YV","12/26/2021","6301","N89349","IAH","13:20","13:33","159","171","13","13:54","21","0","0","0","0","25"
"YV","12/26/2023","6204","N88326","IAH","17:05","18:13","174","176","68","18:55","42","0","0","2","0","68"
"YV","12/27/2021","6301","N87345","IAH","13:20","19:47","159","147","387","20:03","16","375","0","0","0","0"
"YV","12/27/2023","6204","N85356","IAH","17:05","17:05","174","159","0","17:26","21","0","0","0","0","0"
"YV","12/28/2021","6301","N88301","IAH","13:20","13:36","159","155","16","13:54","18","0","0","0","0","0"
