Detailed Statistics Departures  
Origin Airport: Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5079","N552NN","CLT","17:35","17:27","118","117","-8","17:48","21","0","0","0","0","0"
"OH","12/01/2021","5331","N565NN","DCA","11:58","11:54","141","167","-4","12:17","23","0","0","22","0","0"
"OH","12/01/2022","5044","N543EA","DCA","18:29","20:48","146","142","139","21:09","21","10","0","0","0","125"
"OH","12/02/2021","5079","N576NN","CLT","17:35","17:28","118","118","-7","17:48","20","0","0","0","0","0"
"OH","12/02/2021","5331","N568NN","DCA","11:58","11:48","141","151","-10","12:02","14","0","0","0","0","0"
"OH","12/02/2021","5337","N608NN","CLT","10:07","09:51","121","113","-16","10:03","12","0","0","0","0","0"
"OH","12/02/2022","5044","N507AE","DCA","18:29","20:05","146","176","96","20:48","43","83","0","30","0","13"
"OH","12/03/2021","5079","N597NN","CLT","17:35","17:22","118","115","-13","17:39","17","0","0","0","0","0"
"OH","12/03/2021","5331","N586NN","DCA","11:58","11:47","141","135","-11","12:04","17","0","0","0","0","0"
"OH","12/03/2021","5337","N562NN","CLT","10:07","10:03","121","114","-4","10:18","15","0","0","0","0","0"
"OH","12/04/2021","5079","N573NN","CLT","17:35","17:24","118","106","-11","17:40","16","0","0","0","0","0"
"OH","12/04/2021","5337","N605NN","CLT","10:07","09:55","121","105","-12","10:11","16","0","0","0","0","0"
"OH","12/04/2021","5705","N539EA","DCA","17:40","17:31","139","141","-9","17:45","14","0","0","0","0","0"
"OH","12/04/2022","5044","N500AE","DCA","18:29","20:04","146","138","95","20:19","15","87","0","0","0","0"
"OH","12/05/2021","5079","N609NN","CLT","17:35","17:30","118","115","-5","17:45","15","0","0","0","0","0"
"OH","12/05/2021","5331","N596NN","DCA","11:58","11:47","141","148","-11","12:07","20","0","0","0","0","0"
"OH","12/05/2022","5044","N720PS","DCA","18:29","18:31","146","129","2","18:45","14","0","0","0","0","0"
"OH","12/06/2021","5079","N607NN","CLT","17:35","17:32","118","121","-3","17:50","18","0","0","0","0","0"
"OH","12/06/2021","5331","N560NN","DCA","11:58","11:57","141","161","-1","12:09","12","0","0","19","0","0"
"OH","12/06/2021","5337","N570NN","CLT","11:39","11:26","119","126","-13","11:47","21","0","0","0","0","0"
"OH","12/06/2022","5044","N702PS","DCA","18:29","18:15","146","145","-14","18:38","23","0","0","0","0","0"
"OH","12/07/2021","5079","N588NN","CLT","17:35","17:23","118","104","-12","17:38","15","0","0","0","0","0"
"OH","12/07/2021","5331","N568NN","DCA","11:58","12:12","141","162","14","12:25","13","0","0","21","0","14"
"OH","12/07/2022","5044","N519AE","DCA","18:29","18:22","146","146","-7","18:39","17","0","0","0","0","0"
"OH","12/08/2021","5079","N557NN","CLT","17:35","17:27","118","118","-8","17:46","19","0","0","0","0","0"
"OH","12/08/2021","5331","N575NN","DCA","11:58","11:49","141","157","-9","12:11","22","0","0","0","0","0"
"OH","12/08/2022","5044","N507AE","DCA","18:29","18:25","146","129","-4","18:38","13","0","0","0","0","0"
"OH","12/09/2021","5079","N609NN","CLT","17:35","17:24","118","123","-11","17:37","13","0","0","0","0","0"
"OH","12/09/2021","5331","N567NN","DCA","11:58","11:44","141","169","-14","12:09","25","0","0","0","0","0"
"OH","12/09/2021","5337","N570NN","CLT","10:07","10:09","121","120","2","10:24","15","0","0","0","0","0"
"OH","12/09/2022","5044","N500AE","DCA","18:29","18:19","146","154","-10","18:49","30","0","0","0","0","0"
"OH","12/10/2021","5079","N555NN","CLT","17:35","17:30","118","118","-5","17:51","21","0","0","0","0","0"
"OH","12/10/2021","5331","N581NN","DCA","11:58","11:52","141","163","-6","12:10","18","0","0","16","0","0"
"OH","12/10/2021","5337","N597NN","CLT","10:07","09:58","121","114","-9","10:15","17","0","0","0","0","0"
"OH","12/11/2021","5079","N552NN","CLT","17:35","17:48","118","115","13","18:03","15","0","0","0","0","0"
"OH","12/11/2021","5337","N569NN","CLT","10:07","09:57","121","117","-10","10:17","20","0","0","0","0","0"
"OH","12/11/2021","5705","N515AE","DCA","17:40","17:33","139","128","-7","17:45","12","0","0","0","0","0"
"OH","12/11/2022","5044","N702PS","DCA","18:29","18:45","146","141","16","19:04","19","0","0","0","0","0"
"OH","12/12/2021","5079","N551NN","CLT","17:35","18:02","118","100","27","18:16","14","0","0","0","0","0"
"OH","12/12/2021","5331","N560NN","DCA","11:58","11:49","141","200","-9","12:11","22","0","0","50","0","0"
"OH","12/12/2022","5044","N502AE","DCA","18:29","18:18","146","148","-11","18:36","18","0","0","0","0","0"
"OH","12/13/2021","5079","N599NN","CLT","17:35","17:24","118","107","-11","17:36","12","0","0","0","0","0"
"OH","12/13/2021","5331","N566NN","DCA","11:58","11:44","141","155","-14","12:03","19","0","0","0","0","0"
"OH","12/13/2021","5337","N580NN","CLT","11:39","11:30","119","119","-9","11:47","17","0","0","0","0","0"
"OH","12/13/2022","5044","N534AE","DCA","18:29","18:21","146","134","-8","18:33","12","0","0","0","0","0"
"OH","12/14/2021","5079","N551NN","CLT","17:35","17:25","118","117","-10","17:35","10","0","0","0","0","0"
"OH","12/14/2021","5331","N600NN","DCA","11:58","11:47","141","155","-11","12:09","22","0","0","0","0","0"
"OH","12/14/2022","5044","N538EG","DCA","18:29","18:17","146","135","-12","18:37","20","0","0","0","0","0"
"OH","12/15/2021","5079","N558NN","CLT","17:35","17:25","118","111","-10","17:43","18","0","0","0","0","0"
"OH","12/15/2021","5331","N557NN","DCA","11:58","11:54","141","158","-4","12:12","18","0","0","0","0","0"
"OH","12/15/2022","5044","N591NN","DCA","18:28","18:38","151","142","10","19:01","23","0","0","0","0","0"
"OH","12/16/2021","5079","N596NN","CLT","17:31","17:24","112","112","-7","17:38","14","0","0","0","0","0"
"OH","12/16/2021","5249","N583NN","CLT","11:25","11:22","118","110","-3","11:35","13","0","0","0","0","0"
"OH","12/16/2021","5331","N609NN","DCA","12:00","11:46","138","144","-14","12:06","20","0","0","0","0","0"
"OH","12/16/2021","5340","N591NN","CLT","19:25","19:20","115","116","-5","19:34","14","0","0","0","0","0"
"OH","12/16/2022","5044","N552NN","DCA","18:28","18:22","151","143","-6","18:44","22","0","0","0","0","0"
"OH","12/17/2021","5079","N540EG","CLT","17:31","17:28","112","114","-3","17:45","17","0","0","0","0","0"
"OH","12/17/2021","5249","N540EG","CLT","11:25","11:18","118","107","-7","11:34","16","0","0","0","0","0"
"OH","12/17/2021","5331","N603NN","DCA","12:00","12:06","138","128","6","12:19","13","0","0","0","0","0"
"OH","12/17/2021","5340","N513AE","CLT","19:25","19:24","115","114","-1","19:39","15","0","0","0","0","0"
"OH","12/18/2021","5079","N547NN","CLT","17:31","18:20","112","112","49","18:34","14","0","0","0","0","49"
"OH","12/18/2021","5249","N547NN","CLT","11:25","11:57","118","113","32","12:18","21","0","0","0","0","27"
"OH","12/18/2021","5340","N561NN","CLT","19:25","19:24","115","121","-1","19:42","18","0","0","0","0","0"
"OH","12/18/2022","5044","N606NN","DCA","18:28","18:13","151","142","-15","18:29","16","0","0","0","0","0"
"OH","12/19/2021","5079","N600NN","CLT","17:31","17:34","112","112","3","17:50","16","0","0","0","0","0"
"OH","12/19/2021","5249","N720PS","CLT","11:25","11:47","118","121","22","12:13","26","4","0","3","0","18"
"OH","12/19/2021","5331","N574NN","DCA","12:00","11:56","138","176","-4","12:30","34","0","0","34","0","0"
"OH","12/19/2021","5340","N567NN","CLT","19:25","19:34","115","125","9","19:43","9","0","0","10","0","9"
"OH","12/19/2022","5044","N582NN","DCA","18:28","18:53","151","131","25","19:04","11","0","0","0","0","0"
"OH","12/20/2021","5079","N563NN","CLT","17:31","17:23","112","108","-8","17:38","15","0","0","0","0","0"
"OH","12/20/2021","5249","N591NN","CLT","11:25","11:17","118","91","-8","11:29","12","0","0","0","0","0"
"OH","12/20/2021","5331","N606NN","DCA","12:00","12:19","138","136","19","12:39","20","0","0","0","0","17"
"OH","12/20/2021","5340","N614NN","CLT","19:25","19:28","115","103","3","19:38","10","0","0","0","0","0"
"OH","12/20/2022","5044","N610NN","DCA","18:28","18:35","151","140","7","18:53","18","0","0","0","0","0"
"OH","12/20/2023","5094","N581NN","CLT","10:05","09:52","127","115","-13","10:12","20","0","0","0","0","0"
"OH","12/21/2021","5079","N541EA","CLT","17:31","17:59","112","97","28","18:08","9","0","0","0","0","0"
"OH","12/21/2021","5249","N550NN","CLT","11:25","11:31","118","98","6","11:42","11","0","0","0","0","0"
"OH","12/21/2021","5331","N549NN","DCA","12:00","12:21","138","126","21","12:41","20","0","0","0","0","0"
"OH","12/21/2021","5340","N601EN","CLT","19:25","19:24","115","103","-1","19:36","12","0","0","0","0","0"
"OH","12/21/2022","5044","N571NN","DCA","18:28","18:18","151","136","-10","18:38","20","0","0","0","0","0"
"OH","12/21/2023","5094","N553NN","CLT","10:05","10:02","127","121","-3","10:18","16","0","0","0","0","0"
"OH","12/22/2021","5079","N514AE","CLT","17:31","17:18","112","118","-13","17:43","25","0","0","0","0","0"
"OH","12/22/2021","5249","N586NN","CLT","11:25","11:36","118","114","11","11:48","12","0","0","0","0","0"
"OH","12/22/2021","5331","N529EA","DCA","12:00","12:18","138","138","18","12:36","18","17","0","0","0","1"
"OH","12/22/2021","5340","N575NN","CLT","19:25","19:22","115","107","-3","19:34","12","0","0","0","0","0"
"OH","12/22/2022","5044","N590NN","DCA","18:28","18:43","151","0","15","19:14","31","0","0","0","0","0"
"OH","12/22/2023","5094","N575NN","CLT","10:05","09:53","127","121","-12","10:09","16","0","0","0","0","0"
"OH","12/23/2021","5079","N583NN","CLT","17:31","17:19","112","136","-12","17:47","28","0","0","0","0","0"
"OH","12/23/2021","5249","N547NN","CLT","11:25","11:55","118","117","30","12:13","18","1","0","0","0","28"
"OH","12/23/2021","5331","N612NN","DCA","12:00","12:10","138","172","10","12:51","41","6","0","34","0","4"
"OH","12/23/2021","5340","N552NN","CLT","19:25","19:18","115","116","-7","19:30","12","0","0","0","0","0"
"OH","12/23/2022","5044","N566NN","DCA","18:28","19:02","151","120","34","19:13","11","0","0","0","0","0"
"OH","12/23/2023","5094","N605NN","CLT","10:05","09:52","127","120","-13","10:09","17","0","0","0","0","0"
"OH","12/23/2023","5573","N594NN","DCA","18:25","18:14","157","146","-11","18:32","18","0","0","0","0","0"
"OH","12/24/2021","5249","N573NN","CLT","11:25","11:19","118","106","-6","11:33","14","0","0","0","0","0"
"OH","12/24/2021","5331","N593NN","DCA","12:00","13:48","138","151","108","14:13","25","11","0","13","0","97"
"OH","12/24/2023","5094","N550NN","CLT","10:05","09:46","127","109","-19","10:00","14","0","0","0","0","0"
"OH","12/25/2021","5079","N564NN","CLT","17:31","17:23","112","109","-8","17:35","12","0","0","0","0","0"
"OH","12/25/2021","5249","N550NN","CLT","11:25","11:13","118","107","-12","11:29","16","0","0","0","0","0"
"OH","12/25/2022","5044","N555NN","DCA","18:28","19:37","151","120","69","19:51","14","0","0","0","0","38"
"OH","12/25/2022","5414","N591NN","DCA","12:01","11:50","151","127","-11","12:06","16","0","0","0","0","0"
"OH","12/26/2021","5079","N563NN","CLT","17:31","17:57","112","108","26","18:22","25","22","0","0","0","0"
"OH","12/26/2021","5249","N600NN","CLT","11:25","11:15","118","151","-10","11:59","44","0","0","23","0","0"
"OH","12/26/2021","5331","N580NN","DCA","12:00","11:47","138","180","-13","12:35","48","0","0","29","0","0"
"OH","12/26/2021","5340","N566NN","CLT","19:25","20:27","115","102","62","20:38","11","1","0","0","0","48"
"OH","12/26/2022","5044","N558NN","DCA","18:28","18:36","151","137","8","19:02","26","0","0","0","0","0"
"OH","12/26/2023","5094","N568NN","CLT","10:05","10:00","127","116","-5","10:14","14","0","0","0","0","0"
"OH","12/27/2021","5079","N553NN","CLT","17:31","17:42","112","125","11","18:10","28","1","0","13","0","10"
"OH","12/27/2021","5249","N581NN","CLT","11:25","12:29","118","125","64","12:56","27","0","0","7","0","64"
"OH","12/27/2021","5331","N604NN","DCA","12:00","11:52","138","160","-8","12:14","22","0","0","0","0","0"
"OH","12/27/2021","5340","N569NN","CLT","19:25","20:35","115","101","70","20:48","13","3","0","0","0","53"
"OH","12/27/2022","5044","N553NN","DCA","18:28","18:16","151","157","-12","18:26","10","0","0","0","0","0"
"OH","12/27/2023","5094","N578NN","CLT","10:05","09:59","127","112","-6","10:19","20","0","0","0","0","0"
"OH","12/28/2021","5079","N720PS","CLT","17:31","17:32","112","114","1","17:46","14","0","0","0","0","0"
"OH","12/28/2021","5249","N592NN","CLT","11:25","11:18","118","109","-7","11:40","22","0","0","0","0","0"
"OH","12/28/2021","5331","N611NN","DCA","12:00","12:06","138","153","6","12:32","26","1","0","15","0","5"
"OH","12/28/2021","5340","N554NN","CLT","19:25","19:16","115","110","-9","19:32","16","0","0","0","0","0"
"OH","12/28/2022","5044","N595NN","DCA","18:28","19:45","151","134","77","20:00","15","1","0","0","0","59"
"OH","12/28/2023","5094","N589NN","CLT","10:05","09:56","127","123","-9","10:17","21","0","0","0","0","0"
"OH","12/29/2021","5079","N548NN","CLT","17:31","17:22","112","140","-9","18:02","40","0","0","19","0","0"
"OH","12/29/2021","5249","N596NN","CLT","11:25","11:18","118","119","-7","11:31","13","0","0","0","0","0"
"OH","12/29/2021","5331","N612NN","DCA","12:00","12:18","138","151","18","12:56","38","5","0","13","0","13"
"OH","12/29/2021","5340","N588NN","CLT","19:25","19:40","115","116","15","19:57","17","15","0","1","0","0"
"OH","12/29/2022","5044","N548NN","DCA","18:28","19:15","151","140","47","19:29","14","8","0","0","0","28"
"OH","12/29/2023","5094","N608NN","CLT","10:05","09:56","127","100","-9","10:12","16","0","0","0","0","0"
"OH","12/30/2021","5079","N575NN","CLT","17:31","17:29","112","141","-2","18:15","46","0","0","27","0","0"
"OH","12/30/2021","5249","N602NN","CLT","11:25","11:37","118","192","12","13:09","92","0","0","74","0","12"
"OH","12/30/2021","5331","N600NN","DCA","12:00","11:55","138","232","-5","13:43","108","0","0","89","0","0"
"OH","12/30/2021","5340","N578NN","CLT","19:25","00:00","115","0","0","00:00","0","0","0","0","0","0"
"OH","12/30/2023","5094","N615NN","CLT","10:05","09:46","127","117","-19","10:01","15","0","0","0","0","0"
"OH","12/30/2023","5573","N587NN","DCA","18:25","18:14","157","134","-11","18:34","20","0","0","0","0","0"
"OH","12/31/2021","5249","N594NN","CLT","11:25","11:25","118","121","0","11:54","29","0","0","0","0","0"
"OH","12/31/2021","5331","N612NN","DCA","12:00","12:22","138","146","22","12:41","19","3","0","8","0","19"
"OH","12/31/2023","5094","N594NN","CLT","10:05","09:52","127","123","-13","10:14","22","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
