Detailed Statistics Departures  
Origin Airport: Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3643","N639RW","EWR","06:00","05:57","179","177","-3","06:17","20","0","0","0","0","0"
"YX","12/01/2021","3687","N729YX","EWR","13:05","13:02","178","170","-3","13:17","15","0","0","0","0","0"
"YX","12/01/2021","5592","N246JQ","LGA","14:16","14:13","163","172","-3","14:32","19","0","0","0","0","0"
"YX","12/02/2021","3643","N637RW","EWR","06:00","06:24","179","172","24","06:34","10","17","0","0","0","0"
"YX","12/02/2021","3687","N731YX","EWR","13:00","12:54","178","188","-6","13:05","11","0","0","0","0","0"
"YX","12/02/2021","5592","N242JQ","LGA","14:16","14:12","163","174","-4","14:25","13","0","0","0","0","0"
"YX","12/03/2021","3643","N726YX","EWR","06:00","05:54","179","174","-6","06:02","8","0","0","0","0","0"
"YX","12/03/2021","3687","N732YX","EWR","13:05","12:58","178","175","-7","13:14","16","0","0","0","0","0"
"YX","12/03/2021","5592","N242JQ","LGA","14:16","14:05","163","166","-11","14:19","14","0","0","0","0","0"
"YX","12/03/2022","3535","N739YX","EWR","19:16","19:07","171","170","-9","19:20","13","0","0","0","0","0"
"YX","12/03/2022","4319","N412YX","DCA","17:17","16:56","148","143","-21","17:11","15","0","0","0","0","0"
"YX","12/04/2021","3577","N649RW","EWR","13:00","13:41","178","155","41","13:52","11","18","0","0","0","0"
"YX","12/05/2021","3517","N657RW","EWR","13:05","13:00","178","158","-5","13:14","14","0","0","0","0","0"
"YX","12/06/2021","3517","N747YX","EWR","13:00","12:58","180","177","-2","13:20","22","0","0","0","0","0"
"YX","12/06/2021","3643","N722YX","EWR","06:00","06:06","179","170","6","06:19","13","0","0","0","0","0"
"YX","12/06/2021","5592","N230JQ","LGA","14:20","14:16","161","177","-4","14:45","29","0","0","0","0","0"
"YX","12/07/2021","3643","N864RW","EWR","06:00","05:59","180","203","-1","06:44","45","0","0","22","0","0"
"YX","12/07/2021","5592","N201JQ","LGA","14:20","14:23","161","158","3","14:35","12","0","0","0","0","0"
"YX","12/08/2021","3517","N743YX","EWR","13:00","12:51","180","159","-9","13:05","14","0","0","0","0","0"
"YX","12/08/2021","3643","N726YX","EWR","06:00","05:58","180","154","-2","06:08","10","0","0","0","0","0"
"YX","12/08/2021","5592","N239JQ","LGA","14:20","14:09","161","176","-11","14:40","31","0","0","0","0","0"
"YX","12/09/2021","3517","N741YX","EWR","13:00","12:58","180","186","-2","13:30","32","0","0","0","0","0"
"YX","12/09/2021","3643","N654RW","EWR","06:00","05:55","180","168","-5","06:13","18","0","0","0","0","0"
"YX","12/09/2021","5592","N202JQ","LGA","14:20","14:13","161","165","-7","14:28","15","0","0","0","0","0"
"YX","12/10/2021","3517","N728YX","EWR","13:00","12:55","180","168","-5","13:11","16","0","0","0","0","0"
"YX","12/10/2021","3643","N858RW","EWR","06:00","06:17","180","176","17","06:37","20","0","0","0","0","0"
"YX","12/10/2021","5592","N244JQ","LGA","14:20","14:15","161","176","-5","14:33","18","0","0","0","0","0"
"YX","12/10/2022","3535","N725YX","EWR","19:16","19:09","171","159","-7","19:22","13","0","0","0","0","0"
"YX","12/10/2022","4319","N432YX","DCA","17:17","17:06","148","126","-11","17:16","10","0","0","0","0","0"
"YX","12/11/2021","3577","N651RW","EWR","13:00","12:53","178","188","-7","13:23","30","0","0","0","0","0"
"YX","12/12/2021","3517","N747YX","EWR","13:00","12:59","180","175","-1","13:16","17","0","0","0","0","0"
"YX","12/13/2021","3643","N979RP","EWR","06:00","05:56","179","204","-4","06:26","30","0","0","21","0","0"
"YX","12/13/2021","5592","N236JQ","LGA","14:20","14:11","161","180","-9","14:26","15","0","0","0","0","0"
"YX","12/14/2021","3643","N645RW","EWR","06:00","05:59","182","173","-1","06:12","13","0","0","0","0","0"
"YX","12/14/2021","5592","N212JQ","LGA","14:20","14:15","161","172","-5","14:31","16","0","0","0","0","0"
"YX","12/15/2021","3517","N726YX","EWR","13:00","12:54","180","169","-6","13:09","15","0","0","0","0","0"
"YX","12/15/2021","3643","N857RW","EWR","06:00","05:49","179","178","-11","06:04","15","0","0","0","0","0"
"YX","12/15/2021","5592","N205JQ","LGA","14:20","14:20","161","188","0","14:58","38","0","0","27","0","0"
"YX","12/15/2022","4387","N453YX","DCA","11:55","18:45","145","148","410","19:19","34","158","0","3","0","252"
"YX","12/16/2021","3517","N752YX","EWR","12:40","12:40","177","170","0","12:54","14","0","0","0","0","0"
"YX","12/16/2021","3639","N744YX","EWR","20:15","20:07","177","201","-8","20:17","10","0","0","16","0","0"
"YX","12/16/2021","4647","N428YX","PHL","14:16","14:04","161","161","-12","14:20","16","0","0","0","0","0"
"YX","12/16/2021","5592","N245JQ","LGA","14:20","14:16","161","178","-4","14:29","13","0","0","0","0","0"
"YX","12/16/2022","4387","N131HQ","DCA","11:55","11:51","145","142","-4","12:03","12","0","0","0","0","0"
"YX","12/17/2021","3517","N731YX","EWR","12:40","12:33","177","170","-7","12:44","11","0","0","0","0","0"
"YX","12/17/2021","3639","N750YX","EWR","20:00","19:56","177","215","-4","20:07","11","0","0","34","0","0"
"YX","12/17/2021","4647","N115HQ","PHL","14:16","14:09","161","175","-7","14:50","41","0","0","0","0","0"
"YX","12/17/2021","4924","N407YX","CLT","10:07","09:57","111","123","-10","10:19","22","0","0","0","0","0"
"YX","12/17/2021","5592","N246JQ","LGA","14:20","14:13","161","214","-7","14:56","43","0","0","46","0","0"
"YX","12/18/2021","3639","N731YX","EWR","20:00","19:54","177","155","-6","20:08","14","0","0","0","0","0"
"YX","12/18/2021","3642","N725YX","EWR","14:55","16:06","177","153","71","16:20","14","0","0","0","0","47"
"YX","12/18/2021","3682","N727YX","EWR","14:05","14:05","177","206","0","14:23","18","0","0","29","0","0"
"YX","12/18/2021","4647","N452YX","PHL","14:16","15:28","161","157","72","15:52","24","0","0","0","0","68"
"YX","12/18/2021","4924","N116HQ","CLT","10:07","09:57","111","149","-10","10:39","42","0","0","28","0","0"
"YX","12/18/2022","4387","N135HQ","DCA","11:55","11:46","145","128","-9","11:56","10","0","0","0","0","0"
"YX","12/19/2021","3517","N637RW","EWR","12:40","12:36","177","187","-4","13:07","31","0","0","0","0","0"
"YX","12/19/2021","3639","N729YX","EWR","20:15","20:54","177","208","39","21:04","10","0","0","31","0","39"
"YX","12/19/2021","3682","N649RW","EWR","14:05","15:01","177","170","56","15:25","24","0","0","0","0","49"
"YX","12/19/2021","4647","N115HQ","PHL","14:16","14:15","161","147","-1","14:27","12","0","0","0","0","0"
"YX","12/19/2021","4924","N118HQ","CLT","10:07","10:00","111","111","-7","10:22","22","0","0","0","0","0"
"YX","12/19/2022","4387","N417YX","DCA","11:55","12:03","145","165","8","12:26","23","0","0","20","0","8"
"YX","12/20/2021","3517","N722YX","EWR","12:40","12:57","177","171","17","13:19","22","0","0","0","0","0"
"YX","12/20/2021","3639","N724YX","EWR","20:00","19:58","177","172","-2","20:21","23","0","0","0","0","0"
"YX","12/20/2021","4647","N450YX","PHL","14:16","14:10","161","156","-6","14:37","27","0","0","0","0","0"
"YX","12/20/2021","4924","N116HQ","CLT","10:07","10:01","111","114","-6","10:29","28","0","0","0","0","0"
"YX","12/20/2022","4387","N420YX","DCA","11:55","11:45","145","132","-10","12:02","17","0","0","0","0","0"
"YX","12/21/2021","3517","N730YX","EWR","12:40","13:07","177","139","27","13:20","13","0","0","0","0","0"
"YX","12/21/2021","3639","N733YX","EWR","20:00","20:05","177","165","5","20:16","11","0","0","0","0","0"
"YX","12/21/2021","4647","N433YX","PHL","14:16","14:08","161","142","-8","14:25","17","0","0","0","0","0"
"YX","12/21/2021","4924","N116HQ","CLT","10:07","10:03","111","96","-4","10:16","13","0","0","0","0","0"
"YX","12/21/2022","4387","N450YX","DCA","11:55","11:46","145","161","-9","12:21","35","0","0","0","0","0"
"YX","12/22/2021","3517","N736YX","EWR","12:40","12:48","177","203","8","13:54","66","0","0","34","0","0"
"YX","12/22/2021","3639","N741YX","EWR","20:00","19:59","177","218","-1","20:17","18","0","0","40","0","0"
"YX","12/22/2021","4647","N452YX","PHL","14:16","14:13","161","143","-3","14:25","12","0","0","0","0","0"
"YX","12/22/2021","4924","N113HQ","CLT","10:07","10:00","111","102","-7","10:11","11","0","0","0","0","0"
"YX","12/22/2022","4387","N129HQ","DCA","11:55","12:17","145","134","22","12:32","15","0","0","0","0","0"
"YX","12/23/2021","3517","N747YX","EWR","12:40","13:16","177","174","36","13:40","24","0","0","0","0","33"
"YX","12/23/2021","3639","N732YX","EWR","20:00","19:57","177","177","-3","20:08","11","0","0","0","0","0"
"YX","12/23/2021","4647","N453YX","PHL","14:16","14:10","161","161","-6","14:27","17","0","0","0","0","0"
"YX","12/23/2021","4924","N103HQ","CLT","10:07","10:06","111","113","-1","10:20","14","0","0","0","0","0"
"YX","12/23/2022","4387","N434YX","DCA","11:55","12:52","145","127","57","13:06","14","0","0","0","0","39"
"YX","12/23/2023","3661","N654RW","EWR","11:45","11:36","189","164","-9","11:50","14","0","0","0","0","0"
"YX","12/23/2023","4625","N403YX","ORD","12:50","12:48","200","198","-2","13:03","15","0","0","0","0","0"
"YX","12/24/2021","3517","N723YX","EWR","12:40","12:34","177","190","-6","12:51","17","0","0","0","0","0"
"YX","12/24/2021","4647","N438YX","PHL","14:16","15:10","161","153","54","15:28","18","38","0","0","0","8"
"YX","12/24/2021","4924","N119HQ","CLT","10:07","10:03","111","102","-4","10:15","12","0","0","0","0","0"
"YX","12/24/2022","3549","N723YX","EWR","19:17","07:46","170","144","749","07:55","9","0","0","723","0","0"
"YX","12/24/2022","3597","N750YX","EWR","12:15","12:12","173","173","-3","12:38","26","0","0","0","0","0"
"YX","12/25/2021","3517","N729YX","EWR","12:40","12:32","177","169","-8","12:43","11","0","0","0","0","0"
"YX","12/25/2021","3639","N733YX","EWR","20:00","19:52","177","171","-8","20:15","23","0","0","0","0","0"
"YX","12/25/2021","4647","N450YX","PHL","14:16","14:14","161","153","-2","14:26","12","0","0","0","0","0"
"YX","12/25/2021","4924","N443YX","CLT","10:07","09:56","111","118","-11","10:12","16","0","0","0","0","0"
"YX","12/26/2021","3517","N721YX","EWR","12:40","12:30","177","223","-10","13:43","73","0","0","36","0","0"
"YX","12/26/2021","3639","N749YX","EWR","20:00","19:56","177","166","-4","20:19","23","0","0","0","0","0"
"YX","12/26/2021","4647","N427YX","PHL","14:16","15:24","161","154","68","15:39","15","61","0","0","0","0"
"YX","12/26/2021","4924","N132HQ","CLT","10:07","09:59","111","109","-8","10:12","13","0","0","0","0","0"
"YX","12/26/2022","4387","N102HQ","DCA","11:55","11:55","145","148","0","12:09","14","0","0","0","0","0"
"YX","12/27/2021","3517","N730YX","EWR","12:40","14:04","177","220","84","14:41","37","84","0","43","0","0"
"YX","12/27/2021","3639","N729YX","EWR","20:00","21:25","177","182","85","21:38","13","85","0","5","0","0"
"YX","12/27/2021","4647","N453YX","PHL","14:16","14:22","161","168","6","14:55","33","0","0","0","0","0"
"YX","12/27/2021","4924","N102HQ","CLT","10:07","09:59","111","117","-8","10:16","17","0","0","0","0","0"
"YX","12/27/2022","4387","N425YX","DCA","11:55","11:54","145","154","-1","12:14","20","0","0","0","0","0"
"YX","12/28/2021","3517","N733YX","EWR","12:40","12:36","177","167","-4","12:57","21","0","0","0","0","0"
"YX","12/28/2021","3639","N741YX","EWR","20:00","19:55","177","184","-5","20:12","17","0","0","0","0","0"
"YX","12/28/2021","4647","N453YX","PHL","14:16","14:12","161","157","-4","14:36","24","0","0","0","0","0"
"YX","12/28/2021","4924","N421YX","CLT","10:07","10:01","111","120","-6","10:20","19","0","0","0","0","0"
"YX","12/28/2022","4387","N114HQ","DCA","11:55","11:45","145","153","-10","12:04","19","0","0","0","0","0"
"YX","12/29/2021","3517","N749YX","EWR","12:40","13:14","177","170","34","13:42","28","0","0","0","0","27"
"YX","12/29/2021","3639","N740YX","EWR","20:00","20:05","177","172","5","20:16","11","0","0","0","0","0"
"YX","12/29/2021","4647","N428YX","PHL","14:16","14:35","161","206","19","15:49","74","19","0","45","0","0"
"YX","12/29/2021","4924","N407YX","CLT","10:07","10:07","111","117","0","10:24","17","0","0","0","0","0"
"YX","12/29/2022","4387","N401YX","DCA","11:55","11:50","145","161","-5","12:15","25","0","0","0","0","0"
"YX","12/30/2021","3517","N736YX","EWR","12:40","13:09","177","225","29","14:09","60","0","0","60","0","17"
"YX","12/30/2021","3639","N733YX","EWR","20:00","00:00","177","0","0","00:00","0","0","0","0","0","0"
"YX","12/30/2021","4647","N112HQ","PHL","14:16","14:12","161","214","-4","15:29","77","0","0","49","0","0"
"YX","12/30/2021","4924","N407YX","CLT","10:07","10:05","111","113","-2","10:20","15","0","0","0","0","0"
"YX","12/30/2022","4387","N439YX","DCA","11:55","11:45","145","161","-10","12:15","30","0","0","0","0","0"
"YX","12/30/2023","3661","N856RW","EWR","11:45","11:34","189","160","-11","11:53","19","0","0","0","0","0"
"YX","12/30/2023","4625","N417YX","ORD","12:50","12:54","200","189","4","13:16","22","0","0","0","0","0"
"YX","12/31/2021","3517","N722YX","EWR","12:40","12:35","177","167","-5","12:52","17","0","0","0","0","0"
"YX","12/31/2021","4647","N403YX","PHL","14:16","14:09","161","153","-7","14:24","15","0","0","0","0","0"
"YX","12/31/2021","4924","N407YX","CLT","10:07","13:06","111","112","179","13:28","22","0","0","1","0","179"
"YX","12/31/2022","3549","N733YX","EWR","19:17","20:28","170","160","71","20:46","18","0","0","8","0","53"

 SOURCE: Bureau of Transportation Statistics
