Detailed Statistics Departures  
Origin Airport: Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0778","N8622A","BWI","13:25","13:23","140","133","-2","13:35","12","0","0","0","0","0"
"WN","12/01/2021","0851","N410WN","DCA","12:50","12:45","140","146","-5","12:58","13","0","0","0","0","0"
"WN","12/01/2021","0943","N8614M","MDW","13:30","13:25","185","160","-5","13:40","15","0","0","0","0","0"
"WN","12/01/2021","1230","N443WN","BNA","08:15","08:10","125","114","-5","08:20","10","0","0","0","0","0"
"WN","12/01/2021","1501","N755SA","BWI","07:35","07:29","140","128","-6","07:39","10","0","0","0","0","0"
"WN","12/01/2021","2531","N495WN","LGA","12:00","11:54","180","160","-6","12:11","17","0","0","0","0","0"
"WN","12/01/2021","3133","N564WN","IND","16:20","16:15","145","143","-5","16:28","13","0","0","0","0","0"
"WN","12/01/2021","3306","N449WN","PIT","15:50","15:42","150","143","-8","15:58","16","0","0","0","0","0"
"WN","12/01/2021","3631","N738CB","ATL","16:15","16:11","105","94","-4","16:25","14","0","0","0","0","0"
"WN","12/01/2021","4072","N7829B","STL","14:20","14:16","155","144","-4","14:26","10","0","0","0","0","0"
"WN","12/01/2021","4277","N7887A","HOU","18:50","18:46","145","128","-4","18:53","7","0","0","0","0","0"
"WN","12/01/2021","4773","N8662F","BWI","17:35","17:33","145","129","-2","17:44","11","0","0","0","0","0"
"WN","12/01/2021","5102","N8570W","CMH","10:15","10:07","145","133","-8","10:22","15","0","0","0","0","0"
