Detailed Statistics Departures  
Origin Airport: Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1877","N828UA","ORD","15:30","15:37","182","172","7","15:52","15","0","0","0","0","0"
"UA","12/01/2021","2136","N453UA","EWR","19:00","19:02","165","165","2","19:14","12","0","0","0","0","0"
"UA","12/01/2021","2271","N453UA","EWR","11:15","11:18","169","169","3","11:39","21","0","0","0","0","0"
"UA","12/01/2021","2293","N412UA","EWR","17:00","16:56","165","180","-4","17:15","19","0","0","0","0","0"
"UA","12/01/2022","0746","N442UA","EWR","06:46","06:35","163","164","-11","06:47","12","0","0","0","0","0"
"UA","12/01/2022","2085","N878UA","ORD","15:10","15:01","180","175","-9","15:19","18","0","0","0","0","0"
"UA","12/01/2022","2632","N438UA","EWR","12:13","12:31","167","217","18","12:56","25","0","0","65","0","3"
"UA","12/01/2023","0224","N37468","ORD","07:20","09:00","181","172","100","09:14","14","91","0","0","0","0"
"UA","12/01/2023","1309","N37462","EWR","06:00","06:14","166","156","14","06:28","14","0","0","0","0","0"
"UA","12/01/2023","2497","N73283","IAD","13:45","13:31","136","150","-14","13:50","19","0","0","0","0","0"
"UA","12/01/2023","2604","N77571","ORD","15:28","15:18","181","190","-10","15:36","18","0","0","0","0","0"
"UA","12/01/2023","2612","N4901U","EWR","11:27","11:20","173","160","-7","11:35","15","0","0","0","0","0"
"UA","12/02/2021","1877","N836UA","ORD","15:30","15:21","182","172","-9","15:30","9","0","0","0","0","0"
"UA","12/02/2021","2136","N830UA","EWR","19:00","19:43","165","210","43","20:05","22","43","0","45","0","0"
"UA","12/02/2021","2271","N830UA","EWR","11:15","11:03","169","176","-12","11:14","11","0","0","0","0","0"
"UA","12/02/2021","2293","N483UA","EWR","17:15","17:22","164","170","7","17:31","9","0","0","0","0","0"
"UA","12/02/2022","0746","N24702","EWR","07:00","06:53","163","171","-7","07:05","12","0","0","0","0","0"
"UA","12/02/2022","2085","N817UA","ORD","15:10","16:36","180","180","86","16:46","10","14","0","0","0","72"
"UA","12/02/2022","2632","","EWR","12:13","00:00","167","0","0","00:00","0","0","0","0","0","0"
"UA","12/02/2023","0224","N13750","ORD","07:20","07:15","181","182","-5","07:26","11","0","0","0","0","0"
