Detailed Statistics Departures  
Origin Airport: Sault Ste. Marie, MI: Chippewa County International (CIU)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4254","N477CA","DTW","06:35","06:30","78","65","-5","06:40","10","0","0","0","0","0"
"OO","12/01/2021","4302","N919EV","MSP","13:45","13:35","112","105","-10","14:01","26","0","0","0","0","0"
"OO","12/01/2022","4241","N702BR","MSP","20:07","20:05","120","95","-2","20:16","11","0","0","0","0","0"
"OO","12/01/2022","4324","N936EV","DTW","15:52","15:45","89","58","-7","15:52","7","0","0","0","0","0"
"OO","12/01/2023","4231","N625CA","DTW","13:33","13:23","88","75","-10","13:37","14","0","0","0","0","0"
"OO","12/01/2023","4251","N712SK","MSP","07:07","07:03","118","112","-4","07:35","32","0","0","0","0","0"
"OO","12/02/2021","4254","N447SW","DTW","06:35","06:27","78","65","-8","06:35","8","0","0","0","0","0"
"OO","12/02/2021","4302","N931EV","MSP","13:45","13:35","112","103","-10","13:54","19","0","0","0","0","0"
"OO","12/02/2022","4241","N459SW","MSP","20:07","19:57","120","100","-10","20:07","10","0","0","0","0","0"
"OO","12/02/2022","4324","N459SW","DTW","15:52","16:07","89","77","15","16:30","23","0","0","0","0","0"
"OO","12/02/2023","4231","N712EV","DTW","13:33","13:21","88","79","-12","13:37","16","0","0","0","0","0"
"OO","12/02/2023","4251","N625CA","MSP","07:07","07:06","118","102","-1","07:30","24","0","0","0","0","0"
"OO","12/03/2021","4254","N921EV","DTW","06:35","06:28","78","79","-7","06:58","30","0","0","0","0","0"
"OO","12/03/2021","4302","N439SW","MSP","13:45","13:43","112","118","-2","13:58","15","0","0","0","0","0"
"OO","12/03/2022","4241","N446SW","MSP","15:52","15:46","117","118","-6","16:18","32","0","0","0","0","0"
"OO","12/03/2023","4231","N767SK","DTW","13:33","15:47","88","65","134","15:58","11","111","0","0","0","0"
"OO","12/03/2023","4251","N767SK","MSP","07:07","07:07","118","88","0","07:22","15","0","0","0","0","0"
"OO","12/04/2021","4254","N498CA","DTW","06:35","06:28","78","85","-7","07:05","37","0","0","0","0","0"
"OO","12/04/2021","4302","N702BR","MSP","13:45","13:41","112","118","-4","14:08","27","0","0","0","0","0"
"OO","12/04/2022","4241","N442SW","MSP","20:07","19:57","120","100","-10","20:03","6","0","0","0","0","0"
"OO","12/04/2022","4324","N446SW","DTW","15:52","15:50","89","55","-2","15:57","7","0","0","0","0","0"
"OO","12/04/2023","4231","N712EV","DTW","13:33","13:25","88","74","-8","13:43","18","0","0","0","0","0"
"OO","12/04/2023","4251","N712EV","MSP","07:07","08:23","118","86","76","08:33","10","44","0","0","0","0"
"OO","12/05/2021","4254","N921EV","DTW","06:25","06:18","88","94","-7","07:00","42","0","0","0","0","0"
"OO","12/05/2021","4302","N873AS","MSP","13:45","14:08","116","116","23","14:41","33","0","23","0","0","0"
"OO","12/05/2022","4241","N459SW","MSP","20:07","19:58","120","105","-9","20:14","16","0","0","0","0","0"
"OO","12/05/2023","4231","N767SK","DTW","13:33","13:26","88","71","-7","13:34","8","0","0","0","0","0"
"OO","12/05/2023","4251","N712EV","MSP","07:07","06:56","118","118","-11","07:33","37","0","0","0","0","0"
"OO","12/06/2021","4254","N477CA","DTW","06:25","06:25","88","98","0","07:07","42","0","0","0","0","0"
"OO","12/06/2021","4302","N931EV","MSP","13:45","17:05","116","121","200","17:42","37","0","205","0","0","0"
"OO","12/06/2022","4241","N449SW","MSP","20:07","20:01","120","96","-6","20:16","15","0","0","0","0","0"
"OO","12/06/2022","4324","N449SW","DTW","15:52","15:47","89","74","-5","16:04","17","0","0","0","0","0"
"OO","12/06/2023","4231","N738SK","DTW","13:33","13:27","88","59","-6","13:34","7","0","0","0","0","0"
"OO","12/06/2023","4251","N689CA","MSP","07:07","06:57","118","117","-10","07:34","37","0","0","0","0","0"
"OO","12/07/2021","4254","N702BR","DTW","06:25","09:49","88","86","204","10:19","30","202","0","0","0","0"
"OO","12/07/2021","4302","N931EV","MSP","13:45","14:02","116","118","17","14:20","18","0","19","0","0","0"
"OO","12/07/2022","4241","N886AS","MSP","20:07","19:57","120","102","-10","20:09","12","0","0","0","0","0"
"OO","12/07/2022","4324","N886AS","DTW","15:52","15:45","89","91","-7","16:19","34","0","0","0","0","0"
"OO","12/07/2023","4231","N604SK","DTW","13:33","13:26","88","65","-7","13:40","14","0","0","0","0","0"
