Detailed Statistics Departures  
Origin Airport: Savannah, GA: Savannah/Hilton Head International (SAV)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","1156","321NV","CAK","17:34","21:09","115","110","215","21:27","18","210","0","0","0","0"
"G4","12/01/2022","2779","321NV","CVG","12:21","12:43","100","100","22","12:57","14","22","0","0","0","0"
"G4","12/01/2023","1151","317NV","CAK","09:00","08:56","112","104","-4","09:09","13","0","0","0","0","0"
"G4","12/02/2021","2145","314NV","CVG","08:00","07:58","99","102","-2","08:10","12","0","0","0","0","0"
"G4","12/02/2021","2150","314NV","LCK","12:47","12:33","97","106","-14","12:46","13","0","0","0","0","0"
"G4","12/02/2022","2774","326NV","PIT","17:42","17:30","100","103","-12","17:43","13","0","0","0","0","0"
"G4","12/02/2022","2781","321NV","EWR","10:00","09:48","125","128","-12","10:04","16","0","0","0","0","0"
"G4","12/02/2022","2809","321NV","LCK","16:45","16:30","99","103","-15","16:43","13","0","0","0","0","0"
"G4","12/03/2023","0423","312NV","CVG","20:45","21:48","106","97","63","22:00","12","0","0","0","0","54"
"G4","12/03/2023","2805","318NV","LCK","09:00","08:50","103","94","-10","09:00","10","0","0","0","0","0"
"G4","12/04/2022","1156","321NV","CAK","17:34","17:17","115","117","-17","17:28","11","0","0","0","0","0"
"G4","12/04/2022","2779","321NV","CVG","12:21","12:15","100","114","-6","12:27","12","0","0","0","0","0"
"G4","12/04/2023","2803","318NV","CAK","09:00","08:53","112","106","-7","09:10","17","0","0","0","0","0"
"G4","12/05/2021","2145","314NV","CVG","08:00","07:52","99","92","-8","08:02","10","0","0","0","0","0"
"G4","12/05/2021","2150","315NV","LCK","12:47","12:28","97","94","-19","12:37","9","0","0","0","0","0"
"G4","12/05/2022","2774","326NV","PIT","17:42","17:38","100","109","-4","17:54","16","0","0","0","0","0"
"G4","12/05/2022","2781","321NV","EWR","10:00","09:54","125","119","-6","10:05","11","0","0","0","0","0"
"G4","12/05/2022","2805","321NV","LCK","16:45","16:36","99","117","-9","16:49","13","0","0","0","0","0"
"G4","12/07/2023","0423","272NV","CVG","12:55","12:48","107","109","-7","13:04","16","0","0","0","0","0"
"G4","12/07/2023","1173","317NV","LCK","09:00","09:06","105","99","6","09:16","10","0","0","0","0","0"
"G4","12/08/2022","2779","321NV","CVG","12:22","12:07","102","93","-15","12:21","14","0","0","0","0","0"
"G4","12/08/2022","2800","321NV","CAK","17:39","17:33","115","97","-6","17:45","12","0","0","0","0","0"
"G4","12/08/2023","1151","317NV","CAK","09:00","08:44","112","103","-16","08:57","13","0","0","0","0","0"
