Detailed Statistics Departures  
Origin Airport: Savannah, GA: Savannah/Hilton Head International (SAV)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","2435","N771XF","DFW","07:30","07:26","180","179","-4","07:39","13","0","0","0","0","0"
"AA","12/01/2021","2740","N835AW","DFW","16:19","16:14","179","162","-5","16:25","11","0","0","0","0","0"
"AA","12/01/2022","0509","N936NN","DFW","17:53","19:07","176","171","74","19:22","15","62","0","0","0","7"
"AA","12/01/2022","0629","N3014R","CLT","06:54","06:44","76","58","-10","06:56","12","0","0","0","0","0"
"AA","12/01/2022","1614","N667AW","CLT","11:05","10:57","76","81","-8","11:22","25","0","0","0","0","0"
"AA","12/01/2022","1898","N709UW","CLT","15:16","16:07","76","73","51","16:27","20","0","0","0","0","48"
"AA","12/01/2022","2349","N769US","CLT","20:15","20:04","75","75","-11","20:21","17","0","0","0","0","0"
"AA","12/01/2022","2435","N339PL","DFW","07:39","07:34","176","185","-5","07:51","17","0","0","0","0","0"
"AA","12/01/2023","0776","N741UW","CLT","06:40","06:37","75","72","-3","06:51","14","0","0","0","0","0"
"AA","12/01/2023","0927","N601AW","DFW","19:39","19:30","178","190","-9","19:50","20","0","0","0","0","0"
"AA","12/01/2023","1287","N741UW","CLT","11:01","11:00","72","80","-1","11:16","16","0","0","0","0","0"
"AA","12/01/2023","1315","N667AW","CLT","15:09","00:39","72","63","570","00:52","13","561","0","0","0","0"
"AA","12/01/2023","2435","N771XF","DFW","07:16","07:10","178","163","-6","07:23","13","0","0","0","0","0"
"AA","12/01/2023","2740","N904AN","DFW","15:42","15:31","180","186","-11","15:52","21","0","0","0","0","0"
"AA","12/02/2021","2435","N715UW","DFW","07:30","07:21","180","159","-9","07:34","13","0","0","0","0","0"
"AA","12/02/2021","2740","N770UW","DFW","16:19","16:14","179","166","-5","16:24","10","0","0","0","0","0"
"AA","12/02/2022","0509","N991AN","DFW","17:53","17:42","176","175","-11","17:56","14","0","0","0","0","0"
"AA","12/02/2022","0629","N9025B","CLT","06:54","06:49","76","60","-5","07:01","12","0","0","0","0","0"
"AA","12/02/2022","1614","N664AW","CLT","11:05","11:03","76","73","-2","11:14","11","0","0","0","0","0"
"AA","12/02/2022","1898","N804AW","CLT","15:16","15:15","76","68","-1","15:27","12","0","0","0","0","0"
"AA","12/02/2022","2349","N840AW","CLT","20:15","20:07","75","76","-8","20:22","15","0","0","0","0","0"
"AA","12/02/2022","2435","N959AN","DFW","07:39","07:31","176","178","-8","07:51","20","0","0","0","0","0"
"AA","12/02/2023","0776","N822AW","CLT","06:40","06:34","75","63","-6","06:52","18","0","0","0","0","0"
"AA","12/02/2023","1315","N660AW","CLT","15:09","14:59","72","85","-10","15:16","17","0","0","0","0","0"
"AA","12/02/2023","2435","N805AW","DFW","07:16","07:09","178","180","-7","07:31","22","0","0","0","0","0"
"AA","12/02/2023","2740","N804NN","DFW","15:42","15:31","180","169","-11","15:45","14","0","0","0","0","0"
"AA","12/03/2021","2435","N177XF","DFW","07:30","07:22","180","160","-8","07:32","10","0","0","0","0","0"
"AA","12/03/2021","2740","N823AW","DFW","16:19","16:15","179","155","-4","16:25","10","0","0","0","0","0"
"AA","12/03/2022","0509","N852NN","DFW","17:53","17:46","176","172","-7","18:03","17","0","0","0","0","0"
"AA","12/03/2022","0629","N9006","CLT","06:54","06:59","76","74","5","07:08","9","0","0","0","0","0"
"AA","12/03/2022","1898","N717UW","CLT","15:16","15:16","76","80","0","15:36","20","0","0","0","0","0"
"AA","12/03/2022","2349","N177XF","CLT","20:15","20:06","75","75","-9","20:24","18","0","0","0","0","0"
"AA","12/03/2022","2435","N951NN","DFW","07:39","07:38","176","171","-1","07:52","14","0","0","0","0","0"
"AA","12/03/2023","0776","N764US","CLT","06:40","06:38","75","65","-2","06:48","10","0","0","0","0","0"
"AA","12/03/2023","0927","N123UW","DFW","19:39","19:27","178","178","-12","19:41","14","0","0","0","0","0"
"AA","12/03/2023","1287","N818AW","CLT","11:01","11:18","72","68","17","11:31","13","0","0","0","0","0"
"AA","12/03/2023","1315","N118US","CLT","15:09","15:09","72","72","0","15:25","16","0","0","0","0","0"
"AA","12/03/2023","2435","N651AW","DFW","07:16","07:14","178","182","-2","07:28","14","0","0","0","0","0"
"AA","12/03/2023","2740","N908NN","DFW","15:42","15:43","180","201","1","16:02","19","1","0","21","0","0"
"AA","12/04/2021","2435","N836AW","DFW","07:30","08:49","180","164","79","09:06","17","63","0","0","0","0"
