Detailed Statistics Departures  
Origin Airport: Savannah, GA: Savannah/Hilton Head International (SAV)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4359","N201NN","MIA","08:00","07:57","92","82","-3","08:08","11","0","0","0","0","0"
"MQ","12/01/2021","4405","N302RN","MIA","17:39","17:34","91","87","-5","17:45","11","0","0","0","0","0"
"MQ","12/01/2022","3702","N240NN","MIA","06:15","06:08","90","93","-7","06:20","12","0","0","0","0","0"
"MQ","12/01/2023","3356","N263NN","MIA","06:04","05:59","91","85","-5","06:12","13","0","0","0","0","0"
"MQ","12/01/2023","3492","N263NN","MIA","16:38","16:38","92","85","0","16:50","12","0","0","0","0","0"
"MQ","12/01/2023","3847","N282NN","CLT","18:02","18:00","81","83","-2","18:12","12","0","0","0","0","0"
"MQ","12/02/2021","4359","N245NN","MIA","06:10","06:06","89","77","-4","06:17","11","0","0","0","0","0"
"MQ","12/02/2021","4405","N288NN","MIA","17:39","18:40","91","88","61","18:57","17","4","0","0","0","54"
"MQ","12/02/2022","3702","N284JN","MIA","06:15","06:10","90","84","-5","06:25","15","0","0","0","0","0"
"MQ","12/02/2023","3356","N283NN","MIA","06:04","06:01","91","89","-3","06:17","16","0","0","0","0","0"
"MQ","12/02/2023","3492","N303DD","MIA","16:42","16:46","92","94","4","17:04","18","0","0","0","0","0"
"MQ","12/02/2023","3847","N202NN","CLT","18:02","17:58","81","71","-4","18:15","17","0","0","0","0","0"
"MQ","12/03/2021","4359","N238NN","MIA","06:10","06:04","89","80","-6","06:15","11","0","0","0","0","0"
"MQ","12/03/2021","4405","N255NN","MIA","17:39","17:37","91","88","-2","17:52","15","0","0","0","0","0"
"MQ","12/03/2022","3702","N284JN","MIA","06:15","06:44","90","75","29","06:53","9","0","0","0","0","0"
"MQ","12/03/2022","3789","N239NN","MIA","16:35","16:34","92","77","-1","16:46","12","0","0","0","0","0"
"MQ","12/03/2023","3356","N306DD","MIA","06:04","06:00","91","86","-4","06:14","14","0","0","0","0","0"
"MQ","12/03/2023","3492","N306DD","MIA","16:38","16:47","92","95","9","17:03","16","0","0","0","0","0"
"MQ","12/03/2023","3847","N223NN","CLT","18:02","17:58","81","70","-4","18:11","13","0","0","0","0","0"
"MQ","12/04/2021","3796","N207AN","MIA","18:44","18:42","92","91","-2","18:54","12","0","0","0","0","0"
"MQ","12/04/2021","4359","N274NN","MIA","08:13","08:10","92","87","-3","08:21","11","0","0","0","0","0"
"MQ","12/04/2021","4360","N243NN","MIA","13:50","13:42","93","89","-8","14:00","18","0","0","0","0","0"
"MQ","12/04/2022","3702","N241NN","MIA","06:15","06:07","90","86","-8","06:21","14","0","0","0","0","0"
"MQ","12/04/2023","3356","N287NN","MIA","06:04","06:02","91","88","-2","06:15","13","0","0","0","0","0"
"MQ","12/04/2023","3492","N298FR","MIA","16:38","18:11","92","84","93","18:24","13","0","0","51","0","34"
"MQ","12/04/2023","3847","N302RN","CLT","18:02","17:53","81","82","-9","18:19","26","0","0","0","0","0"
"MQ","12/05/2021","4359","N283NN","MIA","06:10","06:06","89","82","-4","06:14","8","0","0","0","0","0"
"MQ","12/05/2021","4405","N243NN","MIA","17:39","17:35","91","82","-4","17:42","7","0","0","0","0","0"
