Detailed Statistics Departures  
Origin Airport: Savannah, GA: Savannah/Hilton Head International (SAV)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4689","N232PQ","LGA","11:50","12:12","129","120","22","12:27","15","0","0","0","0","0"
"9E","12/01/2021","4770","N279PQ","LGA","06:24","06:20","131","111","-4","06:31","11","0","0","0","0","0"
"9E","12/01/2021","5153","N927XJ","JFK","12:06","12:06","128","117","0","12:17","11","0","0","0","0","0"
"9E","12/01/2021","5183","N326PQ","JFK","17:59","17:57","130","113","-2","18:07","10","0","0","0","0","0"
"9E","12/01/2022","4646","N299PQ","JFK","18:40","19:10","134","135","30","19:32","22","0","0","1","0","30"
"9E","12/01/2022","4745","N279PQ","JFK","06:25","06:25","133","120","0","06:43","18","0","0","0","0","0"
"9E","12/01/2022","4770","N330PQ","LGA","07:00","06:55","127","139","-5","07:15","20","0","0","0","0","0"
"9E","12/01/2022","5153","N331PQ","JFK","12:05","12:49","129","148","44","13:31","42","15","0","19","0","29"
"9E","12/01/2022","5188","N307PQ","LGA","14:50","14:50","128","125","0","15:07","17","0","0","0","0","0"
"9E","12/01/2023","4859","N297PQ","JFK","10:43","11:00","136","128","17","11:17","17","0","0","0","0","0"
"9E","12/01/2023","4908","N315PQ","LGA","12:21","12:21","128","117","0","12:39","18","0","0","0","0","0"
"9E","12/01/2023","4948","N133EV","JFK","07:30","07:28","146","126","-2","07:43","15","0","0","0","0","0"
"9E","12/01/2023","5332","N324PQ","LGA","06:24","06:26","131","111","2","06:36","10","0","0","0","0","0"
"9E","12/01/2023","5338","N935XJ","LGA","16:45","16:40","132","130","-5","17:02","22","0","0","0","0","0"
"9E","12/01/2023","5470","N297PQ","JFK","17:39","17:46","140","144","7","18:02","16","0","0","0","0","0"
"9E","12/02/2021","4689","N314PQ","LGA","11:50","11:46","129","122","-4","11:56","10","0","0","0","0","0"
"9E","12/02/2021","4770","N691CA","LGA","06:24","06:19","131","126","-5","06:31","12","0","0","0","0","0"
"9E","12/02/2021","5153","N295PQ","JFK","12:06","12:01","128","132","-5","12:22","21","0","0","0","0","0"
"9E","12/02/2021","5183","N605LR","JFK","17:59","17:57","130","136","-2","18:21","24","0","0","0","0","0"
"9E","12/02/2022","4646","N183GJ","JFK","18:40","18:35","134","135","-5","18:50","15","0","0","0","0","0"
"9E","12/02/2022","4745","N341PQ","JFK","06:25","06:22","133","118","-3","06:38","16","0","0","0","0","0"
"9E","12/02/2022","4770","N903XJ","LGA","07:00","06:55","127","136","-5","07:18","23","0","0","0","0","0"
"9E","12/02/2022","5153","N183GJ","JFK","12:05","12:01","129","119","-4","12:15","14","0","0","0","0","0"
"9E","12/02/2022","5188","N301PQ","LGA","14:50","14:45","128","122","-5","14:59","14","0","0","0","0","0"
"9E","12/02/2023","4859","N329PQ","JFK","10:43","10:52","136","133","9","11:24","32","0","0","0","0","0"
"9E","12/02/2023","4948","N306PQ","JFK","07:30","07:36","146","118","6","07:49","13","0","0","0","0","0"
"9E","12/02/2023","4976","N906XJ","LGA","08:00","08:01","137","128","1","08:19","18","0","0","0","0","0"
"9E","12/02/2023","5470","N329PQ","JFK","17:39","17:36","141","124","-3","17:48","12","0","0","0","0","0"
"9E","12/03/2021","4689","N147PQ","LGA","11:50","11:46","129","124","-4","12:01","15","0","0","0","0","0"
"9E","12/03/2021","4770","N901XJ","LGA","06:24","06:20","131","111","-4","06:31","11","0","0","0","0","0"
"9E","12/03/2021","5153","N348PQ","JFK","12:06","12:04","128","117","-2","12:18","14","0","0","0","0","0"
"9E","12/03/2021","5183","N295PQ","JFK","17:59","17:54","130","132","-5","18:07","13","0","0","0","0","0"
"9E","12/03/2022","4646","N304PQ","JFK","18:40","18:56","134","132","16","19:15","19","0","0","0","0","0"
"9E","12/03/2022","4745","N607LR","JFK","06:25","06:24","133","127","-1","06:36","12","0","0","0","0","0"
"9E","12/03/2022","4770","N341PQ","LGA","07:00","06:58","127","130","-2","07:20","22","0","0","0","0","0"
"9E","12/03/2022","5153","N304PQ","JFK","12:05","12:00","129","127","-5","12:11","11","0","0","0","0","0"
"9E","12/03/2023","4859","N908XJ","JFK","10:43","17:02","136","111","379","17:15","13","0","0","0","0","354"
"9E","12/03/2023","4908","N184GJ","LGA","12:21","12:51","128","105","30","13:03","12","0","0","0","0","0"
"9E","12/03/2023","4948","N325PQ","JFK","07:30","07:35","146","123","5","07:51","16","0","0","0","0","0"
"9E","12/03/2023","4976","N924XJ","LGA","07:00","06:54","133","113","-6","07:08","14","0","0","0","0","0"
"9E","12/03/2023","5338","N176PQ","LGA","16:45","16:31","132","137","-14","16:52","21","0","0","0","0","0"
"9E","12/03/2023","5470","N307PQ","JFK","17:39","19:19","140","119","100","19:33","14","0","0","0","0","79"
"9E","12/04/2021","4770","N186PQ","LGA","09:30","09:25","129","113","-5","09:39","14","0","0","0","0","0"
"9E","12/04/2021","5153","N306PQ","JFK","12:06","12:08","128","116","2","12:24","16","0","0","0","0","0"
"9E","12/04/2021","5183","N309PQ","JFK","17:59","18:09","130","128","10","18:30","21","0","0","0","0","0"
"9E","12/04/2022","4646","N909XJ","JFK","18:40","18:35","134","119","-5","18:44","9","0","0","0","0","0"
"9E","12/04/2022","4745","N930XJ","JFK","06:25","06:21","133","117","-4","06:33","12","0","0","0","0","0"
"9E","12/04/2022","4770","N927XJ","LGA","07:00","07:03","127","116","3","07:18","15","0","0","0","0","0"
"9E","12/04/2022","5153","N909XJ","JFK","12:05","12:02","129","116","-3","12:14","12","0","0","0","0","0"
"9E","12/04/2022","5188","N314PQ","LGA","14:50","14:44","128","118","-6","15:00","16","0","0","0","0","0"
"9E","12/04/2023","4859","N319PQ","JFK","10:43","10:58","136","117","15","11:18","20","0","0","0","0","0"
"9E","12/04/2023","4908","N311PQ","LGA","12:24","13:13","125","114","49","13:32","19","38","0","0","0","0"
"9E","12/04/2023","4948","N138EV","JFK","07:30","07:25","146","104","-5","07:36","11","0","0","0","0","0"
"9E","12/04/2023","5332","N311PQ","LGA","06:06","05:56","130","111","-10","06:12","16","0","0","0","0","0"
"9E","12/04/2023","5338","N292PQ","LGA","16:45","16:40","132","115","-5","16:55","15","0","0","0","0","0"
"9E","12/04/2023","5470","N319PQ","JFK","17:39","17:40","140","118","1","17:54","14","0","0","0","0","0"
