Detailed Statistics Departures  
Origin Airport: Savannah, GA: Savannah/Hilton Head International (SAV)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6167","N85320","IAH","16:45","16:43","169","161","-2","17:03","20","0","0","0","0","0"
"YV","12/01/2021","6171","N87306","IAD","19:00","18:51","107","90","-9","19:03","12","0","0","0","0","0"
"YV","12/01/2021","6335","N80348","IAH","07:00","06:56","168","156","-4","07:10","14","0","0","0","0","0"
"YV","12/01/2022","6090","N89342","IAD","09:45","09:43","104","95","-2","09:54","11","0","0","0","0","0"
"YV","12/01/2023","6026","N89313","IAD","13:52","13:44","105","91","-8","13:53","9","0","0","0","0","0"
"YV","12/01/2023","6050","N88327","IAD","19:17","19:12","105","94","-5","19:24","12","0","0","0","0","0"
"YV","12/01/2023","6094","N85356","IAD","09:45","09:49","105","92","4","10:02","13","0","0","0","0","0"
"YV","12/01/2023","6185","N87360","IAH","15:35","15:31","165","165","-4","15:41","10","0","0","0","0","0"
"YV","12/01/2023","6220","N85323","IAH","07:00","06:53","170","149","-7","07:03","10","0","0","0","0","0"
"YV","12/02/2021","6167","N82338","IAH","16:45","16:44","169","144","-1","16:57","13","0","0","0","0","0"
"YV","12/02/2021","6171","N86322","IAD","19:00","18:55","107","118","-5","19:19","24","0","0","0","0","0"
"YV","12/02/2021","6335","N88332","IAH","07:00","06:59","168","160","-1","07:10","11","0","0","0","0","0"
"YV","12/02/2022","6090","N88325","IAD","09:45","09:44","104","109","-1","10:03","19","0","0","0","0","0"
"YV","12/02/2023","6026","N85323","IAD","13:52","13:41","105","81","-11","13:50","9","0","0","0","0","0"
"YV","12/02/2023","6050","N89342","IAD","19:17","19:06","105","139","-11","19:16","10","0","0","23","0","0"
"YV","12/02/2023","6094","N89317","IAD","09:45","09:38","105","93","-7","09:59","21","0","0","0","0","0"
"YV","12/02/2023","6185","N87318","IAH","15:35","15:35","165","163","0","15:49","14","0","0","0","0","0"
"YV","12/02/2023","6220","N88335","IAH","07:00","06:54","170","165","-6","07:05","11","0","0","0","0","0"
"YV","12/03/2021","6167","N87318","IAH","16:45","00:00","169","0","0","00:00","0","0","0","0","0","0"
