Detailed Statistics Departures  
Origin Airport: Savannah, GA: Savannah/Hilton Head International (SAV)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3593","N641RW","EWR","19:55","19:47","124","125","-8","20:07","20","0","0","0","0","0"
"YX","12/01/2021","3611","N979RP","IAD","05:45","05:34","105","97","-11","05:46","12","0","0","0","0","0"
"YX","12/01/2021","3619","N632RW","EWR","15:35","15:32","132","124","-3","15:47","15","0","0","0","0","0"
"YX","12/01/2021","3622","N742YX","IAD","14:40","14:39","105","106","-1","15:02","23","0","0","0","0","0"
"YX","12/01/2021","3625","N744YX","ORD","13:00","12:53","158","131","-7","13:04","11","0","0","0","0","0"
"YX","12/01/2021","3629","N649RW","ORD","17:00","16:51","157","154","-9","17:17","26","0","0","0","0","0"
"YX","12/01/2021","3681","N657RW","EWR","12:00","11:53","142","132","-7","12:10","17","0","0","0","0","0"
"YX","12/01/2021","4524","N410YX","CLT","18:22","18:19","83","74","-3","18:36","17","0","0","0","0","0"
"YX","12/01/2022","3714","N855RW","ORD","17:05","16:52","159","140","-13","17:03","11","0","0","0","0","0"
"YX","12/01/2022","4503","N424YX","PHL","11:06","11:05","120","127","-1","11:25","20","0","0","0","0","0"
"YX","12/01/2023","4490","N418YX","PHL","10:59","10:55","120","109","-4","11:07","12","0","0","0","0","0"
"YX","12/02/2021","3593","N654RW","EWR","19:55","20:22","124","175","27","20:45","23","0","0","78","0","0"
"YX","12/02/2021","3611","N858RW","IAD","05:45","05:38","105","100","-7","05:50","12","0","0","0","0","0"
"YX","12/02/2021","3619","N633RW","EWR","15:35","15:28","132","144","-7","15:49","21","0","0","0","0","0"
"YX","12/02/2021","3622","N721YX","IAD","14:40","14:37","105","132","-3","15:21","44","0","0","24","0","0"
"YX","12/02/2021","3625","N638RW","ORD","12:30","12:29","158","153","-1","12:44","15","0","0","0","0","0"
"YX","12/02/2021","3629","N865RW","ORD","17:00","17:02","157","147","2","17:16","14","0","0","0","0","0"
"YX","12/02/2021","3681","N742YX","EWR","12:10","12:05","139","137","-5","12:20","15","0","0","0","0","0"
"YX","12/02/2021","4524","N132HQ","CLT","18:04","17:54","83","82","-10","18:17","23","0","0","0","0","0"
"YX","12/02/2022","3689","N858RW","ORD","06:20","06:12","154","140","-8","06:24","12","0","0","0","0","0"
"YX","12/02/2022","3714","N858RW","ORD","17:05","16:56","159","152","-9","17:13","17","0","0","0","0","0"
"YX","12/02/2022","4503","N420YX","PHL","11:06","11:11","120","114","5","11:25","14","0","0","0","0","0"
"YX","12/02/2023","3439","N641RW","EWR","16:53","16:58","138","119","5","17:09","11","0","0","0","0","0"
"YX","12/02/2023","3501","N739YX","EWR","06:01","05:56","137","119","-5","06:08","12","0","0","0","0","0"
"YX","12/02/2023","3616","N654RW","EWR","11:00","10:54","136","118","-6","11:10","16","0","0","0","0","0"
"YX","12/02/2023","4490","N441YX","PHL","10:59","10:57","120","107","-2","11:12","15","0","0","0","0","0"
"YX","12/02/2023","5729","N223JQ","LGA","11:30","11:25","128","117","-5","11:41","16","0","0","0","0","0"
"YX","12/02/2023","5741","N205JQ","BOS","15:01","14:57","150","142","-4","15:08","11","0","0","0","0","0"
"YX","12/03/2021","3611","N861RW","IAD","05:45","05:40","105","93","-5","05:49","9","0","0","0","0","0"
"YX","12/03/2021","3619","N640RW","EWR","15:35","15:40","132","132","5","16:03","23","0","0","0","0","0"
"YX","12/03/2021","3622","N747YX","IAD","14:40","14:39","105","108","-1","15:04","25","0","0","0","0","0"
"YX","12/03/2021","3625","N740YX","ORD","12:30","12:25","158","151","-5","12:38","13","0","0","0","0","0"
"YX","12/03/2021","3629","N633RW","ORD","17:00","16:53","157","157","-7","17:10","17","0","0","0","0","0"
"YX","12/03/2021","3681","N724YX","EWR","12:10","12:05","142","127","-5","12:18","13","0","0","0","0","0"
"YX","12/03/2021","4524","N115HQ","CLT","18:04","18:04","83","83","0","18:28","24","0","0","0","0","0"
"YX","12/03/2022","3507","N645RW","EWR","11:53","11:47","131","136","-6","12:07","20","0","0","0","0","0"
"YX","12/03/2022","3523","N730YX","EWR","20:19","20:09","131","127","-10","20:21","12","0","0","0","0","0"
"YX","12/03/2022","3689","N649RW","ORD","06:20","06:09","154","150","-11","06:20","11","0","0","0","0","0"
"YX","12/03/2022","3714","N649RW","ORD","17:05","17:00","159","161","-5","17:18","18","0","0","0","0","0"
"YX","12/03/2022","4503","N112HQ","PHL","11:06","10:56","120","145","-10","11:12","16","0","0","15","0","0"
"YX","12/03/2023","3439","N755YX","EWR","15:12","15:11","138","109","-1","15:28","17","0","0","0","0","0"
"YX","12/03/2023","3501","N761YX","EWR","06:01","05:56","137","105","-5","06:08","12","0","0","0","0","0"
"YX","12/03/2023","4490","N424YX","PHL","10:59","10:48","120","114","-11","11:05","17","0","0","0","0","0"
"YX","12/03/2023","5741","N219YX","BOS","12:00","11:49","150","136","-11","12:04","15","0","0","0","0","0"
"YX","12/04/2021","3560","N979RP","ORD","13:00","12:56","158","144","-4","13:17","21","0","0","0","0","0"
"YX","12/04/2021","3622","N730YX","IAD","14:40","14:36","105","93","-4","14:50","14","0","0","0","0","0"
"YX","12/04/2021","4524","N453YX","CLT","18:04","17:59","83","74","-5","18:19","20","0","0","0","0","0"
"YX","12/04/2021","4896","N416YX","DCA","19:34","19:22","101","88","-12","19:33","11","0","0","0","0","0"
"YX","12/04/2022","3689","N649RW","ORD","06:20","06:18","154","158","-2","06:34","16","0","0","0","0","0"
"YX","12/04/2022","3714","N855RW","ORD","17:05","16:54","159","143","-11","17:05","11","0","0","0","0","0"
"YX","12/04/2022","4503","N443YX","PHL","11:06","11:50","120","111","44","12:05","15","0","0","0","0","35"
"YX","12/04/2023","3439","N770YX","EWR","15:34","15:34","138","130","0","15:57","23","0","0","0","0","0"
"YX","12/04/2023","3616","N739YX","EWR","11:10","12:26","136","133","76","12:50","24","73","0","0","0","0"
"YX","12/04/2023","4490","N123HQ","PHL","10:59","10:58","120","103","-1","11:15","17","0","0","0","0","0"
"YX","12/05/2021","3560","N865RW","ORD","13:00","12:57","158","155","-3","13:17","20","0","0","0","0","0"
"YX","12/05/2021","3593","N653RW","EWR","19:55","19:45","124","166","-10","20:06","21","0","0","32","0","0"
"YX","12/05/2021","3601","N729YX","EWR","12:10","12:05","140","144","-5","12:17","12","0","0","0","0","0"
"YX","12/05/2021","3611","N650RW","IAD","05:45","05:48","105","91","3","06:00","12","0","0","0","0","0"
"YX","12/05/2021","3622","N642RW","IAD","14:40","14:43","105","103","3","15:04","21","0","0","0","0","0"
"YX","12/05/2021","3681","N646RW","EWR","15:59","16:01","132","127","2","16:14","13","0","0","0","0","0"
"YX","12/05/2021","4524","N417YX","CLT","18:04","17:55","83","88","-9","18:15","20","0","0","0","0","0"
"YX","12/05/2022","3689","N649RW","ORD","06:20","06:10","154","150","-10","06:30","20","0","0","0","0","0"
"YX","12/05/2022","3714","N855RW","ORD","17:05","16:59","159","142","-6","17:14","15","0","0","0","0","0"
"YX","12/05/2022","4503","N451YX","PHL","11:06","10:57","120","110","-9","11:10","13","0","0","0","0","0"
"YX","12/05/2023","3439","N761YX","EWR","15:34","15:33","138","140","-1","16:04","31","0","0","0","0","0"
"YX","12/06/2021","3560","N648RW","ORD","13:00","12:54","158","137","-6","13:05","11","0","0","0","0","0"
"YX","12/06/2021","3593","N731YX","EWR","19:55","22:40","124","130","165","22:51","11","0","0","171","0","0"
"YX","12/06/2021","3601","N725YX","EWR","12:00","12:02","142","137","2","12:31","29","0","0","0","0","0"
"YX","12/06/2021","3611","N645RW","IAD","05:45","05:41","105","100","-4","05:53","12","0","0","0","0","0"
"YX","12/06/2021","3622","N743YX","IAD","14:40","14:32","105","113","-8","15:02","30","0","0","0","0","0"
"YX","12/06/2021","3681","N865RW","EWR","15:35","16:20","132","128","45","16:43","23","0","0","41","0","0"
"YX","12/06/2021","4524","N409YX","CLT","18:04","17:54","83","77","-10","18:16","22","0","0","0","0","0"
"YX","12/06/2022","3689","N641RW","ORD","06:20","06:10","154","159","-10","06:23","13","0","0","0","0","0"
"YX","12/06/2022","3714","N641RW","ORD","17:05","16:58","159","162","-7","17:18","20","0","0","0","0","0"
"YX","12/06/2023","3439","N756YX","EWR","15:34","15:29","138","131","-5","15:43","14","0","0","0","0","0"
"YX","12/07/2021","3560","N751YX","ORD","13:00","16:23","158","146","203","16:37","14","191","0","0","0","0"
"YX","12/07/2021","3593","N862RW","EWR","19:55","19:51","124","158","-4","20:05","14","0","0","30","0","0"
"YX","12/07/2021","3601","N637RW","EWR","12:00","00:00","142","0","0","00:00","0","0","0","0","0","0"
"YX","12/07/2021","3611","N646RW","IAD","05:45","05:36","105","89","-9","05:47","11","0","0","0","0","0"
"YX","12/07/2021","3622","N721YX","IAD","14:40","14:40","105","90","0","14:55","15","0","0","0","0","0"
"YX","12/07/2021","3681","N648RW","EWR","15:35","15:31","132","152","-4","15:45","14","0","0","16","0","0"
"YX","12/07/2021","4524","N110HQ","CLT","18:04","18:02","83","81","-2","18:31","29","0","0","0","0","0"
"YX","12/07/2022","3689","N633RW","ORD","06:20","06:11","154","146","-9","06:23","12","0","0","0","0","0"
"YX","12/07/2022","3714","N633RW","ORD","17:05","16:50","159","135","-15","17:01","11","0","0","0","0","0"
"YX","12/07/2023","3439","N741YX","EWR","15:34","15:30","138","138","-4","15:48","18","0","0","0","0","0"
"YX","12/07/2023","3616","N745YX","EWR","11:10","11:05","136","128","-5","11:20","15","0","0","0","0","0"
"YX","12/08/2021","3560","N752YX","ORD","13:00","12:53","158","152","-7","13:13","20","0","0","0","0","0"
"YX","12/08/2021","3593","N647RW","EWR","19:55","19:50","124","161","-5","20:03","13","0","0","32","0","0"
"YX","12/08/2021","3601","N640RW","EWR","12:10","12:06","142","128","-4","12:36","30","0","0","0","0","0"
"YX","12/08/2021","3611","N633RW","IAD","05:45","05:36","105","97","-9","05:51","15","0","0","0","0","0"
"YX","12/08/2021","3622","N727YX","IAD","14:40","14:49","105","102","9","15:03","14","0","0","0","0","0"
"YX","12/08/2021","3681","N643RW","EWR","15:35","15:27","132","132","-8","15:37","10","0","0","0","0","0"
"YX","12/08/2021","4524","N134HQ","CLT","18:04","18:00","83","66","-4","18:15","15","0","0","0","0","0"
"YX","12/08/2022","3689","N651RW","ORD","06:20","06:14","154","159","-6","06:24","10","0","0","0","0","0"
"YX","12/08/2022","3714","N651RW","ORD","17:05","16:49","159","144","-16","17:01","12","0","0","0","0","0"
"YX","12/08/2022","4503","N408YX","PHL","11:06","10:59","120","114","-7","11:14","15","0","0","0","0","0"
"YX","12/08/2023","3439","N749YX","EWR","15:34","15:41","138","118","7","15:51","10","0","0","0","0","0"
"YX","12/09/2021","3560","N864RW","ORD","13:00","12:58","158","145","-2","13:10","12","0","0","0","0","0"
"YX","12/09/2021","3593","N646RW","EWR","19:55","19:40","124","147","-15","19:50","10","0","0","0","0","0"
"YX","12/09/2021","3601","N749YX","EWR","12:10","12:08","142","133","-2","12:19","11","0","0","0","0","0"
"YX","12/09/2021","3611","N859RW","IAD","05:45","05:42","105","102","-3","06:00","18","0","0","0","0","0"
"YX","12/09/2021","3622","N733YX","IAD","14:40","14:35","105","117","-5","15:02","27","0","0","0","0","0"
"YX","12/09/2021","3681","N637RW","EWR","15:35","15:30","132","152","-5","16:05","35","0","0","15","0","0"
"YX","12/09/2021","4524","N124HQ","CLT","18:04","17:57","83","77","-7","18:16","19","0","0","0","0","0"
"YX","12/09/2022","3689","N634RW","ORD","06:20","06:07","154","163","-13","06:22","15","0","0","0","0","0"
"YX","12/09/2022","3714","N634RW","ORD","17:05","17:21","159","163","16","17:37","16","0","0","4","0","16"
"YX","12/09/2022","4503","N408YX","PHL","11:06","11:07","120","110","1","11:20","13","0","0","0","0","0"
"YX","12/09/2023","3439","N762YX","EWR","16:53","16:50","138","152","-3","17:01","11","0","0","0","0","0"
"YX","12/09/2023","3501","N748YX","EWR","06:01","05:56","137","132","-5","06:07","11","0","0","0","0","0"
"YX","12/09/2023","3616","N639RW","EWR","11:00","10:51","136","128","-9","11:07","16","0","0","0","0","0"
"YX","12/09/2023","5629","N238JQ","BOS","14:51","14:51","147","161","0","15:09","18","0","0","0","0","0"
"YX","12/10/2021","3475","N639RW","IAD","19:00","18:52","107","92","-8","19:04","12","0","0","0","0","0"
"YX","12/10/2021","3560","N724YX","ORD","13:00","12:54","158","167","-6","13:16","22","0","0","0","0","0"
"YX","12/10/2021","3601","N861RW","EWR","12:00","11:59","142","113","-1","12:09","10","0","0","0","0","0"
"YX","12/10/2021","3611","N644RW","IAD","05:45","05:40","105","97","-5","05:50","10","0","0","0","0","0"
"YX","12/10/2021","3622","N726YX","IAD","14:40","14:32","105","122","-8","14:59","27","0","0","0","0","0"
"YX","12/10/2021","3681","N864RW","EWR","15:35","15:37","132","157","2","16:08","31","2","0","25","0","0"
"YX","12/10/2021","4524","N131HQ","CLT","18:04","18:01","83","94","-3","18:43","42","0","0","0","0","0"
"YX","12/10/2022","3507","N725YX","EWR","11:53","11:46","131","147","-7","12:18","32","0","0","0","0","0"
"YX","12/10/2022","3523","N740YX","EWR","20:19","20:10","131","117","-9","20:20","10","0","0","0","0","0"
"YX","12/10/2022","3689","N651RW","ORD","06:20","06:17","154","156","-3","06:29","12","0","0","0","0","0"
"YX","12/10/2022","3714","N651RW","ORD","17:05","16:55","159","159","-10","17:16","21","0","0","0","0","0"
"YX","12/10/2022","4503","N412YX","PHL","11:06","10:57","120","113","-9","11:14","17","0","0","0","0","0"
"YX","12/10/2023","3439","N751YX","EWR","15:12","16:21","138","118","69","16:35","14","0","0","49","0","0"
"YX","12/10/2023","5629","N229JQ","BOS","11:50","12:06","148","156","16","12:29","23","16","0","8","0","0"
"YX","12/11/2021","3560","N655RW","ORD","13:00","12:53","158","151","-7","13:09","16","0","0","0","0","0"
"YX","12/11/2021","3622","N749YX","IAD","14:40","14:50","105","113","10","15:17","27","0","0","8","0","10"
