Detailed Statistics Departures  
Origin Airport: Savannah, GA: Savannah/Hilton Head International (SAV)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5451","N165SY","ORD","06:30","06:24","150","143","-6","06:37","13","0","0","0","0","0"
"OO","12/01/2021","5812","N611UX","DEN","16:05","15:56","245","237","-9","16:11","15","0","0","0","0","0"
"OO","12/01/2022","5229","N624UX","ORD","12:46","12:36","156","147","-10","12:46","10","0","0","0","0","0"
"OO","12/01/2022","5255","N121SY","IAH","16:28","16:18","167","167","-10","16:32","14","0","0","0","0","0"
"OO","12/01/2023","5695","N153SY","ORD","10:00","09:52","155","157","-8","10:10","18","0","0","0","0","0"
"OO","12/01/2023","5696","N218PS","ORD","11:30","11:21","155","161","-9","11:38","17","0","0","0","0","0"
"OO","12/02/2021","5451","N151SY","ORD","06:30","06:30","150","163","0","06:50","20","0","0","0","0","0"
"OO","12/02/2021","5812","N625UX","DEN","16:05","16:22","245","219","17","16:36","14","0","0","0","0","0"
"OO","12/02/2022","5229","N607UX","ORD","12:46","12:41","156","155","-5","13:00","19","0","0","0","0","0"
"OO","12/02/2022","5255","N615UX","IAH","16:28","17:06","167","161","38","17:19","13","0","0","0","0","32"
"OO","12/02/2023","5695","N601UX","ORD","10:00","09:53","155","142","-7","10:06","13","0","0","0","0","0"
"OO","12/02/2023","5696","N151SY","ORD","11:30","11:20","155","165","-10","11:39","19","0","0","0","0","0"
"OO","12/03/2021","5451","N142SY","ORD","06:30","06:23","150","155","-7","06:34","11","0","0","0","0","0"
"OO","12/03/2021","5812","N623UX","DEN","16:05","16:04","245","237","-1","16:20","16","0","0","0","0","0"
"OO","12/03/2022","5229","N603UX","ORD","12:46","12:36","156","153","-10","12:52","16","0","0","0","0","0"
"OO","12/03/2022","5255","N141SY","IAH","16:28","16:22","167","182","-6","16:35","13","0","0","0","0","0"
"OO","12/03/2023","5695","N614UX","ORD","10:00","09:52","155","140","-8","10:05","13","0","0","0","0","0"
"OO","12/03/2023","5696","N142SY","ORD","11:30","11:22","155","151","-8","11:41","19","0","0","0","0","0"
"OO","12/04/2021","4642","N142SY","ORD","06:30","06:29","150","140","-1","06:40","11","0","0","0","0","0"
"OO","12/04/2021","5812","N619UX","DEN","16:05","15:58","245","241","-7","16:12","14","0","0","0","0","0"
"OO","12/04/2021","5902","N120SY","IAH","17:14","17:07","166","174","-7","17:24","17","0","0","0","0","0"
"OO","12/04/2022","5229","N609UX","ORD","12:46","12:42","156","151","-4","12:54","12","0","0","0","0","0"
