Detailed Statistics Departures  
Origin Airport: Savannah, GA: Savannah/Hilton Head International (SAV)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0016","N912WN","MDW","15:10","15:10","140","126","0","15:21","11","0","0","0","0","0"
"WN","12/01/2021","0267","N738CB","BWI","08:15","08:13","105","86","-2","08:22","9","0","0","0","0","0"
"WN","12/01/2021","0606","N8670A","DAL","13:45","13:48","180","154","3","13:56","8","0","0","0","0","0"
"WN","12/01/2021","2629","N760SW","HOU","11:10","11:15","170","151","5","11:26","11","0","0","0","0","0"
"WN","12/01/2021","3011","N7831B","BWI","18:20","18:12","105","86","-8","18:21","9","0","0","0","0","0"
"WN","12/01/2021","3834","N760SW","BNA","17:15","17:25","90","87","10","17:34","9","0","0","0","0","0"
"WN","12/01/2022","1074","N8321D","HOU","18:20","18:41","155","164","21","19:06","25","21","0","9","0","0"
"WN","12/01/2022","1540","N8316H","BNA","14:40","14:39","95","86","-1","14:51","12","0","0","0","0","0"
"WN","12/01/2022","1671","N7734H","BWI","19:10","19:27","95","90","17","19:38","11","0","0","0","0","0"
"WN","12/01/2022","1724","N458WN","BWI","08:15","08:14","100","92","-1","08:22","8","0","0","0","0","0"
"WN","12/01/2022","2280","N8501V","DAL","11:15","11:12","165","167","-3","11:26","14","0","0","0","0","0"
"WN","12/01/2022","3301","N8678E","MDW","13:30","13:34","140","129","4","13:43","9","0","0","0","0","0"
"WN","12/01/2023","0389","N486WN","BNA","16:10","16:05","90","91","-5","16:17","12","0","0","0","0","0"
"WN","12/01/2023","2231","N7889A","BNA","11:35","11:32","90","85","-3","11:42","10","0","0","0","0","0"
"WN","12/01/2023","2864","N8868L","BWI","19:00","18:50","100","97","-10","19:06","16","0","0","0","0","0"
"WN","12/01/2023","3127","N7889A","BWI","06:40","06:37","100","88","-3","06:49","12","0","0","0","0","0"
"WN","12/01/2023","3667","N8901Q","MDW","14:30","14:20","135","123","-10","14:32","12","0","0","0","0","0"
"WN","12/01/2023","3712","N7888A","DAL","13:10","13:07","165","146","-3","13:14","7","0","0","0","0","0"
"WN","12/01/2023","4398","N7724A","HOU","17:55","17:49","165","186","-6","17:57","8","0","0","15","0","0"
"WN","12/02/2021","0016","N235WN","MDW","15:10","15:02","140","135","-8","15:16","14","0","0","0","0","0"
"WN","12/02/2021","0267","N484WN","BWI","08:15","08:11","105","98","-4","08:25","14","0","0","0","0","0"
"WN","12/02/2021","0606","N8555Z","DAL","13:45","13:45","180","148","0","13:56","11","0","0","0","0","0"
"WN","12/02/2021","2629","N437WN","HOU","11:10","11:03","170","140","-7","11:12","9","0","0","0","0","0"
"WN","12/02/2021","3011","N7840A","BWI","18:20","18:51","105","103","31","19:03","12","0","0","0","0","29"
"WN","12/02/2021","3834","N437WN","BNA","17:15","17:26","90","88","11","17:35","9","0","0","0","0","0"
"WN","12/02/2022","1074","N8746Q","HOU","18:20","18:19","155","154","-1","18:36","17","0","0","0","0","0"
"WN","12/02/2022","1540","N8719Q","BNA","14:40","14:33","95","89","-7","14:43","10","0","0","0","0","0"
"WN","12/02/2022","1671","N943WN","BWI","19:10","18:58","95","104","-12","19:15","17","0","0","0","0","0"
"WN","12/02/2022","1724","N8639B","BWI","08:15","08:15","100","113","0","08:46","31","0","0","0","0","0"
"WN","12/02/2022","2280","N8556Z","DAL","11:15","11:17","165","162","2","11:32","15","0","0","0","0","0"
"WN","12/02/2022","3301","N8809L","MDW","13:30","13:29","140","143","-1","13:40","11","0","0","0","0","0"
"WN","12/02/2023","0302","N8537Z","HOU","18:20","18:16","160","161","-4","18:22","6","0","0","0","0","0"
"WN","12/02/2023","2231","N411WN","BNA","11:20","11:49","90","84","29","11:58","9","16","0","0","0","7"
"WN","12/02/2023","2864","N8855Q","BWI","16:50","16:50","100","90","0","16:59","9","0","0","0","0","0"
"WN","12/02/2023","3127","N254WN","BWI","07:50","07:45","105","93","-5","07:55","10","0","0","0","0","0"
"WN","12/02/2023","3712","N8733M","DAL","13:05","12:59","160","151","-6","13:08","9","0","0","0","0","0"
