Detailed Statistics Departures  
Origin Airport: Savannah, GA: Savannah/Hilton Head International (SAV)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1766","N23708","EWR","08:55","08:46","128","126","-9","08:59","13","0","0","0","0","0"
"UA","12/01/2022","0682","N895UA","EWR","20:07","20:19","125","123","12","20:34","15","0","0","0","0","0"
"UA","12/01/2022","0690","N879UA","DEN","08:06","08:04","235","231","-2","08:17","13","0","0","0","0","0"
"UA","12/01/2022","2660","N39726","EWR","11:56","11:47","125","142","-9","12:14","27","0","0","0","0","0"
"UA","12/01/2023","1139","N38454","EWR","11:10","11:14","130","112","4","11:24","10","0","0","0","0","0"
"UA","12/01/2023","1183","N816UA","DEN","16:10","16:04","234","232","-6","16:13","9","0","0","0","0","0"
"UA","12/01/2023","2259","N15710","ORD","15:28","15:20","144","150","-8","15:34","14","0","0","0","0","0"
"UA","12/02/2021","1766","N39728","EWR","08:55","08:45","128","124","-10","09:00","15","0","0","0","0","0"
"UA","12/02/2022","0682","N875UA","EWR","20:07","20:17","125","139","10","20:32","15","5","0","14","0","5"
"UA","12/02/2022","0690","N807UA","DEN","08:06","08:03","235","238","-3","08:14","11","0","0","0","0","0"
"UA","12/02/2022","2660","N457UA","EWR","11:56","13:58","125","134","122","14:09","11","16","0","9","0","106"
"UA","12/02/2023","1183","N808UA","DEN","16:10","16:02","234","233","-8","16:13","11","0","0","0","0","0"
"UA","12/02/2023","2259","N76532","ORD","15:28","16:33","144","137","65","16:43","10","0","0","0","0","58"
"UA","12/03/2021","1766","N25705","EWR","08:55","08:48","128","124","-7","09:01","13","0","0","0","0","0"
"UA","12/03/2022","0690","N848UA","DEN","08:06","07:58","235","268","-8","08:09","11","0","0","25","0","0"
"UA","12/03/2023","1139","N16703","EWR","11:04","11:03","130","102","-1","11:15","12","0","0","0","0","0"
"UA","12/03/2023","1183","N897UA","DEN","16:10","16:12","234","234","2","16:22","10","0","0","0","0","0"
"UA","12/03/2023","2259","N38257","ORD","15:28","16:24","144","138","56","16:38","14","50","0","0","0","0"
"UA","12/04/2021","1766","N27733","EWR","08:55","08:50","124","116","-5","09:02","12","0","0","0","0","0"
"UA","12/04/2022","0682","N463UA","EWR","20:07","19:59","125","134","-8","20:07","8","0","0","0","0","0"
"UA","12/04/2022","0690","N845UA","DEN","08:06","08:11","235","241","5","08:23","12","0","0","0","0","0"
"UA","12/04/2022","2660","N435UA","EWR","11:18","11:12","125","125","-6","11:33","21","0","0","0","0","0"
"UA","12/04/2023","1183","N408UA","DEN","16:10","16:08","234","232","-2","16:20","12","0","0","0","0","0"
"UA","12/04/2023","2259","N73256","ORD","15:28","15:18","144","131","-10","15:32","14","0","0","0","0","0"
"UA","12/05/2022","0682","N426UA","EWR","20:07","20:08","125","125","1","20:22","14","0","0","0","0","0"
"UA","12/05/2022","0690","N853UA","DEN","08:06","07:58","235","227","-8","08:09","11","0","0","0","0","0"
"UA","12/05/2022","2660","N17719","EWR","12:00","11:52","125","116","-8","12:08","16","0","0","0","0","0"
"UA","12/05/2023","1139","N77431","EWR","11:04","10:54","130","111","-10","11:09","15","0","0","0","0","0"
"UA","12/05/2023","1183","N876UA","DEN","16:10","16:04","234","242","-6","16:15","11","0","0","0","0","0"
"UA","12/05/2023","2259","N54711","ORD","15:28","15:29","144","138","1","15:43","14","0","0","0","0","0"
"UA","12/06/2021","1766","N25705","EWR","08:55","08:59","128","132","4","09:10","11","0","0","0","0","0"
"UA","12/06/2022","0682","N416UA","EWR","20:07","20:15","125","141","8","20:25","10","0","0","16","0","8"
"UA","12/06/2022","0690","N876UA","DEN","08:06","08:48","235","227","42","09:03","15","34","0","0","0","0"
"UA","12/06/2022","2660","N490UA","EWR","11:56","12:00","125","122","4","12:11","11","0","0","0","0","0"
"UA","12/06/2023","1139","N36469","EWR","11:04","11:05","130","125","1","11:20","15","0","0","0","0","0"
"UA","12/06/2023","1183","N895UA","DEN","16:10","17:41","234","210","91","17:56","15","0","0","0","0","67"
"UA","12/06/2023","2259","N24729","ORD","15:28","15:16","144","143","-12","15:28","12","0","0","0","0","0"
"UA","12/07/2021","1766","N23707","EWR","08:55","08:47","128","127","-8","09:06","19","0","0","0","0","0"
"UA","12/07/2022","0682","N802UA","EWR","20:07","20:16","125","117","9","20:29","13","0","0","0","0","0"
"UA","12/07/2022","0690","N476UA","DEN","08:06","08:02","235","226","-4","08:13","11","0","0","0","0","0"
"UA","12/07/2022","2660","N807UA","EWR","11:56","12:03","125","125","7","12:14","11","0","0","0","0","0"
"UA","12/07/2023","1183","N817UA","DEN","16:10","16:15","234","230","5","16:31","16","0","0","0","0","0"
"UA","12/07/2023","2259","N24729","ORD","15:28","15:28","144","133","0","15:41","13","0","0","0","0","0"
"UA","12/08/2021","1766","N17752","EWR","08:55","08:40","128","117","-15","08:53","13","0","0","0","0","0"
"UA","12/08/2022","0682","N828UA","EWR","20:07","20:04","125","117","-3","20:18","14","0","0","0","0","0"
"UA","12/08/2022","0690","N892UA","DEN","08:06","08:01","235","227","-5","08:13","12","0","0","0","0","0"
"UA","12/08/2022","2660","N432UA","EWR","11:56","11:54","125","119","-2","12:09","15","0","0","0","0","0"
"UA","12/08/2023","1139","N27724","EWR","11:10","11:16","130","116","6","11:28","12","0","0","0","0","0"
"UA","12/08/2023","1183","N895UA","DEN","16:10","16:12","234","235","2","16:27","15","0","0","0","0","0"
"UA","12/08/2023","2259","N13716","ORD","15:28","15:25","144","132","-3","15:36","11","0","0","0","0","0"
"UA","12/09/2021","1766","N12754","EWR","08:55","08:49","128","128","-6","09:06","17","0","0","0","0","0"
"UA","12/09/2022","0682","N432UA","EWR","20:07","20:12","125","116","5","20:23","11","0","0","0","0","0"
"UA","12/09/2022","0690","N871UA","DEN","08:06","08:04","235","232","-2","08:17","13","0","0","0","0","0"
"UA","12/09/2022","2660","N839UA","EWR","11:56","14:38","125","123","162","14:55","17","21","0","0","0","139"
"UA","12/09/2023","1183","N880UA","DEN","16:10","16:17","234","228","7","16:28","11","0","0","0","0","0"
"UA","12/09/2023","2259","N77258","ORD","15:28","15:15","144","136","-13","15:28","13","0","0","0","0","0"
"UA","12/10/2021","1766","N23707","EWR","08:55","08:53","128","122","-2","09:08","15","0","0","0","0","0"
"UA","12/10/2022","0690","N818UA","DEN","08:06","08:04","235","221","-2","08:17","13","0","0","0","0","0"
"UA","12/10/2023","1139","N16703","EWR","11:04","11:05","130","114","1","11:19","14","0","0","0","0","0"
"UA","12/10/2023","1183","N845UA","DEN","16:10","16:33","234","225","23","16:43","10","0","0","0","0","0"
"UA","12/10/2023","1936","N75436","EWR","06:01","05:59","131","122","-2","06:19","20","0","0","0","0","0"
"UA","12/10/2023","2259","N11206","ORD","15:28","15:55","144","121","27","16:09","14","0","0","0","0","0"
"UA","12/11/2021","1766","N13716","EWR","08:55","08:54","124","120","-1","09:05","11","0","0","0","0","0"
"UA","12/11/2022","0682","N839UA","EWR","20:07","22:14","125","161","127","22:30","16","1","0","36","0","126"
"UA","12/11/2022","0690","N811UA","DEN","08:06","08:05","235","221","-1","08:16","11","0","0","0","0","0"
"UA","12/11/2022","2660","N468UA","EWR","11:18","11:24","125","128","6","11:49","25","0","0","0","0","0"
"UA","12/11/2023","1139","N25705","EWR","11:04","11:39","130","111","35","11:56","17","16","0","0","0","0"
"UA","12/11/2023","1183","N854UA","DEN","16:10","16:07","234","232","-3","16:19","12","0","0","0","0","0"
"UA","12/11/2023","2259","N23707","ORD","15:28","15:23","144","140","-5","15:47","24","0","0","0","0","0"
"UA","12/12/2022","0682","N814UA","EWR","20:10","21:49","125","121","99","22:00","11","6","0","0","0","89"
"UA","12/12/2022","0690","N433UA","DEN","08:06","08:14","235","216","8","08:25","11","0","0","0","0","0"
"UA","12/12/2022","2660","N897UA","EWR","11:56","11:54","125","119","-2","12:04","10","0","0","0","0","0"
"UA","12/12/2023","1139","N62894","EWR","11:04","11:03","130","115","-1","11:15","12","0","0","0","0","0"
"UA","12/12/2023","1183","N845UA","DEN","16:10","16:14","234","229","4","16:24","10","0","0","0","0","0"
"UA","12/12/2023","2259","N16732","ORD","15:28","15:15","144","134","-13","15:30","15","0","0","0","0","0"
"UA","12/13/2021","1766","N23721","EWR","08:55","08:57","128","117","2","09:06","9","0","0","0","0","0"
"UA","12/13/2022","0682","N832UA","EWR","20:10","21:18","125","114","68","21:28","10","0","0","0","0","57"
"UA","12/13/2022","0690","N463UA","DEN","08:06","08:18","235","248","12","08:30","12","12","0","13","0","0"
"UA","12/13/2022","2660","N73256","EWR","12:02","12:02","125","121","0","12:14","12","0","0","0","0","0"
"UA","12/13/2023","1139","N69835","EWR","11:04","11:20","130","112","16","11:34","14","0","0","0","0","0"
"UA","12/13/2023","1183","N848UA","DEN","16:10","16:18","234","238","8","16:38","20","0","0","0","0","0"
