Detailed Statistics Departures  
Origin Airport: Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field (BFF)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5050","N975SW","DEN","06:00","05:52","69","40","-8","05:56","4","0","0","0","0","0"
"OO","12/01/2021","5187","N962SW","DEN","09:25","09:13","69","89","-12","09:58","45","0","0","0","0","0"
"OO","12/01/2022","5037","N976SW","DEN","10:19","10:15","67","56","-4","10:22","7","0","0","0","0","0"
"OO","12/01/2022","5129","N912EV","DEN","18:31","18:26","67","53","-5","18:32","6","0","0","0","0","0"
"OO","12/01/2023","5015","N943SW","DEN","10:30","10:21","64","67","-9","10:36","15","0","0","0","0","0"
"OO","12/01/2023","5129","N699BR","DEN","18:20","18:10","64","56","-10","18:20","10","0","0","0","0","0"
"OO","12/02/2021","5050","N956SW","DEN","06:00","05:51","69","48","-9","06:02","11","0","0","0","0","0"
"OO","12/02/2021","5187","N926SW","DEN","09:25","09:19","69","78","-6","09:54","35","0","0","0","0","0"
"OO","12/02/2022","5037","N912EV","DEN","10:19","10:16","67","111","-3","11:05","49","41","0","0","0","0"
"OO","12/02/2022","5129","N913EV","DEN","18:31","18:21","67","57","-10","18:32","11","0","0","0","0","0"
"OO","12/02/2023","5015","N917SW","DEN","10:30","10:20","64","68","-10","10:41","21","0","0","0","0","0"
"OO","12/02/2023","5129","N917SW","DEN","18:20","18:15","64","68","-5","18:19","4","0","0","0","0","0"
"OO","12/03/2021","5050","N907SW","DEN","06:00","05:53","69","53","-7","06:08","15","0","0","0","0","0"
"OO","12/03/2021","5187","N259PS","DEN","09:25","09:20","69","63","-5","09:40","20","0","0","0","0","0"
"OO","12/03/2022","5037","N945SW","DEN","10:19","10:10","67","72","-9","10:22","12","0","0","0","0","0"
"OO","12/03/2022","5129","N430SW","DEN","18:31","18:26","67","67","-5","18:34","8","0","0","0","0","0"
"OO","12/03/2023","5015","N930EV","DEN","10:30","10:24","64","65","-6","10:30","6","0","0","0","0","0"
"OO","12/03/2023","5129","N960SW","DEN","18:20","18:17","64","80","-3","18:52","35","0","0","0","0","0"
"OO","12/04/2021","5050","N912EV","DEN","06:00","05:57","69","71","-3","06:28","31","0","0","0","0","0"
"OO","12/04/2022","5037","N910SW","DEN","10:19","10:11","67","53","-8","10:20","9","0","0","0","0","0"
"OO","12/04/2022","5129","N909SW","DEN","18:31","18:22","67","54","-9","18:33","11","0","0","0","0","0"
"OO","12/04/2023","5015","N679SA","DEN","10:30","10:20","64","62","-10","10:31","11","0","0","0","0","0"
"OO","12/04/2023","5129","N207PS","DEN","18:20","18:15","64","55","-5","18:23","8","0","0","0","0","0"
"OO","12/05/2021","5050","N909SW","DEN","06:00","05:51","69","52","-9","06:00","9","0","0","0","0","0"
"OO","12/05/2021","5122","N979SW","DEN","09:25","09:19","69","69","-6","09:47","28","0","0","0","0","0"
"OO","12/05/2022","5037","N875AS","DEN","10:19","10:11","67","65","-8","10:22","11","0","0","0","0","0"
"OO","12/05/2022","5129","N875AS","DEN","18:31","18:21","67","59","-10","18:32","11","0","0","0","0","0"
"OO","12/05/2023","5129","N955SW","DEN","18:20","18:08","64","66","-12","18:18","10","0","0","0","0","0"
"OO","12/06/2021","5050","N494CA","DEN","06:00","05:54","69","49","-6","06:04","10","0","0","0","0","0"
"OO","12/06/2021","5122","N965SW","DEN","09:25","09:10","69","85","-15","09:52","42","0","0","0","0","0"
"OO","12/06/2022","5129","N945SW","DEN","18:31","18:23","67","69","-8","18:45","22","0","0","0","0","0"
"OO","12/06/2023","5129","N909SW","DEN","18:20","18:16","64","51","-4","18:22","6","0","0","0","0","0"
"OO","12/07/2021","5050","N223JS","DEN","06:00","05:56","69","48","-4","06:06","10","0","0","0","0","0"
"OO","12/07/2022","5129","N909EV","DEN","18:31","18:26","67","57","-5","18:36","10","0","0","0","0","0"
"OO","12/07/2023","5015","N693BR","DEN","10:30","13:31","64","59","181","13:42","11","176","0","0","0","0"
"OO","12/07/2023","5129","N926SW","DEN","18:20","18:15","64","88","-5","18:30","15","0","0","19","0","0"
"OO","12/08/2021","5050","N920SW","DEN","06:00","05:52","69","64","-8","06:13","21","0","0","0","0","0"
"OO","12/08/2021","5122","N438SW","DEN","09:25","09:54","69","59","29","10:08","14","19","0","0","0","0"
"OO","12/08/2022","5037","N809CA","DEN","10:19","00:00","67","0","0","00:00","0","0","0","0","0","0"
"OO","12/08/2022","5129","N975SW","DEN","18:31","19:00","67","73","29","19:33","33","0","0","0","0","35"
"OO","12/08/2023","5015","N207PS","DEN","10:30","10:25","64","65","-5","10:42","17","0","0","0","0","0"
"OO","12/08/2023","5129","N983SW","DEN","18:20","18:10","64","72","-10","18:21","11","0","0","0","0","0"
"OO","12/09/2021","5050","N593ML","DEN","06:00","05:51","69","49","-9","06:02","11","0","0","0","0","0"
"OO","12/09/2021","5122","N709BR","DEN","09:25","09:22","69","75","-3","09:48","26","0","0","0","0","0"
"OO","12/09/2022","5037","N932EV","DEN","10:19","10:16","67","55","-3","10:28","12","0","0","0","0","0"
"OO","12/09/2022","5129","N962SW","DEN","18:31","18:26","67","55","-5","18:35","9","0","0","0","0","0"
"OO","12/09/2023","5015","N693BR","DEN","10:30","10:23","64","74","-7","10:35","12","0","0","0","0","0"
"OO","12/09/2023","5129","N953SW","DEN","18:20","18:05","64","49","-15","18:16","11","0","0","0","0","0"
"OO","12/10/2021","5050","N914EV","DEN","06:00","05:56","69","77","-4","06:28","32","0","0","0","0","0"
"OO","12/10/2021","5122","N964SW","DEN","09:25","12:08","69","89","163","12:53","45","183","0","0","0","0"
"OO","12/10/2022","5037","N223JS","DEN","10:19","10:12","67","71","-7","10:23","11","0","0","0","0","0"
"OO","12/10/2022","5129","N929SW","DEN","18:31","18:26","67","60","-5","18:35","9","0","0","0","0","0"
"OO","12/10/2023","5015","N909SW","DEN","10:30","10:20","64","88","-10","10:36","16","0","0","0","0","0"
"OO","12/10/2023","5129","N958SW","DEN","18:20","18:15","64","51","-5","18:22","7","0","0","0","0","0"
"OO","12/11/2021","5050","N494CA","DEN","06:00","05:58","69","70","-2","06:26","28","0","0","0","0","0"
"OO","12/11/2022","5037","N986SW","DEN","10:19","10:12","67","64","-7","10:22","10","0","0","0","0","0"
"OO","12/11/2022","5129","N971SW","DEN","18:31","19:35","67","51","64","19:45","10","48","0","0","0","0"
"OO","12/11/2023","5015","N487CA","DEN","10:30","10:22","64","66","-8","10:46","24","0","0","0","0","0"
"OO","12/11/2023","5129","N929SW","DEN","18:20","18:10","64","64","-10","18:25","15","0","0","0","0","0"
"OO","12/12/2021","5050","N454SW","DEN","06:00","05:55","69","50","-5","06:06","11","0","0","0","0","0"
"OO","12/12/2021","5122","N903EV","DEN","09:25","09:20","69","80","-5","09:52","32","0","0","0","0","0"
"OO","12/12/2022","5037","N954SW","DEN","10:19","10:19","67","64","0","10:43","24","0","0","0","0","0"
"OO","12/12/2022","5129","N464SW","DEN","18:31","18:25","67","82","-6","18:55","30","0","0","0","0","0"
"OO","12/12/2023","5129","N699BR","DEN","18:20","18:08","64","71","-12","18:29","21","0","0","0","0","0"
"OO","12/13/2021","5050","N417SW","DEN","06:00","05:52","69","63","-8","06:10","18","0","0","0","0","0"
"OO","12/13/2021","5122","N432SW","DEN","09:25","09:15","69","72","-10","09:43","28","0","0","0","0","0"
"OO","12/13/2022","5129","N986SW","DEN","18:31","00:00","67","0","0","00:00","0","0","0","0","0","0"
"OO","12/13/2023","5129","N699BR","DEN","18:20","18:14","64","82","-6","18:49","35","0","0","0","0","0"
