Detailed Statistics Departures  
Origin Airport: Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International (AVP)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","1172","N709UW","CLT","05:38","05:44","132","113","6","06:12","28","0","0","0","0","0"
"AA","12/01/2021","1306","N730US","CLT","11:43","11:53","132","106","10","12:09","16","0","0","0","0","0"
"AA","12/01/2022","0415","N749US","CLT","17:20","17:16","119","109","-4","17:31","15","0","0","0","0","0"
"AA","12/01/2022","0648","N667AW","CLT","06:00","05:54","129","101","-6","06:06","12","0","0","0","0","0"
"AA","12/01/2022","2298","N724UW","CLT","11:50","12:05","119","106","15","12:24","19","0","0","0","0","0"
"AA","12/01/2023","1172","N128UW","CLT","06:39","06:30","111","108","-9","06:47","17","0","0","0","0","0"
"AA","12/02/2021","1172","N709UW","CLT","05:38","05:29","132","93","-9","05:38","9","0","0","0","0","0"
"AA","12/02/2021","1306","N9015D","CLT","11:43","11:50","132","106","7","12:10","20","0","0","0","0","0"
"AA","12/02/2022","0415","N93003","CLT","17:20","17:17","119","106","-3","17:33","16","0","0","0","0","0"
"AA","12/02/2022","0648","N650AW","CLT","06:00","05:55","129","114","-5","06:19","24","0","0","0","0","0"
"AA","12/02/2022","2298","N771XF","CLT","11:50","11:40","119","98","-10","11:52","12","0","0","0","0","0"
"AA","12/02/2023","1172","N657AW","CLT","06:05","06:02","111","109","-3","06:20","18","0","0","0","0","0"
"AA","12/03/2021","1172","N732US","CLT","05:38","05:33","132","102","-5","05:44","11","0","0","0","0","0"
"AA","12/03/2021","1306","N828AW","CLT","11:43","11:42","132","100","-1","11:57","15","0","0","0","0","0"
"AA","12/03/2022","0648","N667AW","CLT","06:00","05:57","129","99","-3","06:08","11","0","0","0","0","0"
"AA","12/03/2022","2298","N122US","CLT","11:55","11:42","119","102","-13","11:54","12","0","0","0","0","0"
"AA","12/03/2023","0867","N715UW","CLT","18:58","18:46","108","122","-12","18:54","8","0","0","0","0","0"
"AA","12/03/2023","1172","N121UW","CLT","06:39","06:36","111","114","-3","07:00","24","0","0","0","0","0"
"AA","12/04/2021","1172","N711UW","CLT","05:38","05:50","132","116","12","06:13","23","0","0","0","0","0"
"AA","12/04/2022","0415","N778XF","CLT","17:20","17:12","119","101","-8","17:20","8","0","0","0","0","0"
"AA","12/04/2022","0648","N652AW","CLT","06:00","05:55","129","101","-5","06:07","12","0","0","0","0","0"
"AA","12/04/2022","2298","N803AW","CLT","11:50","11:45","119","93","-5","11:54","9","0","0","0","0","0"
"AA","12/04/2023","0867","N840AW","CLT","18:58","18:48","108","108","-10","19:00","12","0","0","0","0","0"
"AA","12/04/2023","1172","N128UW","CLT","06:39","06:33","111","114","-6","06:57","24","0","0","0","0","0"
"AA","12/05/2021","1172","N717UW","CLT","07:20","07:18","132","106","-2","07:29","11","0","0","0","0","0"
"AA","12/05/2021","1306","N712US","CLT","11:43","11:39","132","99","-4","11:48","9","0","0","0","0","0"
"AA","12/05/2022","0415","N711UW","CLT","17:20","17:10","119","116","-10","17:20","10","0","0","0","0","0"
"AA","12/05/2022","0648","N121UW","CLT","06:00","06:06","129","109","6","06:24","18","0","0","0","0","0"
"AA","12/05/2022","2298","N827AW","CLT","11:50","11:41","119","97","-9","11:52","11","0","0","0","0","0"
"AA","12/05/2023","1172","N655AW","CLT","06:07","05:59","110","112","-8","06:10","11","0","0","0","0","0"
"AA","12/05/2023","2567","N813AW","CLT","17:09","16:55","109","108","-14","17:06","11","0","0","0","0","0"
"AA","12/06/2021","1172","N721UW","CLT","05:38","05:29","132","95","-9","05:39","10","0","0","0","0","0"
"AA","12/06/2021","1306","N725UW","CLT","11:43","11:46","132","103","3","11:55","9","0","0","0","0","0"
"AA","12/06/2022","0415","N717UW","CLT","17:20","17:50","119","112","30","18:00","10","22","0","0","0","1"
"AA","12/06/2022","0648","N669AW","CLT","06:00","05:54","129","106","-6","06:13","19","0","0","0","0","0"
"AA","12/06/2022","2298","N824AW","CLT","11:50","11:42","119","106","-8","11:54","12","0","0","0","0","0"
"AA","12/06/2023","1172","N714US","CLT","06:07","06:05","110","121","-2","06:44","39","0","0","0","0","0"
"AA","12/06/2023","2567","N745VJ","CLT","17:09","17:06","109","92","-3","17:18","12","0","0","0","0","0"
"AA","12/07/2021","1172","N721UW","CLT","05:38","05:27","132","105","-11","05:40","13","0","0","0","0","0"
"AA","12/07/2021","1306","N838AW","CLT","11:43","11:40","132","115","-3","12:01","21","0","0","0","0","0"
"AA","12/07/2022","0415","N805AW","CLT","17:20","18:05","119","110","45","18:18","13","36","0","0","0","0"
"AA","12/07/2022","0648","N651AW","CLT","06:00","13:06","129","94","426","13:16","10","0","0","0","0","391"
"AA","12/07/2022","2298","N755US","CLT","11:50","11:52","119","102","2","12:00","8","0","0","0","0","0"
"AA","12/07/2023","1172","N662AW","CLT","06:07","06:20","110","90","13","06:30","10","0","0","0","0","0"
"AA","12/07/2023","2567","N741UW","CLT","17:09","17:11","109","98","2","17:23","12","0","0","0","0","0"
"AA","12/08/2021","1172","N721UW","CLT","05:38","05:35","132","106","-3","05:44","9","0","0","0","0","0"
"AA","12/08/2021","1306","N832AW","CLT","11:43","11:43","132","115","0","11:53","10","0","0","0","0","0"
"AA","12/08/2022","0415","N659AW","CLT","17:20","18:52","119","109","92","19:04","12","0","0","0","0","82"
"AA","12/08/2022","0648","N124US","CLT","06:00","06:03","129","102","3","06:15","12","0","0","0","0","0"
"AA","12/08/2022","2298","N812AW","CLT","11:50","11:40","119","109","-10","11:50","10","0","0","0","0","0"
"AA","12/08/2023","1172","N118US","CLT","06:07","06:05","110","102","-2","06:18","13","0","0","0","0","0"
"AA","12/08/2023","2567","N834AW","CLT","17:14","17:06","109","106","-8","17:16","10","0","0","0","0","0"
"AA","12/09/2021","1172","N741UW","CLT","05:38","05:32","132","97","-6","05:42","10","0","0","0","0","0"
"AA","12/09/2021","1306","N774XF","CLT","11:43","11:44","132","97","1","11:54","10","0","0","0","0","0"
"AA","12/09/2022","0415","N829AW","CLT","17:20","17:11","119","111","-9","17:25","14","0","0","0","0","0"
"AA","12/09/2022","0648","N663AW","CLT","06:00","05:54","129","115","-6","06:20","26","0","0","0","0","0"
"AA","12/09/2022","2298","N711UW","CLT","11:50","11:54","119","110","4","12:07","13","0","0","0","0","0"
"AA","12/09/2023","1172","N665AW","CLT","06:07","06:03","110","97","-4","06:16","13","0","0","0","0","0"
"AA","12/10/2021","1172","N717UW","CLT","05:38","05:46","132","95","8","05:58","12","0","0","0","0","0"
"AA","12/10/2021","1306","N774XF","CLT","11:43","11:39","132","94","-4","11:47","8","0","0","0","0","0"
"AA","12/10/2022","0648","N668AW","CLT","06:00","05:56","129","115","-4","06:21","25","0","0","0","0","0"
"AA","12/10/2022","2298","N669AW","CLT","11:55","11:52","119","107","-3","12:08","16","0","0","0","0","0"
"AA","12/10/2023","1172","N662AW","CLT","06:07","07:31","110","116","84","07:43","12","84","0","6","0","0"
