Detailed Statistics Departures  
Origin Airport: Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International (AVP)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2022","3849","N664MS","ORD","07:34","07:32","149","154","-2","07:47","15","0","0","0","0","0"
"MQ","12/01/2023","3669","N809MD","ORD","18:18","18:10","147","162","-8","18:21","11","0","0","0","0","0"
"MQ","12/02/2022","3849","N679AE","ORD","07:34","07:26","149","161","-8","08:00","34","0","0","0","0","0"
"MQ","12/03/2022","3849","N941LT","ORD","07:34","07:24","149","162","-10","07:41","17","0","0","0","0","0"
"MQ","12/03/2023","3669","N774JG","ORD","18:18","18:25","147","137","7","18:34","9","0","0","0","0","0"
"MQ","12/04/2022","3849","N613AE","ORD","07:34","07:27","149","145","-7","07:38","11","0","0","0","0","0"
"MQ","12/04/2023","3669","N873RW","ORD","18:18","18:12","147","139","-6","18:24","12","0","0","0","0","0"
"MQ","12/05/2022","3849","N933JN","ORD","07:34","07:24","149","144","-10","07:44","20","0","0","0","0","0"
"MQ","12/05/2023","3669","N763CC","ORD","17:15","17:05","156","186","-10","18:02","57","0","0","20","0","0"
"MQ","12/06/2022","3849","N696AE","ORD","07:34","07:22","149","150","-12","07:34","12","0","0","0","0","0"
"MQ","12/06/2023","3669","N636RW","ORD","17:15","17:15","156","171","0","17:45","30","0","0","15","0","0"
"MQ","12/07/2022","3849","N909AE","ORD","07:34","07:23","149","141","-11","07:33","10","0","0","0","0","0"
"MQ","12/07/2023","3669","N765ST","ORD","18:16","18:12","156","155","-4","18:38","26","0","0","0","0","0"
"MQ","12/08/2022","3849","N935AE","ORD","07:34","07:29","149","155","-5","07:42","13","0","0","0","0","0"
"MQ","12/08/2023","3669","N769KW","ORD","18:16","19:16","156","134","60","19:25","9","0","0","0","0","38"
"MQ","12/09/2022","3849","N908AE","ORD","07:34","07:30","149","189","-4","08:04","34","0","0","36","0","0"
