Detailed Statistics Departures  
Origin Airport: Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International (AVP)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5056","N594NN","CLT","19:07","19:03","138","128","-4","19:15","12","0","0","0","0","0"
"OH","12/01/2021","5095","N609NN","CLT","15:11","14:59","133","130","-12","15:11","12","0","0","0","0","0"
"OH","12/01/2023","5538","N603NN","CLT","11:57","11:46","123","109","-11","11:57","11","0","0","0","0","0"
"OH","12/02/2021","5056","N574NN","CLT","19:07","19:01","138","120","-6","19:12","11","0","0","0","0","0"
"OH","12/02/2021","5095","N614NN","CLT","15:11","15:09","133","138","-2","15:19","10","0","0","0","0","0"
"OH","12/02/2023","5538","N590NN","CLT","11:57","13:51","123","121","114","14:11","20","0","0","0","0","112"
"OH","12/03/2021","5056","N612NN","CLT","19:07","18:55","138","117","-12","19:05","10","0","0","0","0","0"
"OH","12/03/2021","5095","N557NN","CLT","15:11","14:58","133","138","-13","15:11","13","0","0","0","0","0"
"OH","12/03/2022","5387","N574NN","CLT","17:20","17:16","127","102","-4","17:30","14","0","0","0","0","0"
"OH","12/03/2023","5538","N595NN","CLT","11:57","11:45","123","134","-12","12:06","21","0","0","0","0","0"
"OH","12/04/2021","5095","N549NN","CLT","15:11","15:02","133","129","-9","15:18","16","0","0","0","0","0"
"OH","12/04/2021","5176","N615NN","CLT","11:43","11:35","135","133","-8","11:46","11","0","0","0","0","0"
"OH","12/04/2023","5538","N565NN","CLT","11:57","11:45","123","120","-12","11:55","10","0","0","0","0","0"
"OH","12/05/2021","5056","N607NN","CLT","19:07","18:59","138","125","-8","19:16","17","0","0","0","0","0"
"OH","12/05/2021","5095","N594NN","CLT","15:11","15:06","133","114","-5","15:18","12","0","0","0","0","0"
"OH","12/05/2023","5476","N596NN","CLT","11:55","11:52","125","133","-3","12:12","20","0","0","0","0","0"
"OH","12/06/2021","5095","N557NN","CLT","15:11","15:10","133","130","-1","15:23","13","0","0","0","0","0"
"OH","12/06/2023","5476","N582NN","CLT","11:55","11:43","125","133","-12","12:24","41","0","0","0","0","0"
"OH","12/07/2021","5095","N556NN","CLT","15:11","15:01","133","137","-10","15:17","16","0","0","0","0","0"
"OH","12/07/2023","5476","N547NN","CLT","11:55","12:12","125","113","17","12:38","26","0","0","0","0","0"
"OH","12/08/2021","5056","N555NN","CLT","19:07","19:08","138","137","1","19:38","30","0","0","0","0","0"
"OH","12/08/2021","5095","N578NN","CLT","15:11","14:57","133","141","-14","15:23","26","0","0","0","0","0"
"OH","12/08/2023","5476","N563NN","CLT","11:55","11:58","125","101","3","12:10","12","0","0","0","0","0"
"OH","12/09/2021","5056","N587NN","CLT","19:07","18:57","138","121","-10","19:09","12","0","0","0","0","0"
"OH","12/09/2021","5095","N570NN","CLT","15:11","15:10","133","130","-1","15:25","15","0","0","0","0","0"
