Detailed Statistics Departures  
Origin Airport: Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International (AVP)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2022","3404","N863RW","EWR","06:00","05:49","70","57","-11","06:14","25","0","0","0","0","0"
"YX","12/02/2022","3404","N743YX","EWR","06:00","06:15","70","69","15","06:45","30","0","0","0","0","0"
"YX","12/03/2022","3404","N751YX","EWR","06:00","06:00","70","52","0","06:11","11","0","0","0","0","0"
"YX","12/04/2022","3404","N751YX","EWR","06:00","05:58","70","49","-2","06:13","15","0","0","0","0","0"
"YX","12/05/2022","3404","N731YX","EWR","06:00","06:11","70","71","11","06:46","35","0","0","0","0","0"
"YX","12/06/2022","3404","N858RW","EWR","06:00","06:05","70","51","5","06:18","13","0","0","0","0","0"
"YX","12/07/2022","3404","N729YX","EWR","06:00","05:54","70","87","-6","06:18","24","0","0","0","0","0"
"YX","12/08/2022","3404","N643RW","EWR","06:00","05:52","70","43","-8","06:03","11","0","0","0","0","0"
"YX","12/09/2022","3404","N729YX","EWR","06:00","05:52","70","58","-8","06:16","24","0","0","0","0","0"
"YX","12/09/2023","3509","N747YX","EWR","14:21","14:13","69","55","-8","14:30","17","0","0","0","0","0"
"YX","12/10/2022","3404","N724YX","EWR","06:00","05:58","70","65","-2","06:25","27","0","0","0","0","0"
"YX","12/10/2023","3509","N746YX","EWR","14:21","14:13","69","66","-8","14:36","23","0","0","0","0","0"
"YX","12/11/2022","3404","N732YX","EWR","06:00","05:58","70","53","-2","06:17","19","0","0","0","0","0"
"YX","12/12/2022","3404","N721YX","EWR","06:00","05:52","70","67","-8","06:15","23","0","0","0","0","0"
"YX","12/13/2022","3404","N857RW","EWR","06:00","05:56","70","60","-4","06:20","24","0","0","0","0","0"
"YX","12/14/2022","3404","N728YX","EWR","06:00","05:55","70","73","-5","06:27","32","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
