Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","12/01/2021","0021","N386HA","HNL","10:20","10:22","380","359","2","10:41","19","0","0","0","0","0"
"HA","12/01/2021","0029","N382HA","OGG","09:15","09:01","380","382","-14","09:12","11","0","0","0","0","0"
"HA","12/01/2022","0021","N392HA","HNL","08:45","09:10","365","345","25","09:29","19","0","0","0","0","0"
"HA","12/01/2022","0029","N361HA","OGG","09:35","10:09","370","352","34","10:33","24","16","0","0","0","0"
"HA","12/01/2023","0021","N382HA","HNL","07:15","07:40","370","398","25","08:08","28","53","0","0","0","0"
"HA","12/01/2023","0029","N223HA","OGG","10:05","10:01","375","396","-4","10:19","18","17","0","0","0","0"
"HA","12/02/2021","0021","N382HA","HNL","10:20","10:22","380","375","2","10:36","14","0","0","0","0","0"
"HA","12/02/2021","0029","N375HA","OGG","09:15","09:19","380","369","4","09:34","15","0","0","0","0","0"
"HA","12/02/2022","0021","N361HA","HNL","08:50","08:50","375","400","0","09:39","49","25","0","0","0","0"
"HA","12/02/2022","0029","N388HA","OGG","09:40","10:37","365","354","57","10:56","19","32","14","0","0","0"
"HA","12/02/2023","0021","N373HA","HNL","07:15","07:14","375","383","-1","07:29","15","0","0","0","0","0"
"HA","12/02/2023","0029","N202HA","OGG","10:05","10:12","380","375","7","10:28","16","0","0","0","0","0"
"HA","12/03/2021","0021","N375HA","HNL","10:20","10:27","380","394","7","10:36","9","21","0","0","0","0"
"HA","12/03/2021","0029","N399HA","OGG","09:15","09:12","380","376","-3","09:21","9","0","0","0","0","0"
"HA","12/03/2022","0021","N378HA","HNL","08:50","09:11","375","358","21","09:24","13","0","0","0","0","0"
"HA","12/03/2022","0029","N388HA","OGG","09:40","10:25","365","348","45","10:40","15","7","21","0","0","0"
"HA","12/03/2023","0021","N379HA","HNL","07:15","07:11","375","374","-4","07:29","18","0","0","0","0","0"
"HA","12/03/2023","0029","N214HA","OGG","10:05","10:08","380","357","3","10:29","21","0","0","0","0","0"
"HA","12/04/2021","0021","N399HA","HNL","10:20","10:14","380","410","-6","10:34","20","24","0","0","0","0"
"HA","12/04/2021","0029","N391HA","OGG","09:15","09:15","380","381","0","09:26","11","0","0","0","0","0"
"HA","12/04/2022","0021","N388HA","HNL","08:50","08:56","375","356","6","09:05","9","0","0","0","0","0"
"HA","12/04/2022","0029","N375HA","OGG","09:40","09:43","365","368","3","09:51","8","0","0","0","0","0"
"HA","12/04/2023","0021","N379HA","HNL","07:15","07:17","375","376","2","07:36","19","0","0","0","0","0"
"HA","12/04/2023","0029","N215HA","OGG","10:05","09:58","380","397","-7","10:23","25","0","0","0","0","0"
"HA","12/05/2021","0021","N391HA","HNL","10:20","10:21","380","402","1","10:41","20","23","0","0","0","0"
"HA","12/05/2021","0029","N378HA","OGG","09:15","09:06","380","407","-9","09:23","17","18","0","0","0","0"
"HA","12/05/2022","0021","N386HA","HNL","08:50","09:03","375","357","13","09:17","14","0","0","0","0","0"
"HA","12/05/2022","0029","N375HA","OGG","09:40","11:56","365","338","136","12:15","19","109","0","0","0","0"
"HA","12/05/2023","0021","N395HA","HNL","07:15","07:08","375","399","-7","07:27","19","17","0","0","0","0"
"HA","12/05/2023","0029","N216HA","OGG","10:05","10:08","380","402","3","10:34","26","22","0","3","0","0"
"HA","12/06/2021","0021","N378HA","HNL","10:20","10:23","380","385","3","10:36","13","0","0","0","0","0"
"HA","12/06/2021","0029","N395HA","OGG","09:15","09:07","380","396","-8","09:20","13","0","0","0","0","0"
"HA","12/06/2022","0021","N375HA","HNL","08:50","08:56","375","367","6","09:10","14","0","0","0","0","0"
"HA","12/06/2022","0029","N399HA","OGG","09:40","09:36","365","368","-4","09:55","19","0","0","0","0","0"
"HA","12/06/2023","0021","N374HA","HNL","07:15","07:12","375","378","-3","07:30","18","0","0","0","0","0"
"HA","12/06/2023","0029","N213HA","OGG","10:05","10:08","380","387","3","10:37","29","0","0","0","0","0"
"HA","12/07/2021","0021","N380HA","HNL","10:20","13:12","380","384","172","13:27","15","176","0","0","0","0"
"HA","12/07/2021","0029","N395HA","OGG","09:15","09:07","380","381","-8","09:20","13","0","0","0","0","0"
"HA","12/07/2022","0021","N399HA","HNL","08:50","08:44","375","362","-6","08:57","13","0","0","0","0","0"
"HA","12/07/2022","0029","N378HA","OGG","09:40","09:40","365","369","0","09:54","14","0","0","0","0","0"
"HA","12/07/2023","0021","N384HA","HNL","07:15","07:31","375","376","16","07:51","20","1","0","6","10","0"
"HA","12/07/2023","0029","N227HA","OGG","10:05","14:47","380","376","282","15:10","23","278","0","0","0","0"
"HA","12/08/2021","0021","N395HA","HNL","10:20","10:12","380","388","-8","10:36","24","0","0","0","0","0"
"HA","12/08/2021","0029","N381HA","OGG","09:15","09:25","380","363","10","09:40","15","0","0","0","0","0"
"HA","12/08/2022","0021","N378HA","HNL","08:50","09:12","375","354","22","09:26","14","0","0","0","0","0"
"HA","12/08/2022","0029","N361HA","OGG","09:40","18:19","365","322","519","18:31","12","476","0","0","0","0"
"HA","12/08/2023","0021","N389HA","HNL","07:15","07:16","375","379","1","07:34","18","0","0","0","0","0"
"HA","12/08/2023","0029","N227HA","OGG","10:05","11:13","380","354","68","11:28","15","42","0","0","0","0"
"HA","12/09/2021","0021","N381HA","HNL","10:20","10:19","380","349","-1","10:36","17","0","0","0","0","0"
"HA","12/09/2021","0029","N392HA","OGG","09:15","09:16","380","361","1","09:27","11","0","0","0","0","0"
"HA","12/09/2022","0021","N375HA","HNL","08:50","08:55","375","380","5","09:13","18","0","0","0","0","0"
"HA","12/09/2022","0029","N383HA","OGG","09:40","09:35","365","374","-5","09:50","15","0","0","0","0","0"
"HA","12/09/2023","0021","N395HA","HNL","07:15","09:58","375","378","163","10:18","20","166","0","0","0","0"
"HA","12/09/2023","0029","N230HA","OGG","10:05","10:08","380","395","3","10:31","23","15","0","3","0","0"
"HA","12/10/2021","0021","N390HA","HNL","10:20","10:27","380","356","7","10:40","13","0","0","0","0","0"
"HA","12/10/2021","0029","N392HA","OGG","09:15","09:07","380","366","-8","09:19","12","0","0","0","0","0"
"HA","12/10/2022","0021","N383HA","HNL","08:50","09:12","375","357","22","09:26","14","0","0","0","0","0"
"HA","12/10/2022","0029","N382HA","OGG","09:40","09:52","365","359","12","10:04","12","0","0","0","0","0"
"HA","12/10/2023","0021","N380HA","HNL","07:15","07:23","375","369","8","07:43","20","0","0","0","0","0"
"HA","12/10/2023","0029","N228HA","OGG","10:05","10:11","380","364","6","10:24","13","0","0","0","0","0"
"HA","12/11/2021","0021","N392HA","HNL","10:20","10:26","380","391","6","10:42","16","17","0","0","0","0"
"HA","12/11/2021","0029","N379HA","OGG","09:15","09:15","380","390","0","09:26","11","0","0","0","0","0"
"HA","12/11/2022","0021","N382HA","HNL","08:50","08:54","375","361","4","09:08","14","0","0","0","0","0"
"HA","12/11/2022","0029","N399HA","OGG","09:40","09:42","365","372","2","10:02","20","0","0","0","0","0"
"HA","12/11/2023","0021","N381HA","HNL","07:15","07:23","375","367","8","07:40","17","0","0","0","0","0"
"HA","12/11/2023","0029","N205HA","OGG","10:05","10:04","380","375","-1","10:27","23","0","0","0","0","0"
"HA","12/12/2021","0021","N380HA","HNL","10:20","10:24","380","363","4","10:43","19","0","0","0","0","0"
"HA","12/12/2021","0029","N379HA","OGG","09:15","09:06","380","391","-9","09:22","16","0","0","0","0","0"
"HA","12/12/2022","0021","N378HA","HNL","08:50","08:52","375","374","2","09:04","12","0","0","0","0","0"
"HA","12/12/2022","0029","N399HA","OGG","09:40","09:38","365","377","-2","09:51","13","0","0","0","0","0"
"HA","12/12/2023","0021","N361HA","HNL","07:15","07:16","375","386","1","07:37","21","0","0","0","0","0"
"HA","12/12/2023","0029","N209HA","OGG","10:05","10:03","380","386","-2","10:26","23","0","0","0","0","0"
"HA","12/13/2021","0021","N374HA","HNL","10:20","10:20","380","362","0","10:48","28","0","0","0","0","0"
"HA","12/13/2021","0029","N379HA","OGG","09:15","09:14","380","362","-1","09:29","15","0","0","0","0","0"
"HA","12/13/2022","0021","N384HA","HNL","08:50","08:53","375","368","3","09:08","15","0","0","0","0","0"
"HA","12/13/2022","0029","N399HA","OGG","09:40","09:58","365","362","18","10:15","17","10","0","5","0","0"
"HA","12/13/2023","0021","N399HA","HNL","07:15","07:07","375","399","-8","07:23","16","16","0","0","0","0"
"HA","12/13/2023","0029","N202HA","OGG","10:05","12:59","380","405","174","13:16","17","124","0","0","0","75"
"HA","12/14/2021","0021","N379HA","HNL","10:20","18:41","380","346","501","18:59","18","467","0","0","0","0"
"HA","12/14/2021","0029","N386HA","OGG","09:15","09:14","380","374","-1","09:30","16","0","0","0","0","0"
"HA","12/14/2022","0021","N399HA","HNL","08:50","08:55","375","373","5","09:09","14","0","0","0","0","0"
"HA","12/14/2022","0029","N386HA","OGG","09:40","09:54","365","358","14","10:12","18","0","0","0","0","0"
"HA","12/14/2023","0021","N396HA","HNL","07:15","07:21","375","381","6","07:42","21","0","0","0","0","0"
"HA","12/14/2023","0029","N230HA","OGG","10:05","09:54","380","377","-11","10:18","24","0","0","0","0","0"
"HA","12/15/2021","0021","N386HA","HNL","10:20","11:09","380","347","49","11:20","11","16","0","0","0","0"
"HA","12/15/2021","0029","N373HA","OGG","09:15","09:16","380","373","1","09:29","13","0","0","0","0","0"
"HA","12/15/2022","0021","N386HA","HNL","08:50","08:53","375","371","3","09:14","21","0","0","0","0","0"
"HA","12/15/2022","0029","N395HA","OGG","09:40","09:46","365","362","6","10:01","15","0","0","0","0","0"
"HA","12/15/2023","0021","N380HA","HNL","07:15","07:13","375","374","-2","07:33","20","0","0","0","0","0"
"HA","12/15/2023","0029","N205HA","OGG","10:15","10:09","380","382","-6","10:32","23","0","0","0","0","0"
"HA","12/16/2021","0021","N373HA","HNL","10:20","23:10","380","345","770","23:24","14","735","0","0","0","0"
"HA","12/16/2021","0029","N384HA","OGG","09:15","10:08","380","367","53","10:49","41","40","0","0","0","0"
"HA","12/16/2022","0021","N395HA","HNL","08:50","09:06","375","370","16","09:25","19","0","0","0","0","0"
"HA","12/16/2022","0029","N391HA","OGG","09:40","09:54","365","362","14","10:09","15","0","0","0","0","0"
"HA","12/16/2023","0021","N390HA","HNL","07:15","07:24","375","350","9","07:40","16","0","0","0","0","0"
"HA","12/16/2023","0029","N218HA","OGG","10:05","10:17","380","338","12","10:32","15","0","0","0","0","0"
"HA","12/17/2021","0021","N382HA","HNL","10:20","00:25","380","359","845","00:36","11","824","0","0","0","0"
"HA","12/17/2021","0027","N374HA","HNL","08:00","08:00","380","354","0","08:15","15","0","0","0","0","0"
"HA","12/17/2021","0029","N384HA","OGG","09:15","09:26","380","359","11","09:46","20","0","0","0","0","0"
"HA","12/17/2022","0021","N391HA","HNL","08:50","08:48","375","373","-2","09:01","13","0","0","0","0","0"
"HA","12/17/2022","0029","N382HA","OGG","09:40","09:51","365","393","11","10:24","33","39","0","0","0","0"
"HA","12/17/2023","0021","N360HA","HNL","07:15","07:27","375","370","12","07:47","20","0","0","0","0","0"
"HA","12/17/2023","0029","N228HA","OGG","10:05","10:14","380","372","9","10:33","19","0","0","0","0","0"
"HA","12/18/2021","0021","N392HA","HNL","10:20","01:06","380","350","886","01:18","12","856","0","0","0","0"
"HA","12/18/2021","0027","N384HA","HNL","08:00","08:11","380","359","11","08:27","16","0","0","0","0","0"
"HA","12/18/2021","0029","N389HA","OGG","09:15","09:28","380","363","13","09:45","17","0","0","0","0","0"
"HA","12/18/2022","0021","N382HA","HNL","08:50","09:26","375","396","36","09:39","13","21","36","0","0","0"
"HA","12/18/2022","0029","N370HA","OGG","09:40","10:47","365","381","67","11:01","14","83","0","0","0","0"
"HA","12/18/2023","0021","N384HA","HNL","07:15","07:12","375","384","-3","07:30","18","0","0","0","0","0"
"HA","12/18/2023","0029","N216HA","OGG","10:05","10:14","380","387","9","10:27","13","16","0","0","0","0"
"HA","12/19/2021","0021","N360HA","HNL","10:20","11:21","380","359","61","11:33","12","40","0","0","0","0"
"HA","12/19/2021","0027","N391HA","HNL","08:00","08:00","380","369","0","08:13","13","0","0","0","0","0"
"HA","12/19/2021","0029","N389HA","OGG","09:15","09:18","380","415","3","09:31","13","3","0","35","0","0"
"HA","12/19/2022","0021","N370HA","HNL","08:50","11:00","375","431","130","11:14","14","186","0","0","0","0"
"HA","12/19/2022","0029","N360HA","OGG","09:40","10:24","365","0","44","10:37","13","0","0","0","0","0"
"HA","12/19/2023","0021","N399HA","HNL","07:15","07:10","375","366","-5","07:31","21","0","0","0","0","0"
"HA","12/19/2023","0029","N230HA","OGG","10:05","09:57","380","363","-8","10:12","15","0","0","0","0","0"
"HA","12/20/2021","0021","N389HA","HNL","10:20","10:22","380","372","2","11:06","44","0","0","0","0","0"
"HA","12/20/2021","0027","N395HA","HNL","08:00","08:40","380","343","40","08:59","19","0","0","0","0","0"
"HA","12/20/2021","0029","N381HA","OGG","09:15","09:18","380","378","3","10:02","44","0","0","0","0","0"
"HA","12/20/2022","0021","","HNL","08:50","00:00","375","0","0","00:00","0","0","0","0","0","0"
"HA","12/20/2022","0029","N360HA","OGG","09:40","04:06","365","378","1106","04:19","13","1119","0","0","0","0"
"HA","12/20/2023","0021","N399HA","HNL","07:15","07:10","375","348","-5","07:25","15","0","0","0","0","0"
"HA","12/20/2023","0029","N213HA","OGG","10:05","10:10","380","351","5","10:30","20","0","0","0","0","0"
"HA","12/21/2021","0021","N381HA","HNL","10:20","10:22","380","367","2","10:45","23","0","0","0","0","0"
"HA","12/21/2021","0027","N391HA","HNL","08:00","08:02","380","354","2","08:19","17","0","0","0","0","0"
"HA","12/21/2021","0029","N374HA","OGG","09:15","09:16","380","394","1","09:29","13","15","0","0","0","0"
"HA","12/21/2022","0021","N391HA","HNL","08:50","09:57","375","398","67","10:17","20","90","0","0","0","0"
"HA","12/21/2022","0029","","OGG","09:40","00:00","365","0","0","00:00","0","0","0","0","0","0"
"HA","12/21/2023","0021","N390HA","HNL","07:15","07:12","375","375","-3","07:31","19","0","0","0","0","0"
"HA","12/21/2023","0029","N205HA","OGG","10:05","09:57","380","394","-8","10:30","33","0","0","0","0","0"
"HA","12/22/2021","0021","N393HA","HNL","10:20","17:08","380","323","408","17:20","12","351","0","0","0","0"
"HA","12/22/2021","0027","N392HA","HNL","08:00","07:59","380","343","-1","08:16","17","0","0","0","0","0"
"HA","12/22/2021","0029","N374HA","OGG","09:15","09:12","380","341","-3","09:26","14","0","0","0","0","0"
"HA","12/22/2022","0021","N370HA","HNL","08:50","09:27","375","396","37","09:39","12","34","0","0","24","0"
"HA","12/22/2022","0029","","OGG","09:40","00:00","365","0","0","00:00","0","0","0","0","0","0"
"HA","12/22/2023","0021","N375HA","HNL","07:15","07:11","375","362","-4","07:28","17","0","0","0","0","0"
"HA","12/22/2023","0029","N209HA","OGG","10:05","10:04","380","360","-1","10:21","17","0","0","0","0","0"
"HA","12/23/2021","0021","N374HA","HNL","10:20","10:23","380","360","3","10:41","18","0","0","0","0","0"
"HA","12/23/2021","0027","N391HA","HNL","08:00","08:42","380","336","42","08:55","13","0","0","0","0","0"
"HA","12/23/2021","0029","N361HA","OGG","09:15","09:12","380","377","-3","09:24","12","0","0","0","0","0"
"HA","12/23/2022","0021","","HNL","08:50","00:00","375","0","0","00:00","0","0","0","0","0","0"
"HA","12/23/2022","0027","N395HA","HNL","07:15","16:38","375","401","563","16:52","14","26","563","0","0","0"
"HA","12/23/2022","0029","","OGG","09:40","00:00","365","0","0","00:00","0","0","0","0","0","0"
"HA","12/23/2023","0021","N392HA","HNL","07:15","07:40","375","360","25","07:57","17","0","0","0","0","0"
