Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0264","N942JB","JFK","21:00","20:59","303","266","-1","21:08","9","0","0","0","0","0"
"B6","12/01/2021","0498","N923JB","BOS","22:35","01:30","308","276","175","01:41","11","29","0","0","0","114"
"B6","12/01/2022","0264","N942JB","JFK","22:29","22:22","302","307","-7","22:42","20","0","0","0","0","0"
"B6","12/01/2022","0498","N944JT","BOS","23:59","01:46","305","299","107","01:57","11","0","0","0","0","101"
"B6","12/01/2023","0064","N993JE","JFK","15:30","15:26","314","311","-4","15:40","14","0","0","0","0","0"
"B6","12/01/2023","0498","N962JT","BOS","23:59","23:50","316","298","-9","00:04","14","0","0","0","0","0"
"B6","12/02/2021","0064","N586JB","JFK","13:56","14:22","304","268","26","14:30","8","0","0","0","0","0"
"B6","12/02/2021","0264","N993JE","JFK","21:00","20:53","303","252","-7","21:10","17","0","0","0","0","0"
"B6","12/02/2021","0498","N923JB","BOS","22:47","23:04","308","264","17","23:13","9","0","0","0","0","0"
"B6","12/02/2022","0264","N977JE","JFK","22:29","23:10","302","292","41","23:32","22","31","0","0","0","0"
"B6","12/02/2022","0498","N991JT","BOS","23:59","00:27","305","349","28","01:30","63","2","0","44","0","26"
"B6","12/02/2023","0264","N982JB","JFK","21:43","21:57","316","327","14","22:15","18","14","0","11","0","0"
"B6","12/02/2023","0498","N968JT","BOS","23:59","23:51","316","303","-8","00:10","19","0","0","0","0","0"
"B6","12/03/2021","0064","N526JL","JFK","13:56","13:55","304","292","-1","14:16","21","0","0","0","0","0"
"B6","12/03/2021","0264","N990JL","JFK","21:00","22:32","303","276","92","22:42","10","50","0","0","0","15"
"B6","12/03/2021","0498","N968JT","BOS","22:35","22:55","308","265","20","23:05","10","0","0","0","0","0"
"B6","12/03/2022","0264","N665JB","JFK","22:29","22:15","302","288","-14","22:27","12","0","0","0","0","0"
"B6","12/03/2022","0498","N992JB","BOS","23:59","01:01","305","274","62","01:11","10","31","0","0","0","0"
"B6","12/03/2023","0064","N923JB","JFK","15:30","15:25","314","296","-5","15:37","12","0","0","0","0","0"
"B6","12/03/2023","0498","N934JB","BOS","23:59","23:50","316","303","-9","00:06","16","0","0","0","0","0"
"B6","12/04/2021","0264","N985JT","JFK","21:00","22:47","303","268","107","22:58","11","8","0","0","0","64"
"B6","12/04/2021","0498","N984JB","BOS","22:47","23:27","308","279","40","23:38","11","0","0","0","0","0"
"B6","12/04/2022","0264","N986JB","JFK","22:29","00:12","302","299","103","00:40","28","58","0","0","0","42"
"B6","12/04/2022","0498","N967JT","BOS","23:59","01:35","305","308","96","01:57","22","0","0","3","0","96"
"B6","12/04/2023","0064","N984JB","JFK","15:27","15:16","315","301","-11","15:32","16","0","0","0","0","0"
"B6","12/04/2023","0498","N944JT","BOS","23:59","23:46","316","315","-13","00:06","20","0","0","0","0","0"
"B6","12/05/2021","0064","N715JB","JFK","13:56","13:54","304","322","-2","14:09","15","0","0","16","0","0"
"B6","12/05/2021","0264","N980JT","JFK","21:00","21:26","303","303","26","21:35","9","20","0","0","0","6"
"B6","12/05/2021","0498","N945JT","BOS","22:47","22:43","308","283","-4","22:53","10","0","0","0","0","0"
"B6","12/05/2022","0264","N923JB","JFK","22:29","22:20","302","281","-9","22:35","15","0","0","0","0","0"
"B6","12/05/2022","0498","N982JB","BOS","23:59","01:51","305","280","112","02:03","12","0","0","0","0","87"
"B6","12/05/2023","0064","N981JT","JFK","15:27","15:32","315","316","5","15:49","17","0","0","0","0","0"
"B6","12/05/2023","0498","N976JT","BOS","23:58","23:58","316","305","0","00:17","19","0","0","0","0","0"
"B6","12/06/2021","0064","N598JB","JFK","13:56","14:06","304","310","10","14:23","17","10","0","6","0","0"
"B6","12/06/2021","0264","N985JT","JFK","21:00","21:02","303","287","2","21:19","17","0","0","0","0","0"
"B6","12/06/2022","0264","N942JB","JFK","22:29","22:29","302","293","0","22:51","22","0","0","0","0","0"
"B6","12/06/2022","0498","N991JT","BOS","23:59","23:55","305","291","-4","00:11","16","0","0","0","0","0"
"B6","12/06/2023","0064","N942JB","JFK","15:30","15:29","314","288","-1","15:48","19","0","0","0","0","0"
"B6","12/06/2023","0498","N988JT","BOS","23:59","23:44","317","302","-15","00:02","18","0","0","0","0","0"
"B6","12/07/2021","0264","N964JT","JFK","21:00","20:56","303","281","-4","21:07","11","0","0","0","0","0"
"B6","12/07/2021","0498","N989JT","BOS","22:47","22:38","308","292","-9","22:49","11","0","0","0","0","0"
"B6","12/07/2022","0264","N946JL","JFK","22:29","22:27","302","296","-2","22:42","15","0","0","0","0","0"
"B6","12/07/2022","0498","N992JB","BOS","23:59","23:46","305","295","-13","23:58","12","0","0","0","0","0"
"B6","12/07/2023","0064","N981JT","JFK","15:30","16:31","314","318","61","16:52","21","61","0","4","0","0"
"B6","12/07/2023","0498","N961JT","BOS","23:59","00:09","317","314","10","00:24","15","0","0","0","0","0"
"B6","12/08/2021","0264","N962JT","JFK","21:00","21:05","303","314","5","21:16","11","5","0","11","0","0"
"B6","12/08/2022","0264","N984JB","JFK","22:29","22:23","302","297","-6","22:36","13","0","0","0","0","0"
"B6","12/08/2022","0498","N993JE","BOS","23:59","01:10","305","305","71","01:22","12","0","0","0","0","71"
"B6","12/08/2023","0064","N979JT","JFK","15:30","15:20","314","305","-10","15:32","12","0","0","0","0","0"
"B6","12/08/2023","0498","N944JT","BOS","23:59","23:43","317","315","-16","23:58","15","0","0","0","0","0"
"B6","12/09/2021","0064","N760JB","JFK","13:56","13:48","304","294","-8","14:01","13","0","0","0","0","0"
"B6","12/09/2021","0264","N964JT","JFK","21:00","22:59","303","286","119","23:14","15","31","0","0","0","71"
