Detailed Statistics Departures  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2021","0496","N923NK","LAS","15:10","15:02","140","136","-8","15:12","10","0","0","0","0","0"
"NK","12/01/2022","0422","N954NK","LAS","11:59","12:33","143","154","34","12:56","23","0","0","45","0","0"
"NK","12/01/2022","0496","N613NK","LAS","06:15","06:13","141","174","-2","06:55","42","0","0","31","0","0"
"NK","12/01/2022","1874","N671NK","LAS","09:50","09:53","140","148","3","10:09","16","0","0","0","0","0"
"NK","12/01/2023","0422","N961NK","LAS","10:57","11:03","149","149","6","11:19","16","0","0","0","0","0"
"NK","12/01/2023","0790","N955NK","LAS","19:16","19:19","154","124","3","19:33","14","0","0","0","0","0"
"NK","12/01/2023","1364","N612NK","LAS","21:40","21:33","156","141","-7","21:51","18","0","0","0","0","0"
"NK","12/02/2021","0496","N936NK","LAS","14:35","14:29","141","141","-6","14:39","10","0","0","0","0","0"
"NK","12/02/2021","2957","N606NK","LAS","19:50","19:44","141","138","-6","19:55","11","0","0","0","0","0"
"NK","12/02/2022","0422","N946NK","LAS","11:59","12:19","143","161","20","12:45","26","20","0","18","0","0"
"NK","12/02/2022","0496","N910NK","LAS","06:15","06:14","141","177","-1","07:08","54","0","0","35","0","0"
"NK","12/02/2022","1874","N681NK","LAS","09:50","10:10","140","153","20","10:38","28","0","0","13","0","20"
"NK","12/02/2023","0422","N987NK","LAS","10:57","10:58","149","132","1","11:11","13","0","0","0","0","0"
"NK","12/02/2023","0790","N946NK","LAS","19:16","19:04","154","126","-12","19:15","11","0","0","0","0","0"
"NK","12/02/2023","1364","N955NK","LAS","20:55","00:02","155","128","187","00:17","15","0","0","0","0","160"
"NK","12/03/2021","0496","N920NK","LAS","14:35","14:30","141","134","-5","14:39","9","0","0","0","0","0"
"NK","12/03/2021","2957","N698NK","LAS","19:50","19:46","141","140","-4","19:58","12","0","0","0","0","0"
"NK","12/03/2022","0422","N923NK","LAS","11:59","11:56","143","177","-3","12:37","41","0","0","31","0","0"
"NK","12/03/2022","0496","N648NK","LAS","06:15","10:35","141","155","260","10:56","21","260","0","14","0","0"
"NK","12/03/2022","1874","N667NK","LAS","09:50","10:18","140","154","28","10:35","17","11","0","14","0","17"
"NK","12/03/2023","0422","N941NK","LAS","10:57","10:52","149","146","-5","11:11","19","0","0","0","0","0"
"NK","12/03/2023","0790","N929NK","LAS","19:16","19:36","154","137","20","19:51","15","0","0","0","0","0"
"NK","12/03/2023","1364","N605NK","LAS","20:59","20:52","155","141","-7","21:10","18","0","0","0","0","0"
"NK","12/04/2021","0496","N928NK","LAS","15:10","15:02","140","136","-8","15:16","14","0","0","0","0","0"
"NK","12/04/2021","2957","N656NK","LAS","19:50","19:47","141","125","-3","19:58","11","0","0","0","0","0"
"NK","12/04/2022","0422","N920NK","LAS","11:59","11:53","143","168","-6","12:22","29","0","0","19","0","0"
"NK","12/04/2022","0496","N936NK","LAS","06:15","06:14","141","145","-1","06:25","11","0","0","0","0","0"
"NK","12/04/2022","1874","N680NK","LAS","09:50","10:59","140","172","69","11:37","38","0","10","32","0","59"
"NK","12/04/2023","0422","N976NK","LAS","10:48","10:44","155","147","-4","11:03","19","0","0","0","0","0"
"NK","12/04/2023","1364","N903NK","LAS","21:40","21:35","158","148","-5","21:55","20","0","0","0","0","0"
"NK","12/05/2021","0496","N918NK","LAS","14:35","14:34","141","131","-1","14:49","15","0","0","0","0","0"
"NK","12/05/2021","2957","N638NK","LAS","19:50","19:38","141","137","-12","19:47","9","0","0","0","0","0"
"NK","12/05/2022","0422","N949NK","LAS","11:59","13:08","143","161","69","13:39","31","0","0","19","0","68"
"NK","12/05/2022","0496","N632NK","LAS","06:15","06:37","141","150","22","06:51","14","22","0","9","0","0"
"NK","12/05/2022","1874","N674NK","LAS","09:50","00:00","140","0","0","00:00","0","0","0","0","0","0"
"NK","12/05/2023","0422","N958NK","LAS","10:48","11:01","155","148","13","11:22","21","0","0","0","0","0"
"NK","12/05/2023","1364","N631NK","LAS","22:18","22:20","159","149","2","22:42","22","0","0","0","0","0"
"NK","12/06/2021","0496","N941NK","LAS","14:35","14:32","141","134","-3","14:45","13","0","0","0","0","0"
"NK","12/06/2021","2957","N634NK","LAS","19:50","19:45","141","136","-5","20:03","18","0","0","0","0","0"
"NK","12/06/2022","0422","N957NK","LAS","11:59","11:48","143","148","-11","12:15","27","0","0","0","0","0"
"NK","12/06/2022","0496","N613NK","LAS","06:15","06:25","141","142","10","06:46","21","0","0","0","0","0"
"NK","12/06/2022","1874","N963NK","LAS","13:45","13:40","150","139","-5","13:57","17","0","0","0","0","0"
"NK","12/06/2023","0422","N619NK","LAS","10:48","10:45","155","159","-3","11:01","16","0","0","0","0","0"
"NK","12/06/2023","1364","N698NK","LAS","22:18","23:21","159","133","63","23:36","15","0","0","0","0","37"
"NK","12/07/2021","0496","N915NK","LAS","15:10","15:24","140","139","14","15:41","17","0","0","0","0","0"
"NK","12/07/2022","0422","N920NK","LAS","12:10","11:58","145","150","-12","12:27","29","0","0","0","0","0"
"NK","12/07/2022","0496","N613NK","LAS","06:15","06:07","143","150","-8","06:26","19","0","0","0","0","0"
"NK","12/07/2022","1874","N950NK","LAS","13:50","13:55","145","142","5","14:17","22","0","0","0","0","0"
"NK","12/07/2023","0422","N604NK","LAS","10:48","11:40","155","142","52","11:59","19","0","0","39","0","0"
"NK","12/07/2023","1364","N676NK","LAS","18:53","18:50","156","137","-3","19:07","17","0","0","0","0","0"
"NK","12/08/2021","0496","N946NK","LAS","15:10","15:05","140","131","-5","15:26","21","0","0","0","0","0"
"NK","12/08/2022","0422","N918NK","LAS","12:10","12:05","145","160","-5","12:37","32","0","0","0","0","0"
"NK","12/08/2022","0496","N602NK","LAS","06:15","06:19","143","138","4","06:31","12","0","0","0","0","0"
"NK","12/08/2022","1874","N676NK","LAS","09:50","09:51","144","155","1","10:16","25","0","0","0","0","0"
"NK","12/08/2023","0422","N913NK","LAS","10:48","10:47","155","141","-1","10:58","11","0","0","0","0","0"
"NK","12/08/2023","1364","N603NK","LAS","21:40","21:48","158","158","8","22:04","16","0","0","0","0","0"
"NK","12/09/2021","0496","N925NK","LAS","14:35","16:33","141","143","118","16:56","23","0","107","13","0","0"
"NK","12/09/2021","2957","N601NK","LAS","19:50","19:48","141","133","-2","20:09","21","0","0","0","0","0"
"NK","12/09/2022","0422","N922NK","LAS","12:10","12:09","145","147","-1","12:36","27","0","0","0","0","0"
"NK","12/09/2022","0496","N608NK","LAS","06:15","06:12","143","132","-3","06:29","17","0","0","0","0","0"
"NK","12/09/2022","1874","N676NK","LAS","09:50","09:52","144","137","2","10:09","17","0","0","0","0","0"
"NK","12/09/2023","0422","N955NK","LAS","10:48","11:00","155","154","12","11:20","20","0","0","0","0","0"
"NK","12/09/2023","1364","N632NK","LAS","20:58","20:52","158","167","-6","21:08","16","0","0","0","0","0"
"NK","12/10/2021","0496","N923NK","LAS","14:35","15:02","141","132","27","15:19","17","18","0","0","0","0"
"NK","12/10/2021","2957","N605NK","LAS","19:50","19:45","141","141","-5","20:12","27","0","0","0","0","0"
"NK","12/10/2022","0422","N944NK","LAS","12:10","12:14","145","158","4","12:42","28","0","0","17","0","0"
"NK","12/10/2022","0496","N622NK","LAS","06:15","06:30","143","143","15","06:47","17","15","0","0","0","0"
"NK","12/10/2022","1874","N676NK","LAS","09:50","09:58","144","155","8","10:24","26","0","0","11","8","0"
"NK","12/10/2023","0422","N971NK","LAS","10:48","10:44","155","147","-4","10:58","14","0","0","0","0","0"
