Detailed Statistics Departures  
Origin Airport: Sheridan, WY: Sheridan County (SHR)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5156","N912EV","DEN","11:45","11:40","93","71","-5","11:48","8","0","0","0","0","0"
"OO","12/01/2021","5185","N973SW","DEN","05:37","05:34","93","68","-3","05:42","8","0","0","0","0","0"
"OO","12/01/2022","5185","N912SW","DEN","05:31","05:31","105","83","0","05:54","23","0","0","0","0","0"
"OO","12/01/2023","5079","N930EV","DEN","10:15","10:05","100","100","-10","10:15","10","0","0","0","0","0"
"OO","12/01/2023","5185","N932EV","DEN","05:15","05:06","100","127","-9","05:57","51","0","0","18","0","0"
"OO","12/02/2021","5156","N875AS","DEN","11:45","11:35","93","92","-10","11:55","20","0","0","0","0","0"
"OO","12/02/2021","5185","N494CA","DEN","05:37","05:34","93","74","-3","05:45","11","0","0","0","0","0"
"OO","12/02/2022","5079","N207PS","DEN","10:29","10:18","105","110","-11","10:58","40","0","0","0","0","0"
"OO","12/02/2022","5185","N909SW","DEN","05:31","07:10","105","127","99","08:06","56","0","121","0","0","0"
"OO","12/02/2023","5079","N693BR","DEN","10:15","09:58","100","98","-17","10:20","22","0","0","0","0","0"
"OO","12/02/2023","5185","N909SW","DEN","05:15","05:12","100","102","-3","05:43","31","0","0","0","0","0"
"OO","12/03/2021","5156","N246PS","DEN","11:45","11:44","93","93","-1","12:13","29","0","0","0","0","0"
"OO","12/03/2021","5185","N971SW","DEN","05:37","06:56","93","93","79","07:26","30","79","0","0","0","0"
"OO","12/03/2022","5079","N430SW","DEN","10:29","10:20","105","86","-9","10:37","17","0","0","0","0","0"
"OO","12/03/2022","5185","N986SW","DEN","05:31","05:23","105","100","-8","05:56","33","0","0","0","0","0"
"OO","12/03/2023","5079","N914EV","DEN","10:15","10:07","100","87","-8","10:25","18","0","0","0","0","0"
"OO","12/03/2023","5185","N917SW","DEN","05:15","09:38","100","75","263","09:45","7","238","0","0","0","0"
"OO","12/04/2021","5156","N946SW","DEN","11:45","11:36","93","75","-9","11:50","14","0","0","0","0","0"
"OO","12/04/2021","5185","N465SW","DEN","05:37","05:28","93","75","-9","05:39","11","0","0","0","0","0"
"OO","12/04/2022","5079","N875AS","DEN","10:29","10:24","105","80","-5","10:39","15","0","0","0","0","0"
"OO","12/04/2022","5185","N910SW","DEN","05:31","05:21","105","94","-10","05:49","28","0","0","0","0","0"
"OO","12/04/2023","5079","N926SW","DEN","10:15","10:07","100","78","-8","10:13","6","0","0","0","0","0"
"OO","12/04/2023","5185","N679SA","DEN","05:15","05:15","100","75","0","05:25","10","0","0","0","0","0"
"OO","12/05/2021","5156","N457SW","DEN","11:45","13:44","93","112","119","14:28","44","0","138","0","0","0"
"OO","12/05/2021","5185","N917SW","DEN","05:37","00:00","93","0","0","00:00","0","0","0","0","0","0"
"OO","12/05/2022","5079","N906EV","DEN","10:29","10:24","105","95","-5","10:53","29","0","0","0","0","0"
"OO","12/05/2022","5185","N868AS","DEN","05:31","05:25","105","112","-6","06:11","46","0","0","0","0","0"
"OO","12/05/2023","5071","N953SW","DEN","10:15","10:05","100","90","-10","10:24","19","0","0","0","0","0"
"OO","12/05/2023","5185","N466SW","DEN","05:15","05:13","100","68","-2","05:20","7","0","0","0","0","0"
"OO","12/06/2021","5156","N431SW","DEN","11:45","12:13","93","78","28","12:31","18","0","0","0","0","0"
"OO","12/06/2021","5185","N431SW","DEN","05:37","05:33","93","99","-4","06:08","35","0","0","0","0","0"
"OO","12/06/2022","5185","N971SW","DEN","05:31","05:24","105","79","-7","05:44","20","0","0","0","0","0"
"OO","12/06/2023","5079","N900EV","DEN","10:15","10:00","100","96","-15","10:27","27","0","0","0","0","0"
"OO","12/06/2023","5185","N917SW","DEN","05:15","05:13","100","79","-2","05:26","13","0","0","0","0","0"
"OO","12/07/2021","5156","N492SW","DEN","11:45","11:39","93","77","-6","11:55","16","0","0","0","0","0"
"OO","12/07/2021","5185","N907SW","DEN","05:37","05:38","93","117","1","06:23","45","25","0","0","0","0"
"OO","12/07/2022","5079","N223JS","DEN","10:29","10:21","105","97","-8","10:45","24","0","0","0","0","0"
"OO","12/07/2022","5185","N916SW","DEN","05:31","05:23","105","79","-8","05:42","19","0","0","0","0","0"
"OO","12/07/2023","5071","N967SW","DEN","10:15","11:08","100","93","53","11:31","23","0","0","0","0","46"
"OO","12/07/2023","5185","N699BR","DEN","05:15","04:58","100","96","-17","05:20","22","0","0","0","0","0"
"OO","12/08/2021","5156","N908EV","DEN","11:45","11:38","93","88","-7","11:54","16","0","0","0","0","0"
"OO","12/08/2021","5185","N869AS","DEN","05:37","05:28","93","90","-9","05:56","28","0","0","0","0","0"
"OO","12/08/2022","5185","N903EV","DEN","05:31","05:25","105","87","-6","05:46","21","0","0","0","0","0"
"OO","12/08/2023","5079","N944SW","DEN","10:15","10:05","100","86","-10","10:17","12","0","0","0","0","0"
"OO","12/08/2023","5185","N920EV","DEN","05:15","05:00","100","120","-15","05:51","51","0","0","0","0","0"
"OO","12/09/2021","5156","N912SW","DEN","11:45","11:40","93","81","-5","11:55","15","0","0","0","0","0"
"OO","12/09/2021","5185","N437SW","DEN","05:37","05:36","93","104","-1","06:20","44","0","0","0","0","0"
"OO","12/09/2022","5079","N962SW","DEN","10:29","10:19","105","82","-10","10:31","12","0","0","0","0","0"
"OO","12/09/2022","5185","N962SW","DEN","05:31","05:23","105","85","-8","05:44","21","0","0","0","0","0"
"OO","12/09/2023","5079","N900EV","DEN","10:15","10:00","100","94","-15","10:25","25","0","0","0","0","0"
"OO","12/09/2023","5185","N693BR","DEN","05:15","05:11","100","120","-4","05:55","44","0","0","16","0","0"
"OO","12/10/2021","5156","N453SW","DEN","11:45","11:46","93","95","1","12:08","22","0","0","0","0","0"
"OO","12/10/2021","5185","N910SW","DEN","05:37","06:51","93","127","74","07:34","43","0","108","0","0","0"
"OO","12/10/2022","5079","N933EV","DEN","10:29","10:20","105","78","-9","10:34","14","0","0","0","0","0"
"OO","12/10/2022","5185","N939SW","DEN","05:31","05:22","105","77","-9","05:39","17","0","0","0","0","0"
"OO","12/10/2023","5079","N953SW","DEN","10:15","10:10","100","80","-5","10:25","15","0","0","0","0","0"
"OO","12/10/2023","5185","N699BR","DEN","05:15","05:04","100","93","-11","05:36","32","0","0","0","0","0"
"OO","12/11/2021","5156","N909EV","DEN","11:45","11:34","93","77","-11","11:50","16","0","0","0","0","0"
"OO","12/11/2021","5185","N909EV","DEN","05:37","05:27","93","76","-10","05:43","16","0","0","0","0","0"
"OO","12/11/2022","5079","N933EV","DEN","10:29","10:20","105","87","-9","10:30","10","0","0","0","0","0"
"OO","12/11/2022","5185","N457SW","DEN","05:31","05:22","105","86","-9","05:42","20","0","0","0","0","0"
"OO","12/11/2023","5079","N699BR","DEN","10:15","10:08","100","67","-7","10:15","7","0","0","0","0","0"
"OO","12/11/2023","5185","N939SW","DEN","05:15","05:12","100","85","-3","05:38","26","0","0","0","0","0"
"OO","12/12/2021","5156","N455SW","DEN","11:45","11:35","93","77","-10","11:42","7","0","0","0","0","0"
"OO","12/12/2021","5185","N910EV","DEN","05:37","05:30","93","74","-7","05:41","11","0","0","0","0","0"
"OO","12/12/2022","5079","N914EV","DEN","10:29","10:19","105","106","-10","10:52","33","0","0","0","0","0"
"OO","12/12/2022","5185","N962SW","DEN","05:31","05:16","105","85","-15","05:32","16","0","0","0","0","0"
"OO","12/12/2023","5071","N962SW","DEN","10:15","10:33","100","97","18","10:49","16","0","0","0","0","15"
"OO","12/12/2023","5185","N956SW","DEN","05:15","05:04","100","97","-11","05:29","25","0","0","0","0","0"
"OO","12/13/2021","5156","N967SW","DEN","11:45","11:39","93","81","-6","11:47","8","0","0","0","0","0"
"OO","12/13/2021","5185","N246PS","DEN","05:37","05:23","93","87","-14","05:46","23","0","0","0","0","0"
"OO","12/13/2022","5185","N957SW","DEN","05:31","05:29","105","113","-2","06:03","34","0","0","0","0","0"
"OO","12/13/2023","5079","N457SW","DEN","10:15","10:06","100","116","-9","10:42","36","0","0","0","0","0"
"OO","12/13/2023","5185","N917SW","DEN","05:15","06:13","100","81","58","06:21","8","0","39","0","0","0"
"OO","12/14/2021","5156","N925SW","DEN","11:45","11:35","93","88","-10","11:43","8","0","0","0","0","0"
"OO","12/14/2021","5185","N905EV","DEN","05:37","05:36","93","88","-1","05:53","17","0","0","0","0","0"
"OO","12/14/2022","5079","N933EV","DEN","10:29","10:25","105","79","-4","10:37","12","0","0","0","0","0"
"OO","12/14/2022","5185","N943SW","DEN","05:31","05:21","105","82","-10","05:43","22","0","0","0","0","0"
"OO","12/14/2023","5071","N929SW","DEN","10:15","10:16","100","104","1","10:48","32","0","0","0","0","0"
"OO","12/14/2023","5185","N929SW","DEN","05:15","14:06","100","103","531","14:27","21","0","0","3","0","531"
"OO","12/15/2021","5156","N923SW","DEN","11:45","00:00","93","0","0","00:00","0","0","0","0","0","0"
"OO","12/15/2021","5185","N971SW","DEN","05:37","05:32","93","106","-5","06:10","38","0","0","0","0","0"
"OO","12/15/2022","5185","N939SW","DEN","05:31","05:22","102","94","-9","05:52","30","0","0","0","0","0"
"OO","12/15/2023","5079","N430SW","DEN","10:15","10:12","100","84","-3","10:25","13","0","0","0","0","0"
"OO","12/15/2023","5185","N207PS","DEN","05:15","05:10","100","75","-5","05:23","13","0","0","0","0","0"
"OO","12/16/2021","5156","N228PS","DEN","11:42","13:00","95","83","78","13:11","11","66","0","0","0","0"
"OO","12/16/2021","5185","N978SW","DEN","05:35","05:31","95","93","-4","06:03","32","0","0","0","0","0"
"OO","12/16/2022","5079","N430SW","DEN","10:37","10:32","88","76","-5","10:39","7","0","0","0","0","0"
"OO","12/16/2022","5185","N809CA","DEN","05:15","05:36","88","85","21","05:51","15","18","0","0","0","0"
"OO","12/16/2023","5079","N958SW","DEN","10:15","11:10","100","91","55","11:32","22","46","0","0","0","0"
"OO","12/16/2023","5185","N487CA","DEN","05:15","05:12","100","97","-3","05:47","35","0","0","0","0","0"
"OO","12/17/2021","5156","N433SW","DEN","11:45","11:50","95","91","5","12:09","19","0","0","0","0","0"
"OO","12/17/2021","5185","N953SW","DEN","05:35","05:29","95","86","-6","05:55","26","0","0","0","0","0"
"OO","12/17/2022","5079","N955SW","DEN","10:37","10:33","88","77","-4","10:45","12","0","0","0","0","0"
"OO","12/17/2022","5185","N963SW","DEN","05:15","05:11","88","75","-4","05:24","13","0","0","0","0","0"
"OO","12/17/2023","5079","N967SW","DEN","10:15","10:27","100","79","12","10:41","14","0","0","0","0","0"
"OO","12/17/2023","5185","N926SW","DEN","05:15","05:04","100","89","-11","05:32","28","0","0","0","0","0"
"OO","12/18/2021","5156","N417SW","DEN","11:42","11:38","95","74","-4","11:52","14","0","0","0","0","0"
"OO","12/18/2021","5185","N709BR","DEN","05:35","05:37","95","99","2","06:15","38","0","0","0","0","0"
