Detailed Statistics Departures  
Origin Airport: Shreveport, LA: Shreveport Regional (SHV)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2023","0037","328NV","LAS","12:24","12:44","195","190","20","12:54","10","15","0","0","0","0"
"G4","12/02/2021","0257","302NV","LAS","18:44","18:42","196","172","-2","18:52","10","0","0","0","0","0"
"G4","12/02/2022","0117","302NV","LAS","11:35","12:47","197","0","72","12:55","8","0","0","0","0","0"
"G4","12/04/2023","0037","308NV","LAS","12:19","12:51","195","186","32","13:02","11","23","0","0","0","0"
"G4","12/05/2021","0257","333NV","LAS","18:44","18:53","196","189","9","19:07","14","0","0","0","0","0"
"G4","12/05/2022","0056","302NV","LAS","14:30","14:51","197","248","21","15:44","53","0","0","72","0","0"
"G4","12/08/2023","0037","234NV","LAS","21:46","22:17","203","209","31","22:28","11","27","0","6","0","4"
"G4","12/09/2021","0257","319NV","LAS","18:44","19:34","196","199","50","19:52","18","0","0","3","0","50"
"G4","12/09/2022","0144","248NV","LAS","11:34","11:45","198","193","11","11:52","7","0","0","0","0","0"
"G4","12/11/2023","0037","234NV","LAS","21:46","21:37","203","194","-9","21:49","12","0","0","0","0","0"
"G4","12/12/2021","0257","331NV","LAS","18:44","19:48","196","176","64","19:57","9","42","0","0","0","2"
"G4","12/12/2022","0056","313NV","LAS","22:26","00:55","198","204","149","01:06","11","149","0","6","0","0"
"G4","12/15/2021","1440","335NV","LAX","15:34","15:26","215","215","-8","15:35","9","0","0","0","0","0"
"G4","12/15/2023","0037","291NV","LAS","21:46","22:00","203","184","14","22:12","12","0","0","0","0","0"
"G4","12/16/2021","0249","316NV","LAS","21:03","21:17","196","196","14","21:31","14","0","0","0","0","0"
"G4","12/17/2022","0056","302NV","LAS","22:26","22:25","198","197","-1","22:35","10","0","0","0","0","0"
"G4","12/18/2021","1426","317NV","LAX","21:26","22:30","215","233","64","22:46","16","10","0","18","0","54"
"G4","12/18/2023","0037","286NV","LAS","21:46","21:56","203","184","10","22:11","15","0","0","0","0","0"
"G4","12/19/2021","0293","309NV","LAS","21:56","21:56","196","188","0","22:11","15","0","0","0","0","0"
"G4","12/20/2022","0056","328NV","LAS","22:26","22:26","198","195","0","22:39","13","0","0","0","0","0"
"G4","12/21/2022","0117","328NV","LAS","19:18","19:30","198","203","12","19:40","10","0","0","17","0","0"
"G4","12/22/2021","1440","","LAX","20:05","00:00","215","0","0","00:00","0","0","0","0","0","0"
"G4","12/22/2023","0037","215NV","LAS","12:19","12:25","203","191","6","12:33","8","0","0","0","0","0"
"G4","12/23/2021","0216","309NV","LAS","11:36","12:02","196","201","26","12:09","7","0","0","31","0","0"
"G4","12/24/2022","0056","328NV","LAS","20:53","21:18","198","186","25","21:30","12","0","0","0","0","0"
"G4","12/25/2021","1426","335NV","LAX","21:26","22:12","215","222","46","22:21","9","0","0","15","0","38"
"G4","12/26/2021","0236","280NV","LAS","11:56","12:18","196","247","22","13:07","49","0","0","73","0","0"
"G4","12/26/2023","1713","208NV","LAS","22:11","22:35","203","189","24","22:44","9","0","0","0","0","0"
"G4","12/27/2022","0056","207NV","LAS","11:44","12:05","198","186","21","12:13","8","0","0","0","0","0"
"G4","12/28/2022","0158","305NV","LAS","19:33","19:29","198","183","-4","19:37","8","0","0","0","0","0"
"G4","12/29/2021","1440","","LAX","20:05","00:00","215","0","0","00:00","0","0","0","0","0","0"
"G4","12/29/2023","0037","327NV","LAS","11:49","11:57","201","187","8","12:09","12","0","0","0","0","0"
"G4","12/30/2021","0198","302NV","LAS","21:40","21:53","196","208","13","22:00","7","13","0","12","0","0"
"G4","12/31/2022","0056","218NV","LAS","20:53","21:34","198","190","41","21:40","6","0","24","0","0","9"

 SOURCE: Bureau of Transportation Statistics
