Detailed Statistics Departures  
Origin Airport: Shreveport, LA: Shreveport Regional (SHV)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4009","N607AE","DFW","14:40","14:34","66","62","-6","14:44","10","0","0","0","0","0"
"MQ","12/01/2021","4021","N922AE","DFW","10:21","10:16","70","77","-5","10:36","20","0","0","0","0","0"
"MQ","12/01/2021","4101","N272NN","DFW","20:04","19:57","81","86","-7","20:33","36","0","0","0","0","0"
"MQ","12/01/2021","4149","N213NN","DFW","18:16","18:32","83","56","16","18:41","9","0","0","0","0","0"
"MQ","12/01/2021","4183","N618AE","DFW","12:20","12:10","68","70","-10","12:24","14","0","0","0","0","0"
"MQ","12/01/2021","4339","N267NN","DFW","06:30","06:30","79","73","0","06:54","24","0","0","0","0","0"
"MQ","12/01/2023","4009","N251NN","DFW","10:10","10:02","81","64","-8","10:15","13","0","0","0","0","0"
"MQ","12/01/2023","4021","N643RW","DFW","16:27","16:46","81","70","19","17:00","14","0","0","0","0","0"
"MQ","12/02/2021","3759","N664MS","DFW","08:00","07:59","69","73","-1","08:14","15","0","0","0","0","0"
"MQ","12/02/2021","4009","N681AE","DFW","14:40","14:50","66","56","10","14:57","7","0","0","0","0","0"
"MQ","12/02/2021","4021","N606AE","DFW","10:21","10:27","70","63","6","10:40","13","0","0","0","0","0"
"MQ","12/02/2021","4101","N282NN","DFW","20:04","19:58","81","62","-6","20:08","10","0","0","0","0","0"
"MQ","12/02/2021","4149","N618AE","DFW","18:16","18:05","73","61","-11","18:17","12","0","0","0","0","0"
"MQ","12/02/2021","4183","N612AE","DFW","12:20","12:16","68","62","-4","12:25","9","0","0","0","0","0"
"MQ","12/02/2023","4009","N252NN","DFW","10:10","10:09","81","71","-1","10:27","18","0","0","0","0","0"
"MQ","12/02/2023","4021","N450YX","DFW","16:27","16:22","81","82","-5","16:41","19","0","0","0","0","0"
"MQ","12/03/2021","3759","N616AE","DFW","08:00","08:10","69","72","10","08:21","11","0","0","0","0","0"
"MQ","12/03/2021","4009","N671AE","DFW","14:40","14:50","66","60","10","15:00","10","0","0","0","0","0"
"MQ","12/03/2021","4021","N688AE","DFW","10:21","10:36","70","73","15","10:49","13","13","0","3","0","2"
"MQ","12/03/2021","4101","N260NN","DFW","20:04","19:57","81","83","-7","20:14","17","0","0","0","0","0"
"MQ","12/03/2021","4149","N671AE","DFW","18:16","18:06","73","65","-10","18:14","8","0","0","0","0","0"
"MQ","12/03/2021","4183","N612AE","DFW","12:20","12:26","68","68","6","12:33","7","0","0","0","0","0"
"MQ","12/03/2023","4009","N257NN","DFW","10:10","10:04","81","80","-6","10:22","18","0","0","0","0","0"
"MQ","12/03/2023","4021","N635RW","DFW","16:27","16:31","81","69","4","16:41","10","0","0","0","0","0"
"MQ","12/04/2021","3759","N664MS","DFW","08:00","07:53","69","67","-7","08:07","14","0","0","0","0","0"
"MQ","12/04/2021","4009","N613AE","DFW","14:40","14:51","66","69","11","15:08","17","0","0","0","0","0"
"MQ","12/04/2021","4021","N925AE","DFW","10:21","10:27","70","78","6","10:43","16","0","0","0","0","0"
"MQ","12/04/2021","4149","N925AE","DFW","18:16","18:08","73","85","-8","18:23","15","0","0","0","0","0"
"MQ","12/04/2021","4183","N684JW","DFW","12:20","12:16","68","56","-4","12:24","8","0","0","0","0","0"
"MQ","12/04/2023","4009","N278NN","DFW","10:10","10:10","81","73","0","10:25","15","0","0","0","0","0"
"MQ","12/04/2023","4021","N760MQ","DFW","16:27","16:40","81","66","13","16:57","17","0","0","0","0","0"
"MQ","12/05/2021","3759","N607AE","DFW","08:00","08:04","69","83","4","08:31","27","4","0","14","0","0"
"MQ","12/05/2021","4009","N623AE","DFW","14:40","14:37","66","77","-3","14:54","17","0","0","0","0","0"
"MQ","12/05/2021","4021","N684JW","DFW","10:21","10:12","70","77","-9","10:28","16","0","0","0","0","0"
"MQ","12/05/2021","4101","N214NN","DFW","20:04","20:13","81","72","9","20:26","13","0","0","0","0","0"
"MQ","12/05/2021","4149","N693AE","DFW","18:16","18:51","73","75","35","19:12","21","11","0","2","0","24"
"MQ","12/05/2021","4183","N667GB","DFW","12:20","12:18","68","58","-2","12:25","7","0","0","0","0","0"
"MQ","12/05/2021","4339","N233NN","DFW","06:30","06:30","79","75","0","06:43","13","0","0","0","0","0"
"MQ","12/05/2023","3413","N771JV","DFW","10:09","09:58","79","59","-11","10:07","9","0","0","0","0","0"
"MQ","12/05/2023","3417","N229NN","DFW","18:25","18:13","79","74","-12","18:36","23","0","0","0","0","0"
"MQ","12/05/2023","4021","N244NN","DFW","16:26","16:23","79","80","-3","16:51","28","0","0","0","0","0"
"MQ","12/06/2021","3759","N928AE","DFW","08:00","07:49","69","67","-11","08:06","17","0","0","0","0","0"
"MQ","12/06/2021","4009","N606AE","DFW","14:40","14:37","66","64","-3","14:49","12","0","0","0","0","0"
"MQ","12/06/2021","4021","N619AE","DFW","10:21","10:11","70","69","-10","10:23","12","0","0","0","0","0"
"MQ","12/06/2021","4149","N676AE","DFW","18:16","18:16","73","66","0","18:29","13","0","0","0","0","0"
"MQ","12/06/2021","4183","N684JW","DFW","12:20","12:15","68","66","-5","12:28","13","0","0","0","0","0"
"MQ","12/06/2023","3413","N826MD","DFW","10:09","09:58","79","71","-11","10:13","15","0","0","0","0","0"
"MQ","12/06/2023","3417","N268NN","DFW","18:25","18:16","79","78","-9","18:35","19","0","0","0","0","0"
"MQ","12/06/2023","4021","N257NN","DFW","16:26","16:24","79","74","-2","16:39","15","0","0","0","0","0"
"MQ","12/07/2021","3759","N673AE","DFW","08:00","07:52","69","69","-8","08:04","12","0","0","0","0","0"
"MQ","12/07/2021","4009","N680AE","DFW","14:40","14:31","66","74","-9","14:53","22","0","0","0","0","0"
"MQ","12/07/2021","4021","N933JN","DFW","10:21","10:25","70","76","4","10:41","16","0","0","0","0","0"
"MQ","12/07/2021","4149","N693AE","DFW","18:16","18:14","73","74","-2","18:29","15","0","0","0","0","0"
"MQ","12/07/2021","4183","N623AE","DFW","12:20","12:17","68","64","-3","12:29","12","0","0","0","0","0"
"MQ","12/07/2021","4339","N291NN","DFW","06:30","06:29","79","63","-1","06:43","14","0","0","0","0","0"
"MQ","12/07/2023","3413","N228NN","DFW","10:09","10:01","79","69","-8","10:11","10","0","0","0","0","0"
"MQ","12/07/2023","3417","N236NN","DFW","18:25","18:23","79","85","-2","18:34","11","0","0","0","0","0"
"MQ","12/07/2023","4021","N245NN","DFW","16:26","16:24","79","68","-2","16:37","13","0","0","0","0","0"
