Detailed Statistics Departures  
Origin Airport: Shreveport, LA: Shreveport Regional (SHV)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2022","5761","N952LR","DFW","16:23","16:21","76","78","-2","16:41","20","0","0","0","0","0"
"YV","12/02/2022","5761","N957LR","DFW","16:23","16:19","76","70","-4","16:28","9","0","0","0","0","0"
"YV","12/03/2022","5844","N934FJ","DFW","18:35","18:20","76","94","-15","18:58","38","0","0","0","0","0"
"YV","12/04/2022","5761","N905J","DFW","16:23","16:22","76","76","-1","16:40","18","0","0","0","0","0"
"YV","12/05/2022","5761","N953LR","DFW","16:23","21:16","76","69","293","21:36","20","0","0","0","0","286"
"YV","12/06/2022","5761","N958LR","DFW","16:23","16:13","76","58","-10","16:28","15","0","0","0","0","0"
"YV","12/07/2022","5761","N248LR","DFW","16:23","16:15","76","50","-8","16:23","8","0","0","0","0","0"
"YV","12/08/2022","5761","N248LR","DFW","16:23","16:13","76","61","-10","16:21","8","0","0","0","0","0"
"YV","12/09/2022","5761","N248LR","DFW","16:23","17:17","76","63","54","17:28","11","5","0","0","0","36"
"YV","12/10/2022","5844","N905J","DFW","18:35","20:24","76","75","109","20:51","27","0","0","0","0","108"
"YV","12/11/2022","5761","N943LR","DFW","16:23","16:31","76","76","8","16:48","17","0","0","0","0","0"
"YV","12/12/2022","5761","N247LR","DFW","16:23","16:29","76","64","6","16:38","9","0","0","0","0","0"
"YV","12/13/2022","5761","N248LR","DFW","16:23","00:00","76","0","0","00:00","0","0","0","0","0","0"
"YV","12/14/2022","5761","N957LR","DFW","16:23","16:21","76","67","-2","16:33","12","0","0","0","0","0"
"YV","12/15/2022","5764","N947LR","DFW","20:30","20:20","75","79","-10","20:45","25","0","0","0","0","0"
"YV","12/16/2021","5932","N904FJ","DFW","20:01","19:49","74","65","-12","20:01","12","0","0","0","0","0"
"YV","12/16/2022","5764","N933LR","DFW","20:30","20:55","75","75","25","21:09","14","3","0","0","0","22"
"YV","12/17/2021","5932","","DFW","20:01","00:00","74","0","0","00:00","0","0","0","0","0","0"
"YV","12/17/2022","5764","N904FJ","DFW","20:30","21:22","75","58","52","21:34","12","0","0","0","0","35"
"YV","12/18/2021","5932","N908FJ","DFW","20:01","20:02","74","61","1","20:17","15","0","0","0","0","0"
"YV","12/18/2022","5764","N947LR","DFW","20:30","20:44","75","63","14","20:54","10","0","0","0","0","0"
"YV","12/19/2021","5932","","DFW","20:01","00:00","74","0","0","00:00","0","0","0","0","0","0"
"YV","12/20/2021","5932","N945LR","DFW","20:01","21:03","74","70","62","21:22","19","23","0","0","0","35"
"YV","12/21/2021","5932","N326MS","DFW","20:01","19:57","74","72","-4","20:10","13","0","0","0","0","0"
"YV","12/21/2022","5764","N922FJ","DFW","20:30","20:19","75","63","-11","20:28","9","0","0","0","0","0"
"YV","12/22/2021","5932","N908FJ","DFW","20:01","19:51","74","66","-10","20:06","15","0","0","0","0","0"
"YV","12/22/2022","5764","N947LR","DFW","20:30","00:00","75","0","0","00:00","0","0","0","0","0","0"
"YV","12/23/2021","5932","N246LR","DFW","20:01","19:53","74","65","-8","20:01","8","0","0","0","0","0"
"YV","12/23/2022","5764","N919FJ","DFW","20:30","08:46","75","55","736","08:58","12","0","0","0","0","716"
"YV","12/25/2021","5932","N909FJ","DFW","20:01","19:48","74","57","-13","19:56","8","0","0","0","0","0"
"YV","12/26/2021","5932","N947LR","DFW","20:01","20:25","74","75","24","20:41","16","0","0","1","0","24"
"YV","12/26/2022","5764","N930LR","DFW","20:30","22:41","75","57","131","22:54","13","52","0","0","0","61"
"YV","12/27/2022","5764","N952LR","DFW","20:30","20:19","75","60","-11","20:29","10","0","0","0","0","0"
"YV","12/28/2021","5932","N947LR","DFW","20:01","20:48","74","68","47","21:02","14","0","0","0","0","41"
"YV","12/28/2022","5764","N930LR","DFW","20:30","20:06","75","63","-24","20:20","14","0","0","0","0","0"
"YV","12/29/2022","5764","N920FJ","DFW","20:30","20:28","75","97","-2","20:52","24","0","0","20","0","0"
"YV","12/30/2021","5932","N242LR","DFW","20:01","00:00","74","0","0","00:00","0","0","0","0","0","0"
"YV","12/30/2022","5764","N245LR","DFW","20:30","00:00","75","0","0","00:00","0","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
