Detailed Statistics Departures  
Origin Airport: Shreveport, LA: Shreveport Regional (SHV)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5392","N719PS","CLT","06:05","05:58","136","138","-7","06:08","10","0","0","0","0","0"
"OH","12/01/2021","5685","N723PS","CLT","15:35","15:30","141","137","-5","15:52","22","0","0","0","0","0"
"OH","12/01/2022","5271","N594NN","CLT","13:09","13:02","133","113","-7","13:14","12","0","0","0","0","0"
"OH","12/01/2022","5565","N583NN","CLT","07:05","07:01","133","126","-4","07:13","12","0","0","0","0","0"
"OH","12/01/2023","5262","N578NN","CLT","13:06","13:05","131","143","-1","13:23","18","0","0","0","0","0"
"OH","12/01/2023","5268","N578NN","CLT","06:58","06:49","132","131","-9","07:01","12","0","0","0","0","0"
"OH","12/01/2023","5483","N592NN","DFW","12:24","12:20","77","73","-4","12:36","16","0","0","0","0","0"
"OH","12/01/2023","5503","N596NN","DFW","05:00","04:59","78","83","-1","05:20","21","0","0","0","0","0"
"OH","12/02/2021","5392","N501BG","CLT","06:05","06:06","136","144","1","06:16","10","0","0","0","0","0"
"OH","12/02/2021","5685","N706PS","CLT","15:35","15:37","141","136","2","15:50","13","0","0","0","0","0"
"OH","12/02/2022","5271","N562NN","CLT","13:09","13:26","133","121","17","13:35","9","0","0","0","0","0"
"OH","12/02/2022","5565","N609NN","CLT","07:05","06:57","133","138","-8","07:13","16","0","0","0","0","0"
"OH","12/02/2023","5262","N612NN","CLT","13:06","13:02","131","133","-4","13:18","16","0","0","0","0","0"
"OH","12/02/2023","5268","N598NN","CLT","06:58","06:52","132","150","-6","07:10","18","0","0","0","0","0"
"OH","12/02/2023","5483","N605NN","DFW","12:24","12:21","77","69","-3","12:34","13","0","0","0","0","0"
"OH","12/02/2023","5503","N596NN","DFW","05:00","05:00","78","66","0","05:17","17","0","0","0","0","0"
"OH","12/03/2021","5392","N510AE","CLT","06:05","07:17","136","122","72","07:28","11","58","0","0","0","0"
"OH","12/03/2021","5685","N500AE","CLT","15:35","15:28","141","123","-7","15:39","11","0","0","0","0","0"
"OH","12/03/2022","5271","N590NN","CLT","13:09","12:57","133","119","-12","13:08","11","0","0","0","0","0"
"OH","12/03/2022","5565","N609NN","CLT","07:00","06:51","133","129","-9","07:03","12","0","0","0","0","0"
"OH","12/03/2023","5262","N557NN","CLT","13:06","13:11","131","123","5","13:31","20","0","0","0","0","0"
"OH","12/03/2023","5268","N593NN","CLT","06:58","06:52","132","119","-6","07:05","13","0","0","0","0","0"
"OH","12/03/2023","5483","N578NN","DFW","12:24","12:13","77","76","-11","12:34","21","0","0","0","0","0"
"OH","12/03/2023","5503","N606NN","DFW","05:00","04:53","78","69","-7","05:07","14","0","0","0","0","0"
