Detailed Statistics Departures  
Origin Airport: Shreveport, LA: Shreveport Regional (SHV)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4648","N181PQ","ATL","18:59","18:52","102","94","-7","19:00","8","0","0","0","0","0"
"9E","12/01/2021","4719","N8943A","ATL","06:00","05:55","109","91","-5","06:04","9","0","0","0","0","0"
"9E","12/01/2021","5106","N8836A","ATL","10:17","10:12","98","88","-5","10:20","8","0","0","0","0","0"
"9E","12/01/2021","5227","N8836A","ATL","15:31","15:26","99","93","-5","15:36","10","0","0","0","0","0"
"9E","12/01/2023","5139","N376CA","ATL","18:18","18:08","108","99","-10","18:25","17","0","0","0","0","0"
"9E","12/01/2023","5141","N908XJ","ATL","11:10","11:14","105","90","4","11:27","13","0","0","0","0","0"
"9E","12/01/2023","5161","N905XJ","ATL","06:00","05:57","108","99","-3","06:12","15","0","0","0","0","0"
"9E","12/02/2021","4648","N371CA","ATL","18:59","18:51","102","98","-8","19:02","11","0","0","0","0","0"
"9E","12/02/2021","4719","N8943A","ATL","06:00","05:56","109","106","-4","06:13","17","0","0","0","0","0"
"9E","12/02/2021","5106","N8936A","ATL","10:17","10:13","98","96","-4","10:24","11","0","0","0","0","0"
"9E","12/02/2021","5227","N8936A","ATL","15:31","15:30","99","91","-1","15:39","9","0","0","0","0","0"
"9E","12/02/2023","5161","N296PQ","ATL","06:00","05:54","108","110","-6","06:12","18","0","0","0","0","0"
"9E","12/02/2023","5490","N181GJ","ATL","15:00","14:54","106","85","-6","15:06","12","0","0","0","0","0"
"9E","12/03/2021","4648","N336PQ","ATL","18:59","18:54","102","106","-5","19:07","13","0","0","0","0","0"
"9E","12/03/2021","4719","N8837B","ATL","06:00","05:55","109","103","-5","06:11","16","0","0","0","0","0"
"9E","12/03/2021","5106","N8836A","ATL","10:17","10:01","98","101","-16","10:17","16","0","0","0","0","0"
"9E","12/03/2021","5227","N8980A","ATL","15:31","15:27","99","92","-4","15:36","9","0","0","0","0","0"
"9E","12/03/2023","5139","N354CA","ATL","18:18","18:48","108","103","30","19:12","24","0","0","0","0","25"
"9E","12/03/2023","5141","N299PQ","ATL","11:10","11:08","105","94","-2","11:26","18","0","0","0","0","0"
"9E","12/03/2023","5161","N349PQ","ATL","06:00","05:55","108","97","-5","06:06","11","0","0","0","0","0"
"9E","12/04/2021","4719","N8894A","ATL","06:00","05:55","109","102","-5","06:07","12","0","0","0","0","0"
"9E","12/04/2021","5106","N8918B","ATL","10:17","10:13","98","96","-4","10:25","12","0","0","0","0","0"
"9E","12/04/2021","5227","N8918B","ATL","15:31","15:26","99","110","-5","15:35","9","0","0","0","0","0"
"9E","12/04/2023","5139","N390CA","ATL","18:18","18:08","108","91","-10","18:21","13","0","0","0","0","0"
"9E","12/04/2023","5161","N309PQ","ATL","06:00","05:51","108","110","-9","06:10","19","0","0","0","0","0"
"9E","12/04/2023","5399","N181GJ","ATL","11:10","11:08","105","92","-2","11:23","15","0","0","0","0","0"
"9E","12/05/2021","4648","N8943A","ATL","19:09","19:05","103","95","-4","19:14","9","0","0","0","0","0"
