Detailed Statistics Departures  
Origin Airport: Shreveport, LA: Shreveport Regional (SHV)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","3222","N719SK","DFW","18:35","18:33","71","83","-2","18:52","19","0","0","0","0","0"
"OO","12/01/2022","3502","N679CA","ATL","10:25","10:19","98","81","-6","10:27","8","0","0","0","0","0"
"OO","12/01/2022","3717","N826SK","ATL","17:18","17:10","110","86","-8","17:20","10","0","0","0","0","0"
"OO","12/01/2022","4485","N162PQ","ATL","06:00","06:00","108","92","0","06:12","12","0","0","0","0","0"
"OO","12/01/2022","4881","N612QX","DFW","06:00","05:58","72","64","-2","06:09","11","0","0","0","0","0"
"OO","12/01/2022","4920","N720EV","DFW","10:22","11:01","71","57","39","11:10","9","25","0","0","0","0"
"OO","12/01/2023","4994","N632SK","DFW","18:25","18:16","79","64","-9","18:28","12","0","0","0","0","0"
"OO","12/02/2022","3222","N773SK","DFW","18:35","18:25","71","71","-10","18:36","11","0","0","0","0","0"
"OO","12/02/2022","3502","N161PQ","ATL","10:25","10:17","98","91","-8","10:31","14","0","0","0","0","0"
"OO","12/02/2022","3717","N806SK","ATL","17:18","17:17","110","92","-1","17:24","7","0","0","0","0","0"
"OO","12/02/2022","4485","N187PQ","ATL","06:00","05:59","108","90","-1","06:09","10","0","0","0","0","0"
"OO","12/02/2022","4881","N760SK","DFW","06:00","05:51","72","70","-9","06:03","12","0","0","0","0","0"
"OO","12/02/2022","4920","N758SK","DFW","10:22","11:57","71","68","95","12:05","8","0","0","0","0","92"
"OO","12/02/2023","4994","N763SK","DFW","18:25","18:15","79","66","-10","18:26","11","0","0","0","0","0"
"OO","12/03/2022","3717","N816SK","ATL","12:45","12:39","109","98","-6","12:52","13","0","0","0","0","0"
"OO","12/03/2022","4485","N825SK","ATL","06:00","06:22","108","95","22","06:38","16","0","0","0","0","0"
"OO","12/03/2022","4881","N611SK","DFW","06:00","05:57","72","69","-3","06:15","18","0","0","0","0","0"
"OO","12/03/2022","4920","N765SK","DFW","10:22","10:11","71","69","-11","10:29","18","0","0","0","0","0"
"OO","12/03/2023","4994","N612QX","DFW","18:25","18:14","79","84","-11","18:34","20","0","0","0","0","0"
"OO","12/04/2022","3222","N716SK","DFW","18:35","18:31","71","75","-4","18:46","15","0","0","0","0","0"
"OO","12/04/2022","3502","N170PQ","ATL","10:25","10:25","98","105","0","10:40","15","0","0","0","0","0"
"OO","12/04/2022","3717","N162PQ","ATL","17:18","17:14","110","94","-4","17:27","13","0","0","0","0","0"
"OO","12/04/2022","4485","N679CA","ATL","06:00","05:54","108","95","-6","06:08","14","0","0","0","0","0"
"OO","12/04/2022","4881","N712SK","DFW","06:00","05:53","72","68","-7","06:12","19","0","0","0","0","0"
"OO","12/04/2022","4920","N611SK","DFW","10:22","10:10","71","74","-12","10:24","14","0","0","0","0","0"
