Detailed Statistics Departures  
Origin Airport: Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field (SUX)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5068","N875AS","DEN","11:45","12:38","120","85","53","12:43","5","18","0","0","0","0"
"OO","12/01/2021","5143","N903EV","ORD","18:10","18:01","107","104","-9","18:18","17","0","0","0","0","0"
"OO","12/01/2021","5200","N455SW","ORD","08:00","07:59","107","97","-1","08:10","11","0","0","0","0","0"
"OO","12/01/2022","5030","N479CA","ORD","13:05","13:00","109","87","-5","13:11","11","0","0","0","0","0"
"OO","12/01/2022","5088","N913EV","LBF","08:00","07:53","104","70","-7","08:16","23","0","0","0","0","0"
"OO","12/01/2023","5028","N978SW","ORD","12:50","13:18","111","103","28","13:38","20","0","0","0","0","20"
"OO","12/01/2023","5081","N699BR","DEN","05:45","05:45","128","111","0","06:15","30","0","0","0","0","0"
"OO","12/02/2021","5068","N468CA","DEN","11:45","11:36","120","91","-9","11:47","11","0","0","0","0","0"
"OO","12/02/2021","5200","N464SW","ORD","08:00","07:57","107","88","-3","08:08","11","0","0","0","0","0"
"OO","12/02/2022","5030","N908SW","ORD","13:05","12:55","109","94","-10","13:07","12","0","0","0","0","0"
"OO","12/02/2022","5088","N976SW","LBF","08:00","07:53","104","68","-7","08:06","13","0","0","0","0","0"
"OO","12/02/2023","5028","N912EV","ORD","12:50","12:43","111","91","-7","12:55","12","0","0","0","0","0"
"OO","12/02/2023","5081","N917SW","DEN","05:45","05:38","128","140","-7","06:32","54","0","0","0","0","0"
"OO","12/03/2021","5068","N932EV","DEN","11:45","11:46","120","93","1","12:00","14","0","0","0","0","0"
"OO","12/03/2021","5200","N430SW","ORD","08:00","07:54","107","90","-6","08:06","12","0","0","0","0","0"
"OO","12/03/2022","5030","N954SW","ORD","13:05","13:13","109","90","8","13:30","17","0","0","0","0","0"
"OO","12/03/2022","5088","N876AS","LBF","08:00","08:23","104","86","23","09:01","38","0","0","0","0","0"
"OO","12/03/2023","5028","N925EV","ORD","12:50","12:40","111","98","-10","12:54","14","0","0","0","0","0"
"OO","12/03/2023","5081","N909SW","DEN","05:45","05:51","128","127","6","06:28","37","0","0","0","0","0"
"OO","12/04/2021","5068","N430SW","DEN","11:45","11:41","120","89","-4","11:52","11","0","0","0","0","0"
"OO","12/04/2021","5200","N443SW","ORD","08:00","07:50","107","117","-10","08:38","48","0","0","0","0","0"
"OO","12/04/2022","5030","N701BR","ORD","13:05","12:56","109","88","-9","13:07","11","0","0","0","0","0"
"OO","12/04/2022","5088","N945SW","LBF","08:00","08:54","104","87","54","09:33","39","37","0","0","0","0"
"OO","12/04/2023","5028","N982SW","ORD","12:50","12:40","111","88","-10","12:47","7","0","0","0","0","0"
"OO","12/04/2023","5081","N932EV","DEN","05:45","05:29","128","121","-16","06:08","39","0","0","0","0","0"
"OO","12/05/2021","5068","N946SW","DEN","11:45","11:42","120","103","-3","11:52","10","0","0","0","0","0"
"OO","12/05/2021","5200","N915EV","ORD","08:00","07:49","107","93","-11","08:00","11","0","0","0","0","0"
"OO","12/05/2022","5030","N929SW","ORD","13:05","12:58","109","92","-7","13:14","16","0","0","0","0","0"
"OO","12/05/2022","5088","N939SW","LBF","08:00","07:53","104","73","-7","08:16","23","0","0","0","0","0"
"OO","12/05/2023","5028","N856AS","ORD","12:50","12:50","111","104","0","13:03","13","0","0","0","0","0"
"OO","12/05/2023","5081","N876AS","DEN","05:45","05:35","128","85","-10","05:46","11","0","0","0","0","0"
"OO","12/06/2021","5068","N869AS","DEN","11:45","12:05","120","98","20","12:20","15","0","0","0","0","0"
"OO","12/06/2021","5200","N908EV","ORD","08:00","07:59","107","107","-1","08:15","16","0","0","0","0","0"
"OO","12/06/2022","5030","N954SW","ORD","13:05","13:04","109","83","-1","13:15","11","0","0","0","0","0"
"OO","12/06/2022","5088","N982SW","LBF","08:00","07:51","104","67","-9","08:02","11","0","0","0","0","0"
"OO","12/06/2023","5028","N930EV","ORD","12:50","12:54","111","92","4","13:05","11","0","0","0","0","0"
"OO","12/06/2023","5081","N487CA","DEN","05:45","05:31","128","124","-14","06:12","41","0","0","0","0","0"
"OO","12/07/2021","5068","N455SW","DEN","11:45","11:36","120","99","-9","11:50","14","0","0","0","0","0"
"OO","12/07/2021","5200","N959SW","ORD","08:00","07:57","107","104","-3","08:26","29","0","0","0","0","0"
"OO","12/07/2022","5030","N954SW","ORD","13:05","13:06","109","91","1","13:18","12","0","0","0","0","0"
"OO","12/07/2022","5088","N207PS","LBF","08:00","07:51","104","78","-9","08:21","30","0","0","0","0","0"
"OO","12/07/2023","5028","N929EV","ORD","12:50","12:41","111","86","-9","12:48","7","0","0","0","0","0"
"OO","12/07/2023","5081","N909SW","DEN","05:45","05:42","128","107","-3","06:06","24","0","0","0","0","0"
"OO","12/08/2021","5068","N926SW","DEN","11:45","11:50","120","100","5","12:03","13","0","0","0","0","0"
"OO","12/08/2021","5200","N937EV","ORD","08:00","07:53","107","106","-7","08:20","27","0","0","0","0","0"
"OO","12/08/2022","5030","N246PS","ORD","13:05","12:54","109","96","-11","13:12","18","0","0","0","0","0"
"OO","12/08/2022","5088","N943SW","LBF","08:00","07:58","104","70","-2","08:22","24","0","0","0","0","0"
"OO","12/08/2023","5028","N929EV","ORD","12:50","12:39","111","94","-11","12:56","17","0","0","0","0","0"
"OO","12/08/2023","5081","N953SW","DEN","05:45","05:40","128","108","-5","05:56","16","0","0","0","0","0"
"OO","12/09/2021","5068","N947SW","DEN","11:45","11:54","120","112","9","12:03","9","0","0","0","0","0"
"OO","12/09/2021","5200","N889AS","ORD","08:00","07:58","107","96","-2","08:12","14","0","0","0","0","0"
"OO","12/09/2022","5030","N465SW","ORD","13:05","12:58","109","98","-7","13:19","21","0","0","0","0","0"
"OO","12/09/2022","5088","N906EV","LBF","08:00","08:03","104","121","3","08:45","42","20","0","0","0","0"
"OO","12/09/2023","5028","N963SW","ORD","12:50","13:16","111","128","26","14:00","44","26","0","17","0","0"
"OO","12/09/2023","5081","N953SW","DEN","05:45","05:43","128","118","-2","06:17","34","0","0","0","0","0"
"OO","12/10/2021","5068","N967SW","DEN","11:45","11:46","120","128","1","12:20","34","0","0","0","0","0"
"OO","12/10/2021","5200","N920SW","ORD","08:00","08:00","107","88","0","08:06","6","0","0","0","0","0"
"OO","12/10/2022","5030","N928EV","ORD","13:05","12:55","109","89","-10","13:05","10","0","0","0","0","0"
"OO","12/10/2022","5088","N709BR","LBF","08:00","07:55","104","57","-5","08:06","11","0","0","0","0","0"
"OO","12/10/2023","5028","N963SW","ORD","12:50","13:02","111","101","12","13:20","18","0","0","0","0","0"
"OO","12/10/2023","5081","N967SW","DEN","05:45","05:42","128","110","-3","06:13","31","0","0","0","0","0"
"OO","12/11/2021","5068","N465SW","DEN","11:45","11:44","120","91","-1","11:54","10","0","0","0","0","0"
"OO","12/11/2021","5200","N933EV","ORD","08:00","07:57","107","132","-3","08:31","34","22","0","0","0","0"
"OO","12/11/2022","5030","N947SW","ORD","13:05","13:05","109","92","0","13:22","17","0","0","0","0","0"
"OO","12/11/2022","5088","N932EV","LBF","08:00","07:52","104","73","-8","08:10","18","0","0","0","0","0"
"OO","12/11/2023","5028","N963SW","ORD","12:50","12:49","111","101","-1","13:05","16","0","0","0","0","0"
"OO","12/11/2023","5081","N956SW","DEN","05:45","05:41","128","120","-4","06:18","37","0","0","0","0","0"
"OO","12/12/2021","5068","N919SW","DEN","11:45","11:45","120","102","0","11:59","14","0","0","0","0","0"
"OO","12/12/2021","5200","N868AS","ORD","08:00","07:54","107","104","-6","08:11","17","0","0","0","0","0"
"OO","12/12/2022","5030","N947SW","ORD","13:05","12:55","109","94","-10","13:08","13","0","0","0","0","0"
"OO","12/12/2022","5088","N961SW","LBF","08:00","08:04","104","71","4","08:28","24","0","0","0","0","0"
"OO","12/12/2023","5028","N959SW","ORD","12:50","12:40","111","108","-10","12:54","14","0","0","0","0","0"
"OO","12/12/2023","5081","N246PS","DEN","05:45","11:39","128","109","354","11:51","12","335","0","0","0","0"
"OO","12/13/2021","5068","N906EV","DEN","11:45","11:41","120","93","-4","11:49","8","0","0","0","0","0"
"OO","12/13/2021","5200","N983SW","ORD","08:00","07:53","107","114","-7","08:33","40","0","0","0","0","0"
"OO","12/13/2022","5030","N875AS","ORD","13:05","12:53","109","97","-12","13:09","16","0","0","0","0","0"
"OO","12/13/2022","5088","N874AS","LBF","08:00","07:52","104","55","-8","08:02","10","0","0","0","0","0"
"OO","12/13/2023","5028","N925EV","ORD","12:50","12:39","111","97","-11","12:53","14","0","0","0","0","0"
"OO","12/13/2023","5081","N699BR","DEN","05:45","05:40","128","123","-5","06:18","38","0","0","0","0","0"
