Detailed Statistics Departures  
Origin Airport: Sioux Falls, SD: Joe Foss Field (FSD)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","0056","331NV","LAS","15:34","15:37","179","163","3","15:52","15","0","0","0","0","0"
"G4","12/01/2022","0044","302NV","LAS","16:12","16:28","175","200","16","16:41","13","0","0","38","0","3"
"G4","12/01/2022","0338","322NV","BNA","12:24","12:42","121","113","18","12:51","9","0","0","0","0","0"
"G4","12/01/2022","1228","216NV","SFB","10:46","10:38","179","171","-8","10:46","8","0","0","0","0","0"
"G4","12/01/2022","2305","218NV","AZA","18:51","18:51","171","180","0","19:06","15","0","0","0","0","0"
"G4","12/01/2023","0339","280NV","BNA","20:37","21:10","129","110","33","21:19","9","0","0","0","0","0"
"G4","12/01/2023","2278","298NV","AZA","20:07","20:03","173","184","-4","20:26","23","0","0","0","0","0"
"G4","12/01/2023","2598","192NV","PIE","10:25","10:13","181","192","-12","10:22","9","0","0","0","0","0"
"G4","12/02/2021","0056","250NV","LAS","22:43","22:38","180","173","-5","22:57","19","0","0","0","0","0"
"G4","12/02/2021","1405","276NV","AZA","19:52","20:03","175","166","11","20:20","17","0","0","0","0","0"
"G4","12/02/2021","2245","238NV","SFB","18:42","19:10","187","174","28","19:21","11","5","0","0","0","10"
"G4","12/02/2021","2788","248NV","AUS","10:53","10:47","140","136","-6","11:00","13","0","0","0","0","0"
"G4","12/02/2022","0044","231NV","LAS","22:49","23:24","175","193","35","23:35","11","0","0","18","0","35"
"G4","12/02/2022","0977","202NV","PIE","17:52","18:07","179","163","15","18:19","12","0","0","0","0","0"
"G4","12/02/2022","2305","239NV","AZA","11:23","11:30","171","191","7","11:39","9","0","0","27","0","0"
"G4","12/02/2023","0682","203NV","AZA","11:31","12:09","173","181","38","12:41","32","38","0","8","0","0"
"G4","12/03/2021","0056","319NV","LAS","21:42","22:36","179","162","54","22:46","10","0","0","0","0","37"
"G4","12/03/2021","1191","280NV","AZA","15:50","16:03","175","161","13","16:18","15","0","0","0","0","0"
