Detailed Statistics Departures  
Origin Airport: Sioux Falls, SD: Joe Foss Field (FSD)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2023","0499","N809AW","DFW","06:50","06:50","146","156","0","07:17","27","0","0","0","0","0"
"AA","12/01/2023","2545","N805AW","DFW","13:18","13:18","146","152","0","13:33","15","0","0","0","0","0"
"AA","12/02/2023","0499","N604AW","DFW","06:35","06:44","146","157","9","07:20","36","9","0","11","0","0"
"AA","12/02/2023","2545","N776XF","DFW","13:18","13:13","146","139","-5","13:27","14","0","0","0","0","0"
"AA","12/03/2023","0499","N753US","DFW","06:50","07:32","146","131","42","07:55","23","27","0","0","0","0"
"AA","12/03/2023","2545","N753US","DFW","13:18","13:28","146","128","10","13:42","14","0","0","0","0","0"
"AA","12/04/2023","0499","N4032T","DFW","06:50","01:47","146","112","1137","02:03","16","1103","0","0","0","0"
"AA","12/04/2023","2545","N661AW","DFW","13:18","13:30","146","120","12","13:40","10","0","0","0","0","0"
"AA","12/05/2023","0794","N756US","DFW","06:30","06:32","158","140","2","06:58","26","0","0","0","0","0"
"AA","12/05/2023","1295","N815AW","DFW","13:17","13:15","158","115","-2","13:25","10","0","0","0","0","0"
"AA","12/06/2023","0794","N810AW","DFW","06:30","06:28","158","115","-2","06:39","11","0","0","0","0","0"
"AA","12/06/2023","1295","N768US","DFW","13:17","13:39","158","129","22","14:03","24","0","0","0","0","0"
"AA","12/06/2023","2218","N832AW","PHX","14:44","14:43","199","193","-1","15:21","38","0","0","0","0","0"
