Detailed Statistics Departures  
Origin Airport: Sioux Falls, SD: Joe Foss Field (FSD)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","2941","N316NB","MSP","05:50","05:45","60","53","-5","05:58","13","0","0","0","0","0"
"DL","12/01/2021","2992","N955AT","ATL","06:53","06:53","152","139","0","07:06","13","0","0","0","0","0"
"DL","12/01/2022","2037","N333NB","ATL","05:25","05:23","160","140","-2","05:37","14","0","0","0","0","0"
"DL","12/01/2022","2549","N328NB","MSP","05:00","04:56","64","59","-4","05:15","19","0","0","0","0","0"
"DL","12/01/2023","2264","N365NW","ATL","05:19","05:24","155","153","5","05:48","24","0","0","0","0","0"
"DL","12/01/2023","2922","N317US","MSP","05:00","04:57","74","60","-3","05:21","24","0","0","0","0","0"
"DL","12/02/2021","2941","N336NB","MSP","05:50","05:43","60","52","-7","05:53","10","0","0","0","0","0"
"DL","12/02/2021","2992","N977AT","ATL","06:53","06:48","152","132","-5","06:59","11","0","0","0","0","0"
"DL","12/02/2022","2037","N330NB","ATL","05:25","05:22","160","126","-3","05:32","10","0","0","0","0","0"
"DL","12/02/2022","2549","N315NB","MSP","05:00","04:59","64","48","-1","05:09","10","0","0","0","0","0"
"DL","12/02/2023","2264","N357NW","ATL","05:19","05:27","155","169","8","05:53","26","8","0","14","0","0"
"DL","12/02/2023","2922","N335NW","MSP","05:00","04:56","70","74","-4","05:29","33","0","0","0","0","0"
"DL","12/03/2021","2941","N336NB","MSP","05:50","05:49","60","47","-1","06:01","12","0","0","0","0","0"
"DL","12/03/2021","2992","N949AT","ATL","06:53","06:50","152","134","-3","07:02","12","0","0","0","0","0"
"DL","12/03/2022","2037","N324NB","ATL","05:25","05:38","160","142","13","05:59","21","0","0","0","0","0"
"DL","12/03/2022","2549","N346NB","MSP","05:00","06:22","64","49","82","06:32","10","0","67","0","0","0"
"DL","12/03/2023","2264","N327NW","ATL","05:19","05:16","155","156","-3","05:42","26","0","0","0","0","0"
"DL","12/03/2023","2922","N371NB","MSP","05:00","04:53","70","67","-7","05:16","23","0","0","0","0","0"
"DL","12/04/2021","2941","N336NB","MSP","05:50","05:50","60","53","0","06:01","11","0","0","0","0","0"
"DL","12/04/2021","2992","N954AT","ATL","06:53","06:50","152","144","-3","07:06","16","0","0","0","0","0"
"DL","12/04/2022","2037","N336NB","ATL","05:25","11:26","160","128","361","11:38","12","0","0","0","0","329"
"DL","12/04/2022","2549","N353NB","MSP","05:00","04:57","64","65","-3","05:25","28","0","0","0","0","0"
