Detailed Statistics Departures  
Origin Airport: Sioux Falls, SD: Joe Foss Field (FSD)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3533","N900AE","ORD","10:11","10:06","109","94","-5","10:17","11","0","0","0","0","0"
"MQ","12/01/2022","3303","N941LT","ORD","12:40","12:33","102","95","-7","12:47","14","0","0","0","0","0"
"MQ","12/01/2022","3539","N206NN","DFW","13:25","13:25","143","128","0","13:42","17","0","0","0","0","0"
"MQ","12/01/2022","4113","N942LL","ORD","05:48","05:38","102","92","-10","05:50","12","0","0","0","0","0"
"MQ","12/02/2021","3533","N905JH","ORD","10:11","10:00","109","95","-11","10:15","15","0","0","0","0","0"
"MQ","12/02/2022","3303","N619AE","ORD","12:40","12:36","102","97","-4","12:56","20","0","0","0","0","0"
"MQ","12/02/2022","3539","N272NN","DFW","13:25","13:54","143","127","29","14:04","10","0","0","0","0","0"
"MQ","12/02/2022","4113","N935AE","ORD","05:48","05:46","102","97","-2","05:57","11","0","0","0","0","0"
"MQ","12/03/2021","3533","N622AE","ORD","10:11","10:19","109","87","8","10:31","12","0","0","0","0","0"
"MQ","12/03/2022","3303","N670AE","ORD","12:40","12:30","102","88","-10","12:40","10","0","0","0","0","0"
"MQ","12/03/2022","3539","N225NN","DFW","13:22","13:20","143","132","-2","13:32","12","0","0","0","0","0"
"MQ","12/03/2022","4113","N668HH","ORD","05:48","05:57","102","106","9","06:22","25","0","0","0","0","0"
"MQ","12/04/2021","3533","N900AE","ORD","10:11","10:18","109","96","7","10:38","20","0","0","0","0","0"
"MQ","12/04/2022","3303","N908AE","ORD","12:40","12:37","102","92","-3","12:48","11","0","0","0","0","0"
"MQ","12/04/2022","3539","N202NN","DFW","13:25","13:30","143","125","5","13:42","12","0","0","0","0","0"
"MQ","12/04/2022","4113","N900AE","ORD","05:48","05:38","102","110","-10","06:08","30","0","0","0","0","0"
"MQ","12/05/2021","3533","N613AE","ORD","10:11","10:28","109","93","17","10:34","6","0","0","0","0","0"
"MQ","12/05/2022","3303","N619AE","ORD","12:40","12:35","102","88","-5","12:46","11","0","0","0","0","0"
"MQ","12/05/2022","3539","N231AN","DFW","13:22","13:29","143","119","7","13:39","10","0","0","0","0","0"
"MQ","12/05/2022","4113","N932AE","ORD","05:48","05:40","102","93","-8","05:54","14","0","0","0","0","0"
"MQ","12/05/2023","3793","N635RW","ORD","12:25","12:17","107","116","-8","12:27","10","0","0","0","0","0"
