Detailed Statistics Departures  
Origin Airport: Sioux Falls, SD: Joe Foss Field (FSD)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5796","N943LR","PHX","18:30","18:20","181","162","-10","18:34","14","0","0","0","0","0"
"YV","12/01/2021","5931","N943LR","DFW","11:36","11:46","134","124","10","12:00","14","0","0","0","0","0"
"YV","12/01/2021","5975","N938LR","DFW","07:00","06:59","148","126","-1","07:26","27","0","0","0","0","0"
"YV","12/01/2022","5754","N946LR","DFW","07:00","06:47","153","126","-13","06:59","12","0","0","0","0","0"
"YV","12/01/2022","5794","N326MS","DFW","15:00","14:48","138","125","-12","14:59","11","0","0","0","0","0"
"YV","12/01/2022","5796","N951LR","PHX","18:28","18:25","176","177","-3","18:35","10","0","0","0","0","0"
"YV","12/02/2021","5794","N914FJ","DFW","14:45","16:08","135","124","83","16:26","18","0","14","0","0","58"
"YV","12/02/2021","5796","N908FJ","PHX","18:30","18:30","181","159","0","18:44","14","0","0","0","0","0"
"YV","12/02/2021","5931","N939LR","DFW","11:36","11:51","134","114","15","12:01","10","0","0","0","0","0"
"YV","12/02/2021","5975","N953LR","DFW","07:00","06:57","148","120","-3","07:12","15","0","0","0","0","0"
"YV","12/02/2022","5754","N948LR","DFW","07:00","07:04","153","136","4","07:19","15","0","0","0","0","0"
"YV","12/02/2022","5794","N943LR","DFW","15:00","14:53","138","155","-7","15:27","34","0","0","0","0","0"
"YV","12/02/2022","5796","N326MS","PHX","18:28","18:21","176","181","-7","18:30","9","0","0","0","0","0"
"YV","12/03/2021","5794","N922FJ","DFW","14:45","15:30","135","126","45","15:44","14","0","0","0","0","36"
"YV","12/03/2021","5796","N934FJ","PHX","18:30","19:24","181","153","54","19:33","9","6","0","0","0","20"
"YV","12/03/2021","5931","N959LR","DFW","11:36","11:30","134","118","-6","11:38","8","0","0","0","0","0"
"YV","12/03/2021","5975","N329MS","DFW","07:00","06:53","148","153","-7","07:26","33","0","0","0","0","0"
"YV","12/03/2022","5754","N928LR","DFW","07:00","06:48","153","155","-12","07:20","32","0","0","0","0","0"
"YV","12/03/2022","5794","N930LR","DFW","15:00","14:51","138","131","-9","15:02","11","0","0","0","0","0"
"YV","12/03/2022","5796","N946LR","PHX","18:28","18:18","176","198","-10","18:33","15","0","0","0","0","0"
"YV","12/04/2021","5794","N955LR","DFW","14:45","14:45","135","146","0","15:18","33","0","0","0","0","0"
"YV","12/04/2021","5796","N326MS","PHX","18:30","18:49","181","157","19","19:00","11","0","0","0","0","0"
"YV","12/04/2021","5931","N945LR","DFW","11:36","11:35","134","119","-1","11:47","12","0","0","0","0","0"
"YV","12/04/2021","5975","N242LR","DFW","07:00","06:56","148","140","-4","07:25","29","0","0","0","0","0"
"YV","12/04/2022","5754","N948LR","DFW","07:00","06:45","153","152","-15","07:15","30","0","0","0","0","0"
"YV","12/04/2022","5794","N925FJ","DFW","15:00","14:51","138","127","-9","15:06","15","0","0","0","0","0"
"YV","12/04/2022","5796","N326MS","PHX","18:28","18:17","176","198","-11","18:28","11","0","0","0","0","0"
"YV","12/05/2021","5794","N939LR","DFW","14:45","14:56","135","131","11","15:08","12","0","0","0","0","0"
"YV","12/05/2021","5796","N945LR","PHX","18:30","19:00","181","164","30","19:13","13","0","0","0","0","0"
"YV","12/05/2021","5931","N945LR","DFW","11:36","11:31","134","121","-5","11:41","10","0","0","0","0","0"
"YV","12/05/2021","5975","N931LR","DFW","07:00","07:00","148","125","0","07:12","12","0","0","0","0","0"
"YV","12/05/2022","5754","N329MS","DFW","07:00","06:55","153","127","-5","07:07","12","0","0","0","0","0"
"YV","12/05/2022","5794","N954LR","DFW","15:00","15:00","138","131","0","15:18","18","0","0","0","0","0"
"YV","12/05/2022","5796","N933LR","PHX","18:28","18:13","176","206","-15","18:25","12","0","0","15","0","0"
"YV","12/06/2021","5794","N329MS","DFW","14:45","14:41","135","127","-4","14:53","12","0","0","0","0","0"
"YV","12/06/2021","5796","N958LR","PHX","18:30","18:27","181","176","-3","18:39","12","0","0","0","0","0"
"YV","12/06/2021","5931","N922FJ","DFW","11:36","11:34","134","129","-2","11:45","11","0","0","0","0","0"
"YV","12/06/2021","5975","N958LR","DFW","07:00","07:00","148","162","0","07:43","43","0","0","0","0","0"
