Detailed Statistics Departures  
Origin Airport: Sioux Falls, SD: Joe Foss Field (FSD)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5251","N549NN","CLT","06:00","06:01","196","179","1","06:28","27","0","0","0","0","0"
"OH","12/17/2021","5251","N566NN","CLT","06:00","06:17","195","165","17","06:34","17","0","0","0","0","0"
"OH","12/18/2021","5251","N602NN","CLT","06:00","05:57","195","214","-3","06:38","41","0","0","16","0","0"
"OH","12/19/2021","5251","N611NN","CLT","06:00","06:03","195","207","3","06:36","33","3","0","12","0","0"
"OH","12/20/2021","5251","N555NN","CLT","06:00","05:55","195","208","-5","06:27","32","0","0","0","0","0"
"OH","12/21/2021","5251","N611NN","CLT","06:00","05:54","195","184","-6","06:10","16","0","0","0","0","0"
"OH","12/22/2021","5251","N583NN","CLT","06:00","05:49","195","167","-11","06:05","16","0","0","0","0","0"
"OH","12/23/2021","5251","N607NN","CLT","06:00","05:51","195","180","-9","06:26","35","0","0","0","0","0"
"OH","12/24/2021","5251","N591NN","CLT","06:00","05:50","195","178","-10","06:09","19","0","0","0","0","0"
"OH","12/25/2021","5251","N606NN","CLT","06:00","05:53","195","176","-7","06:12","19","0","0","0","0","0"
"OH","12/26/2021","5251","N574NN","CLT","06:00","05:46","195","172","-14","06:16","30","0","0","0","0","0"
"OH","12/27/2021","5251","N554NN","CLT","06:00","05:57","195","174","-3","06:12","15","0","0","0","0","0"
"OH","12/28/2021","5251","N549NN","CLT","06:00","06:02","195","183","2","06:28","26","0","0","0","0","0"
"OH","12/29/2021","5251","N598NN","CLT","06:00","05:57","195","208","-3","06:49","52","0","0","0","0","0"
"OH","12/30/2021","5251","N567NN","CLT","06:00","05:55","195","203","-5","06:31","36","0","0","0","0","0"
"OH","12/31/2021","5251","N567NN","CLT","06:00","05:55","195","183","-5","06:15","20","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
