Detailed Statistics Departures  
Origin Airport: Sioux Falls, SD: Joe Foss Field (FSD)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2023","4408","N128HQ","ORD","17:54","17:44","104","109","-10","17:57","13","0","0","0","0","0"
"YX","12/01/2023","4421","N407YX","ORD","05:50","05:44","105","116","-6","06:17","33","0","0","0","0","0"
"YX","12/02/2023","4421","N128HQ","ORD","07:35","07:32","105","120","-3","07:57","25","0","0","0","0","0"
"YX","12/03/2023","4408","N117HQ","ORD","17:54","17:43","104","108","-11","17:54","11","0","0","0","0","0"
"YX","12/03/2023","4421","N101HQ","ORD","05:50","05:58","105","117","8","06:26","28","8","0","12","0","0"
"YX","12/04/2023","4408","N128HQ","ORD","17:54","19:02","104","98","68","19:15","13","62","0","0","0","0"
"YX","12/04/2023","4421","N117HQ","ORD","05:50","00:00","105","0","0","00:00","0","0","0","0","0","0"
"YX","12/05/2023","4421","N112HQ","ORD","05:30","05:35","119","115","5","05:57","22","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
