Detailed Statistics Departures  
Origin Airport: Sioux Falls, SD: Joe Foss Field (FSD)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3107","N707EV","ORD","17:31","17:21","115","109","-10","17:32","11","0","0","0","0","0"
"OO","12/01/2021","4749","N908EV","ORD","15:10","15:11","112","107","1","15:37","26","0","0","0","0","0"
"OO","12/01/2021","4765","N614UX","DEN","09:30","09:24","125","123","-6","09:58","34","0","0","0","0","0"
"OO","12/01/2021","5492","N438SW","DEN","13:55","13:52","113","93","-3","14:03","11","0","0","0","0","0"
"OO","12/01/2021","5848","N912EV","DEN","17:00","16:50","113","99","-10","17:10","20","0","0","0","0","0"
"OO","12/01/2022","3564","N689CA","MSP","17:35","17:30","85","71","-5","17:48","18","0","0","0","0","0"
"OO","12/01/2022","4151","N316SY","MSP","07:50","07:44","75","74","-6","08:12","28","0","0","0","0","0"
"OO","12/01/2022","5492","N156SY","DEN","13:29","13:19","115","96","-10","13:32","13","0","0","0","0","0"
"OO","12/01/2022","5848","N108SY","DEN","17:04","17:01","112","137","-3","17:32","31","22","0","0","0","0"
"OO","12/01/2023","3204","N611SK","PHX","14:41","15:07","179","174","26","15:17","10","21","0","0","0","0"
"OO","12/01/2023","3803","N297SY","MSP","11:02","10:56","70","67","-6","11:21","25","0","0","0","0","0"
"OO","12/01/2023","5350","N209SY","ORD","08:00","07:57","113","114","-3","08:29","32","0","0","0","0","0"
"OO","12/01/2023","5355","N149SY","ORD","15:17","15:15","113","119","-2","15:44","29","0","0","0","0","0"
"OO","12/01/2023","5492","N105SY","DEN","13:28","14:27","116","96","59","14:38","11","39","0","0","0","0"
"OO","12/01/2023","5730","N965SW","ORD","11:18","11:09","117","114","-9","11:36","27","0","0","0","0","0"
"OO","12/02/2021","3107","N738EV","ORD","17:31","17:22","115","111","-9","17:45","23","0","0","0","0","0"
"OO","12/02/2021","3208","N759EV","ORD","07:46","07:36","114","103","-10","08:02","26","0","0","0","0","0"
"OO","12/02/2021","4749","N903EV","ORD","15:10","15:08","112","95","-2","15:22","14","0","0","0","0","0"
"OO","12/02/2021","4765","N605UX","DEN","09:30","09:26","125","103","-4","09:37","11","0","0","0","0","0"
"OO","12/02/2021","5492","N932SW","DEN","13:55","13:59","113","96","4","14:10","11","0","0","0","0","0"
"OO","12/02/2021","5848","N908SW","DEN","17:00","16:55","113","108","-5","17:07","12","0","0","0","0","0"
"OO","12/02/2022","3564","N897SK","MSP","17:35","17:30","85","58","-5","17:43","13","0","0","0","0","0"
"OO","12/02/2022","4151","N257SY","MSP","07:50","07:42","75","58","-8","07:57","15","0","0","0","0","0"
"OO","12/02/2022","5492","N143SY","DEN","13:29","13:19","115","113","-10","13:32","13","0","0","0","0","0"
"OO","12/02/2022","5848","N211SY","DEN","17:04","16:59","112","110","-5","17:13","14","0","0","0","0","0"
"OO","12/02/2023","3204","N754SK","PHX","14:41","14:26","179","161","-15","14:37","11","0","0","0","0","0"
"OO","12/02/2023","3803","N244SY","MSP","11:02","10:58","70","60","-4","11:13","15","0","0","0","0","0"
"OO","12/02/2023","5350","N125SY","ORD","08:00","07:52","113","117","-8","08:20","28","0","0","0","0","0"
"OO","12/02/2023","5355","N601UX","ORD","15:17","15:07","113","103","-10","15:21","14","0","0","0","0","0"
"OO","12/02/2023","5492","N153SY","DEN","13:28","13:23","116","96","-5","13:35","12","0","0","0","0","0"
"OO","12/03/2021","3107","N740EV","ORD","17:31","17:19","115","100","-12","17:37","18","0","0","0","0","0"
"OO","12/03/2021","3208","N744EV","ORD","07:46","07:37","114","100","-9","08:02","25","0","0","0","0","0"
"OO","12/03/2021","4749","N868AS","ORD","15:10","15:10","112","91","0","15:30","20","0","0","0","0","0"
"OO","12/03/2021","4765","N618UX","DEN","09:30","09:27","125","117","-3","09:57","30","0","0","0","0","0"
"OO","12/03/2021","5492","N909SW","DEN","13:55","13:48","113","98","-7","14:02","14","0","0","0","0","0"
"OO","12/03/2021","5848","N465SW","DEN","17:00","17:09","113","119","9","17:31","22","0","0","0","0","15"
"OO","12/03/2022","3564","N251SY","MSP","17:40","17:30","82","81","-10","18:04","34","0","0","0","0","0"
"OO","12/03/2022","4151","N307SY","MSP","07:50","07:59","75","63","9","08:21","22","0","0","0","0","0"
"OO","12/03/2022","5282","N152SY","ORD","11:21","11:33","111","92","12","11:49","16","0","0","0","0","0"
"OO","12/03/2022","5492","N113SY","DEN","13:29","13:42","115","116","13","14:01","19","0","0","0","0","0"
"OO","12/03/2022","5848","N203SY","DEN","17:04","17:08","112","115","4","17:23","15","0","0","0","0","0"
"OO","12/03/2023","3204","N708SK","PHX","14:41","15:07","179","160","26","15:22","15","0","0","0","0","0"
"OO","12/03/2023","3785","N833SK","MSP","13:22","13:18","70","74","-4","13:46","28","0","0","0","0","0"
"OO","12/03/2023","3803","N324SY","MSP","11:02","10:57","70","66","-5","11:09","12","0","0","0","0","0"
"OO","12/03/2023","5350","N132SY","ORD","08:00","07:54","113","124","-6","08:29","35","0","0","0","0","0"
"OO","12/03/2023","5355","N614UX","ORD","15:17","15:08","113","102","-9","15:21","13","0","0","0","0","0"
"OO","12/03/2023","5492","N110SY","DEN","13:28","13:25","116","113","-3","13:59","34","0","0","0","0","0"
"OO","12/04/2021","3208","N751SK","ORD","07:46","07:41","114","112","-5","08:10","29","0","0","0","0","0"
"OO","12/04/2021","4111","N252SY","MSP","13:25","13:20","67","56","-5","13:31","11","0","0","0","0","0"
"OO","12/04/2021","4776","N618UX","DEN","09:30","09:22","125","108","-8","09:47","25","0","0","0","0","0"
"OO","12/04/2021","4792","N869AS","ORD","15:10","15:01","112","99","-9","15:16","15","0","0","0","0","0"
"OO","12/04/2021","5492","N925SW","DEN","13:55","13:51","113","117","-4","14:24","33","0","0","0","0","0"
"OO","12/04/2021","5848","N809CA","DEN","17:00","16:52","113","124","-8","17:07","15","0","0","0","0","0"
"OO","12/04/2022","3564","N800SK","MSP","17:35","17:29","85","61","-6","17:44","15","0","0","0","0","0"
"OO","12/04/2022","4151","N317SY","MSP","07:50","07:49","75","82","-1","08:28","39","0","0","0","0","0"
"OO","12/04/2022","5492","N167SY","DEN","13:29","13:24","115","99","-5","13:42","18","0","0","0","0","0"
"OO","12/04/2022","5848","N125SY","DEN","17:04","16:54","112","102","-10","17:05","11","0","0","0","0","0"
"OO","12/04/2023","3204","N702SK","PHX","14:41","14:28","179","168","-13","14:44","16","0","0","0","0","0"
"OO","12/04/2023","3785","N804SK","MSP","13:22","13:21","70","56","-1","13:33","12","0","0","0","0","0"
"OO","12/04/2023","3803","N311SY","MSP","11:02","11:10","70","63","8","11:30","20","0","0","0","0","0"
"OO","12/04/2023","5350","N609UX","ORD","08:00","07:47","113","115","-13","08:21","34","0","0","0","0","0"
"OO","12/04/2023","5355","N614UX","ORD","15:17","15:15","113","116","-2","15:36","21","0","0","0","0","0"
"OO","12/04/2023","5492","N146SY","DEN","13:28","13:18","116","101","-10","13:32","14","0","0","0","0","0"
"OO","12/04/2023","5730","N908SW","ORD","11:18","22:25","117","88","667","22:39","14","638","0","0","0","0"
"OO","12/05/2021","3107","N774SK","ORD","17:31","19:55","115","99","144","20:04","9","0","0","0","0","128"
"OO","12/05/2021","3208","N712SK","ORD","07:46","08:14","114","99","28","08:33","19","0","0","0","0","0"
"OO","12/05/2021","4111","N826SK","MSP","13:22","15:00","74","52","98","15:10","10","76","0","0","0","0"
"OO","12/05/2021","4776","N605UX","DEN","09:30","09:24","125","120","-6","09:50","26","0","0","0","0","0"
"OO","12/05/2021","4792","N869AS","ORD","15:10","14:58","112","115","-12","15:20","22","0","0","0","0","0"
"OO","12/05/2021","5492","N699BR","DEN","13:55","14:46","113","116","1491","14:59","13","1494","0","0","0","0"
