Detailed Statistics Departures  
Origin Airport: Sioux Falls, SD: Joe Foss Field (FSD)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2022","2099","N411UA","ORD","07:30","07:27","114","105","-3","07:38","11","0","0","0","0","0"
"UA","12/01/2022","2451","N874UA","ORD","11:29","11:21","106","94","-8","11:37","16","0","0","0","0","0"
"UA","12/01/2022","2469","N877UA","DEN","06:00","05:56","119","92","-4","06:08","12","0","0","0","0","0"
"UA","12/01/2023","2327","N73276","DEN","09:10","09:08","110","136","-2","09:57","49","0","0","24","0","0"
"UA","12/01/2023","2390","N812UA","DEN","17:00","17:29","110","95","29","17:41","12","0","0","0","0","0"
"UA","12/02/2022","2099","N403UA","ORD","07:30","07:27","114","104","-3","07:38","11","0","0","0","0","0"
"UA","12/02/2022","2451","N408UA","ORD","11:29","13:50","106","85","141","14:00","10","1","0","0","0","119"
"UA","12/02/2022","2469","N855UA","DEN","06:00","05:52","119","98","-8","06:04","12","0","0","0","0","0"
"UA","12/02/2023","2327","N33289","DEN","09:10","09:05","110","127","-5","09:39","34","0","0","0","0","0"
"UA","12/02/2023","2390","N487UA","DEN","17:00","16:52","110","99","-8","17:01","9","0","0","0","0","0"
"UA","12/03/2021","1236","N829UA","DEN","06:00","05:58","114","88","-2","06:08","10","0","0","0","0","0"
"UA","12/03/2022","2099","N466UA","ORD","07:30","07:24","114","107","-6","07:43","19","0","0","0","0","0"
"UA","12/03/2022","2469","N67846","DEN","05:42","05:36","116","96","-6","05:49","13","0","0","0","0","0"
"UA","12/03/2023","2327","N27239","DEN","09:10","08:58","110","154","-12","10:02","64","0","0","32","0","0"
"UA","12/03/2023","2390","N894UA","DEN","17:00","17:02","110","89","2","17:12","10","0","0","0","0","0"
"UA","12/04/2021","1422","N820UA","DEN","06:00","05:55","114","87","-5","06:05","10","0","0","0","0","0"
"UA","12/04/2022","2099","N38257","ORD","07:30","07:28","114","96","-2","07:56","28","0","0","0","0","0"
"UA","12/04/2022","2451","N832UA","ORD","11:29","11:32","106","91","3","11:47","15","0","0","0","0","0"
"UA","12/04/2022","2469","N37413","DEN","06:00","05:55","119","105","-5","06:21","26","0","0","0","0","0"
"UA","12/04/2023","2327","N76505","DEN","09:10","09:02","110","150","-8","10:09","67","0","0","32","0","0"
"UA","12/04/2023","2390","N879UA","DEN","17:00","16:52","110","103","-8","17:08","16","0","0","0","0","0"
"UA","12/05/2021","1422","N816UA","DEN","06:00","05:54","114","99","-6","06:05","11","0","0","0","0","0"
"UA","12/05/2022","2099","N401UA","ORD","07:30","07:25","114","96","-5","07:36","11","0","0","0","0","0"
"UA","12/05/2022","2451","N827UA","ORD","11:29","11:34","106","82","5","11:43","9","0","0","0","0","0"
"UA","12/05/2022","2469","N841UA","DEN","06:00","05:55","119","108","-5","06:18","23","0","0","0","0","0"
"UA","12/05/2023","2327","N38268","DEN","09:10","09:34","110","99","24","10:02","28","0","0","0","0","0"
"UA","12/05/2023","2390","N17333","DEN","17:01","16:45","110","108","-16","17:05","20","0","0","0","0","0"
"UA","12/06/2021","1422","N882UA","DEN","06:00","06:39","114","108","39","07:08","29","33","0","0","0","0"
"UA","12/06/2022","2099","N498UA","ORD","07:30","07:23","114","115","-7","07:43","20","0","0","0","0","0"
"UA","12/06/2022","2451","N825UA","ORD","11:29","11:22","106","95","-7","11:34","12","0","0","0","0","0"
"UA","12/06/2022","2469","N802UA","DEN","06:00","05:54","119","104","-6","06:15","21","0","0","0","0","0"
"UA","12/06/2023","2327","N77510","DEN","09:10","09:00","110","110","-10","09:12","12","0","0","0","0","0"
"UA","12/06/2023","2390","N843UA","DEN","17:00","16:53","110","109","-7","17:07","14","0","0","0","0","0"
"UA","12/07/2021","1422","N822UA","DEN","06:00","05:54","114","124","-6","06:37","43","0","0","0","0","0"
"UA","12/07/2022","2099","N493UA","ORD","07:30","07:28","114","98","-2","07:50","22","0","0","0","0","0"
"UA","12/07/2022","2451","N816UA","ORD","11:29","11:29","106","96","0","11:40","11","0","0","0","0","0"
"UA","12/07/2022","2469","N425UA","DEN","06:00","05:58","119","121","-2","06:24","26","0","0","0","0","0"
"UA","12/07/2023","2327","N18243","DEN","09:10","09:04","110","128","-6","09:48","44","0","0","0","0","0"
"UA","12/07/2023","2390","N852UA","DEN","17:00","17:31","110","102","31","17:43","12","0","0","23","0","0"
"UA","12/08/2022","2099","N812UA","ORD","07:30","07:29","114","119","-1","08:07","38","0","0","0","0","0"
