Detailed Statistics Departures  
Origin Airport: Sitka, AK: Sitka Rocky Gutierrez (SIT)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0062","N611AS","KTN","12:14","12:27","51","58","13","12:42","15","0","0","7","0","13"
"AS","12/01/2021","0067","N615AS","JNU","19:13","19:17","38","58","4","19:45","28","0","0","24","0","0"
"AS","12/01/2021","0073","N613AS","JNU","06:00","05:49","38","33","-11","05:56","7","0","0","0","0","0"
"AS","12/01/2022","0062","N613AS","KTN","11:55","12:31","55","63","36","12:55","24","0","0","8","0","36"
"AS","12/01/2022","0067","N523AS","JNU","19:08","20:13","42","49","65","20:27","14","0","0","7","0","65"
"AS","12/01/2022","0073","N612AS","JNU","06:00","05:48","42","63","-12","06:22","34","0","0","0","0","0"
"AS","12/01/2023","0062","N613AS","KTN","11:57","11:37","52","49","-20","11:47","10","0","0","0","0","0"
"AS","12/01/2023","0067","N579AS","JNU","19:25","19:20","43","40","-5","19:31","11","0","0","0","0","0"
"AS","12/01/2023","0073","N622AS","JNU","06:00","05:52","43","43","-8","06:06","14","0","0","0","0","0"
"AS","12/02/2021","0062","N612AS","KTN","12:14","13:04","51","56","50","13:22","18","11","0","5","0","39"
"AS","12/02/2021","0067","N611AS","JNU","19:13","00:00","38","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2021","0073","N614AS","JNU","06:00","05:48","38","82","-12","06:41","53","0","0","32","0","0"
"AS","12/02/2022","0062","N614AS","KTN","11:55","11:45","55","54","-10","11:57","12","0","0","0","0","0"
"AS","12/02/2022","0067","N597AS","JNU","19:08","18:55","42","45","-13","19:11","16","0","0","0","0","0"
"AS","12/02/2022","0073","N618AS","JNU","06:00","05:58","42","54","-2","06:22","24","0","0","0","0","0"
"AS","12/02/2023","0062","N579AS","KTN","11:57","11:38","52","47","-19","11:49","11","0","0","0","0","0"
"AS","12/02/2023","0067","N622AS","JNU","19:25","19:09","43","40","-16","19:20","11","0","0","0","0","0"
"AS","12/02/2023","0073","N552AS","JNU","06:00","05:37","43","39","-23","05:47","10","0","0","0","0","0"
"AS","12/03/2021","0062","N611AS","KTN","12:14","12:20","51","49","6","12:31","11","0","0","0","0","0"
"AS","12/03/2021","0067","N614AS","JNU","19:13","19:19","38","55","6","19:45","26","6","0","17","0","0"
"AS","12/03/2021","0073","N644AS","JNU","06:00","06:43","38","100","43","07:54","71","43","0","62","0","0"
"AS","12/03/2022","0062","N618AS","KTN","11:55","11:39","55","47","-16","11:48","9","0","0","0","0","0"
"AS","12/03/2022","0067","N589AS","JNU","19:08","19:17","42","41","9","19:28","11","0","0","0","0","0"
"AS","12/03/2022","0073","N619AS","JNU","06:00","05:46","42","50","-14","06:00","14","0","0","0","0","0"
"AS","12/03/2023","0062","N622AS","KTN","11:57","11:44","52","56","-13","12:00","16","0","0","0","0","0"
"AS","12/03/2023","0067","N597AS","JNU","19:25","19:33","43","40","8","19:44","11","0","0","0","0","0"
"AS","12/03/2023","0073","N618AS","JNU","06:00","05:46","43","37","-14","05:55","9","0","0","0","0","0"
"AS","12/04/2021","0062","N614AS","KTN","12:14","13:41","51","63","87","14:08","27","3","0","12","0","84"
"AS","12/04/2021","0067","N607AS","JNU","19:13","21:28","38","55","135","21:51","23","0","0","17","0","135"
"AS","12/04/2021","0073","N609AS","JNU","06:00","00:00","38","0","0","00:00","0","0","0","0","0","0"
"AS","12/04/2022","0062","N613AS","KTN","11:55","11:43","55","50","-12","11:54","11","0","0","0","0","0"
"AS","12/04/2022","0067","N559AS","JNU","19:08","19:15","42","42","7","19:24","9","0","0","0","0","0"
"AS","12/04/2022","0073","N619AS","JNU","06:00","05:43","42","54","-17","06:03","20","0","0","0","0","0"
"AS","12/04/2023","0062","N529AS","KTN","11:57","11:57","52","49","0","12:04","7","0","0","0","0","0"
"AS","12/04/2023","0067","N284AK","JNU","19:25","18:57","43","41","-28","19:13","16","0","0","0","0","0"
"AS","12/04/2023","0073","N607AS","JNU","06:00","05:43","43","44","-17","06:00","17","0","0","0","0","0"
"AS","12/05/2021","0062","N615AS","KTN","12:14","12:10","51","52","-4","12:24","14","0","0","0","0","0"
"AS","12/05/2021","0067","N614AS","JNU","19:13","18:47","38","46","-26","18:58","11","0","0","0","0","0"
"AS","12/05/2021","0073","N611AS","JNU","06:00","05:41","38","53","-19","06:05","24","0","0","0","0","0"
"AS","12/05/2022","0062","N607AS","KTN","11:55","12:21","55","46","26","12:31","10","0","0","0","0","17"
"AS","12/05/2022","0067","N552AS","JNU","19:08","19:14","42","44","6","19:31","17","0","0","0","0","0"
"AS","12/05/2022","0073","N615AS","JNU","06:00","05:40","42","48","-20","05:59","19","0","0","0","0","0"
"AS","12/05/2023","0062","N586AS","KTN","11:57","11:40","52","48","-17","11:49","9","0","0","0","0","0"
"AS","12/05/2023","0067","N531AS","JNU","19:25","19:15","43","37","-10","19:26","11","0","0","0","0","0"
"AS","12/05/2023","0073","N644AS","JNU","06:00","05:51","43","37","-9","06:00","9","0","0","0","0","0"
"AS","12/06/2021","0062","N644AS","KTN","12:14","11:59","51","48","-15","12:10","11","0","0","0","0","0"
"AS","12/06/2021","0067","N611AS","JNU","19:13","19:00","38","33","-13","19:07","7","0","0","0","0","0"
"AS","12/06/2021","0073","N622AS","JNU","06:00","06:01","38","37","1","06:07","6","0","0","0","0","0"
"AS","12/06/2022","0062","N614AS","KTN","11:55","11:43","55","46","-12","11:52","9","0","0","0","0","0"
"AS","12/06/2022","0067","N525AS","JNU","19:08","19:30","42","37","22","19:40","10","0","0","0","0","17"
"AS","12/06/2022","0073","N612AS","JNU","06:00","05:55","42","41","-5","06:06","11","0","0","0","0","0"
"AS","12/06/2023","0062","N526AS","KTN","11:57","11:34","52","63","-23","12:00","26","0","0","0","0","0"
"AS","12/06/2023","0067","N644AS","JNU","19:25","19:13","43","51","-12","19:38","25","0","0","0","0","0"
"AS","12/06/2023","0073","N557AS","JNU","06:00","05:53","43","37","-7","06:02","9","0","0","0","0","0"
"AS","12/07/2021","0062","N611AS","KTN","12:14","12:01","51","60","-13","12:21","20","0","0","0","0","0"
"AS","12/07/2021","0067","N609AS","JNU","19:13","19:02","38","47","-11","19:21","19","0","0","0","0","0"
"AS","12/07/2021","0073","N613AS","JNU","06:00","05:56","38","40","-4","06:06","10","0","0","0","0","0"
"AS","12/07/2022","0062","N622AS","KTN","11:55","11:40","55","68","-15","12:07","27","0","0","0","0","0"
"AS","12/07/2022","0067","N559AS","JNU","19:08","19:49","42","35","41","19:57","8","0","0","0","0","34"
"AS","12/07/2022","0073","N611AS","JNU","06:00","05:52","42","41","-8","06:06","14","0","0","0","0","0"
"AS","12/07/2023","0062","N478AS","KTN","11:57","11:46","52","43","-11","11:53","7","0","0","0","0","0"
"AS","12/07/2023","0067","N273AK","JNU","19:25","19:04","43","38","-21","19:13","9","0","0","0","0","0"
"AS","12/07/2023","0073","N619AS","JNU","06:00","05:53","43","40","-7","06:04","11","0","0","0","0","0"
"AS","12/08/2021","0062","N615AS","KTN","12:14","12:16","51","50","2","12:24","8","0","0","0","0","0"
"AS","12/08/2021","0067","N611AS","JNU","19:13","18:52","38","50","-21","19:15","23","0","0","0","0","0"
