Detailed Statistics Departures  
Origin Airport: South Bend, IN: South Bend International (SBN)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","1993","296NV","PIE","12:16","11:59","145","143","-17","12:11","12","0","0","0","0","0"
"G4","12/01/2022","0018","331NV","LAS","14:01","14:37","250","279","36","15:03","26","0","0","65","0","0"
"G4","12/01/2022","0952","335NV","PGD","17:44","17:41","156","158","-3","17:56","15","0","0","0","0","0"
"G4","12/01/2023","0714","289NV","AZA","17:18","17:10","232","239","-8","17:23","13","0","0","0","0","0"
"G4","12/01/2023","1322","319NV","SFB","19:02","13:45","147","142","1123","13:56","11","7","0","0","0","1111"
"G4","12/01/2023","1394","240NV","SRQ","14:28","14:15","156","158","-13","14:31","16","0","0","0","0","0"
"G4","12/02/2021","0218","253NV","LAS","14:48","14:47","239","227","-1","14:57","10","0","0","0","0","0"
"G4","12/02/2021","1588","283NV","PGD","10:26","10:44","155","150","18","10:55","11","0","0","0","0","0"
"G4","12/02/2022","0703","256NV","AZA","13:18","13:08","232","249","-10","13:17","9","0","0","0","0","0"
"G4","12/02/2022","1215","309NV","SFB","09:32","09:26","140","126","-6","09:35","9","0","0","0","0","0"
"G4","12/02/2022","2983","280NV","SRQ","17:45","19:48","146","146","123","20:01","13","24","0","0","0","99"
"G4","12/02/2023","2709","277NV","PIE","13:25","13:13","154","152","-12","13:25","12","0","0","0","0","0"
"G4","12/03/2021","1188","260NV","AZA","12:14","12:17","231","212","3","12:30","13","0","0","0","0","0"
"G4","12/03/2021","2498","244NV","SFB","09:45","09:50","139","127","5","09:57","7","0","0","0","0","0"
"G4","12/03/2021","2540","287NV","SRQ","18:13","18:38","147","151","25","18:49","11","0","0","4","0","25"
"G4","12/03/2022","1090","279NV","PIE","13:50","13:33","144","141","-17","13:43","10","0","0","0","0","0"
