Detailed Statistics Departures  
Origin Airport: South Bend, IN: South Bend International (SBN)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4765","N980EV","ATL","06:00","05:55","128","122","-5","06:25","30","0","0","0","0","0"
"9E","12/01/2021","5187","N8918B","ATL","16:45","16:51","120","97","6","17:04","13","0","0","0","0","0"
"9E","12/02/2021","4656","N8932C","ATL","18:01","17:54","123","100","-7","18:03","9","0","0","0","0","0"
"9E","12/02/2021","4765","N8970D","ATL","06:00","05:51","128","103","-9","06:09","18","0","0","0","0","0"
"9E","12/02/2021","5172","N8918B","ATL","12:35","12:30","117","109","-5","12:46","16","0","0","0","0","0"
"9E","12/03/2021","4656","N8969A","ATL","18:01","17:55","123","100","-6","18:05","10","0","0","0","0","0"
"9E","12/03/2021","4765","N834AY","ATL","06:00","05:55","128","106","-5","06:13","18","0","0","0","0","0"
"9E","12/03/2021","5172","N8891A","ATL","12:35","12:30","117","99","-5","12:41","11","0","0","0","0","0"
"9E","12/04/2021","4765","N8970D","ATL","06:00","05:55","128","142","-5","06:46","51","0","0","0","0","0"
"9E","12/04/2021","5172","N8965E","ATL","14:00","13:55","124","102","-5","14:04","9","0","0","0","0","0"
"9E","12/05/2021","4656","N8965E","ATL","18:03","17:55","120","119","-8","18:14","19","0","0","0","0","0"
"9E","12/05/2021","4765","N8891A","ATL","06:00","05:51","146","107","-9","06:07","16","0","0","0","0","0"
"9E","12/05/2021","5172","N8965E","ATL","12:30","12:24","123","110","-6","12:40","16","0","0","0","0","0"
"9E","12/06/2021","4656","N832AY","ATL","18:03","18:02","120","115","-1","18:20","18","0","0","0","0","0"
"9E","12/06/2021","4765","N8877A","ATL","06:00","05:55","146","110","-5","06:06","11","0","0","0","0","0"
"9E","12/06/2021","5172","N8877A","ATL","12:30","12:26","123","132","-4","12:51","25","0","0","0","0","0"
"9E","12/07/2021","4765","N8836A","ATL","06:00","06:01","146","127","1","06:34","33","0","0","0","0","0"
"9E","12/07/2021","5187","N8980A","ATL","16:40","16:40","121","106","0","16:55","15","0","0","0","0","0"
"9E","12/08/2021","4765","N800AY","ATL","06:00","05:57","146","124","-3","06:21","24","0","0","0","0","0"
"9E","12/08/2021","5187","N832AY","ATL","16:40","16:35","121","103","-5","16:50","15","0","0","0","0","0"
"9E","12/09/2021","4656","N8839E","ATL","18:03","17:58","120","109","-5","18:11","13","0","0","0","0","0"
"9E","12/09/2021","4765","N8839E","ATL","06:00","05:58","146","127","-2","06:31","33","0","0","0","0","0"
"9E","12/09/2021","5172","N8839E","ATL","12:30","12:27","123","110","-3","12:47","20","0","0","0","0","0"
"9E","12/10/2021","4656","N833AY","ATL","18:03","18:46","120","0","43","18:55","9","0","0","0","0","0"
"9E","12/10/2021","4765","N686BR","ATL","06:00","08:40","146","136","160","09:16","36","84","66","0","0","0"
"9E","12/10/2021","5172","N801AY","ATL","12:30","12:25","123","103","-5","12:33","8","0","0","0","0","0"
"9E","12/11/2021","4765","N8837B","ATL","06:00","06:00","145","149","0","06:25","25","0","0","0","0","0"
"9E","12/11/2021","5172","N8837B","ATL","14:00","13:55","123","139","-5","14:27","32","0","0","0","0","0"
"9E","12/12/2021","4656","N832AY","ATL","18:03","17:53","120","97","-10","18:03","10","0","0","0","0","0"
"9E","12/12/2021","4765","N601XJ","ATL","06:00","05:56","146","109","-4","06:23","27","0","0","0","0","0"
"9E","12/12/2021","5172","N8908D","ATL","12:30","12:20","123","92","-10","12:27","7","0","0","0","0","0"
"9E","12/13/2021","4656","N840AY","ATL","18:03","17:56","120","96","-7","18:03","7","0","0","0","0","0"
"9E","12/13/2021","4765","N832AY","ATL","06:00","05:55","146","102","-5","06:10","15","0","0","0","0","0"
"9E","12/13/2021","5172","N8974C","ATL","12:30","12:18","123","104","-12","12:31","13","0","0","0","0","0"
"9E","12/14/2021","4765","N833AY","ATL","06:00","05:54","146","121","-6","06:28","34","0","0","0","0","0"
"9E","12/14/2021","5187","N801AY","ATL","16:40","16:35","121","99","-5","16:47","12","0","0","0","0","0"
"9E","12/15/2021","4765","N8946A","ATL","06:00","06:00","146","110","0","06:22","22","0","0","0","0","0"
"9E","12/15/2021","5187","N980EV","ATL","16:40","17:05","121","99","25","17:17","12","0","0","0","0","0"
"9E","12/16/2021","4656","N835AY","ATL","18:03","17:58","120","107","-5","18:09","11","0","0","0","0","0"
"9E","12/16/2021","4765","N8894A","ATL","06:00","05:59","146","118","-1","06:20","21","0","0","0","0","0"
"9E","12/16/2021","5172","N8847A","ATL","12:30","12:28","123","123","-2","12:48","20","0","0","0","0","0"
"9E","12/17/2021","4656","N835AY","ATL","18:03","17:53","120","109","-10","18:05","12","0","0","0","0","0"
"9E","12/17/2021","4765","N820AY","ATL","06:00","05:58","146","131","-2","06:32","34","0","0","0","0","0"
"9E","12/17/2021","5172","N8974C","ATL","12:30","12:25","123","112","-5","12:34","9","0","0","0","0","0"
"9E","12/18/2021","4765","N800AY","ATL","06:00","05:52","146","131","-8","06:20","28","0","0","0","0","0"
"9E","12/18/2021","5172","N8908D","ATL","14:00","13:50","124","110","-10","13:58","8","0","0","0","0","0"
"9E","12/19/2021","4656","N835AY","ATL","18:03","18:01","120","111","-2","18:11","10","0","0","0","0","0"
"9E","12/19/2021","4765","N686BR","ATL","06:00","05:54","146","124","-6","06:21","27","0","0","0","0","0"
"9E","12/19/2021","5172","N8974C","ATL","13:40","13:59","124","103","19","14:10","11","0","0","0","0","0"
"9E","12/20/2021","4656","N8869B","ATL","18:03","18:00","120","106","-3","18:13","13","0","0","0","0","0"
"9E","12/20/2021","4765","N836AY","ATL","06:00","05:56","146","146","-4","06:31","35","0","0","0","0","0"
"9E","12/20/2021","5172","N840AY","ATL","13:40","13:35","124","99","-5","13:42","7","0","0","0","0","0"
"9E","12/21/2021","4656","N834AY","ATL","18:03","18:00","120","118","-3","18:16","16","0","0","0","0","0"
"9E","12/21/2021","4765","N8974C","ATL","06:00","05:51","146","136","-9","06:33","42","0","0","0","0","0"
"9E","12/21/2021","5172","N8974C","ATL","13:40","13:30","124","103","-10","13:41","11","0","0","0","0","0"
"9E","12/22/2021","4656","N835AY","ATL","18:03","18:00","120","104","-3","18:10","10","0","0","0","0","0"
"9E","12/22/2021","4765","N8928A","ATL","06:00","05:57","146","104","-3","06:08","11","0","0","0","0","0"
"9E","12/22/2021","5172","N8980A","ATL","13:40","13:35","124","96","-5","13:43","8","0","0","0","0","0"
"9E","12/23/2021","4656","N801AY","ATL","18:03","17:56","120","101","-7","18:05","9","0","0","0","0","0"
"9E","12/23/2021","4765","N8839E","ATL","06:00","05:55","146","102","-5","06:10","15","0","0","0","0","0"
"9E","12/23/2021","5172","N833AY","ATL","13:40","13:35","124","97","-5","13:49","14","0","0","0","0","0"
"9E","12/24/2021","4765","N820AY","ATL","06:00","05:55","145","104","-5","06:12","17","0","0","0","0","0"
"9E","12/24/2021","5172","N835AY","ATL","13:40","13:34","123","99","-6","13:46","12","0","0","0","0","0"
"9E","12/25/2021","4765","N832AY","ATL","06:00","10:41","145","101","281","10:52","11","216","0","0","0","21"
"9E","12/25/2021","5172","N980EV","ATL","13:40","13:30","123","106","-10","13:47","17","0","0","0","0","0"
"9E","12/26/2021","4656","N832AY","ATL","18:03","18:20","120","120","17","18:42","22","6","0","0","0","11"
"9E","12/26/2021","4765","N8986B","ATL","06:00","05:55","146","138","-5","06:31","36","0","0","0","0","0"
"9E","12/26/2021","5172","N836AY","ATL","13:40","13:30","124","93","-10","13:37","7","0","0","0","0","0"
"9E","12/27/2021","4656","N835AY","ATL","18:03","18:03","120","110","0","18:21","18","0","0","0","0","0"
"9E","12/27/2021","4765","N832AY","ATL","06:00","06:06","146","113","6","06:26","20","0","0","0","0","0"
"9E","12/27/2021","5172","N391CA","ATL","13:40","13:35","124","108","-5","13:44","9","0","0","0","0","0"
"9E","12/28/2021","4656","N8903A","ATL","18:03","17:56","120","122","-7","18:10","14","0","0","0","0","0"
"9E","12/28/2021","4765","N8847A","ATL","06:00","07:02","146","144","62","07:43","41","60","0","0","0","0"
"9E","12/28/2021","5172","N835AY","ATL","13:40","13:38","124","172","-2","14:50","72","0","0","46","0","0"
"9E","12/29/2021","4656","N980EV","ATL","18:03","18:14","120","113","11","18:26","12","0","0","0","0","0"
"9E","12/29/2021","4765","N8837B","ATL","06:00","06:00","146","110","0","06:12","12","0","0","0","0","0"
"9E","12/29/2021","5172","N8869B","ATL","13:40","13:35","124","121","-5","13:46","11","0","0","0","0","0"
"9E","12/30/2021","4656","N8694A","ATL","18:03","18:33","120","111","30","18:42","9","0","0","0","0","21"
"9E","12/30/2021","4765","N927EV","ATL","06:00","06:52","146","130","52","07:09","17","0","0","36","0","0"
"9E","12/30/2021","5172","N836AY","ATL","13:40","13:48","124","112","8","14:01","13","0","0","0","0","0"
"9E","12/30/2023","5479","N929XJ","ATL","17:55","17:56","124","103","1","18:10","14","0","0","0","0","0"
"9E","12/31/2021","4765","N835AY","ATL","06:00","05:55","145","118","-5","06:18","23","0","0","0","0","0"
"9E","12/31/2021","5172","N8847A","ATL","13:40","16:09","123","105","149","16:24","15","131","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
