Detailed Statistics Departures  
Origin Airport: South Bend, IN: South Bend International (SBN)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3084","N766SK","DFW","16:33","16:37","156","145","4","16:50","13","0","0","0","0","0"
"OO","12/01/2021","3289","N870DC","DFW","07:56","07:55","169","144","-1","08:11","16","0","0","0","0","0"
"OO","12/01/2021","3529","N838SK","DTW","08:20","08:19","68","53","-1","08:33","14","0","0","0","0","0"
"OO","12/01/2021","3572","N837SK","MSP","07:00","07:00","121","96","0","07:23","23","0","0","0","0","0"
"OO","12/01/2021","3652","N833SK","DTW","14:10","14:07","52","54","-3","14:20","13","0","0","0","0","0"
"OO","12/01/2021","5256","N464SW","ORD","08:00","07:55","65","49","-5","08:16","21","0","0","0","0","0"
"OO","12/01/2021","5631","N455SW","ORD","13:17","13:14","56","43","-3","13:26","12","0","0","0","0","0"
"OO","12/01/2021","5720","N466SW","ORD","09:45","09:40","56","49","-5","09:54","14","0","0","0","0","0"
"OO","12/01/2021","5768","N908EV","ORD","06:25","06:23","65","56","-2","06:53","30","0","0","0","0","0"
"OO","12/01/2022","3084","N726SK","DFW","16:25","17:16","161","156","51","17:36","20","46","0","0","0","0"
"OO","12/01/2022","3289","N730SK","DFW","07:30","07:20","169","155","-10","07:31","11","0","0","0","0","0"
"OO","12/01/2022","3572","N641CA","MSP","09:25","09:24","113","96","-1","09:37","13","0","0","0","0","0"
