Detailed Statistics Departures  
Origin Airport: Spokane, WA: Spokane International (GEG)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","1346","N283AK","SEA","21:55","21:53","80","72","-2","22:05","12","0","0","0","0","0"
"AS","12/01/2022","0108","N419AS","SAN","07:30","07:30","172","239","0","07:57","27","0","0","67","0","0"
"AS","12/01/2022","0247","N487AS","SEA","07:00","06:58","82","88","-2","07:29","31","0","0","0","0","0"
"AS","12/01/2022","0289","N268AK","SEA","06:00","00:00","82","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0512","N277AK","SEA","05:00","05:13","79","70","13","05:32","19","0","0","0","0","0"
"AS","12/01/2022","0749","N315AS","SEA","14:15","14:17","76","83","2","14:42","25","0","0","0","0","0"
"AS","12/01/2023","0908","N467AS","SEA","08:30","08:29","87","88","-1","08:59","30","0","0","0","0","0"
"AS","12/01/2023","0938","N302AS","SEA","11:55","11:53","87","93","-2","12:36","43","0","0","0","0","0"
"AS","12/01/2023","0939","N611AS","SEA","17:40","17:34","81","84","-6","18:07","33","0","0","0","0","0"
"AS","12/01/2023","0941","N934AK","SEA","05:00","04:58","85","151","-2","05:42","44","0","0","64","0","0"
"AS","12/01/2023","1010","N552AS","SEA","13:35","14:08","81","90","33","14:47","39","0","3","9","0","30"
"AS","12/01/2023","1279","N486AS","LAX","07:00","06:54","174","175","-6","07:34","40","0","0","0","0","0"
"AS","12/01/2023","1286","N546AS","SAN","06:10","05:59","187","175","-11","06:42","43","0","0","0","0","0"
"AS","12/02/2021","1346","N552AS","SEA","21:55","21:42","80","66","-13","21:55","13","0","0","0","0","0"
"AS","12/02/2022","0108","N973AK","SAN","07:30","09:01","172","169","91","09:23","22","88","0","0","0","0"
"AS","12/02/2022","0247","N253AK","SEA","07:00","07:36","82","94","36","08:14","38","0","0","48","0","0"
"AS","12/02/2022","0289","N318AS","SEA","06:00","06:01","82","87","1","06:29","28","0","0","0","0","0"
"AS","12/02/2022","0378","N915AK","SEA","05:00","04:57","79","80","-3","05:28","31","0","0","0","0","0"
"AS","12/02/2022","0749","N469AS","SEA","14:15","14:27","76","78","12","14:51","24","0","0","0","0","0"
"AS","12/02/2023","0908","N248AK","SEA","08:30","08:22","87","92","-8","09:02","40","0","0","0","0","0"
"AS","12/02/2023","0938","N920AK","SEA","11:55","11:50","87","75","-5","12:14","24","0","0","0","0","0"
"AS","12/02/2023","0939","N315AS","SEA","17:40","17:30","81","78","-10","17:49","19","0","0","0","0","0"
"AS","12/02/2023","0941","N956AK","SEA","05:00","04:49","85","88","-11","05:21","32","0","0","0","0","0"
