Detailed Statistics Departures  
Origin Airport: Spokane, WA: Spokane International (GEG)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0484","N117UW","DFW","06:00","05:58","228","202","-2","06:10","12","0","0","0","0","0"
"AA","12/01/2021","1441","N108UW","PHX","17:22","17:25","158","151","3","17:37","12","0","0","0","0","0"
"AA","12/01/2022","1441","N463AA","PHX","15:08","15:08","152","156","0","15:19","11","0","0","0","0","0"
"AA","12/01/2022","2369","N920US","DFW","06:00","07:44","217","245","104","08:28","44","104","0","28","0","0"
"AA","12/01/2023","0484","N604AW","DFW","05:25","05:17","232","238","-8","06:07","50","0","0","0","0","0"
"AA","12/01/2023","0540","N108UW","PHX","15:20","15:18","155","184","-2","16:12","54","0","0","27","0","0"
"AA","12/01/2023","2697","N704US","PHX","06:27","06:24","168","180","-3","07:02","38","0","0","0","0","0"
"AA","12/01/2023","2910","N107US","DFW","13:03","13:57","212","245","54","14:53","56","0","0","33","0","54"
"AA","12/02/2021","0484","N679AW","DFW","06:00","14:37","228","209","517","14:48","11","0","0","0","0","498"
"AA","12/02/2021","1441","N124US","PHX","17:22","17:24","158","154","2","17:38","14","0","0","0","0","0"
"AA","12/02/2022","1441","N647AW","PHX","15:08","15:19","152","155","11","15:29","10","0","0","0","0","0"
"AA","12/02/2022","2369","N604AW","DFW","06:00","05:59","217","235","-1","06:47","48","0","0","17","0","0"
"AA","12/02/2023","0484","N673AW","DFW","05:25","05:24","232","225","-1","05:58","34","0","0","0","0","0"
"AA","12/02/2023","0540","N669AW","PHX","15:20","15:13","155","142","-7","15:28","15","0","0","0","0","0"
"AA","12/02/2023","2697","N770UW","PHX","06:27","06:43","168","174","16","07:33","50","0","16","6","0","0"
"AA","12/02/2023","2910","N604AW","DFW","13:03","12:54","212","201","-9","13:11","17","0","0","0","0","0"
"AA","12/03/2021","0484","N679AW","DFW","06:00","06:05","228","217","5","06:29","24","0","0","0","0","0"
"AA","12/03/2021","1441","N152AA","PHX","17:22","17:27","158","151","5","17:41","14","0","0","0","0","0"
"AA","12/03/2022","1441","N126UW","PHX","14:51","14:46","152","152","-5","14:57","11","0","0","0","0","0"
"AA","12/03/2022","2369","N118US","DFW","06:00","12:43","217","193","403","12:55","12","0","0","0","0","379"
"AA","12/03/2023","0484","N673AW","DFW","05:25","05:21","232","198","-4","05:52","31","0","0","0","0","0"
"AA","12/03/2023","0540","N650AW","PHX","15:20","15:14","155","151","-6","15:34","20","0","0","0","0","0"
"AA","12/03/2023","2697","N754UW","PHX","06:27","06:24","168","162","-3","06:52","28","0","0","0","0","0"
"AA","12/03/2023","2910","N651AW","DFW","13:03","13:35","212","186","32","13:49","14","0","0","0","0","0"
"AA","12/04/2021","0484","N662AW","DFW","06:00","06:03","228","199","3","06:17","14","0","0","0","0","0"
"AA","12/04/2021","1441","N664AW","PHX","17:55","18:13","158","146","18","18:36","23","0","0","0","0","0"
"AA","12/04/2022","1441","N126UW","PHX","15:08","14:58","152","154","-10","15:11","13","0","0","0","0","0"
"AA","12/04/2022","2369","N659AW","DFW","06:00","06:04","217","200","4","06:27","23","0","0","0","0","0"
"AA","12/04/2023","0484","N604AW","DFW","05:25","05:24","232","230","-1","05:54","30","0","0","0","0","0"
"AA","12/04/2023","0540","N108UW","PHX","15:20","15:10","155","147","-10","15:22","12","0","0","0","0","0"
"AA","12/04/2023","2697","N832AW","PHX","06:27","06:22","168","163","-5","06:46","24","0","0","0","0","0"
"AA","12/04/2023","2910","N109UW","DFW","13:03","13:59","212","214","56","14:23","24","0","0","2","0","56"
"AA","12/05/2021","0484","N679AW","DFW","06:00","07:05","228","194","65","07:28","23","31","0","0","0","0"
"AA","12/05/2021","1441","N667AW","PHX","17:22","17:33","158","131","11","17:43","10","0","0","0","0","0"
"AA","12/05/2022","1441","N114UW","PHX","15:08","15:09","152","173","1","15:36","27","1","0","21","0","0"
"AA","12/05/2022","2369","N679AW","DFW","06:00","07:38","217","225","98","08:16","38","98","0","8","0","0"
"AA","12/05/2023","0484","N651AW","DFW","05:25","05:19","230","224","-6","05:36","17","0","0","0","0","0"
"AA","12/05/2023","0540","N700UW","PHX","15:20","15:15","172","153","-5","15:27","12","0","0","0","0","0"
"AA","12/05/2023","2697","N763US","PHX","06:36","06:25","172","171","-11","06:54","29","0","0","0","0","0"
"AA","12/05/2023","2910","N604AW","DFW","12:57","12:48","219","209","-9","13:02","14","0","0","0","0","0"
"AA","12/06/2021","0484","N656AW","DFW","06:00","06:01","228","218","1","06:30","29","0","0","0","0","0"
