Detailed Statistics Departures  
Origin Airport: Spokane, WA: Spokane International (GEG)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","0668","N325DN","MSP","14:10","14:15","161","149","5","14:26","11","0","0","0","0","0"
"DL","12/01/2021","1022","N341NW","MSP","06:00","05:49","171","155","-11","06:00","11","0","0","0","0","0"
"DL","12/01/2021","1460","N125DU","SLC","06:00","05:56","108","105","-4","06:11","15","0","0","0","0","0"
"DL","12/01/2021","2403","N317NB","SLC","10:24","10:24","99","94","0","10:41","17","0","0","0","0","0"
"DL","12/01/2021","2412","N333NW","SLC","17:10","17:13","100","92","3","17:26","13","0","0","0","0","0"
"DL","12/01/2021","2520","N115DU","SLC","13:05","12:59","97","87","-6","13:09","10","0","0","0","0","0"
"DL","12/01/2022","0921","N828DN","ATL","12:55","13:04","255","262","9","13:37","33","2","0","7","0","7"
"DL","12/01/2022","1022","N811DZ","MSP","06:30","00:00","185","0","0","00:00","0","0","0","0","0","0"
"DL","12/01/2022","1395","N855DN","MSP","14:58","16:00","172","168","62","16:32","32","58","0","0","0","0"
"DL","12/01/2022","1460","N369NB","SLC","06:00","00:00","120","0","0","00:00","0","0","0","0","0","0"
"DL","12/01/2022","2223","N310DU","SLC","17:39","17:31","110","110","-8","17:53","22","0","0","0","0","0"
"DL","12/01/2022","2270","N369NB","SLC","19:24","19:23","110","108","-1","19:48","25","0","0","0","0","0"
"DL","12/01/2022","2740","N319NB","SLC","10:23","10:20","110","97","-3","10:30","10","0","0","0","0","0"
"DL","12/01/2023","0787","N868DN","ATL","12:45","12:49","265","304","4","13:46","57","0","0","43","0","0"
"DL","12/01/2023","1615","N104DN","MSP","06:45","06:44","186","213","-1","07:42","58","0","0","26","0","0"
"DL","12/01/2023","1744","N332DN","MSP","14:03","14:45","172","211","42","15:43","58","0","0","39","0","42"
"DL","12/01/2023","2080","N370NB","SLC","06:00","05:59","115","128","-1","06:48","49","0","0","0","0","0"
"DL","12/01/2023","2155","N348NW","SLC","13:21","13:46","103","129","25","14:33","47","25","0","26","0","0"
"DL","12/01/2023","2460","N339NW","SLC","10:27","10:18","105","120","-9","10:56","38","0","0","0","0","0"
"DL","12/01/2023","2998","N117DU","SLC","17:15","17:16","107","134","1","18:03","47","0","0","28","0","0"
"DL","12/02/2021","0668","N107DN","MSP","14:10","14:09","161","155","-1","14:19","10","0","0","0","0","0"
"DL","12/02/2021","0921","N904DN","ATL","12:30","12:29","257","252","-1","12:44","15","0","0","0","0","0"
"DL","12/02/2021","1022","N320US","MSP","06:00","06:09","171","147","9","06:25","16","0","0","0","0","0"
"DL","12/02/2021","1460","N107DU","SLC","06:00","06:00","108","97","0","06:11","11","0","0","0","0","0"
"DL","12/02/2021","2403","N317NB","SLC","10:24","10:29","99","94","5","10:40","11","0","0","0","0","0"
"DL","12/02/2021","2412","N333NW","SLC","17:10","17:10","100","92","0","17:21","11","0","0","0","0","0"
"DL","12/02/2021","2520","N133DU","SLC","13:05","13:04","97","90","-1","13:16","12","0","0","0","0","0"
"DL","12/02/2022","0921","N857DZ","ATL","12:55","12:54","255","236","-1","13:08","14","0","0","0","0","0"
"DL","12/02/2022","1022","N876DN","MSP","06:30","06:42","185","174","12","07:15","33","0","0","0","0","0"
"DL","12/02/2022","1395","N878DN","MSP","14:58","14:50","172","176","-8","15:21","31","0","0","0","0","0"
"DL","12/02/2022","1460","N319NB","SLC","06:00","08:18","120","95","138","08:32","14","113","0","0","0","0"
"DL","12/02/2022","2223","N311DU","SLC","17:39","17:33","110","105","-6","17:58","25","0","0","0","0","0"
"DL","12/02/2022","2270","N354NB","SLC","19:24","19:23","110","108","-1","19:50","27","0","0","0","0","0"
"DL","12/02/2022","2740","N358NB","SLC","10:23","10:19","110","88","-4","10:29","10","0","0","0","0","0"
"DL","12/02/2023","0787","N920DU","ATL","12:45","12:40","265","266","-5","13:07","27","0","0","0","0","0"
"DL","12/02/2023","1615","N103DY","MSP","06:45","06:58","186","224","13","08:16","78","13","0","38","0","0"
"DL","12/02/2023","1744","N327DN","MSP","14:03","13:54","172","165","-9","14:04","10","0","0","0","0","0"
"DL","12/02/2023","2080","N310DU","SLC","06:00","06:03","116","149","3","07:18","75","0","0","36","0","0"
"DL","12/02/2023","2155","N339NW","SLC","13:21","13:18","103","87","-3","13:29","11","0","0","0","0","0"
"DL","12/02/2023","2460","N342NB","SLC","10:20","10:44","102","91","24","11:00","16","0","0","0","0","0"
"DL","12/02/2023","2998","N103DU","SLC","17:15","17:06","107","99","-9","17:29","23","0","0","0","0","0"
"DL","12/03/2021","0668","N349NW","MSP","14:10","14:10","161","146","0","14:23","13","0","0","0","0","0"
"DL","12/03/2021","0921","N878DN","ATL","12:30","12:45","257","238","15","13:00","15","0","0","0","0","0"
"DL","12/03/2021","1022","N349NW","MSP","06:00","06:00","171","170","0","06:36","36","0","0","0","0","0"
"DL","12/03/2021","1460","N116DU","SLC","06:00","06:00","108","101","0","06:20","20","0","0","0","0","0"
"DL","12/03/2021","2403","N364NB","SLC","10:24","10:21","99","92","-3","10:35","14","0","0","0","0","0"
"DL","12/03/2021","2412","N351NW","SLC","17:10","17:13","100","89","3","17:25","12","0","0","0","0","0"
"DL","12/03/2021","2520","N111NG","SLC","13:05","12:56","97","107","-9","13:24","28","0","0","0","0","0"
"DL","12/03/2022","0921","N834DN","ATL","12:55","13:11","255","242","16","13:38","27","0","0","0","0","0"
"DL","12/03/2022","1022","N920DU","MSP","06:30","06:38","185","170","8","07:13","35","0","0","0","0","0"
"DL","12/03/2022","1395","N920DU","MSP","15:12","14:56","176","141","-16","15:06","10","0","0","0","0","0"
"DL","12/03/2022","1460","N358NB","SLC","06:00","06:00","120","111","0","06:33","33","0","0","0","0","0"
"DL","12/03/2022","2223","N354NB","SLC","17:36","21:07","111","91","211","21:17","10","0","0","0","0","191"
"DL","12/03/2022","2740","N355NB","SLC","10:23","10:15","110","95","-8","10:27","12","0","0","0","0","0"
"DL","12/03/2023","0787","N893DN","ATL","12:45","12:51","265","270","6","13:37","46","0","0","0","0","0"
"DL","12/03/2023","1615","N371DN","MSP","06:45","06:45","186","172","0","07:17","32","0","0","0","0","0"
"DL","12/03/2023","1744","N369DN","MSP","14:03","14:02","172","157","-1","14:13","11","0","0","0","0","0"
"DL","12/03/2023","2080","N360NB","SLC","06:00","23:37","115","99","1057","00:06","29","1041","0","0","0","0"
"DL","12/03/2023","2155","N339NW","SLC","13:21","14:18","103","121","57","14:58","40","0","0","18","0","57"
"DL","12/03/2023","2460","N322NB","SLC","10:00","10:07","105","82","7","10:17","10","0","0","0","0","0"
"DL","12/03/2023","2998","N122DU","SLC","17:15","17:07","107","88","-8","17:17","10","0","0","0","0","0"
"DL","12/04/2021","0668","N334NW","MSP","14:10","14:27","161","140","17","14:37","10","0","0","0","0","0"
"DL","12/04/2021","1022","N371NW","MSP","06:00","06:03","171","160","3","06:31","28","0","0","0","0","0"
"DL","12/04/2021","1460","N112DU","SLC","06:00","05:54","108","110","-6","06:18","24","0","0","0","0","0"
"DL","12/04/2021","2412","N333NW","SLC","17:10","17:11","100","93","1","17:26","15","0","0","0","0","0"
"DL","12/04/2021","2520","N115DU","SLC","13:05","12:58","97","100","-7","13:09","11","0","0","0","0","0"
"DL","12/04/2022","0921","N919DU","ATL","12:55","12:55","255","228","0","13:07","12","0","0","0","0","0"
"DL","12/04/2022","1022","N906DN","MSP","06:30","06:27","185","170","-3","06:57","30","0","0","0","0","0"
"DL","12/04/2022","1395","N865DN","MSP","14:58","14:50","172","162","-8","15:03","13","0","0","0","0","0"
"DL","12/04/2022","1460","N302NB","SLC","06:00","07:27","120","123","87","08:04","37","87","0","3","0","0"
"DL","12/04/2022","2223","N313DU","SLC","17:39","18:48","110","116","69","19:17","29","69","0","6","0","0"
"DL","12/04/2022","2270","N327NB","SLC","19:24","20:23","110","125","59","21:01","38","0","0","15","0","59"
"DL","12/04/2022","2740","N311DU","SLC","10:23","11:25","110","97","62","11:36","11","1","0","0","0","48"
"DL","12/04/2023","0787","N857DZ","ATL","12:45","12:42","265","236","-3","12:54","12","0","0","0","0","0"
"DL","12/04/2023","1615","N358DN","MSP","06:45","06:39","186","189","-6","07:20","41","0","0","0","0","0"
"DL","12/04/2023","1744","N395DZ","MSP","14:03","13:50","172","188","-13","14:30","40","0","0","0","0","0"
"DL","12/04/2023","2080","N364NB","SLC","06:00","05:55","115","109","-5","06:23","28","0","0","0","0","0"
"DL","12/04/2023","2155","N317US","SLC","13:21","13:15","103","111","-6","13:35","20","0","0","0","0","0"
"DL","12/04/2023","2460","N357NB","SLC","10:20","10:08","102","92","-12","10:21","13","0","0","0","0","0"
"DL","12/04/2023","2998","N342NB","SLC","17:16","17:12","107","109","-4","17:42","30","0","0","0","0","0"
"DL","12/05/2021","0668","N341DN","MSP","14:14","14:11","168","150","-3","14:21","10","0","0","0","0","0"
"DL","12/05/2021","0921","N807DN","ATL","12:44","12:41","266","237","-3","12:54","13","0","0","0","0","0"
"DL","12/05/2021","1022","N371NW","MSP","06:00","05:56","184","162","-4","06:26","30","0","0","0","0","0"
"DL","12/05/2021","1460","N137DU","SLC","05:49","05:44","120","104","-5","06:09","25","0","0","0","0","0"
