Detailed Statistics Departures  
Origin Airport: Spokane, WA: Spokane International (GEG)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2018","N641QX","SFO","08:05","08:01","133","124","-4","08:12","11","0","0","0","0","0"
"QX","12/01/2021","2205","N633QX","SEA","17:30","17:22","68","73","-8","17:41","19","0","0","0","0","0"
"QX","12/01/2021","2234","N438QX","SEA","05:40","05:33","81","71","-7","05:42","9","0","0","0","0","0"
"QX","12/01/2021","2236","N637QX","LAX","17:55","17:49","160","161","-6","18:03","14","0","0","0","0","0"
"QX","12/01/2021","2243","N639QX","SEA","07:45","07:40","75","69","-5","07:53","13","0","0","0","0","0"
"QX","12/01/2021","2246","N436QX","SEA","13:00","12:55","81","78","-5","13:05","10","0","0","0","0","0"
"QX","12/01/2021","2249","N435QX","SEA","10:00","09:56","81","72","-4","10:04","8","0","0","0","0","0"
"QX","12/01/2021","2391","N647QX","SEA","11:35","11:37","75","63","2","11:47","10","0","0","0","0","0"
"QX","12/01/2021","2435","N620QX","PAE","18:35","19:30","65","64","55","19:42","12","54","0","0","0","0"
"QX","12/01/2021","2445","N440QX","SEA","08:45","08:43","81","74","-2","08:51","8","0","0","0","0","0"
"QX","12/01/2021","2553","N451QX","SEA","15:25","15:31","80","72","6","15:40","9","0","0","0","0","0"
"QX","12/01/2022","2006","N643QX","SEA","12:40","12:40","79","80","0","13:06","26","0","0","0","0","0"
"QX","12/01/2022","2030","N643QX","SFO","06:00","05:59","138","165","-1","06:19","20","0","0","26","0","0"
"QX","12/01/2022","2055","N650QX","SFO","19:20","19:20","137","134","0","19:41","21","0","0","0","0","0"
"QX","12/01/2022","2121","N628QX","SEA","09:00","09:03","80","84","3","09:29","26","0","0","0","0","0"
"QX","12/01/2022","2130","N421QX","PDX","08:50","08:57","87","81","7","09:11","14","0","0","0","0","0"
"QX","12/01/2022","2147","N644QX","PAE","08:50","09:04","73","64","14","09:21","17","0","0","0","0","0"
"QX","12/01/2022","2148","N421QX","PDX","12:55","12:55","84","76","0","13:09","14","0","0","0","0","0"
"QX","12/01/2022","2243","N625QX","SEA","11:40","11:39","75","71","-1","11:57","18","0","0","0","0","0"
"QX","12/01/2022","2244","N643QX","SEA","16:50","17:02","75","79","12","17:23","21","6","0","4","0","6"
"QX","12/01/2022","2245","N625QX","SEA","18:00","18:02","76","85","2","18:34","32","0","0","0","0","0"
"QX","12/01/2022","2263","N620QX","SEA","10:50","10:48","80","84","-2","11:09","21","0","0","0","0","0"
"QX","12/01/2022","2426","N624QX","BOI","20:45","22:07","73","74","82","22:28","21","0","0","1","0","82"
"QX","12/01/2022","2450","N451QX","PDX","16:55","16:47","83","92","-8","17:07","20","0","0","0","0","0"
"QX","12/01/2022","2475","N451QX","PDX","20:55","20:51","83","80","-4","21:10","19","0","0","0","0","0"
"QX","12/01/2023","2015","N637QX","SEA","15:40","15:39","83","78","-1","16:07","28","0","0","0","0","0"
"QX","12/01/2023","2016","N639QX","BOI","06:00","05:52","85","80","-8","06:24","32","0","0","0","0","0"
"QX","12/01/2023","2023","N625QX","SEA","06:15","06:16","84","107","1","06:56","40","0","0","24","0","0"
"QX","12/01/2023","2031","N657QX","SEA","10:40","10:37","84","89","-3","11:10","33","0","0","0","0","0"
"QX","12/01/2023","2083","N637QX","SEA","19:30","19:26","83","86","-4","19:59","33","0","0","0","0","0"
"QX","12/01/2023","2107","N653QX","BOI","12:25","13:54","85","83","89","14:32","38","0","87","0","0","0"
"QX","12/01/2023","2122","N653QX","BOI","16:30","18:23","83","70","113","18:48","25","0","0","0","0","100"
"QX","12/01/2023","2418","N634QX","BOI","08:40","08:31","85","70","-9","08:51","20","0","0","0","0","0"
"QX","12/02/2021","2018","N633QX","SFO","08:05","08:29","133","132","24","08:46","17","23","0","0","0","0"
"QX","12/02/2021","2132","N444QX","PDX","21:20","21:19","82","81","-1","21:34","15","0","0","0","0","0"
"QX","12/02/2021","2141","N435QX","SEA","20:05","20:04","80","88","-1","20:20","16","0","0","0","0","0"
"QX","12/02/2021","2205","N450QX","SEA","17:30","17:33","80","81","3","17:44","11","0","0","0","0","0"
"QX","12/02/2021","2231","N632QX","PDX","10:00","09:57","81","67","-3","10:08","11","0","0","0","0","0"
"QX","12/02/2021","2234","N451QX","SEA","05:40","05:38","81","76","-2","05:47","9","0","0","0","0","0"
"QX","12/02/2021","2236","N635QX","LAX","17:55","17:51","160","171","-4","18:10","19","0","0","0","0","0"
"QX","12/02/2021","2240","N446QX","SEA","07:45","07:36","81","83","-9","07:52","16","0","0","0","0","0"
"QX","12/02/2021","2246","N426QX","SEA","13:35","13:27","81","88","-8","13:40","13","0","0","0","0","0"
"QX","12/02/2021","2391","N627QX","SEA","11:35","11:31","75","72","-4","11:47","16","0","0","0","0","0"
"QX","12/02/2021","2435","N629QX","PAE","18:35","18:31","65","60","-4","18:41","10","0","0","0","0","0"
"QX","12/02/2021","2445","N426QX","SEA","08:45","08:46","81","75","1","08:56","10","0","0","0","0","0"
"QX","12/02/2021","2489","N451QX","SEA","10:00","09:53","81","73","-7","10:04","11","0","0","0","0","0"
"QX","12/02/2021","2553","N404QX","SEA","15:25","15:16","80","82","-9","15:31","15","0","0","0","0","0"
"QX","12/02/2021","2583","N635QX","PDX","07:00","07:08","81","67","8","07:19","11","0","0","0","0","0"
"QX","12/02/2022","2006","N651QX","SEA","12:40","12:34","79","88","-6","12:58","24","0","0","0","0","0"
"QX","12/02/2022","2015","N445QX","BOI","07:45","07:40","74","100","-5","08:16","36","0","0","21","0","0"
"QX","12/02/2022","2030","N651QX","SFO","06:00","06:05","138","157","5","06:39","34","0","0","24","0","0"
"QX","12/02/2022","2121","N645QX","SEA","09:00","09:59","80","83","59","10:23","24","16","0","3","0","43"
"QX","12/02/2022","2130","N443QX","PDX","08:50","08:46","87","76","-4","08:54","8","0","0","0","0","0"
"QX","12/02/2022","2147","N635QX","PAE","08:50","10:06","73","69","76","10:25","19","5","0","0","0","67"
"QX","12/02/2022","2148","N443QX","PDX","12:55","12:52","84","83","-3","13:09","17","0","0","0","0","0"
"QX","12/02/2022","2243","N629QX","SEA","11:40","00:00","79","0","0","00:00","0","0","0","0","0","0"
"QX","12/02/2022","2244","N639QX","SEA","16:50","16:52","75","86","2","17:17","25","0","0","0","0","0"
"QX","12/02/2022","2245","N630QX","SEA","18:00","17:53","76","119","-7","18:18","25","0","0","36","0","0"
"QX","12/02/2022","2263","N634QX","SEA","10:50","11:07","80","77","17","11:28","21","0","0","0","0","0"
"QX","12/02/2022","2426","N647QX","BOI","20:45","20:38","73","83","-7","21:11","33","0","0","0","0","0"
"QX","12/02/2022","2450","N445QX","PDX","16:55","16:55","83","100","0","17:23","28","0","0","17","0","0"
"QX","12/02/2022","2475","N451QX","PDX","20:55","20:46","83","92","-9","21:09","23","0","0","0","0","0"
"QX","12/02/2023","2015","N651QX","SEA","15:40","15:35","83","67","-5","15:48","13","0","0","0","0","0"
"QX","12/02/2023","2023","N639QX","SEA","06:15","06:15","84","92","0","06:52","37","0","0","0","0","0"
"QX","12/02/2023","2031","N656QX","SEA","10:40","10:39","84","60","-1","10:49","10","0","0","0","0","0"
"QX","12/02/2023","2107","N648QX","BOI","12:25","12:20","85","59","-5","12:34","14","0","0","0","0","0"
"QX","12/02/2023","2418","N641QX","BOI","08:40","08:32","85","93","-8","09:18","46","0","0","0","0","0"
"QX","12/03/2021","2018","N638QX","SFO","08:05","08:11","133","128","6","08:30","19","0","0","0","0","0"
"QX","12/03/2021","2132","N404QX","PDX","21:20","21:17","82","75","-3","21:26","9","0","0","0","0","0"
"QX","12/03/2021","2141","N432QX","SEA","20:05","19:58","80","86","-7","20:16","18","0","0","0","0","0"
"QX","12/03/2021","2205","N437QX","SEA","17:30","17:28","80","93","-2","17:54","26","0","0","0","0","0"
"QX","12/03/2021","2231","N437QX","PDX","10:00","09:55","81","76","-5","10:04","9","0","0","0","0","0"
"QX","12/03/2021","2234","N405QX","SEA","05:40","06:15","81","88","35","06:34","19","35","0","7","0","0"
"QX","12/03/2021","2236","N634QX","LAX","17:55","17:47","160","159","-8","17:58","11","0","0","0","0","0"
"QX","12/03/2021","2240","N440QX","SEA","07:45","07:38","81","90","-7","07:57","19","0","0","0","0","0"
"QX","12/03/2021","2246","N432QX","SEA","13:35","13:28","81","79","-7","13:36","8","0","0","0","0","0"
"QX","12/03/2021","2391","N639QX","SEA","11:35","11:27","75","71","-8","11:39","12","0","0","0","0","0"
"QX","12/03/2021","2435","N629QX","PAE","18:35","18:28","65","61","-7","18:40","12","0","0","0","0","0"
"QX","12/03/2021","2445","N448QX","SEA","08:45","08:41","81","88","-4","08:58","17","0","0","0","0","0"
"QX","12/03/2021","2489","N405QX","SEA","10:00","09:51","81","77","-9","10:01","10","0","0","0","0","0"
"QX","12/03/2021","2553","N426QX","SEA","15:25","15:24","80","75","-1","15:32","8","0","0","0","0","0"
"QX","12/03/2021","2583","N634QX","PDX","07:00","06:48","81","89","-12","07:09","21","0","0","0","0","0"
"QX","12/03/2022","2006","N405QX","SEA","12:40","12:35","79","62","-5","12:43","8","0","0","0","0","0"
"QX","12/03/2022","2015","N648QX","BOI","07:45","07:41","74","77","-4","08:04","23","0","0","0","0","0"
"QX","12/03/2022","2121","N629QX","SEA","09:00","08:59","80","83","-1","09:17","18","0","0","0","0","0"
"QX","12/03/2022","2130","N451QX","PDX","08:50","08:46","87","82","-4","09:03","17","0","0","0","0","0"
"QX","12/03/2022","2148","N435QX","PDX","12:55","12:50","84","75","-5","13:01","11","0","0","0","0","0"
"QX","12/03/2022","2244","N630QX","SEA","16:50","16:48","75","85","-2","17:13","25","0","0","0","0","0"
"QX","12/03/2022","2245","N421QX","SEA","18:00","17:55","76","77","-5","18:16","21","0","0","0","0","0"
"QX","12/03/2022","2263","N632QX","SEA","10:50","10:52","80","74","2","11:02","10","0","0","0","0","0"
"QX","12/03/2022","2426","N623QX","BOI","20:45","20:56","73","73","11","21:19","23","0","0","0","0","0"
"QX","12/03/2023","2015","N651QX","SEA","15:40","15:46","83","67","6","15:59","13","0","0","0","0","0"
"QX","12/03/2023","2016","N622QX","BOI","06:00","05:58","85","65","-2","06:18","20","0","0","0","0","0"
"QX","12/03/2023","2023","N625QX","SEA","06:15","06:12","84","86","-3","06:32","20","0","0","0","0","0"
"QX","12/03/2023","2031","N625QX","SEA","10:40","10:52","84","77","12","11:15","23","0","0","0","0","0"
"QX","12/03/2023","2107","N634QX","BOI","12:25","12:23","85","77","-2","12:54","31","0","0","0","0","0"
"QX","12/03/2023","2122","N634QX","BOI","16:30","16:23","83","55","-7","16:33","10","0","0","0","0","0"
"QX","12/03/2023","2418","N641QX","BOI","08:40","08:39","85","56","-1","08:49","10","0","0","0","0","0"
"QX","12/04/2021","2018","N650QX","SFO","08:05","08:00","133","130","-5","08:14","14","0","0","0","0","0"
"QX","12/04/2021","2141","N628QX","SEA","20:05","20:24","68","101","19","21:05","41","0","0","52","0","0"
"QX","12/04/2021","2234","N403QX","SEA","05:40","05:32","81","77","-8","05:46","14","0","0","0","0","0"
"QX","12/04/2021","2236","N638QX","LAX","17:55","17:59","160","200","4","18:22","23","0","0","44","0","0"
"QX","12/04/2021","2240","N623QX","SEA","07:45","07:40","75","67","-5","07:50","10","0","0","0","0","0"
"QX","12/04/2021","2246","N402QX","SEA","13:00","13:02","81","72","2","13:10","8","0","0","0","0","0"
"QX","12/04/2021","2391","N625QX","SEA","11:35","11:34","75","73","-1","11:51","17","0","0","0","0","0"
"QX","12/04/2021","2435","N626QX","PAE","18:35","18:33","65","78","-2","18:58","25","0","0","0","0","0"
"QX","12/04/2021","2445","N432QX","SEA","08:45","08:44","81","88","-1","09:04","20","0","0","0","0","0"
"QX","12/04/2021","2489","N451QX","SEA","10:00","10:22","81","96","22","10:46","24","0","0","15","0","22"
"QX","12/04/2021","2553","N642QX","SEA","15:25","15:40","68","73","15","15:50","10","15","0","5","0","0"
"QX","12/04/2022","2006","N642QX","SEA","12:40","13:33","79","79","53","13:56","23","53","0","0","0","0"
"QX","12/04/2022","2015","N435QX","BOI","07:45","07:35","74","98","-10","08:10","35","0","0","0","0","0"
"QX","12/04/2022","2121","N627QX","SEA","09:00","09:06","80","58","6","09:16","10","0","0","0","0","0"
"QX","12/04/2022","2148","N446QX","PDX","12:55","13:02","84","84","7","13:20","18","0","0","0","0","0"
"QX","12/04/2022","2243","N634QX","SEA","11:40","11:48","75","79","8","12:08","20","0","0","0","0","0"
"QX","12/04/2022","2244","N642QX","SEA","16:50","17:31","75","92","41","18:17","46","10","0","17","0","31"
"QX","12/04/2022","2245","N634QX","SEA","18:00","18:01","76","71","1","18:28","27","0","0","0","0","0"
"QX","12/04/2022","2263","N648QX","SEA","10:50","11:14","80","74","24","11:31","17","0","0","0","0","18"
"QX","12/04/2022","2426","N647QX","BOI","20:45","20:53","73","83","8","21:25","32","8","0","10","0","0"
"QX","12/04/2022","2450","N435QX","PDX","16:55","17:14","83","99","19","17:46","32","1","0","16","0","18"
"QX","12/04/2022","2475","N435QX","PDX","20:55","21:09","82","86","14","21:33","24","0","0","4","0","14"
"QX","12/04/2023","2015","N631QX","SEA","15:40","15:35","83","65","-5","15:44","9","0","0","0","0","0"
"QX","12/04/2023","2016","N622QX","BOI","06:00","05:52","85","65","-8","06:12","20","0","0","0","0","0"
"QX","12/04/2023","2023","N625QX","SEA","06:15","06:14","84","85","-1","06:29","15","0","0","0","0","0"
"QX","12/04/2023","2031","N625QX","SEA","10:40","10:37","84","68","-3","10:53","16","0","0","0","0","0"
"QX","12/04/2023","2083","N626QX","SEA","19:30","19:28","83","72","-2","19:43","15","0","0","0","0","0"
"QX","12/04/2023","2107","N637QX","BOI","12:25","12:22","85","59","-3","12:33","11","0","0","0","0","0"
"QX","12/04/2023","2122","N637QX","BOI","16:30","16:28","83","60","-2","16:40","12","0","0","0","0","0"
"QX","12/04/2023","2418","N641QX","BOI","08:40","08:45","85","61","5","09:01","16","0","0","0","0","0"
"QX","12/05/2021","2018","N634QX","SFO","08:05","08:35","133","129","30","08:55","20","26","0","0","0","0"
"QX","12/05/2021","2132","N443QX","PDX","21:20","21:11","82","76","-9","21:25","14","0","0","0","0","0"
"QX","12/05/2021","2141","N430QX","SEA","20:05","20:02","80","73","-3","20:12","10","0","0","0","0","0"
"QX","12/05/2021","2205","N442QX","SEA","17:30","17:25","80","74","-5","17:34","9","0","0","0","0","0"
