Detailed Statistics Departures  
Origin Airport: Spokane, WA: Spokane International (GEG)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3339","N170SY","SAN","12:35","12:29","179","162","-6","12:40","11","0","0","0","0","0"
"OO","12/01/2021","3359","N194SY","BOI","20:20","22:07","61","61","107","22:21","14","0","0","0","0","107"
"OO","12/01/2021","3440","N196SY","PDX","07:00","06:51","81","77","-9","07:01","10","0","0","0","0","0"
"OO","12/01/2021","3477","N182SY","SJC","12:25","12:22","132","128","-3","12:36","14","0","0","0","0","0"
"OO","12/01/2021","3514","N273SY","SEA","15:02","14:59","78","67","-3","15:09","10","0","0","0","0","0"
"OO","12/01/2021","3515","N299SY","SEA","05:10","05:08","84","68","-2","05:19","11","0","0","0","0","0"
"OO","12/01/2021","3593","N264SY","SEA","17:24","17:14","80","77","-10","17:34","20","0","0","0","0","0"
"OO","12/01/2021","3774","N269SY","LAX","08:34","08:32","165","162","-2","08:43","11","0","0","0","0","0"
"OO","12/01/2021","3954","N267SY","SEA","11:25","11:20","80","65","-5","11:30","10","0","0","0","0","0"
"OO","12/01/2021","3969","N271SY","SEA","13:30","13:31","75","65","1","13:43","12","0","0","0","0","0"
"OO","12/01/2021","4161","N273SY","SEA","07:14","07:11","86","68","-3","07:22","11","0","0","0","0","0"
"OO","12/01/2021","5319","N206SY","SFO","07:10","07:01","151","128","-9","07:12","11","0","0","0","0","0"
"OO","12/01/2022","3508","N261SY","SEA","19:28","19:48","79","72","20","20:03","15","0","0","0","0","0"
"OO","12/01/2022","3514","N264SY","SEA","15:34","15:28","76","62","-6","15:37","9","0","0","0","0","0"
"OO","12/01/2022","3515","N262SY","SEA","05:11","00:00","89","0","0","00:00","0","0","0","0","0","0"
"OO","12/01/2022","3558","N278SY","LAX","07:37","00:00","183","0","0","00:00","0","0","0","0","0","0"
"OO","12/01/2022","3568","N286SY","SEA","07:05","00:00","87","0","0","00:00","0","0","0","0","0","0"
"OO","12/01/2022","3605","N286SY","SEA","13:28","13:30","77","73","2","13:44","14","0","0","0","0","0"
"OO","12/01/2022","3706","N284SY","SEA","17:38","17:58","82","91","20","18:28","30","0","29","0","0","0"
"OO","12/01/2022","3951","N284SY","SEA","09:11","00:00","94","0","0","00:00","0","0","0","0","0","0"
"OO","12/01/2022","3954","N300SY","SEA","11:31","11:29","79","82","-2","11:54","25","0","0","0","0","0"
"OO","12/01/2022","4075","N253SY","SLC","13:45","13:44","112","96","-1","13:55","11","0","0","0","0","0"
"OO","12/01/2022","5606","N791SK","SFO","15:51","15:49","142","151","-2","16:18","29","0","0","0","0","0"
"OO","12/01/2023","3330","N403SY","PDX","10:45","10:49","86","96","4","11:31","42","0","0","0","0","0"
"OO","12/01/2023","3333","N181SY","SFO","07:45","07:35","155","150","-10","08:13","38","0","0","0","0","0"
"OO","12/01/2023","3342","N403SY","PDX","06:45","06:42","85","89","-3","07:13","31","0","0","0","0","0"
"OO","12/01/2023","3366","N408SY","PDX","14:45","15:05","83","91","20","15:41","36","0","0","8","0","20"
"OO","12/01/2023","3367","N171SY","SEA","09:40","09:38","84","78","-2","10:03","25","0","0","0","0","0"
"OO","12/01/2023","3421","N186SY","PDX","19:15","19:10","84","82","-5","19:38","28","0","0","0","0","0"
"OO","12/01/2023","3632","N242SY","SEA","05:20","05:12","80","102","-8","05:58","46","0","0","0","0","0"
"OO","12/01/2023","3691","N286SY","SEA","08:20","08:20","88","76","0","08:49","29","0","0","0","0","0"
"OO","12/01/2023","3794","N275SY","LAX","13:35","14:00","165","178","25","14:46","46","25","0","13","0","0"
"OO","12/01/2023","3829","N272SY","SEA","11:10","11:05","83","113","-5","12:00","55","0","0","25","0","0"
"OO","12/01/2023","3830","N274SY","SEA","09:32","09:30","98","78","-2","09:56","26","0","0","0","0","0"
"OO","12/01/2023","4003","N292SY","SEA","19:15","19:11","85","100","-4","19:49","38","0","0","0","0","0"
"OO","12/01/2023","4005","N272SY","SEA","15:25","15:17","83","104","-8","16:10","53","0","0","0","0","0"
"OO","12/01/2023","4051","N274SY","SEA","17:40","17:42","85","102","2","18:22","40","0","2","17","0","0"
"OO","12/01/2023","4053","N267SY","SEA","07:00","06:57","95","114","-3","07:52","55","0","0","16","0","0"
"OO","12/01/2023","4162","N285SY","SEA","13:10","13:29","84","89","19","14:07","38","19","0","5","0","0"
"OO","12/01/2023","5319","N205SY","SFO","06:19","06:09","149","155","-10","06:54","45","0","0","0","0","0"
"OO","12/01/2023","5356","N620UX","SFO","15:50","15:46","150","145","-4","16:22","36","0","0","0","0","0"
"OO","12/02/2021","3339","N179SY","SAN","12:35","12:26","179","163","-9","12:41","15","0","0","0","0","0"
"OO","12/02/2021","3341","N177SY","BOI","08:00","07:52","61","58","-8","08:02","10","0","0","0","0","0"
"OO","12/02/2021","3359","N193SY","BOI","20:20","20:26","61","66","6","20:37","11","0","0","0","0","0"
"OO","12/02/2021","3477","N177SY","SJC","12:25","12:16","132","137","-9","12:31","15","0","0","0","0","0"
"OO","12/02/2021","3514","N301SY","SEA","15:02","14:58","78","77","-4","15:11","13","0","0","0","0","0"
"OO","12/02/2021","3515","N271SY","SEA","05:10","05:07","84","64","-3","05:21","14","0","0","0","0","0"
"OO","12/02/2021","3593","N302SY","SEA","17:24","17:41","80","71","17","17:52","11","0","0","0","0","0"
"OO","12/02/2021","3774","N270SY","LAX","08:34","08:32","165","156","-2","08:42","10","0","0","0","0","0"
"OO","12/02/2021","3954","N273SY","SEA","11:25","11:22","80","66","-3","11:33","11","0","0","0","0","0"
"OO","12/02/2021","3969","N264SY","SEA","13:30","13:29","75","71","-1","13:39","10","0","0","0","0","0"
"OO","12/02/2021","4161","N273SY","SEA","07:14","07:13","86","84","-1","07:24","11","0","0","0","0","0"
"OO","12/02/2021","5319","N205SY","SFO","07:10","07:04","151","134","-6","07:13","9","0","0","0","0","0"
"OO","12/02/2022","3508","N284SY","SEA","19:28","19:39","79","98","11","20:22","43","30","0","0","0","0"
"OO","12/02/2022","3514","N279SY","SEA","15:34","15:30","76","67","-4","15:40","10","0","0","0","0","0"
"OO","12/02/2022","3515","N298SY","SEA","05:11","05:18","89","101","7","06:02","44","0","19","0","0","0"
"OO","12/02/2022","3558","N281SY","LAX","07:37","07:35","183","184","-2","08:13","38","0","0","0","0","0"
"OO","12/02/2022","3568","N262SY","SEA","07:05","07:16","87","102","11","08:00","44","26","0","0","0","0"
"OO","12/02/2022","3605","N276SY","SEA","13:28","13:20","77","78","-8","13:40","20","0","0","0","0","0"
"OO","12/02/2022","3706","N271SY","SEA","17:38","17:37","82","89","-1","18:08","31","0","0","0","0","0"
