Detailed Statistics Departures  
Origin Airport: Spokane, WA: Spokane International (GEG)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","1297","N403WN","LAS","11:50","12:07","140","120","17","12:15","8","0","0","0","0","0"
"WN","12/01/2021","1399","N8643A","PHX","08:00","08:02","160","141","2","08:11","9","0","0","0","0","0"
"WN","12/01/2021","3131","N8647A","LAS","06:30","06:28","140","122","-2","06:36","8","0","0","0","0","0"
"WN","12/01/2021","3649","N969WN","SMF","11:10","11:20","110","106","10","11:32","12","0","0","0","0","0"
"WN","12/01/2021","4016","N935WN","DEN","13:55","13:55","135","117","0","14:03","8","0","0","0","0","0"
"WN","12/01/2021","4760","N426WN","DEN","06:40","06:40","135","122","0","06:54","14","0","0","0","0","0"
"WN","12/01/2021","6242","N969WN","OAK","16:00","16:15","130","123","15","16:24","9","0","0","0","0","0"
"WN","12/01/2022","1031","N255WN","OAK","17:00","17:00","130","136","0","17:22","22","0","0","0","0","0"
"WN","12/01/2022","1123","N923WN","SMF","18:05","18:27","115","114","22","18:46","19","0","0","0","0","21"
"WN","12/01/2022","1243","N8554X","DEN","06:45","06:45","140","124","0","06:57","12","0","0","0","0","0"
"WN","12/01/2022","1288","N482WN","OAK","05:45","05:43","140","129","-2","05:55","12","0","0","0","0","0"
"WN","12/01/2022","1582","N486WN","PHX","11:40","11:36","150","170","-4","12:01","25","0","0","16","0","0"
"WN","12/01/2022","1713","N266WN","LAS","14:15","14:28","135","151","13","14:44","16","0","13","16","0","0"
"WN","12/01/2022","2098","N8811L","SJC","13:35","13:30","125","138","-5","13:46","16","0","0","0","0","0"
"WN","12/01/2022","2726","N262WN","LAS","05:20","05:17","145","140","-3","05:28","11","0","0","0","0","0"
"WN","12/01/2022","2770","N757LV","DEN","14:45","15:09","135","123","24","15:23","14","0","0","0","0","0"
"WN","12/01/2022","3288","N278WN","SMF","10:30","10:32","110","120","2","10:52","20","0","0","0","0","0"
"WN","12/01/2023","0309","N8523W","SMF","16:20","16:16","115","118","-4","16:47","31","0","0","0","0","0"
"WN","12/01/2023","0347","N8804L","OAK","05:35","05:35","140","143","0","06:17","42","0","0","0","0","0"
"WN","12/01/2023","0553","N410WN","DEN","06:05","06:07","135","148","2","06:40","33","0","0","15","0","0"
"WN","12/01/2023","0716","N474WN","DEN","13:50","14:06","135","138","16","14:35","29","5","0","3","0","11"
"WN","12/01/2023","0995","N8563Z","SMF","07:50","07:49","115","120","-1","08:20","31","0","0","0","0","0"
"WN","12/01/2023","1774","N910WN","PHX","11:40","11:43","150","167","3","12:19","36","0","0","20","0","0"
"WN","12/01/2023","2646","N7745A","SJC","12:15","12:15","130","133","0","12:44","29","0","0","0","0","0"
"WN","12/01/2023","3048","N8814K","LAS","13:05","13:19","150","157","14","14:05","46","14","0","7","0","0"
"WN","12/01/2023","3474","N8761L","OAK","16:55","16:49","135","138","-6","17:24","35","0","0","0","0","0"
"WN","12/02/2021","1297","N8745K","LAS","11:50","11:50","140","126","0","12:00","10","0","0","0","0","0"
"WN","12/02/2021","1399","N8707P","PHX","08:00","08:03","160","147","3","08:14","11","0","0","0","0","0"
"WN","12/02/2021","3131","N8813Q","LAS","06:30","06:27","140","125","-3","06:37","10","0","0","0","0","0"
"WN","12/02/2021","3649","N720WN","SMF","11:10","11:45","110","103","35","11:55","10","14","0","0","0","14"
"WN","12/02/2021","4016","N448WN","DEN","13:55","13:58","135","117","3","14:07","9","0","0","0","0","0"
"WN","12/02/2021","4760","N967WN","DEN","06:40","06:38","135","116","-2","06:46","8","0","0","0","0","0"
"WN","12/02/2021","6242","N720WN","OAK","16:00","16:37","130","121","37","16:46","9","5","0","0","0","23"
"WN","12/02/2022","1031","N436WN","OAK","17:00","17:23","130","119","23","17:32","9","0","0","0","0","0"
"WN","12/02/2022","1123","N7836A","SMF","18:05","18:15","115","110","10","18:25","10","0","0","0","0","0"
"WN","12/02/2022","1243","N8769Q","DEN","06:45","06:48","140","139","3","07:14","26","0","0","0","0","0"
"WN","12/02/2022","1288","N773SA","OAK","05:45","05:44","140","138","-1","06:11","27","0","0","0","0","0"
"WN","12/02/2022","1582","N278WN","PHX","11:40","12:22","150","148","42","12:31","9","40","0","0","0","0"
"WN","12/02/2022","1713","N7864B","LAS","14:15","14:27","135","136","12","14:39","12","0","0","0","0","0"
"WN","12/02/2022","2098","N8530W","SJC","13:35","13:32","125","133","-3","13:42","10","0","0","0","0","0"
"WN","12/02/2022","2726","N900WN","LAS","05:20","05:20","145","154","0","05:55","35","0","0","0","0","0"
"WN","12/02/2022","2770","N7853B","DEN","14:45","14:41","135","138","-4","15:05","24","0","0","0","0","0"
"WN","12/02/2022","3288","N736SA","SMF","10:30","10:24","110","109","-6","10:31","7","0","0","0","0","0"
"WN","12/02/2023","0192","N252WN","DEN","05:00","04:59","135","148","-1","05:35","36","0","0","0","0","0"
"WN","12/02/2023","0347","N8784Q","OAK","05:45","05:43","140","152","-2","06:28","45","0","0","0","0","0"
"WN","12/02/2023","0416","N1803U","LAS","06:35","06:32","140","171","-3","07:29","57","0","0","28","0","0"
"WN","12/02/2023","0596","N8307K","PHX","14:05","14:04","150","129","-1","14:12","8","0","0","0","0","0"
"WN","12/02/2023","1261","N8679A","DEN","11:15","11:11","130","128","-4","11:24","13","0","0","0","0","0"
"WN","12/02/2023","1517","N7851A","SJC","15:40","18:02","130","111","142","18:12","10","0","0","0","0","123"
"WN","12/02/2023","1535","N931WN","SMF","12:05","12:18","115","103","13","12:32","14","0","0","0","0","0"
"WN","12/02/2023","2800","N451WN","DEN","13:40","13:40","130","124","0","13:51","11","0","0","0","0","0"
"WN","12/02/2023","3216","N440LV","LAS","16:25","16:27","135","129","2","16:50","23","0","0","0","0","0"
"WN","12/03/2021","1297","N7704B","LAS","11:50","11:47","140","124","-3","11:54","7","0","0","0","0","0"
"WN","12/03/2021","1399","N8685B","PHX","08:00","07:59","160","141","-1","08:07","8","0","0","0","0","0"
"WN","12/03/2021","3131","N8314L","LAS","06:30","06:30","140","122","0","06:39","9","0","0","0","0","0"
"WN","12/03/2021","3649","N201LV","SMF","11:10","11:28","110","100","18","11:37","9","0","0","0","0","0"
"WN","12/03/2021","4016","N420WN","DEN","13:55","14:22","135","122","27","14:37","15","0","0","0","0","0"
"WN","12/03/2021","4760","N969WN","DEN","06:40","06:37","135","120","-3","06:45","8","0","0","0","0","0"
"WN","12/03/2021","6242","N201LV","OAK","16:00","16:11","130","118","11","16:19","8","0","0","0","0","0"
"WN","12/03/2022","0337","N423WN","SJC","11:05","10:55","125","145","-10","11:09","14","0","0","0","0","0"
"WN","12/03/2022","0540","N279WN","LAS","16:25","16:35","135","135","10","16:46","11","0","0","0","0","0"
"WN","12/03/2022","1031","N8543Z","OAK","16:55","16:48","130","132","-7","16:58","10","0","0","0","0","0"
"WN","12/03/2022","1269","N282WN","PHX","15:25","15:35","145","173","10","15:47","12","9","0","28","0","1"
"WN","12/03/2022","1288","N265WN","OAK","05:00","04:57","135","149","-3","05:22","25","0","0","0","0","0"
"WN","12/03/2022","2291","N8574Z","DEN","11:00","11:08","135","124","8","11:19","11","0","0","0","0","0"
"WN","12/03/2022","2592","N8535S","DEN","06:20","06:20","135","139","0","06:46","26","0","0","0","0","0"
"WN","12/03/2022","2726","N7749B","LAS","05:20","05:31","145","144","11","05:52","21","0","0","0","0","0"
"WN","12/03/2022","3314","N8525S","SMF","12:50","12:50","110","114","0","13:01","11","0","0","0","0","0"
"WN","12/03/2023","0309","N8622A","SMF","16:20","16:46","115","101","26","16:56","10","0","0","0","0","0"
"WN","12/03/2023","0347","N8717M","OAK","05:35","05:31","140","126","-4","05:41","10","0","0","0","0","0"
"WN","12/03/2023","0553","N217JC","DEN","06:05","05:56","135","127","-9","06:05","9","0","0","0","0","0"
"WN","12/03/2023","0716","N950WN","DEN","13:50","13:54","135","107","4","14:02","8","0","0","0","0","0"
"WN","12/03/2023","0995","N8601C","SMF","07:50","07:52","115","110","2","08:08","16","0","0","0","0","0"
"WN","12/03/2023","1774","N289CT","PHX","11:40","11:35","150","159","-5","12:04","29","0","0","0","0","0"
"WN","12/03/2023","2646","N960WN","SJC","12:15","12:13","130","150","-2","12:47","34","0","0","18","0","0"
"WN","12/03/2023","3048","N8716B","LAS","13:05","13:37","150","126","32","13:53","16","0","0","0","0","0"
"WN","12/03/2023","3474","N8777Q","OAK","16:55","16:53","135","134","-2","17:19","26","0","0","0","0","0"
"WN","12/04/2021","0969","N8663A","DEN","06:15","06:17","135","121","2","06:33","16","0","0","0","0","0"
"WN","12/04/2021","4380","N246LV","PHX","06:05","06:04","155","143","-1","06:14","10","0","0","0","0","0"
"WN","12/04/2021","4556","N8664J","LAS","07:25","07:25","140","129","0","07:34","9","0","0","0","0","0"
"WN","12/04/2021","4565","N7831B","OAK","05:30","05:31","135","121","1","05:41","10","0","0","0","0","0"
"WN","12/04/2021","5277","N240WN","LAS","13:25","13:23","135","127","-2","13:32","9","0","0","0","0","0"
"WN","12/04/2021","5336","N264LV","SMF","10:25","10:36","115","105","11","10:49","13","0","0","0","0","0"
"WN","12/04/2021","5651","N235WN","DEN","14:00","14:08","135","111","8","14:17","9","0","0","0","0","0"
"WN","12/04/2021","6126","N569WN","OAK","15:55","16:06","130","119","11","16:13","7","0","0","0","0","0"
"WN","12/04/2022","0405","N7858A","LAS","06:45","07:04","145","138","19","07:15","11","0","0","0","0","0"
"WN","12/04/2022","0944","N7850B","DEN","05:10","05:48","135","130","38","06:09","21","33","0","0","0","0"
"WN","12/04/2022","1288","N7850B","OAK","05:45","00:00","135","0","0","00:00","0","0","0","0","0","0"
"WN","12/04/2022","1493","N8534Z","PHX","14:10","16:14","155","158","124","16:25","11","23","0","3","0","101"
"WN","12/04/2022","1776","N927WN","OAK","14:55","15:38","135","123","43","15:46","8","1","0","0","0","30"
"WN","12/04/2022","1907","N7860A","DEN","10:50","10:48","135","120","-2","10:58","10","0","0","0","0","0"
"WN","12/04/2022","2051","N1806U","DEN","15:15","16:18","125","121","63","16:29","11","2","0","0","0","57"
"WN","12/04/2022","2098","N8644C","SJC","16:00","16:46","125","137","46","17:06","20","3","0","12","0","43"
"WN","12/04/2022","2726","N235WN","LAS","17:45","17:43","140","164","-2","18:19","36","0","0","22","0","0"
"WN","12/04/2022","3127","N7818L","SMF","16:35","17:19","110","130","44","17:50","31","19","0","20","0","25"
"WN","12/04/2022","3385","N258WN","SMF","11:30","11:54","110","111","24","12:05","11","0","0","1","0","24"
"WN","12/04/2023","0309","N8647A","SMF","16:20","16:23","115","103","3","16:35","12","0","0","0","0","0"
"WN","12/04/2023","0347","N8726H","OAK","05:35","05:28","140","0","-7","05:57","29","0","0","0","0","0"
"WN","12/04/2023","0553","N7833A","DEN","06:05","06:01","135","134","-4","06:27","26","0","0","0","0","0"
"WN","12/04/2023","0716","N960WN","DEN","13:50","13:55","135","126","5","14:10","15","0","0","0","0","0"
"WN","12/04/2023","0995","N8824Q","SMF","07:50","07:49","115","105","-1","08:04","15","0","0","0","0","0"
"WN","12/04/2023","1774","N490WN","PHX","11:40","13:48","150","144","128","14:00","12","0","0","0","0","122"
"WN","12/04/2023","2646","N7817J","SJC","12:15","12:09","130","121","-6","12:20","11","0","0","0","0","0"
"WN","12/04/2023","3048","N8542Z","LAS","13:05","13:07","150","123","2","13:17","10","0","0","0","0","0"
"WN","12/04/2023","3474","N8763L","OAK","16:55","16:51","135","119","-4","17:04","13","0","0","0","0","0"
"WN","12/05/2021","0744","N265WN","PHX","10:50","11:23","150","136","33","11:36","13","7","0","0","0","12"
"WN","12/05/2021","1839","N8625A","OAK","05:25","05:39","130","112","14","05:47","8","0","0","0","0","0"
"WN","12/05/2021","2992","N8610A","DEN","14:50","14:52","135","118","2","15:01","9","0","0","0","0","0"
"WN","12/05/2021","3323","N8566Z","LAS","16:30","16:40","135","129","10","16:48","8","0","0","0","0","0"
"WN","12/05/2021","3548","N757LV","SJC","12:15","13:17","130","119","62","13:25","8","1","0","0","0","50"
"WN","12/05/2021","3945","N7728D","LAS","06:00","05:59","140","141","-1","06:20","21","0","0","0","0","0"
"WN","12/05/2021","4411","N8541W","DEN","06:50","06:49","135","106","-1","06:58","9","0","0","0","0","0"
"WN","12/05/2021","4558","N253WN","OAK","16:05","16:13","130","116","8","16:24","11","0","0","0","0","0"
"WN","12/05/2021","4763","N263WN","SMF","07:00","06:59","115","104","-1","07:17","18","0","0","0","0","0"
"WN","12/05/2022","1031","N930WN","OAK","17:00","17:02","130","119","2","17:12","10","0","0","0","0","0"
"WN","12/05/2022","1123","N7843A","SMF","18:05","18:01","115","114","-4","18:28","27","0","0","0","0","0"
"WN","12/05/2022","1243","N8730Q","DEN","06:45","06:41","140","140","-4","07:10","29","0","0","0","0","0"
"WN","12/05/2022","1288","N455WN","OAK","05:45","05:45","140","113","0","05:55","10","0","0","0","0","0"
"WN","12/05/2022","1582","N291WN","PHX","11:40","11:37","150","155","-3","11:45","8","0","0","0","0","0"
"WN","12/05/2022","1713","N285WN","LAS","14:15","14:59","135","132","44","15:10","11","0","0","14","0","27"
"WN","12/05/2022","2098","N8507C","SJC","13:35","13:31","125","127","-4","13:52","21","0","0","0","0","0"
"WN","12/05/2022","2726","N944WN","LAS","05:20","05:19","145","131","-1","05:28","9","0","0","0","0","0"
"WN","12/05/2022","2770","N478WN","DEN","14:45","14:49","135","140","4","15:18","29","0","0","0","0","0"
"WN","12/05/2022","3288","N910WN","SMF","10:30","10:24","110","102","-6","10:34","10","0","0","0","0","0"
"WN","12/05/2023","0309","N8903H","SMF","16:20","16:19","115","111","-1","16:31","12","0","0","0","0","0"
"WN","12/05/2023","0347","N8718Q","OAK","05:35","05:32","140","135","-3","05:48","16","0","0","0","0","0"
"WN","12/05/2023","0553","N411WN","DEN","06:05","06:08","135","117","3","06:18","10","0","0","0","0","0"
"WN","12/05/2023","0716","N7864B","DEN","13:50","13:49","135","114","-1","13:56","7","0","0","0","0","0"
"WN","12/05/2023","0995","N8584Z","SMF","07:50","07:47","115","106","-3","07:56","9","0","0","0","0","0"
"WN","12/05/2023","1774","N418WN","PHX","11:40","12:08","150","147","28","12:16","8","0","0","0","0","25"
"WN","12/05/2023","2646","N7841A","SJC","12:15","12:11","130","130","-4","12:24","13","0","0","0","0","0"
"WN","12/05/2023","3048","N8786Q","LAS","13:05","13:10","150","126","5","13:20","10","0","0","0","0","0"
"WN","12/05/2023","3474","N8824Q","OAK","16:55","16:54","135","134","-1","17:06","12","0","0","0","0","0"
"WN","12/06/2021","1297","N8719Q","LAS","11:50","13:20","140","139","90","13:44","24","0","8","0","0","81"
"WN","12/06/2021","1399","N8646B","PHX","08:00","08:01","160","156","1","08:21","20","0","0","0","0","0"
"WN","12/06/2021","3131","N8552Z","LAS","06:30","06:27","140","128","-3","06:47","20","0","0","0","0","0"
"WN","12/06/2021","3649","N762SW","SMF","11:10","11:42","110","135","32","12:22","40","12","0","25","0","20"
"WN","12/06/2021","4016","N451WN","DEN","13:55","14:11","135","126","16","14:30","19","0","0","0","0","0"
