Detailed Statistics Departures  
Origin Airport: Spokane, WA: Spokane International (GEG)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1255","N823UA","DEN","13:25","13:20","131","121","-5","13:30","10","0","0","0","0","0"
"UA","12/01/2021","2308","N37510","DEN","05:45","05:42","139","119","-3","05:52","10","0","0","0","0","0"
"UA","12/01/2022","1255","N432UA","DEN","13:28","13:28","132","120","0","13:42","14","0","0","0","0","0"
"UA","12/01/2022","1457","N37422","DEN","05:23","05:16","138","135","-7","05:43","27","0","0","0","0","0"
"UA","12/01/2023","0457","N37551","DEN","05:30","05:23","142","168","-7","06:10","47","0","0","19","0","0"
"UA","12/01/2023","1255","N37313","DEN","13:48","13:38","134","164","-10","14:30","52","0","0","20","0","0"
"UA","12/02/2021","1255","N878UA","DEN","13:25","13:29","131","127","4","13:41","12","0","0","0","0","0"
"UA","12/02/2021","2308","N47524","DEN","05:45","06:02","139","116","17","06:16","14","0","0","0","0","0"
"UA","12/02/2022","1255","N433UA","DEN","13:28","13:25","132","119","-3","13:33","8","0","0","0","0","0"
"UA","12/02/2022","1457","N67846","DEN","05:40","05:39","138","135","-1","06:12","33","0","0","0","0","0"
"UA","12/02/2023","0457","N77578","DEN","05:30","05:22","142","155","-8","06:10","48","0","0","0","0","0"
"UA","12/02/2023","1255","N37319","DEN","13:48","13:33","134","124","-15","13:46","13","0","0","0","0","0"
"UA","12/03/2021","1255","N833UA","DEN","13:25","13:29","131","120","4","13:41","12","0","0","0","0","0"
"UA","12/03/2021","2308","N37525","DEN","05:45","05:38","139","135","-7","06:04","26","0","0","0","0","0"
"UA","12/03/2022","1255","N475UA","DEN","13:28","13:48","132","120","20","13:58","10","0","0","0","0","0"
"UA","12/03/2022","1457","N53442","DEN","05:40","05:37","138","131","-3","06:06","29","0","0","0","0","0"
"UA","12/03/2023","0457","N37554","DEN","05:30","05:27","140","137","-3","05:53","26","0","0","0","0","0"
"UA","12/03/2023","1255","N37308","DEN","13:48","13:59","134","116","11","14:14","15","0","0","0","0","0"
"UA","12/04/2021","1255","N460UA","DEN","13:25","13:21","131","115","-4","13:30","9","0","0","0","0","0"
"UA","12/04/2021","2308","N27519","DEN","05:45","05:39","139","120","-6","05:54","15","0","0","0","0","0"
"UA","12/04/2022","1255","N410UA","DEN","13:28","13:29","132","122","1","13:41","12","0","0","0","0","0"
"UA","12/04/2022","1457","N62849","DEN","05:35","13:36","138","136","481","14:05","29","479","0","0","0","0"
"UA","12/04/2023","0457","N77571","DEN","05:30","05:22","142","118","-8","05:36","14","0","0","0","0","0"
"UA","12/04/2023","1255","N17300","DEN","13:48","13:38","134","122","-10","13:50","12","0","0","0","0","0"
"UA","12/05/2021","1255","N445UA","DEN","13:25","13:33","131","113","8","13:43","10","0","0","0","0","0"
"UA","12/05/2021","2308","N37502","DEN","05:45","05:41","139","121","-4","06:06","25","0","0","0","0","0"
