Detailed Statistics Departures  
Origin Airport: Springfield, IL: Abraham Lincoln Capital (SPI)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3944","N613AE","DFW","07:26","07:25","144","132","-1","07:51","26","0","0","0","0","0"
"MQ","12/01/2021","4211","N623AE","DFW","15:30","15:20","129","108","-10","15:32","12","0","0","0","0","0"
"MQ","12/02/2021","3944","N619AE","DFW","07:26","07:20","144","117","-6","07:29","9","0","0","0","0","0"
"MQ","12/02/2021","4211","N688AE","DFW","15:30","15:28","129","110","-2","15:36","8","0","0","0","0","0"
"MQ","12/03/2021","3944","N612AE","DFW","07:26","07:22","144","139","-4","07:43","21","0","0","0","0","0"
"MQ","12/03/2021","4211","N613AE","DFW","15:30","19:44","129","107","254","19:52","8","232","0","0","0","0"
"MQ","12/04/2021","3944","N684JW","DFW","07:26","07:21","144","110","-5","07:28","7","0","0","0","0","0"
"MQ","12/04/2021","4211","N611AE","DFW","15:30","15:27","129","110","-3","15:34","7","0","0","0","0","0"
"MQ","12/05/2021","3944","N653AE","DFW","07:26","07:22","144","146","-4","07:59","37","0","0","0","0","0"
"MQ","12/05/2021","4211","N616AE","DFW","15:30","16:35","129","117","65","16:45","10","53","0","0","0","0"
"MQ","12/06/2021","3944","N623AE","DFW","07:26","07:17","144","175","-9","08:12","55","0","0","22","0","0"
"MQ","12/06/2021","4211","N619AE","DFW","15:30","15:15","129","129","-15","15:27","12","0","0","0","0","0"
"MQ","12/07/2021","3944","N619AE","DFW","07:26","07:24","144","135","-2","07:37","13","0","0","0","0","0"
"MQ","12/07/2021","4211","N933JN","DFW","15:30","15:22","129","115","-8","15:28","6","0","0","0","0","0"
"MQ","12/08/2021","3944","N667GB","DFW","07:26","11:55","144","136","269","12:11","16","261","0","0","0","0"
"MQ","12/08/2021","4211","N688AE","DFW","15:30","15:26","129","118","-4","15:38","12","0","0","0","0","0"
"MQ","12/09/2021","3944","N653AE","DFW","07:26","07:49","144","128","23","08:01","12","0","0","0","0","0"
"MQ","12/09/2021","4211","N923AE","DFW","15:30","15:20","129","114","-10","15:25","5","0","0","0","0","0"
"MQ","12/10/2021","3944","N905JH","DFW","07:26","12:45","144","134","319","12:58","13","0","6","0","0","303"
"MQ","12/10/2021","4211","N684JW","DFW","15:30","15:25","129","130","-5","15:35","10","0","0","0","0","0"
"MQ","12/11/2021","3944","N607AE","DFW","07:26","07:15","144","144","-11","07:30","15","0","0","0","0","0"
"MQ","12/11/2021","4211","N689EC","DFW","15:30","15:25","129","128","-5","15:40","15","0","0","0","0","0"
"MQ","12/12/2021","3944","N923AE","DFW","07:26","07:42","144","117","16","07:48","6","0","0","0","0","0"
"MQ","12/12/2021","4211","N688AE","DFW","15:30","15:22","129","106","-8","15:30","8","0","0","0","0","0"
"MQ","12/13/2021","3944","N676AE","DFW","07:26","07:25","144","125","-1","07:45","20","0","0","0","0","0"
"MQ","12/13/2021","4211","N606AE","DFW","15:30","15:23","129","112","-7","15:29","6","0","0","0","0","0"
"MQ","12/14/2021","3944","N684JW","DFW","07:26","07:21","144","134","-5","07:34","13","0","0","0","0","0"
"MQ","12/14/2021","4211","N618AE","DFW","15:30","15:18","129","116","-12","15:32","14","0","0","0","0","0"
"MQ","12/15/2021","3944","N667GB","DFW","07:26","07:24","144","133","-2","07:35","11","0","0","0","0","0"
"MQ","12/15/2021","4211","N607AE","DFW","15:30","15:21","129","124","-9","15:32","11","0","0","0","0","0"
"MQ","12/16/2021","3944","N688AE","DFW","07:00","06:56","143","128","-4","07:02","6","0","0","0","0","0"
"MQ","12/16/2021","4211","N619AE","DFW","15:18","15:18","141","134","0","15:32","14","0","0","0","0","0"
"MQ","12/17/2021","3944","N616AE","DFW","07:00","06:56","143","151","-4","07:15","19","0","0","0","0","0"
"MQ","12/17/2021","4211","N681AE","DFW","15:18","15:22","141","146","4","15:33","11","0","0","0","0","0"
"MQ","12/18/2021","3944","N667GB","DFW","07:00","07:08","143","160","8","07:20","12","8","0","17","0","0"
"MQ","12/18/2021","4211","N607AE","DFW","15:18","15:39","141","131","21","15:46","7","0","0","0","0","0"
"MQ","12/19/2021","3944","N676AE","DFW","07:00","07:02","143","142","2","07:28","26","0","0","0","0","0"
"MQ","12/19/2021","4211","N689EC","DFW","15:18","15:18","141","123","0","15:29","11","0","0","0","0","0"
"MQ","12/20/2021","3944","N688AE","DFW","07:00","07:02","143","135","2","07:22","20","0","0","0","0","0"
"MQ","12/20/2021","4211","N668HH","DFW","15:18","15:29","141","118","11","15:45","16","0","0","0","0","0"
"MQ","12/21/2021","3944","N932AE","DFW","07:00","06:58","143","140","-2","07:19","21","0","0","0","0","0"
"MQ","12/21/2021","4211","N689EC","DFW","15:18","15:21","141","116","3","15:32","11","0","0","0","0","0"
"MQ","12/22/2021","3944","N925AE","DFW","07:00","06:54","143","151","-6","07:08","14","0","0","0","0","0"
"MQ","12/22/2021","4211","N611AE","DFW","15:18","15:18","141","119","0","15:39","21","0","0","0","0","0"
"MQ","12/23/2021","3944","N616AE","DFW","07:00","06:59","143","128","-1","07:08","9","0","0","0","0","0"
"MQ","12/23/2021","4211","N933JN","DFW","15:18","15:13","141","114","-5","15:21","8","0","0","0","0","0"
"MQ","12/24/2021","3944","N689EC","DFW","07:00","06:59","143","116","-1","07:05","6","0","0","0","0","0"
"MQ","12/24/2021","4211","N619AE","DFW","15:18","16:08","141","119","50","16:13","5","4","0","0","0","24"
"MQ","12/25/2021","3944","N923AE","DFW","07:00","06:55","143","137","-5","07:20","25","0","0","0","0","0"
"MQ","12/25/2021","4211","N931AE","DFW","15:18","15:22","141","125","4","15:34","12","0","0","0","0","0"
"MQ","12/26/2021","3944","N905JH","DFW","07:00","06:53","143","146","-7","07:04","11","0","0","0","0","0"
"MQ","12/26/2021","4211","N928AE","DFW","15:18","15:13","141","150","-5","15:40","27","0","0","0","0","0"
"MQ","12/27/2021","3944","N932AE","DFW","07:00","06:50","143","134","-10","07:01","11","0","0","0","0","0"
"MQ","12/27/2021","4211","N928AE","DFW","15:18","15:22","141","133","4","15:40","18","0","0","0","0","0"
"MQ","12/28/2021","3944","N668HH","DFW","07:00","06:57","143","130","-3","07:03","6","0","0","0","0","0"
"MQ","12/28/2021","4211","N694AE","DFW","15:18","15:13","141","136","-5","15:24","11","0","0","0","0","0"
"MQ","12/29/2021","3944","N618AE","DFW","07:00","07:28","143","177","28","08:05","37","28","0","34","0","0"
"MQ","12/29/2021","4211","N933JN","DFW","15:18","15:17","141","143","-1","15:33","16","0","0","0","0","0"
"MQ","12/30/2021","3944","N933JN","DFW","07:00","06:53","143","136","-7","07:00","7","0","0","0","0","0"
"MQ","12/30/2021","4211","N923AE","DFW","15:18","15:23","141","127","5","15:32","9","0","0","0","0","0"
"MQ","12/31/2021","3944","N694AE","DFW","07:00","07:00","143","145","0","07:18","18","0","0","0","0","0"
"MQ","12/31/2021","4211","N676AE","DFW","15:18","16:13","141","138","55","16:25","12","52","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
