Detailed Statistics Departures  
Origin Airport: Springfield, MO: Springfield-Branson National (SGF)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0731","258NV","AZA","12:14","12:29","174","178","15","12:37","8","15","0","4","0","0"
"G4","12/01/2022","2604","314NV","PIE","08:53","08:44","127","117","-9","08:52","8","0","0","0","0","0"
"G4","12/01/2023","1641","327NV","LAS","12:18","12:03","197","206","-15","12:16","13","0","0","0","0","0"
"G4","12/01/2023","2827","337NV","SFB","10:26","10:32","133","119","6","10:42","10","0","0","0","0","0"
"G4","12/02/2021","1211","246NV","AZA","11:19","11:31","176","154","12","11:44","13","0","0","0","0","0"
"G4","12/02/2021","1881","296NV","PIE","08:34","08:26","127","119","-8","08:35","9","0","0","0","0","0"
"G4","12/02/2022","0093","328NV","LAS","11:44","11:37","189","217","-7","11:50","13","0","0","21","0","0"
"G4","12/02/2022","2831","224NV","SFB","08:48","08:53","131","128","5","09:02","9","0","0","0","0","0"
"G4","12/02/2023","0764","307NV","LAX","15:06","15:34","226","212","28","15:44","10","0","0","0","0","0"
"G4","12/03/2021","0055","337NV","LAS","12:16","12:25","191","178","9","12:39","14","0","0","0","0","0"
"G4","12/03/2021","1616","293NV","PGD","14:36","14:55","143","145","19","15:09","14","0","0","2","0","19"
"G4","12/03/2021","2462","238NV","SFB","15:30","16:45","132","131","75","16:56","11","54","0","0","0","20"
"G4","12/03/2021","2817","291NV","AUS","17:55","17:46","101","93","-9","17:57","11","0","0","0","0","0"
"G4","12/03/2022","0789","308NV","LAX","15:51","15:45","228","246","-6","15:59","14","0","0","0","0","0"
"G4","12/03/2023","2361","239NV","AZA","20:45","21:08","176","181","23","21:26","18","0","0","5","0","23"
"G4","12/03/2023","2601","285NV","PIE","08:31","08:36","134","128","5","08:47","11","0","0","0","0","0"
"G4","12/04/2021","1414","317NV","LAX","21:26","21:35","223","194","9","21:49","14","0","0","0","0","0"
"G4","12/04/2022","0661","298NV","AZA","12:14","12:04","174","185","-10","12:15","11","0","0","0","0","0"
"G4","12/04/2022","1020","202NV","PIE","09:13","09:13","127","121","0","09:28","15","0","0","0","0","0"
"G4","12/04/2023","0080","311NV","LAS","11:48","11:36","197","188","-12","11:48","12","0","0","0","0","0"
"G4","12/04/2023","2836","244NV","SFB","10:26","10:24","133","134","-2","10:37","13","0","0","0","0","0"
"G4","12/05/2021","1287","276NV","AZA","11:19","11:28","176","157","9","11:39","11","0","0","0","0","0"
"G4","12/05/2021","1881","245NV","PIE","08:34","08:25","127","133","-9","08:37","12","0","0","0","0","0"
"G4","12/05/2022","0074","305NV","LAS","11:34","11:19","189","209","-15","11:31","12","0","0","0","0","0"
"G4","12/05/2022","2942","240NV","SFB","09:48","09:56","131","133","8","10:12","16","0","0","0","0","0"
"G4","12/06/2021","0055","331NV","LAS","12:16","12:15","191","192","-1","12:26","11","0","0","0","0","0"
"G4","12/06/2021","1616","235NV","PGD","14:36","14:59","143","135","23","15:08","9","0","0","0","0","15"
"G4","12/06/2021","2462","311NV","SFB","15:30","15:38","132","141","8","15:55","17","3","0","9","0","5"
"G4","12/06/2021","2817","291NV","AUS","17:55","18:22","101","101","27","18:34","12","23","0","0","0","4"
"G4","12/07/2023","0719","260NV","AZA","20:35","20:39","189","168","4","20:49","10","0","0","0","0","0"
"G4","12/07/2023","1090","285NV","PIE","09:08","08:57","134","122","-11","09:07","10","0","0","0","0","0"
"G4","12/08/2022","0661","298NV","AZA","12:17","12:07","179","190","-10","12:20","13","0","0","0","0","0"
"G4","12/08/2022","1100","205NV","PIE","08:53","10:00","128","126","67","10:10","10","8","0","0","0","57"
"G4","12/08/2023","0080","295NV","LAS","13:20","13:15","209","193","-5","13:25","10","0","0","0","0","0"
"G4","12/08/2023","1246","316NV","SFB","18:45","18:37","136","127","-8","18:49","12","0","0","0","0","0"
"G4","12/09/2021","1211","246NV","AZA","11:19","11:46","176","170","27","11:57","11","12","0","0","0","9"
"G4","12/09/2021","1881","237NV","PIE","08:34","08:42","127","111","8","08:51","9","0","0","0","0","0"
"G4","12/09/2022","0093","262NV","LAS","11:42","11:39","198","208","-3","11:53","14","0","0","0","0","0"
"G4","12/09/2022","1287","224NV","SFB","08:49","08:44","134","125","-5","08:54","10","0","0","0","0","0"
"G4","12/09/2023","0764","320NV","LAX","15:05","15:50","241","201","45","16:01","11","0","0","0","0","0"
"G4","12/10/2021","0055","333NV","LAS","12:21","12:16","191","213","-5","12:36","20","0","0","17","0","0"
"G4","12/10/2021","1616","235NV","PGD","14:36","14:50","143","137","14","15:00","10","0","0","0","0","0"
"G4","12/10/2021","2462","326NV","SFB","15:30","15:37","132","124","7","15:46","9","0","0","0","0","0"
"G4","12/10/2021","2817","291NV","AUS","17:55","17:44","101","110","-11","18:00","16","0","0","0","0","0"
"G4","12/10/2022","0789","308NV","LAX","15:59","16:29","232","217","30","16:39","10","15","0","0","0","0"
"G4","12/10/2023","0719","289NV","AZA","20:40","20:33","189","172","-7","20:43","10","0","0","0","0","0"
"G4","12/10/2023","1082","250NV","PIE","09:08","10:29","134","153","81","10:38","9","0","0","100","0","0"
"G4","12/11/2021","1414","317NV","LAX","21:26","21:22","223","206","-4","21:33","11","0","0","0","0","0"
"G4","12/11/2022","0661","254NV","AZA","12:17","13:08","179","171","51","13:16","8","43","0","0","0","0"
"G4","12/11/2022","1100","202NV","PIE","09:13","09:21","128","128","8","09:31","10","0","0","0","0","0"
"G4","12/11/2023","0080","305NV","LAS","11:55","11:48","209","193","-7","12:01","13","0","0","0","0","0"
"G4","12/11/2023","2965","244NV","SFB","18:45","19:15","136","126","30","19:24","9","20","0","0","0","0"
"G4","12/12/2021","1287","276NV","AZA","11:19","11:25","176","159","6","11:32","7","0","0","0","0","0"
"G4","12/12/2021","1881","245NV","PIE","08:34","08:26","127","116","-8","08:37","11","0","0","0","0","0"
"G4","12/12/2022","0083","305NV","LAS","11:32","11:30","198","191","-2","11:43","13","0","0","0","0","0"
"G4","12/12/2022","1311","219NV","SFB","09:44","10:13","134","166","29","10:55","42","8","0","32","0","21"
"G4","12/13/2021","0055","318NV","LAS","12:16","12:13","191","191","-3","12:23","10","0","0","0","0","0"
"G4","12/13/2021","1616","295NV","PGD","14:36","14:29","143","141","-7","14:39","10","0","0","0","0","0"
"G4","12/13/2021","2462","236NV","SFB","15:30","15:26","132","130","-4","15:35","9","0","0","0","0","0"
"G4","12/13/2021","2817","291NV","AUS","17:55","17:37","101","89","-18","17:48","11","0","0","0","0","0"
"G4","12/14/2023","0719","255NV","AZA","20:35","20:36","189","191","1","20:48","12","0","0","0","0","0"
"G4","12/14/2023","1090","209NV","PIE","09:08","09:14","134","127","6","09:25","11","0","0","0","0","0"
"G4","12/15/2022","0789","330NV","LAX","12:29","12:23","232","230","-6","12:33","10","0","0","0","0","0"
"G4","12/15/2022","1198","235NV","SFB","19:18","19:20","134","131","2","19:32","12","0","0","0","0","0"
"G4","12/15/2023","0080","311NV","LAS","13:20","15:35","209","181","135","15:45","10","0","0","0","0","107"
"G4","12/15/2023","1246","331NV","SFB","18:44","18:48","136","133","4","18:59","11","0","0","0","0","0"
"G4","12/16/2021","1402","260NV","AZA","21:21","21:56","174","198","35","22:12","16","0","0","29","0","30"
"G4","12/16/2021","1976","296NV","PIE","20:21","20:59","126","135","38","21:10","11","10","0","9","0","28"
"G4","12/16/2022","0661","239NV","AZA","20:58","20:56","179","169","-2","21:10","14","0","0","0","0","0"
"G4","12/16/2022","2676","289NV","PIE","13:47","14:09","128","133","22","14:20","11","0","12","5","0","10"
"G4","12/16/2023","0764","320NV","LAX","15:05","15:09","241","210","4","15:20","11","0","0","0","0","0"
"G4","12/17/2021","0056","301NV","LAS","18:37","18:31","190","200","-6","18:44","13","0","0","0","0","0"
"G4","12/17/2021","1447","335NV","LAX","15:15","15:29","221","214","14","15:39","10","0","0","0","0","0"
"G4","12/17/2021","2294","285NV","SFB","11:28","11:38","131","138","10","11:49","11","1","0","7","0","9"
"G4","12/17/2021","2788","252NV","AUS","20:58","20:31","101","103","-27","20:40","9","0","0","0","0","0"
"G4","12/17/2021","2802","252NV","PGD","14:30","14:25","143","145","-5","14:36","11","0","0","0","0","0"
"G4","12/17/2022","1100","220NV","PIE","17:22","17:15","128","121","-7","17:25","10","0","0","0","0","0"
"G4","12/17/2022","1642","328NV","LAS","12:07","12:05","198","185","-2","12:15","10","0","0","0","0","0"
"G4","12/17/2022","2485","195NV","PGD","10:23","10:21","144","141","-2","10:32","11","0","0","0","0","0"
"G4","12/17/2023","0719","193NV","AZA","20:40","20:45","189","162","5","20:56","11","0","0","0","0","0"
"G4","12/17/2023","1082","285NV","PIE","09:08","09:34","134","117","26","09:43","9","0","0","0","0","0"
"G4","12/18/2021","2316","236NV","SFB","10:26","10:15","131","139","-11","10:27","12","0","0","0","0","0"
"G4","12/18/2022","0661","259NV","AZA","19:52","20:33","179","163","41","20:44","11","8","0","0","0","17"
"G4","12/18/2022","0789","330NV","LAX","12:29","14:10","232","216","101","14:21","11","21","0","0","0","64"
"G4","12/18/2022","1274","332NV","SFB","18:21","18:27","134","129","6","18:35","8","0","0","0","0","0"
"G4","12/18/2022","2722","290NV","PIE","08:28","08:10","128","119","-18","08:20","10","0","0","0","0","0"
"G4","12/18/2023","0080","215NV","LAS","13:20","14:00","209","192","40","14:12","12","0","0","0","0","23"
"G4","12/18/2023","2965","313NV","SFB","18:45","18:54","136","127","9","19:03","9","0","0","0","0","0"
"G4","12/19/2021","1188","280NV","AZA","11:16","11:55","174","153","39","12:08","13","8","0","0","0","10"
"G4","12/19/2021","1863","284NV","PIE","20:31","20:47","126","122","16","20:57","10","0","0","0","0","0"
"G4","12/19/2022","0661","284NV","AZA","21:08","21:29","179","164","21","21:40","11","0","0","0","0","0"
"G4","12/19/2022","1062","287NV","PIE","13:47","13:56","128","122","9","14:04","8","0","0","0","0","0"
"G4","12/20/2021","0056","325NV","LAS","21:45","21:47","190","189","2","22:00","13","0","0","0","0","0"
"G4","12/20/2021","1439","335NV","LAX","21:00","20:58","221","219","-2","21:08","10","0","0","0","0","0"
"G4","12/20/2021","1696","293NV","PGD","08:40","08:39","143","151","-1","08:52","13","0","0","0","0","0"
"G4","12/20/2021","2336","338NV","SFB","10:21","10:14","131","131","-7","10:23","9","0","0","0","0","0"
"G4","12/20/2021","2788","291NV","AUS","12:36","12:34","101","92","-2","12:44","10","0","0","0","0","0"
"G4","12/20/2022","1642","307NV","LAS","11:32","11:29","198","191","-3","11:41","12","0","0","0","0","0"
"G4","12/20/2022","2531","253NV","PGD","10:33","10:31","144","149","-2","10:39","8","0","0","0","0","0"
"G4","12/20/2022","2824","244NV","SFB","20:30","20:17","134","125","-13","20:24","7","0","0","0","0","0"
"G4","12/20/2023","0759","257NV","AZA","14:34","14:26","189","161","-8","14:36","10","0","0","0","0","0"
"G4","12/20/2023","1090","277NV","PIE","18:14","17:57","134","128","-17","18:07","10","0","0","0","0","0"
"G4","12/20/2023","2385","320NV","LAX","16:05","16:09","241","226","4","16:19","10","0","0","0","0","0"
"G4","12/21/2021","1171","275NV","AZA","13:26","13:28","174","180","2","13:42","14","0","0","0","0","0"
"G4","12/21/2021","2047","321NV","PIE","10:23","10:14","126","135","-9","10:26","12","0","0","0","0","0"
"G4","12/21/2022","0074","310NV","LAS","13:02","12:58","198","200","-4","13:13","15","0","0","0","0","0"
"G4","12/21/2022","0703","239NV","AZA","11:17","11:21","179","174","4","11:34","13","0","0","0","0","0"
"G4","12/21/2022","2673","238NV","PIE","20:27","20:27","128","129","0","20:38","11","0","0","0","0","0"
"G4","12/21/2023","0736","234NV","AZA","20:03","20:38","189","165","35","20:49","11","0","0","0","0","0"
"G4","12/21/2023","1024","277NV","PIE","08:48","08:32","134","115","-16","08:40","8","0","0","0","0","0"
"G4","12/22/2021","1436","335NV","LAX","21:47","21:43","221","219","-4","21:52","9","0","0","0","0","0"
"G4","12/22/2021","2042","321NV","PIE","08:22","08:18","124","124","-4","08:29","11","0","0","0","0","0"
"G4","12/22/2021","2271","238NV","SFB","14:06","15:09","131","123","63","15:20","11","26","0","0","0","29"
"G4","12/22/2022","0789","308NV","LAX","21:20","21:36","232","239","16","21:48","12","0","16","7","0","0"
"G4","12/22/2022","2914","309NV","SFB","10:04","14:59","134","235","295","17:05","126","0","295","101","0","0"
"G4","12/22/2023","0149","327NV","LAS","11:45","11:37","209","189","-8","11:49","12","0","0","0","0","0"
"G4","12/22/2023","0934","287NV","PGD","18:12","18:52","148","132","40","19:03","11","3","0","0","0","21"
"G4","12/22/2023","1284","331NV","SFB","08:58","08:46","136","127","-12","08:57","11","0","0","0","0","0"
"G4","12/23/2021","1192","298NV","AZA","20:10","20:06","175","174","-4","20:20","14","0","0","0","0","0"
"G4","12/23/2021","1984","314NV","PIE","13:27","13:19","124","116","-8","13:28","9","0","0","0","0","0"
"G4","12/23/2022","0758","259NV","AZA","11:07","12:00","179","167","53","12:10","10","0","41","0","0","0"
