Detailed Statistics Departures  
Origin Airport: Springfield, MO: Springfield-Branson National (SGF)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2022","2328","N996AT","ATL","15:56","15:59","114","104","3","16:16","17","0","0","0","0","0"
"DL","12/01/2022","2404","N980AT","ATL","06:00","05:56","125","96","-4","06:12","16","0","0","0","0","0"
"DL","12/01/2023","1628","N979AT","ATL","06:00","05:48","120","94","-12","06:01","13","0","0","0","0","0"
"DL","12/01/2023","2355","N985AT","ATL","12:19","12:12","109","94","-7","12:26","14","0","0","0","0","0"
"DL","12/02/2022","2328","N946AT","ATL","15:56","16:14","114","84","18","16:22","8","0","0","0","0","0"
"DL","12/02/2022","2404","N991AT","ATL","06:00","05:56","125","109","-4","06:21","25","0","0","0","0","0"
"DL","12/02/2023","1628","N979AT","ATL","06:00","05:54","120","101","-6","06:04","10","0","0","0","0","0"
"DL","12/02/2023","2355","N947AT","ATL","14:10","14:08","107","94","-2","14:19","11","0","0","0","0","0"
"DL","12/03/2022","2404","N970AT","ATL","06:00","05:57","125","108","-3","06:18","21","0","0","0","0","0"
"DL","12/03/2023","1628","N990AT","ATL","06:00","05:53","120","96","-7","06:04","11","0","0","0","0","0"
"DL","12/03/2023","2355","N957AT","ATL","12:19","12:04","109","90","-15","12:15","11","0","0","0","0","0"
"DL","12/04/2022","2328","N988AT","ATL","15:56","16:18","114","93","22","16:39","21","0","0","0","0","0"
"DL","12/04/2022","2404","N935AT","ATL","06:00","05:58","125","89","-2","06:08","10","0","0","0","0","0"
"DL","12/04/2023","1628","N988AT","ATL","06:00","05:58","120","99","-2","06:09","11","0","0","0","0","0"
"DL","12/04/2023","2355","N957AT","ATL","12:19","12:14","109","89","-5","12:24","10","0","0","0","0","0"
"DL","12/05/2022","2328","N988AT","ATL","15:56","16:51","114","93","55","17:05","14","5","0","0","0","29"
"DL","12/05/2022","2404","N923AT","ATL","06:00","05:54","125","102","-6","06:10","16","0","0","0","0","0"
"DL","12/05/2023","1628","N608AT","ATL","06:00","06:04","120","93","4","06:16","12","0","0","0","0","0"
"DL","12/05/2023","2355","N603AT","ATL","14:10","14:00","107","85","-10","14:13","13","0","0","0","0","0"
"DL","12/06/2022","2328","N937AT","ATL","15:56","15:43","114","108","-13","16:02","19","0","0","0","0","0"
"DL","12/06/2022","2404","N921AT","ATL","06:00","05:55","125","94","-5","06:07","12","0","0","0","0","0"
"DL","12/06/2023","1628","N944AT","ATL","06:00","06:40","120","121","40","07:24","44","40","0","1","0","0"
"DL","12/06/2023","2355","N894AT","ATL","14:10","14:09","107","98","-1","14:20","11","0","0","0","0","0"
"DL","12/07/2022","2328","N977AT","ATL","15:56","15:56","114","87","0","16:04","8","0","0","0","0","0"
"DL","12/07/2022","2404","N985AT","ATL","06:00","05:56","125","112","-4","06:24","28","0","0","0","0","0"
"DL","12/07/2023","1628","N944AT","ATL","06:00","05:52","115","99","-8","06:04","12","0","0","0","0","0"
"DL","12/07/2023","2355","N991AT","ATL","12:19","12:13","112","93","-6","12:22","9","0","0","0","0","0"
"DL","12/08/2022","2328","N950AT","ATL","15:56","16:08","114","95","12","16:19","11","0","0","0","0","0"
"DL","12/08/2022","2404","N940AT","ATL","06:00","06:12","125","107","12","06:28","16","0","0","0","0","0"
"DL","12/08/2023","1628","N921AT","ATL","06:00","05:50","115","109","-10","06:01","11","0","0","0","0","0"
"DL","12/08/2023","2355","N947AT","ATL","12:19","12:21","112","93","2","12:31","10","0","0","0","0","0"
"DL","12/09/2022","2328","N977AT","ATL","15:56","15:50","114","103","-6","16:06","16","0","0","0","0","0"
"DL","12/09/2022","2404","N996AT","ATL","06:00","05:57","125","129","-3","06:09","12","0","0","0","0","0"
"DL","12/09/2023","1628","N967AT","ATL","06:00","06:14","115","112","14","06:34","20","0","0","0","0","0"
"DL","12/09/2023","2355","N971AT","ATL","14:10","14:06","107","108","-4","14:18","12","0","0","0","0","0"
"DL","12/10/2022","2404","N952AT","ATL","06:00","05:55","125","102","-5","06:14","19","0","0","0","0","0"
"DL","12/10/2023","1628","N990AT","ATL","06:00","05:58","115","118","-2","06:27","29","0","0","0","0","0"
"DL","12/10/2023","2355","N983AT","ATL","12:19","12:14","112","106","-5","12:25","11","0","0","0","0","0"
"DL","12/11/2022","2328","N967AT","ATL","15:56","15:50","114","106","-6","16:09","19","0","0","0","0","0"
"DL","12/11/2022","2404","N982AT","ATL","06:00","05:58","125","153","-2","06:51","53","0","0","26","0","0"
"DL","12/11/2023","1628","N930AT","ATL","06:00","05:56","115","115","-4","06:29","33","0","0","0","0","0"
"DL","12/11/2023","2355","N965AT","ATL","12:19","12:11","112","86","-8","12:22","11","0","0","0","0","0"
"DL","12/12/2022","2328","N896AT","ATL","15:56","15:49","114","95","-7","16:02","13","0","0","0","0","0"
"DL","12/12/2022","2404","N954AT","ATL","06:00","05:57","125","122","-3","06:20","23","0","0","0","0","0"
"DL","12/12/2023","1628","N923AT","ATL","06:00","06:11","115","106","11","06:43","32","0","0","0","0","0"
"DL","12/12/2023","2355","N947AT","ATL","12:19","12:19","112","90","0","12:31","12","0","0","0","0","0"
"DL","12/13/2022","2328","N942AT","ATL","15:56","15:49","114","96","-7","16:03","14","0","0","0","0","0"
"DL","12/13/2022","2404","N963AT","ATL","06:00","05:59","125","95","-1","06:11","12","0","0","0","0","0"
"DL","12/13/2023","1628","N927AT","ATL","06:00","05:50","115","129","-10","06:30","40","0","0","0","0","0"
"DL","12/13/2023","2355","N942AT","ATL","12:19","12:11","112","93","-8","12:23","12","0","0","0","0","0"
"DL","12/14/2022","2328","N980AT","ATL","15:56","15:52","114","118","-4","16:19","27","0","0","0","0","0"
"DL","12/14/2022","2404","N928AT","ATL","06:00","05:51","125","118","-9","06:21","30","0","0","0","0","0"
"DL","12/14/2023","1628","N944AT","ATL","06:00","05:55","115","109","-5","06:16","21","0","0","0","0","0"
"DL","12/14/2023","2355","N967AT","ATL","12:19","12:11","112","93","-8","12:24","13","0","0","0","0","0"
"DL","12/15/2022","2328","N990AT","ATL","15:56","15:53","114","101","-3","16:08","15","0","0","0","0","0"
"DL","12/15/2022","2404","N994AT","ATL","06:00","05:56","125","114","-4","06:17","21","0","0","0","0","0"
"DL","12/15/2023","1628","N921AT","ATL","06:00","06:02","115","97","2","06:12","10","0","0","0","0","0"
"DL","12/15/2023","2355","N927AT","ATL","12:19","12:15","112","94","-4","12:26","11","0","0","0","0","0"
"DL","12/16/2022","2328","N928AT","ATL","15:56","15:53","114","92","-3","16:00","7","0","0","0","0","0"
"DL","12/16/2022","2404","N942AT","ATL","06:00","05:57","125","103","-3","06:10","13","0","0","0","0","0"
"DL","12/16/2023","0705","N955AT","ATL","06:00","05:52","115","102","-8","06:08","16","0","0","0","0","0"
"DL","12/31/2023","0447","N945AT","ATL","17:26","17:19","113","95","-7","17:38","19","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
