Detailed Statistics Departures  
Origin Airport: Springfield, MO: Springfield-Branson National (SGF)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4834","N330PQ","ATL","06:00","05:56","117","89","-4","06:04","8","0","0","0","0","0"
"9E","12/01/2021","5232","N935XJ","ATL","17:25","17:21","103","107","-4","17:43","22","0","0","0","0","0"
"9E","12/01/2023","5530","N909XJ","ATL","17:05","17:14","106","97","9","17:30","16","0","0","0","0","0"
"9E","12/02/2021","4834","N304PQ","ATL","06:00","05:55","117","104","-5","06:15","20","0","0","0","0","0"
"9E","12/02/2021","5232","N304PQ","ATL","17:25","17:20","105","97","-5","17:33","13","0","0","0","0","0"
"9E","12/02/2021","5382","N146PQ","ATL","11:53","11:50","102","99","-3","12:04","14","0","0","0","0","0"
"9E","12/03/2021","4834","N330PQ","ATL","06:00","05:55","117","100","-5","06:10","15","0","0","0","0","0"
"9E","12/03/2021","5232","N301PQ","ATL","17:25","17:29","105","98","4","17:40","11","0","0","0","0","0"
"9E","12/03/2021","5382","N315PQ","ATL","11:53","11:49","102","94","-4","12:02","13","0","0","0","0","0"
"9E","12/04/2021","4834","N936XJ","ATL","06:00","05:55","117","103","-5","06:06","11","0","0","0","0","0"
"9E","12/04/2021","5382","N294PQ","ATL","12:00","11:59","102","90","-1","12:09","10","0","0","0","0","0"
"9E","12/04/2023","5530","N928XJ","ATL","17:05","17:06","106","100","1","17:28","22","0","0","0","0","0"
"9E","12/05/2021","4834","N176PQ","ATL","06:00","05:57","122","111","-3","06:22","25","0","0","0","0","0"
"9E","12/05/2021","5232","N538CA","ATL","17:22","17:27","107","97","5","17:42","15","0","0","0","0","0"
"9E","12/05/2021","5382","N299PQ","ATL","11:44","12:02","105","95","18","12:16","14","0","0","0","0","0"
"9E","12/06/2021","4834","N329PQ","ATL","06:00","05:55","122","147","-5","06:23","28","0","0","20","0","0"
"9E","12/06/2021","5232","N294PQ","ATL","17:22","17:19","107","98","-3","17:29","10","0","0","0","0","0"
"9E","12/06/2021","5382","N329PQ","ATL","11:44","12:17","105","101","33","12:33","16","0","0","0","0","29"
"9E","12/07/2021","4834","N232PQ","ATL","06:00","05:58","122","111","-2","06:16","18","0","0","0","0","0"
"9E","12/07/2021","5232","N329PQ","ATL","17:22","17:22","107","97","0","17:40","18","0","0","0","0","0"
"9E","12/08/2021","4834","N307PQ","ATL","06:00","06:15","122","114","15","06:42","27","0","0","0","0","0"
"9E","12/08/2021","5232","N932XJ","ATL","17:22","17:43","107","94","21","17:55","12","0","0","0","0","0"
"9E","12/09/2021","4834","N297PQ","ATL","06:00","05:56","122","109","-4","06:29","33","0","0","0","0","0"
"9E","12/09/2021","5232","N316PQ","ATL","17:22","17:17","107","115","-5","17:53","36","0","0","0","0","0"
